university_name,university_id
canadian university dubai,U0261
university of canterbury te whare wananga o waitaha,U0262
indian institute of technology kanpur iitk,U0263
norwegian university of science and technology,U0264
ucsi university,U0265
universitat pompeu fabra barcelona,U0266
university of antwerp,U0267
university of witwatersrand,U0268
tianjin university,U0269
universiti teknologi petronas utp,U0270
beijing normal university,U0271
radboud university,U0272
university college cork,U0273
university of galway,U0274
dalhousie university,U0275
university of massachusetts amherst,U0276
university of pittsburgh,U0277
university of porto,U0278
vrije universiteit brussel vub,U0279
ulsan national institute of science and technology unist,U0280
the hebrew university of jerusalem,U0281
university of strathclyde,U0282
université paris 1 panthéonsorbonne,U0283
southern university of science and technology,U0284
middle east technical university,U0285
universidad carlos iii de madrid uc3m,U0286
university of cologne,U0287
university of leicester,U0288
university of milan,U0289
university of surrey,U0290
swinburne university of technology,U0291
university of bergen,U0292
the university of arizona,U0293
university of tasmania,U0294
xian jiaotong university,U0295
stellenbosch university,U0296
university of virginia,U0297
bauman moscow state technical university,U0298
swansea university,U0299
huazhong university of science and technology,U0300
georgetown university,U0301
beijing institute of technology,U0302
université paris cité,U0303
linköping university,U0304
universidade federal do rio de janeiro,U0305
aalborg university,U0306
university of california irvine,U0307
airlangga university,U0308
goetheuniversity frankfurt am main,U0309
universität innsbruck,U0310
north carolina state university,U0311
jagiellonian university,U0312
university of johannesburg,U0313
universität stuttgart,U0314
quaidiazam university,U0315
rudn university,U0316
shandong university,U0317
university of notre dame,U0318
simon fraser university,U0319
university of colorado boulder,U0320
ln gumilyov eurasian national university enu,U0321
national technical university of athens,U0322
universidad politécnica de madrid upm,U0323
university of miami,U0324
university of southern denmark sdu,U0325
daegu gyeongbuk institute of science and technology dgist,U0326
istanbul technical university,U0327
kyung hee university,U0328
rutgers universitynew brunswick,U0329
university of delhi,U0330
sun yatsen university,U0331
abu dhabi university,U0332
university of east anglia uea,U0333
université grenoble alpes,U0334
indian institute of technology roorkee iitr,U0335
flinders university,U0336
lappeenrantalahti university of technology lut,U0337
sichuan university,U0338
university of the philippines,U0339
university of saskatchewan,U0340
university of south australia,U0341
brunel university london,U0342
sharif university of technology,U0343
indian institute of technology guwahati iitg,U0344
tufts university,U0345
university of oulu,U0346
tilburg university,U0347
university of naples federico ii,U0348
university of victoria uvic,U0349
cairo university,U0350
sciences po,U0351
city university of london,U0352
national university of sciences and technology nust islamabad,U0353
university of pretoria,U0354
indiana university bloomington,U0355
university of coimbra,U0356
university of luxembourg,U0357
university of tartu,U0358
gwangju institute of science and technology gist,U0359
pontificia universidad católica del perú,U0360
university of aveiro,U0361
sultan qaboos university,U0362
xiamen university,U0363
york university,U0364
saint petersburg state university,U0365
university of illinois at chicago uic,U0366
westfälische wilhelmsuniversität münster,U0367
mahidol university,U0368
university of jordan,U0369
university of tehran,U0370
george washington university,U0371
lincoln university,U0372
universitat politècnica de catalunya barcelonatech upc,U0373
university of turin,U0374
university of florence,U0375
university of turku,U0376
nankai university,U0377
pontificia universidad javeriana,U0378
university of tsukuba,U0379
technische universität bergakademie freiberg,U0380
university of kent,U0381
university of pisa,U0382
anna university,U0383
western sydney university,U0384
south china university of technology,U0385
universiti brunei darussalam ubd,U0386
belarusian state university,U0387
universidade nova de lisboa,U0388
università vitasalute san raffaele,U0389
university of cyprus ucy,U0390
virginia polytechnic institute and state university,U0391
national taiwan university of science and technology taiwan tech,U0392
national and kapodistrian university of athens,U0393
university of california santa cruz,U0394
university of rome tor vergata,U0395
northeastern university,U0396
ruhruniversität bochum,U0397
sejong university,U0398
université de liège,U0399
university of southern queensland,U0400
kazan volga region federal university,U0401
koç university,U0402
amirkabir university of technology,U0403
university of canberra,U0404
institut national des sciences appliquées de lyon insa,U0405
satbayev university,U0406
usi università della svizzera italiana,U0407
birkbeck university of london,U0408
masaryk university,U0409
hse university,U0410
the american university in cairo,U0411
auckland university of technology aut,U0412
graz university of technology,U0413
yeshiva university,U0414
concordia university,U0415
oxford brookes university,U0416
technion israel institute of technology,U0417
university of dundee,U0418
bogaziçi university,U0419
