university_id,year,source,global_rank,overall_score,academic_reputation,employer_reputation
U00052,2025,QS_2025,50.0,76.0,67.2,97.0
U00052,2024,THE_2024,46.0,76.8,,
U00052,2023,WUR_2023,37.0,76.5,,
U00053,2025,QS_2025,53.0,75.7,87.7,91.0
U00054,2025,QS_2025,54.0,75.4,75.8,82.5
U00054,2024,THE_2024,81.0,69.8,,
U00055,2025,QS_2025,55.0,73.7,83.8,52.1
U00055,2024,THE_2024,61.0,73.6,,
U00055,2023,WUR_2023,60.0,69.6,,
U00056,2025,QS_2025,56.0,72.9,81.5,97.0
U00056,2024,THE_2024,76.0,70.4,,
U00057,2025,QS_2025,57.0,72.1,68.0,35.6
U00058,2025,QS_2025,58.0,72.0,69.8,80.1
U00058,2024,THE_2024,24.0,86.3,,
U00058,2023,WUR_2023,28.0,81.1,,
U00059,2025,QS_2025,59.0,71.6,92.2,86.6
U00060,2025,QS_2025,60.0,71.2,82.9,95.1
U00061,2025,QS_2025,61.0,70.8,86.0,74.7
U00061,2024,THE_2024,26.0,83.9,,
U00061,2023,WUR_2023,25.0,82.6,,
U00062,2025,QS_2025,62.0,70.7,60.9,30.8
U00062,2024,THE_2024,82.0,69.3,,
U00063,2025,QS_2025,63.0,70.3,84.6,49.6
U00063,2024,THE_2024,45.0,77.0,,
U00064,2025,QS_2025,63.0,70.3,87.2,52.0
U00064,2024,THE_2024,75.0,70.5,,
U00064,2023,WUR_2023,90.0,64.5,,
U00065,2025,QS_2025,65.0,69.7,82.2,44.7
U00066,2025,QS_2025,66.0,69.5,93.5,86.6
U00066,2024,THE_2024,52.0,75.5,,
U00066,2023,WUR_2023,50.0,72.3,,
U00067,2025,QS_2025,67.0,69.0,78.2,93.8
U00067,2024,THE_2024,225.5,,,
U00068,2025,QS_2025,68.0,68.7,93.4,92.1
U00068,2024,THE_2024,152.0,61.9,,
U00069,2025,QS_2025,69.0,68.2,72.2,86.4
U00070,2025,QS_2025,69.0,68.2,83.9,75.7
U00070,2024,THE_2024,42.0,77.9,,
U00070,2023,WUR_2023,48.0,72.7,,
U00071,2025,QS_2025,71.0,67.6,94.1,94.1
U00072,2025,QS_2025,72.0,67.1,89.3,57.8
U00072,2024,THE_2024,34.0,81.0,,
U00072,2023,WUR_2023,32.0,78.1,,
U00073,2025,QS_2025,73.0,67.0,60.7,99.1
U00073,2024,THE_2024,58.0,74.4,,
U00073,2023,WUR_2023,93.0,63.9,,
U00074,2025,QS_2025,74.0,65.7,45.2,55.6
U00074,2024,THE_2024,97.0,66.9,,
U00074,2023,WUR_2023,155.0,57.5,,
U00075,2025,QS_2025,75.0,65.6,68.3,52.5
U00075,2024,THE_2024,106.0,66.1,,
U00075,2023,WUR_2023,119.0,61.0,,
U00076,2025,QS_2025,76.0,65.3,81.9,55.5
U00076,2024,THE_2024,25.0,85.3,,
U00076,2023,WUR_2023,26.0,82.1,,
U00077,2025,QS_2025,77.0,65.2,55.5,41.8
U00077,2024,THE_2024,143.0,62.7,,
U00077,2023,WUR_2023,131.0,59.4,,
U00078,2025,QS_2025,78.0,65.0,77.4,67.7
U00078,2024,THE_2024,87.0,68.2,,
U00079,2025,QS_2025,79.0,64.7,59.9,49.6
U00079,2024,THE_2024,64.0,73.0,,
U00079,2023,WUR_2023,61.0,69.3,,
U00080,2025,QS_2025,80.0,64.1,68.9,69.0
U00080,2024,THE_2024,101.0,66.6,,
U00080,2023,WUR_2023,108.0,62.6,,
U00081,2025,QS_2025,80.0,64.1,50.1,44.3
U00081,2024,THE_2024,97.0,66.9,,
U00081,2023,WUR_2023,108.0,62.6,,
U00082,2025,QS_2025,82.0,63.8,56.0,38.9
U00083,2025,QS_2025,82.0,63.8,70.5,75.9
U00083,2024,THE_2024,129.0,63.9,,
U00083,2023,WUR_2023,128.0,59.8,,
U00084,2025,QS_2025,84.0,63.7,76.9,59.4
U00085,2025,QS_2025,84.0,63.7,75.1,94.1
U00085,2024,THE_2024,191.0,59.2,,
U00085,2023,WUR_2023,325.5,,,
U00086,2025,QS_2025,86.0,63.5,82.4,87.0
