university_id,display_name,region,qs_name,the_name,wur_name,in_qs,in_the,in_wur,country_id,country_name
U00060,Universiti Malaya (UM),Asia,Universiti Malaya (UM),,,True,False,False,C071,malaysia
U00061,Duke University,Americas,Duke University,Duke University,Duke University,True,True,True,C129,united states
U00062,City University of Hong Kong,Asia,City University of Hong Kong,City University of Hong Kong,,True,True,False,C045,hong kong
U00063,KU Leuven,Europe,KU Leuven,KU Leuven,,True,True,False,C012,belgium
U00064,Sorbonne University,Europe,Sorbonne University,Sorbonne University,Sorbonne University,True,True,True,C038,france
U00065,The University of Auckland,Oceania,The University of Auckland,,,True,False,False,C083,new zealand
U00066,University of Texas at Austin,Americas,University of Texas at Austin,University of Texas at Austin,University of Texas at Austin,True,True,True,C129,united states
U00067,Korea University,Asia,Korea University,Korea University,,True,True,False,C111,south korea
U00068,National Taiwan University (NTU),Asia,National Taiwan University (NTU),National Taiwan University (NTU),,True,True,False,C118,taiwan
U00069,The University of Warwick,Europe,The University of Warwick,,,True,False,False,C128,united kingdom
U00070,University of Illinois at Urbana-Champaign,Americas,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,True,True,True,C129,united states
U00071,Universidad de Buenos Aires (UBA),Americas,Universidad de Buenos Aires (UBA),,,True,False,False,C004,argentina
U00072,"University of California, San Diego (UCSD)",Americas,"University of California, San Diego (UCSD)","University of California, San Diego","University of California, San Diego",True,True,True,C129,united states
U00073,Université Paris-Saclay,Europe,Université Paris-Saclay,Université Paris-Saclay,Université Paris-Saclay,True,True,True,C038,france
U00074,KTH Royal Institute of Technology,Europe,KTH Royal Institute of Technology,KTH Royal Institute of Technology,KTH Royal Institute of Technology,True,True,True,C115,sweden
U00075,Lund University,Europe,Lund University,Lund University,Lund University,True,True,True,C115,sweden
U00076,University of Washington,Americas,University of Washington,University of Washington,University of Washington,True,True,True,C129,united states
U00077,The University of Western Australia,Oceania,The University of Western Australia,The University of Western Australia,The University of Western Australia,True,True,True,C006,australia
U00078,University of Glasgow,Europe,University of Glasgow,University of Glasgow,,True,True,False,C128,united kingdom
U00079,Brown University,Americas,Brown University,Brown University,Brown University,True,True,True,C129,united states
U00080,University of Birmingham,Europe,University of Birmingham,University of Birmingham,University of Birmingham,True,True,True,C128,united kingdom
U00081,University of Southampton,Europe,University of Southampton,University of Southampton,University of Southampton,True,True,True,C128,united kingdom
U00082,The University of Adelaide,Oceania,The University of Adelaide,,,True,False,False,C006,australia
U00083,University of Leeds,Europe,University of Leeds,University of Leeds,University of Leeds,True,True,True,C128,united kingdom
U00084,Ruprecht-Karls-Universität Heidelberg,Europe,Ruprecht-Karls-Universität Heidelberg,,,True,False,False,C040,germany
U00085,Tokyo Institute of Technology (Tokyo Tech),Asia,Tokyo Institute of Technology (Tokyo Tech),Tokyo Institute of Technology,Tokyo Institute of Technology,True,True,True,C056,japan
U00086,Osaka University,Asia,Osaka University,Osaka University,Osaka University,True,True,True,C056,japan
U00087,"Trinity College Dublin, The University of Dublin",Europe,"Trinity College Dublin, The University of Dublin",,,True,False,False,C052,ireland
U00088,University of Technology Sydney,Oceania,University of Technology Sydney,University of Technology Sydney,,True,True,False,C006,australia
U00089,Durham University,Europe,Durham University,Durham University,Durham University,True,True,True,C128,united kingdom
U00090,Pennsylvania State University,Americas,Pennsylvania State University,,,True,False,False,C129,united states
U00091,Purdue University,Americas,Purdue University,,,True,False,False,C129,united states
U00092,Universidade de São Paulo,Americas,Universidade de São Paulo,,,True,False,False,C016,brazil
U00093,Pontificia Universidad Católica de Chile (UC),Americas,Pontificia Universidad Católica de Chile (UC),Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,True,True,True,C022,chile
U00094,Lomonosov Moscow State University,Europe,Lomonosov Moscow State University,Lomonosov Moscow State University,,True,True,False,C101,russia
U00095,Universidad Nacional Autónoma de México (UNAM),Americas,Universidad Nacional Autónoma de México (UNAM),,,True,False,False,C074,mexico
U00096,University of Alberta,Americas,University of Alberta,University of Alberta,University of Alberta,True,True,True,C021,canada
U00097,Freie Universitaet Berlin,Europe,Freie Universitaet Berlin,,,True,False,False,C040,germany
U00098,Pohang University of Science And Technology (POSTECH),Asia,Pohang University of Science And Technology (POSTECH),Pohang University of Science and Technology (POSTECH),,True,True,False,C111,south korea
U00099,RWTH Aachen University,Europe,RWTH Aachen University,RWTH Aachen University,RWTH Aachen University,True,True,True,C040,germany
U00100,University of Copenhagen,Europe,University of Copenhagen,University of Copenhagen,University of Copenhagen,True,True,True,C030,denmark
U00101,King Fahd University of Petroleum & Minerals,Asia,King Fahd University of Petroleum & Minerals,King Fahd University of Petroleum and Minerals,King Fahd University of Petroleum and Minerals,True,True,True,C103,saudi arabia
U00102,"KIT, Karlsruhe Institute of Technology",Europe,"KIT, Karlsruhe Institute of Technology",,,True,False,False,C040,germany
U00103,Uppsala University,Europe,Uppsala University,Uppsala University,Uppsala University,True,True,True,C115,sweden
U00104,University of St Andrews,Europe,University of St Andrews,University of St Andrews,University of St Andrews,True,True,True,C128,united kingdom
U00105,The University of Sheffield,Europe,The University of Sheffield,,,True,False,False,C128,united kingdom
U00106,Utrecht University,Europe,Utrecht University,,Utrecht University,True,False,True,C082,netherlands
U00107,Tohoku University,Asia,Tohoku University,Tohoku University,Tohoku University,True,True,True,C056,japan
U00108,University of Nottingham,Europe,University of Nottingham,University of Nottingham,University of Nottingham,True,True,True,C128,united kingdom
U00109,Technical University of Denmark,Europe,Technical University of Denmark,Technical University of Denmark,Technical University of Denmark,True,True,True,C030,denmark
U00110,University of Zurich,Europe,University of Zurich,University of Zurich,University of Zurich,True,True,True,C116,switzerland
U00111,Politecnico di Milano,Europe,Politecnico di Milano,Politecnico di Milano,,True,True,False,C054,italy
U00112,Boston University,Americas,Boston University,Boston University,Boston University,True,True,True,C129,united states
U00113,Aalto University,Europe,Aalto University,Aalto University,Aalto University,True,True,True,C037,finland
U00114,Georgia Institute of Technology,Americas,Georgia Institute of Technology,Georgia Institute of Technology,Georgia Institute of Technology,True,True,True,C129,united states
U00115,University of Waterloo,Americas,University of Waterloo,University of Waterloo,University of Waterloo,True,True,True,C021,canada
U00116,University of Wisconsin-Madison,Americas,University of Wisconsin-Madison,University of Wisconsin-Madison,University of Wisconsin-Madison,True,True,True,C129,united states
U00117,University of Helsinki,Europe,University of Helsinki,University of Helsinki,University of Helsinki,True,True,True,C037,finland
U00118,Indian Institute of Technology Bombay (IITB),Asia,Indian Institute of Technology Bombay (IITB),,,True,False,False,C048,india
U00119,University of Oslo,Europe,University of Oslo,University of Oslo,University of Oslo,True,True,True,C087,norway
U00120,Queen Mary University of London,Europe,Queen Mary University of London,Queen Mary University of London,Queen Mary University of London,True,True,True,C128,united kingdom
U00121,Western University,Americas,Western University,Western University,,True,True,False,C021,canada
U00122,Qatar University,Asia,Qatar University,Qatar University,Qatar University,True,True,True,C099,qatar
U00123,RMIT University,Oceania,RMIT University,RMIT University,RMIT University,True,True,True,C006,australia
U00124,Sungkyunkwan University(SKKU),Asia,Sungkyunkwan University(SKKU),Sungkyunkwan University (SKKU),,True,True,False,C111,south korea
U00125,University of Southern California,Americas,University of Southern California,University of Southern California,University of Southern California,True,True,True,C129,united states
U00126,Humboldt-Universität zu Berlin,Europe,Humboldt-Universität zu Berlin,,,True,False,False,C040,germany
U00127,University College Dublin,Europe,University College Dublin,University College Dublin,University College Dublin,True,True,True,C052,ireland
U00128,Stockholm University,Europe,Stockholm University,Stockholm University,Stockholm University,True,True,True,C115,sweden
U00129,Newcastle University,Europe,Newcastle University,Newcastle University,,True,True,False,C128,united kingdom
U00130,"University of California, Davis",Americas,"University of California, Davis","University of California, Davis","University of California, Davis",True,True,True,C129,united states
U00131,University of Basel,Europe,University of Basel,University of Basel,University of Basel,True,True,True,C116,switzerland
U00132,Sapienza University of Rome,Europe,Sapienza University of Rome,Sapienza University of Rome,Sapienza University of Rome,True,True,True,C054,italy
U00133,Alma Mater Studiorum - University of Bologna,Europe,Alma Mater Studiorum - University of Bologna,,,True,False,False,C054,italy
U00134,Macquarie University,Oceania,Macquarie University,Macquarie University,Macquarie University,True,True,True,C006,australia
U00135,University of Science and Technology of China,Asia,University of Science and Technology of China,University of Science and Technology of China,,True,True,False,C023,china
U00136,Eindhoven University of Technology,Europe,Eindhoven University of Technology,Eindhoven University of Technology,Eindhoven University of Technology,True,True,True,C082,netherlands
U00137,University of Vienna,Europe,University of Vienna,University of Vienna,University of Vienna,True,True,True,C007,austria
