rank_tier,university_count,percentage
Top 50,52,3.4597471723220226
51-100,48,3.1936127744510974
101-200,101,6.719893546240852
201-500,299,19.89354624085163
501+,100,6.65335994677312
Unranked,903,60.079840319361274
