region,university_count,wb_tertiary_enrollment_ratio_2015_missing_percentage,wb_tertiary_graduation_ratio_2015_missing_percentage,wb_female_tertiary_students_pct_2015_missing_percentage,wb_tertiary_pupil_teacher_ratio_2015_missing_percentage,wb_youth_literacy_15_24_pct_2015_missing_percentage,wb_tertiary_graduates_2015_missing_percentage
East Asia & Pacific,588,42.00680272108844,61.224489795918366,42.00680272108844,84.01360544217688,85.37414965986395,52.38095238095239
Europe & Central Asia,1297,34.00154202004626,63.45412490362374,28.141865844255975,54.04780262143408,79.72243639167309,39.39861218195836
Latin America & Caribbean,402,39.0547263681592,81.59203980099502,40.298507462686565,82.08955223880598,45.52238805970149,79.8507462686567
Middle East & North Africa,448,23.660714285714285,66.96428571428571,20.982142857142858,39.50892857142857,95.98214285714286,32.589285714285715
North America,317,11.67192429022082,100.0,11.67192429022082,100.0,100.0,100.0
South Asia,290,9.655172413793103,44.13793103448276,9.655172413793103,12.068965517241379,100.0,44.13793103448276
Sub-Saharan Africa,124,85.48387096774194,100.0,85.48387096774194,88.70967741935483,83.06451612903226,87.09677419354838
,64,100.0,100.0,100.0,100.0,100.0,100.0
