variable_1,variable_2,spearman_correlation,absolute_correlation
qs_international_students_score,the_international_students_pct_2024,0.9681109508671537,0.9681109508671537
the_overall_score_2024,the_citations_score_2024,0.9139407929007239,0.9139407929007239
wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,-0.9061459382844652,0.9061459382844652
the_overall_score_2024,the_research_score_2024,0.8615209920953597,0.8615209920953597
the_research_score_2024,the_industry_income_score_2024,0.8456653823351135,0.8456653823351135
qs_international_faculty_score,the_international_outlook_score_2024,0.8427869460639346,0.8427869460639346
qs_citations_per_faculty_score,the_overall_score_2024,0.8311120076746825,0.8311120076746825
qs_overall_score,qs_academic_reputation_score,0.8271300365023463,0.8271300365023463
qs_international_students_score,the_international_outlook_score_2024,0.8254621123346408,0.8254621123346408
qs_academic_reputation_score,qs_employer_reputation_score,0.8181044460741107,0.8181044460741107
qs_overall_score,the_overall_score_2024,0.8127813619496115,0.8127813619496115
qs_citations_per_faculty_score,the_research_score_2024,0.8052741257396643,0.8052741257396643
wb_tertiary_graduation_ratio_2015,wb_youth_literacy_15_24_pct_2015,0.801949106877978,0.801949106877978
qs_overall_score,the_research_score_2024,0.798349599213994,0.798349599213994
qs_citations_per_faculty_score,the_citations_score_2024,0.7633504136901139,0.7633504136901139
the_overall_score_2024,the_industry_income_score_2024,0.7547422052214071,0.7547422052214071
qs_citations_per_faculty_score,the_industry_income_score_2024,0.7401751554452545,0.7401751554452545
the_international_outlook_score_2024,the_international_students_pct_2024,0.7359968931661599,0.7359968931661599
the_overall_score_2024,the_teaching_score_2024,0.7313975109237075,0.7313975109237075
qs_academic_reputation_score,qs_sustainability_score,0.7254992343971955,0.7254992343971955
the_teaching_score_2024,the_research_score_2024,0.7247516331046792,0.7247516331046792
qs_sustainability_score,the_overall_score_2024,0.7160227614147985,0.7160227614147985
qs_sustainability_score,the_research_score_2024,0.714235568916929,0.714235568916929
qs_academic_reputation_score,the_research_score_2024,0.7057640505174337,0.7057640505174337
qs_overall_score,the_teaching_score_2024,0.701760939519329,0.701760939519329
qs_overall_score,qs_employer_reputation_score,0.6990157903664797,0.6990157903664797
the_research_score_2024,the_citations_score_2024,0.6934585143481153,0.6934585143481153
qs_international_students_score,qs_international_faculty_score,0.6860706989087608,0.6860706989087608
the_teaching_score_2024,the_industry_income_score_2024,0.6858428149368836,0.6858428149368836
qs_international_faculty_score,the_international_students_pct_2024,0.6856368114088596,0.6856368114088596
qs_academic_reputation_score,the_overall_score_2024,0.6753016287708988,0.6753016287708988
the_overall_score_2024,the_international_outlook_score_2024,0.6743688002398416,0.6743688002398416
qs_academic_reputation_score,the_teaching_score_2024,0.6711358375311645,0.6711358375311645
qs_faculty_student_score,the_student_staff_ratio_2024,-0.6616685578978297,0.6616685578978297
qs_employer_reputation_score,qs_employment_outcomes_score,0.6599103303327316,0.6599103303327316
qs_academic_reputation_score,qs_employment_outcomes_score,0.65056679004961,0.65056679004961
qs_citations_per_faculty_score,the_teaching_score_2024,0.6504615319437598,0.6504615319437598
qs_citations_per_faculty_score,qs_sustainability_score,0.639809895421931,0.639809895421931
qs_overall_score,qs_sustainability_score,0.6217021912546535,0.6217021912546535
qs_overall_score,qs_employment_outcomes_score,0.621516842902003,0.621516842902003
qs_sustainability_score,the_citations_score_2024,0.6133757164597119,0.6133757164597119
qs_sustainability_score,the_industry_income_score_2024,0.6119774605977576,0.6119774605977576
