indicator,available,missing,mean,median,std
qs_academic_reputation_score,1503,0,20.28669328010645,11.0,22.32616758197736
qs_employer_reputation_score,1503,0,19.78729208250166,9.4,23.784738240203048
qs_faculty_student_score,1503,0,28.128675981370588,16.0,27.613016938349055
qs_citations_per_faculty_score,1503,0,23.50345974717232,9.9,27.870691548823533
qs_international_students_score,1445,58,25.580346020761244,9.6,31.098689102100533
qs_international_faculty_score,1403,100,30.73670705630791,12.5,34.34436519332575
qs_employment_outcomes_score,1503,0,23.825083166999335,11.8,27.351315330516073
qs_sustainability_score,1484,19,24.309299191374663,6.75,31.074717904316987
