education_indicator,sample_size,pearson_correlation,spearman_correlation
Tertiary Enrollment Ratio,1312,0.2279679072275358,0.18300219629510733
Tertiary Graduation Ratio,655,0.12447891178305423,0.1058333283522562
Female Tertiary Students (%),1351,0.10037828069601278,0.06852888862900854
Tertiary Pupil-Teacher Ratio,648,-0.36107117582238885,-0.30518296296826564
Youth Literacy Rate 15-24 (%),249,0.09242120392192602,0.23199159255228355
Tertiary Graduates,866,0.10268419844721115,0.1462967923533347
