country_name,university_count,average_overall_score,average_student_staff_ratio,average_international_students,average_female_percentage
United States,179,48.94717514124294,14.256424581005588,12.960893854748603,52.63128491620112
United Kingdom,163,46.56747572815534,16.719631901840494,30.024539877300615,58.38650306748466
Japan,152,23.19786324786325,13.271052631578948,5.157894736842105,40.453947368421055
India,100,29.3277027027027,16.03,1.99,39.3
Turkey,80,22.345081967213115,24.335,7.0375,48.4
Brazil,73,19.912096774193547,18.457534246575342,1.2191780821917808,53.28767123287671
Iran,59,30.590350877192986,20.54237288135593,2.305084745762712,54.186440677966104
Nigeria,58,25.5125,21.03965517241379,0.15517241379310345,42.39655172413793
Spain,58,31.665454545454548,17.53448275862069,12.551724137931034,54.775862068965516
Italy,56,41.07,26.69464285714286,6.642857142857143,56.035714285714285
Pakistan,55,32.175862068965515,21.412727272727274,1.0363636363636364,42.50909090909091
China,53,30.62264150943396,15.218867924528302,3.6792452830188678,51.698113207547166
Germany,50,52.57142857142857,34.748000000000005,15.64,50.52
Taiwan,46,24.95813953488372,19.543478260869566,7.086956521739131,46.78260869565217
France,46,38.27142857142857,20.608695652173914,22.02173913043478,47.608695652173914
Iraq,45,20.90625,18.57777777777778,0.28888888888888886,50.84444444444444
China (Mainland),41,45.98658536585366,14.319512195121952,5.975609756097561,48.4390243902439
Egypt,40,30.98269230769231,22.5225,2.6,49.225
South Korea,37,34.513513513513516,16.97027027027027,9.756756756756756,48.21621621621622
Australia,37,51.77297297297297,30.278378378378378,30.27027027027027,56.972972972972975
Poland,34,21.85625,14.676470588235293,7.617647058823529,54.911764705882355
Uzbekistan,32,,17.371875,1.75,42.4375
Canada,30,46.84,23.21333333333333,20.5,54.86666666666667
Ukraine,28,25.660000000000004,11.192857142857141,4.535714285714286,48.75
Thailand,28,20.88888888888889,18.767857142857142,1.3928571428571428,62.82142857142857
Colombia,27,21.026666666666664,22.18148148148148,0.9629629629629629,53.0
Mexico,27,16.61818181818182,20.307407407407407,1.7777777777777777,52.22222222222222
Saudi Arabia,27,39.12619047619047,12.807407407407409,10.25925925925926,57.2962962962963
Chile,26,24.039130434782614,19.484615384615385,2.1923076923076925,52.03846153846154
Indonesia,25,18.944444444444443,19.532,2.08,53.92
Algeria,24,17.66923076923077,20.383333333333333,0.6666666666666666,62.75
Malaysia,22,29.045454545454547,13.695454545454545,10.545454545454545,55.54545454545455
Romania,22,18.86,18.95,8.045454545454545,54.95454545454545
Czech Republic,20,22.27777777777778,15.505,17.2,54.65
Greece,18,29.1,36.422222222222224,3.5,52.77777777777778
South Africa,16,35.85333333333334,38.64375,5.5,58.6875
Portugal,16,33.28214285714286,17.58125,16.625,56.3125
Bangladesh,15,27.45,20.146666666666665,1.3333333333333333,34.2
Jordan,14,31.5,20.521428571428572,18.714285714285715,53.57142857142857
Switzerland,14,56.833333333333336,11.485714285714286,39.714285714285715,50.0
Sweden,13,50.68846153846154,13.238461538461538,13.615384615384615,55.84615384615385
Netherlands,13,61.90384615384615,20.423076923076923,26.076923076923077,52.69230769230769
Hungary,13,27.027272727272727,17.13076923076923,13.538461538461538,50.76923076923077
Ecuador,13,17.164285714285715,18.353846153846153,1.3846153846153846,47.92307692307692
Austria,13,44.362500000000004,15.407692307692308,30.384615384615383,49.84615384615385
Morocco,10,22.6125,50.62,1.8,50.9
Belgium,10,52.5,32.88,18.5,55.3
Philippines,10,28.375,19.52,1.5,52.5
Finland,10,46.74,19.169999999999998,7.8,54.4
Ireland,9,45.42777777777778,23.455555555555556,26.88888888888889,54.77777777777778
Tunisia,9,21.1875,15.355555555555554,1.5555555555555556,66.44444444444444
United Arab Emirates,9,45.175000000000004,14.97777777777778,44.55555555555556,59.44444444444444
Israel,8,37.7,18.7625,7.625,54.0
"Iran, Islamic Republic of",8,34.9875,23.175,3.25,43.375
New Zealand,8,44.99375,17.9125,30.75,57.25
Slovakia,8,21.792857142857144,10.975,14.5,53.375
Denmark,7,51.65,13.285714285714286,17.142857142857142,52.42857142857143
Lebanon,7,34.32,12.442857142857141,18.0,53.42857142857143
Unknown,7,45.339999999999996,19.7,21.714285714285715,44.857142857142854
Azerbaijan,6,14.35,12.85,6.5,49.666666666666664
Kazakhstan,6,20.916666666666668,11.116666666666667,5.166666666666667,56.0
Ghana,6,33.35,40.53333333333333,0.5,45.5
Vietnam,6,26.183333333333334,22.883333333333336,0.6666666666666666,51.0
Sri Lanka,6,38.625,23.8,1.0,54.833333333333336
Norway,6,45.725,11.833333333333334,11.166666666666666,57.833333333333336
Peru,6,24.100000000000005,21.166666666666668,0.3333333333333333,58.166666666666664
Lithuania,5,25.55,11.459999999999999,12.8,54.2
Argentina,5,16.683333333333334,20.4,2.0,59.8
Oman,4,36.6,18.175,6.75,52.25
Venezuela,4,14.35,11.425,0.75,56.25
Turkmenistan,4,,11.05,0.75,33.5
Slovenia,4,24.850000000000005,11.875,21.75,59.25
Cyprus,4,40.25,16.925,32.5,56.75
Palestine,4,,30.85,13.0,58.0
Latvia,4,26.0375,27.625,15.0,56.75
Croatia,3,20.916666666666668,16.166666666666668,2.6666666666666665,58.333333333333336
Ethiopia,3,38.625,12.833333333333334,0.0,33.333333333333336
Estonia,3,38.800000000000004,12.733333333333334,11.333333333333334,64.0
Bulgaria,3,17.85,12.466666666666667,16.0,46.666666666666664
Hong Kong SAR,3,58.18333333333334,15.166666666666666,52.0,58.0
Northern Cyprus,3,38.625,28.866666666666664,78.0,43.666666666666664
