missing_indicator_count,university_count,percentage
0,190,5.382436260623229
1,548,15.524079320113316
2,472,13.371104815864024
3,509,14.41926345609065
4,860,24.362606232294617
5,378,10.708215297450426
6,573,16.23229461756374
