wb_region,universities,avg_rank_2023,avg_rank_2024,avg_rank_change,avg_absolute_rank_change
Europe & Central Asia,44,99.5909090909091,93.63636363636364,5.954545454545454,12.272727272727273
North America,43,57.651162790697676,55.51162790697674,2.13953488372093,8.604651162790697
East Asia & Pacific,24,66.16666666666667,65.125,1.0416666666666667,8.708333333333334
Sub-Saharan Africa,1,160.0,167.0,-7.0,7.0
