university_id,university_name,the_rank_2023,the_rank_2023_numeric,the_2023_rank_type
U1607,Stony Brook University,301.0,301.0,Banded
U1608,University of Stuttgart,301.0,301.0,Banded
U1615,University at Buffalo,301.0,301.0,Banded
U1618,University of Essex,301.0,301.0,Banded
U1623,Montpellier University,301.0,301.0,Banded
U1631,The University of Tennessee-Knoxville,301.0,301.0,Banded
U1633,Autonomous University of Madrid,301.0,301.0,Banded
U1635,University of Colorado Denver/Anschutz Medical Campus,301.0,301.0,Banded
U1638,University of Milan-Bicocca,301.0,301.0,Banded
U1642,University of St Gallen,301.0,301.0,Banded
U1646,University of Victoria,301.0,301.0,Banded
U1649,Universiti Brunei Darussalam,301.0,301.0,Banded
U1650,"University of California, Merced",301.0,301.0,Banded
U1678,Saint Louis University,301.0,301.0,Banded
U1680,Taipei Medical University,301.0,301.0,Banded
U1687,Anglia Ruskin University (ARU),301.0,301.0,Banded
U1817,Reykjavík University,301.0,301.0,Banded
U0225,loughborough university,351.0,351.0,Banded
U0252,harbin institute of technology,351.0,351.0,Banded
U0311,north carolina state university,351.0,351.0,Banded
U0352,"city, university of london",351.0,351.0,Banded
U0376,university of turku,351.0,351.0,Banded
U0381,university of kent,351.0,351.0,Banded
U0408,"birkbeck, university of london",351.0,351.0,Banded
U0431,central south university,351.0,351.0,Banded
U0445,james cook university,351.0,351.0,Banded
U0455,university of stirling,351.0,351.0,Banded
U0469,washington state university,351.0,351.0,Banded
U0503,east china normal university,351.0,351.0,Banded
U0506,university of delaware,351.0,351.0,Banded
U0516,ateneo de manila university,351.0,351.0,Banded
U0517,edith cowan university,351.0,351.0,Banded
U0588,shoolini university of biotechnology and management sciences,351.0,351.0,Banded
U0625,charles darwin university,351.0,351.0,Banded
U0641,tulane university,351.0,351.0,Banded
U0673,university of manitoba,351.0,351.0,Banded
U0700,university of brescia,351.0,351.0,Banded
U0753,wake forest university,351.0,351.0,Banded
U0781,verona university,351.0,351.0,Banded
U0940,university of hail,351.0,351.0,Banded
U1041,howard university,351.0,351.0,Banded
U1597,Khalifa University,351.0,351.0,Banded
U1600,University of Malaya,351.0,351.0,Banded
U1614,University of Bremen,351.0,351.0,Banded
U1622,University of Liège,351.0,351.0,Banded
U1626,University of Rome II – Tor Vergata,351.0,351.0,Banded
U1627,"Royal Holloway, University of London",351.0,351.0,Banded
U1629,Swedish University of Agricultural Sciences,351.0,351.0,Banded
U1639,University of Naples Federico II,351.0,351.0,Banded
U1645,University of Texas at Dallas,351.0,351.0,Banded
U1647,"Asia University, Taiwan",351.0,351.0,Banded
U1660,University of Greifswald,351.0,351.0,Banded
U1661,Imam Mohammad Ibn Saud Islamic University,351.0,351.0,Banded
U1662,IMT Atlantique,351.0,351.0,Banded
U1676,Royal Veterinary College,351.0,351.0,Banded
U1684,University of Vaasa,351.0,351.0,Banded
U1686,American University of Beirut,351.0,351.0,Banded
U1702,Leuphana University of Lüneburg,351.0,351.0,Banded
U1716,Rush University,351.0,351.0,Banded
U1741,University of Cape Coast,351.0,351.0,Banded
U1779,Kurdistan University of Medical Sciences,351.0,351.0,Banded
U1787,Mazandaran University of Medical Sciences,351.0,351.0,Banded
U1842,Wroclaw Medical University,351.0,351.0,Banded
U1864,Catholic University of Portugal,351.0,351.0,Banded
U1904,JSS Academy of Higher Education and Research,351.0,351.0,Banded
U3390,Golestan University of Medical Sciences,351.0,351.0,Banded
U3391,University of New Mexico (Main campus),351.0,351.0,Banded
U0162,hanyang university,401.0,401.0,Banded
U0164,complutense university of madrid,401.0,401.0,Banded
U0235,university of waikato,401.0,401.0,Banded
U0244,victoria university of wellington,401.0,401.0,Banded
U0264,norwegian university of science and technology,401.0,401.0,Banded
U0269,tianjin university,401.0,401.0,Banded
U0278,university of porto,401.0,401.0,Banded
U0282,university of strathclyde,401.0,401.0,Banded
U0315,quaid-i-azam university,401.0,401.0,Banded
U0334,université grenoble alpes,401.0,401.0,Banded
U0342,brunel university london,401.0,401.0,Banded
U0343,sharif university of technology,401.0,401.0,Banded
U0363,xiamen university,401.0,401.0,Banded
U0364,york university,401.0,401.0,Banded
U0372,lincoln university,401.0,401.0,Banded
U0374,university of turin,401.0,401.0,Banded
U0375,university of florence,401.0,401.0,Banded
U0382,university of pisa,401.0,401.0,Banded
U0385,south china university of technology,401.0,401.0,Banded
U0393,national and kapodistrian university of athens,401.0,401.0,Banded
U0402,koç university,401.0,401.0,Banded
U0421,dublin city university,401.0,401.0,Banded
U0423,aston university,401.0,401.0,Banded
U0427,leibniz university hannover,401.0,401.0,Banded
U0429,southeast university,401.0,401.0,Banded
U0437,murdoch university,401.0,401.0,Banded
U0449,hunan university,401.0,401.0,Banded
U0451,university of electronic science and technology of china,401.0,401.0,Banded
U0454,university of kansas,401.0,401.0,Banded
U0470,iowa state university,401.0,401.0,Banded
U0474,bangor university,401.0,401.0,Banded
U0494,university of jyväskylä,401.0,401.0,Banded
U0496,duy tan university,401.0,401.0,Banded
U0502,colorado school of mines,401.0,401.0,Banded
U0507,university of trento,401.0,401.0,Banded
U0509,shenzhen university,401.0,401.0,Banded
U0529,university of bayreuth,401.0,401.0,Banded
U0549,university of genoa,401.0,401.0,Banded
U0566,university of connecticut,401.0,401.0,Banded
U0591,university of kwazulu-natal,401.0,401.0,Banded
U0602,illinois institute of technology,401.0,401.0,Banded
U0610,university of crete,401.0,401.0,Banded
U0620,university of klagenfurt,401.0,401.0,Banded
U0643,university of portsmouth,401.0,401.0,Banded
U0665,free university of bozen-bolzano,401.0,401.0,Banded
U0674,university of plymouth,401.0,401.0,Banded
U0702,university of siena,401.0,401.0,Banded
U0721,ton duc thang university,401.0,401.0,Banded
