wb_income_group,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015
High income: OECD,79.52700821808487,47.91663293707859,53.421813797015204,12.458095825371219,99.65568000000002,494975.7075831422
High income: nonOECD,72.89258534300563,34.18468778641496,53.60948737803445,16.116519365310683,99.30320863636362,83203.79207920792
Low income,9.863725105921413,,46.41882324218748,19.37306499481205,81.48196333333333,29462.6
Lower middle income,22.46547444180844,27.981856072915562,47.35339142711661,18.849727293252958,99.72580347826087,3823287.090410959
Upper middle income,54.57748844725263,31.41606410779451,53.28755417052639,17.30017896766408,99.03583598944591,2743666.281505728
,,,,,,
