,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015,qs_overall_score,the_overall_score_2024
wb_tertiary_enrollment_ratio_2015,1.0,0.5917514613557889,0.08149871845835452,-0.38010572744602794,-0.3964756751535966,-0.12252921951389437,0.12383314761953386,0.18300219629510733
wb_tertiary_graduation_ratio_2015,0.5917514613557889,1.0,0.10562841408059143,-0.44337412323647657,0.801949106877978,-0.32483584021234496,0.08406701548748526,0.1058333283522562
wb_female_tertiary_students_pct_2015,0.08149871845835452,0.10562841408059143,1.0,-0.015383237640831326,-0.45609794849616275,-0.4708788523978757,0.08292677239179079,0.06852888862900854
wb_tertiary_pupil_teacher_ratio_2015,-0.38010572744602794,-0.44337412323647657,-0.015383237640831326,1.0,-0.9061459382844652,0.41387753211101963,-0.16594950837742026,-0.3051829629682657
wb_youth_literacy_15_24_pct_2015,-0.3964756751535966,0.801949106877978,-0.45609794849616275,-0.9061459382844652,1.0,0.08316150044414021,-0.06303707168835007,0.23199159255228355
wb_tertiary_graduates_2015,-0.12252921951389437,-0.32483584021234496,-0.4708788523978757,0.41387753211101963,0.08316150044414021,1.0,0.05565158497652193,0.14629679235333473
qs_overall_score,0.12383314761953386,0.08406701548748526,0.08292677239179079,-0.16594950837742026,-0.06303707168835007,0.05565158497652193,1.0,0.8127813619496115
the_overall_score_2024,0.18300219629510733,0.1058333283522562,0.06852888862900854,-0.3051829629682657,0.23199159255228355,0.14629679235333473,0.8127813619496115,1.0
