university_id,university_name,country_name,country_code,country_name_canonical,qs_rank_2025,qs_overall_score,qs_academic_reputation_score,qs_employer_reputation_score,qs_faculty_student_score,qs_citations_per_faculty_score,qs_international_students_score,qs_international_faculty_score,qs_employment_outcomes_score,qs_sustainability_score,qs_present,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024,the24_present,the_rank_2023,the_overall_score_2023,the_teaching_score_2023,the_research_score_2023,the_citations_score_2023,the_industry_income_score_2023,the_international_outlook_score_2023,the_student_staff_ratio_2023,the_international_students_pct_2023,the_female_percentage_2023,the23_present,worldbank_match_key,wb_country_code,wb_country_name,wb_long_name,wb_2alpha_code,wb_region,wb_income_group,worldbank_linked,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015,worldbank_education_2015_linked,rank_difference,absolute_rank_difference
U0023,yale university,United States,US,united states,23.0,85.2,99.9,99.9,100.0,38.6,63.3,91.5,98.5,92.2,True,10.0,94.2,94.0,94.9,97.7,86.5,82.4,5.2,21.0,51.0,True,9.0,91.4,92.6,92.7,97.0,55.0,70.9,5.9,21.0,52.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,13.0,13.0
U0025,university of toronto,Canada,CA,canada,25.0,84.1,99.7,96.9,44.9,50.8,96.1,96.9,98.7,100.0,True,21.0,88.6,77.5,94.1,92.8,96.1,90.7,25.8,27.0,56.0,True,18.0,87.4,77.3,93.3,92.8,65.5,89.7,25.8,26.0,56.0,True,canada,CAN,Canada,Canada,CA,North America,High income: OECD,True,,,,,,,False,4.0,4.0
U0029,mcgill university,Canada,CA,canada,29.0,83.0,94.3,87.6,62.3,57.9,89.6,83.7,98.3,99.1,True,49.0,76.0,62.3,72.3,88.8,76.1,92.5,11.9,29.0,61.0,True,46.0,73.0,62.0,72.4,82.5,43.5,91.0,12.5,30.0,60.0,True,canada,CAN,Canada,Canada,CA,North America,High income: OECD,True,,,,,,,False,-20.0,20.0
U0031,seoul national university,South Korea,KR,south korea,31.0,82.3,98.5,98.6,83.1,71.7,16.9,10.5,100.0,96.0,True,62.0,73.4,74.2,75.3,74.6,100.0,43.7,16.1,13.0,53.0,True,56.0,70.8,75.2,76.2,67.6,96.6,35.9,15.1,10.0,53.0,True,korea,KOR,Korea,Republic of Korea,KR,East Asia & Pacific,High income: OECD,True,93.1791381835938,,40.7566299438477,,,,True,-31.0,31.0
U0032,johns hopkins university,United States,US,united states,32.0,82.1,86.0,62.6,100.0,84.2,95.8,63.7,71.5,61.9,True,15.0,91.1,84.4,92.3,97.2,100.0,84.2,4.1,28.0,56.0,True,15.0,88.3,79.4,91.5,97.0,89.5,75.3,4.7,29.0,53.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,17.0,17.0
U0033,the university of tokyo,Japan,JP,japan,32.0,82.1,100.0,99.8,89.3,57.3,29.7,10.1,99.9,98.3,True,29.0,83.1,93.9,94.2,67.8,100.0,49.7,10.3,15.0,53.0,True,39.0,75.9,88.1,91.4,55.5,86.7,43.3,10.5,15.0,53.0,True,japan,JPN,Japan,Japan,JP,East Asia & Pacific,High income: OECD,True,,,,,,,False,3.0,3.0
U0034,columbia university,United States,US,united states,34.0,82.0,99.6,98.8,100.0,31.7,97.0,41.5,99.9,71.8,True,17.0,90.9,88.6,89.7,97.4,75.2,86.9,5.2,35.0,53.0,True,11.0,89.4,89.4,87.7,97.1,44.8,79.9,4.5,38.0,53.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,17.0,17.0
U0037,monash university,Australia,AU,australia,37.0,81.2,89.2,79.6,9.4,87.6,100.0,100.0,79.4,98.2,True,54.0,75.2,55.3,67.8,94.7,99.7,91.1,43.1,38.0,56.0,True,44.0,73.6,56.9,68.7,90.4,78.4,91.0,42.5,41.0,57.0,True,australia,AUS,Australia,Commonwealth of Australia,AU,East Asia & Pacific,High income: OECD,True,,,,,,,False,-17.0,17.0
U0038,university of british columbia,Canada,CA,canada,38.0,81.0,98.3,94.3,34.5,57.7,72.8,95.5,74.6,99.8,True,41.0,78.0,62.5,76.6,90.5,76.7,95.0,19.4,34.0,55.0,True,40.0,75.7,62.9,73.1,88.8,47.9,94.8,18.9,34.0,55.0,True,canada,CAN,Canada,Canada,CA,North America,High income: OECD,True,,,,,,,False,-3.0,3.0
U0039,fudan university,China (Mainland),CN,china,39.0,80.3,85.7,87.8,79.7,80.7,35.1,88.4,64.4,82.7,True,44.0,77.5,76.5,75.3,83.5,96.0,56.1,12.6,9.0,52.0,True,51.0,72.0,71.8,75.8,74.5,77.3,45.2,11.9,9.0,52.0,True,china,CHN,China,People's Republic of China,CN,East Asia & Pacific,Upper middle income,True,43.3917694091797,25.7051906585693,51.4681091308594,,,11923653.0,True,-5.0,5.0
