wb_region,university_count,average_score,average_rank,best_rank
North America,227,48.53076923076923,247.83653846153845,1.0
East Asia & Pacific,302,43.374,292.47333333333336,8.0
Europe & Central Asia,554,40.61279069767442,305.16279069767444,2.0
Latin America & Caribbean,191,39.77894736842105,310.8421052631579,71.0
,28,38.8875,308.25,68.0
Sub-Saharan Africa,20,35.61666666666667,331.1666666666667,171.0
South Asia,78,33.44210526315789,372.7894736842105,118.0
Middle East & North Africa,103,32.13333333333333,390.72222222222223,101.0
