university_id,university_name,country_name,wb_country_code,wb_region,wb_income_group
U2708,Al-Qalam University College,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2709,Al-Qasim Green University,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2710,Al-Rafidain University College,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2711,Al Safwa University College,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2713,Altoosi University College,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2714,Al Turath University,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2717,American International University – Bangladesh,Bangladesh,BGD,South Asia,Low income
U2737,Arkin University of Creative Arts and Design (ARUCAD),Northern Cyprus,,,
U2743,Asahi University,Japan,JPN,East Asia & Pacific,High income: OECD
U2745,Ashikaga University,Japan,JPN,East Asia & Pacific,High income: OECD
U2746,Ashur University,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2752,Babcock University,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U2760,Bangabandhu Sheikh Mujibur Rahman Agricultural University,Bangladesh,BGD,South Asia,Low income
U2761,Barawa International University,Somalia,SOM,Sub-Saharan Africa,Low income
U2766,Baze University,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U2768,Bells University of Technology,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U2769,University of Benghazi,Libya,LBY,Middle East & North Africa,Upper middle income
U2770,Benson Idahosa University,Nigeria,NGA,Sub-Saharan Africa,Lower middle income
U2772,Bilad Alrafidain University College,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2785,Bukkyo University,Japan,JPN,East Asia & Pacific,High income: OECD
U2791,Catholic University in Erbil,Iraq,IRQ,Middle East & North Africa,Upper middle income
U2796,Cebu Technological University,Philippines,PHL,East Asia & Pacific,Lower middle income
