university_id,university_name,country_name,country_code,country_name_canonical,qs_rank_2025,qs_overall_score,qs_academic_reputation_score,qs_employer_reputation_score,qs_faculty_student_score,qs_citations_per_faculty_score,qs_international_students_score,qs_international_faculty_score,qs_employment_outcomes_score,qs_sustainability_score,qs_present,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024,the24_present,the_rank_2023,the_overall_score_2023,the_teaching_score_2023,the_research_score_2023,the_citations_score_2023,the_industry_income_score_2023,the_international_outlook_score_2023,the_student_staff_ratio_2023,the_international_students_pct_2023,the_female_percentage_2023,the23_present,worldbank_match_key,wb_country_code,wb_country_name,wb_long_name,wb_2alpha_code,wb_region,wb_income_group,worldbank_linked,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015,worldbank_education_2015_linked,score_difference,absolute_score_difference
U0044,university of michigan-ann arbor,United States,US,united states,44.0,79.0,97.9,92.1,80.3,47.6,39.2,65.5,94.5,62.2,True,23.0,87.4,84.7,87.4,95.5,80.7,69.0,8.1,16.0,51.0,True,23.0,82.9,79.3,84.6,93.6,48.7,59.2,8.2,17.0,50.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,-8.400000000000006,8.400000000000006
U0045,shanghai jiao tong university,China (Mainland),CN,china,45.0,77.8,84.0,86.3,58.6,99.6,19.6,23.1,73.5,80.3,True,43.0,77.7,76.6,82.5,75.4,100.0,60.6,12.6,9.0,37.0,True,52.0,71.2,75.3,82.9,59.9,100.0,43.7,11.5,8.0,42.0,True,china,CHN,China,People's Republic of China,CN,East Asia & Pacific,Upper middle income,True,43.3917694091797,25.7051906585693,51.4681091308594,,,11923653.0,True,0.09999999999999432,0.09999999999999432
U0046,institut polytechnique de paris,France,FR,france,46.0,77.5,44.7,99.6,95.9,86.1,98.0,99.1,97.7,54.8,True,71.0,71.3,71.0,61.6,70.8,98.8,97.1,6.8,42.0,25.0,True,95.0,63.6,58.5,58.8,64.8,72.7,95.6,6.7,41.0,24.0,True,france,FRA,France,French Republic,FR,Europe & Central Asia,High income: OECD,True,,47.0227584838867,,,,752068.0,True,6.200000000000003,6.200000000000003
U0047,the hong kong university of science and technology,Hong Kong SAR,HK,hong kong,47.0,77.1,81.1,50.3,56.7,99.7,95.4,100.0,65.4,77.6,True,,73.0,54.0,62.1,92.9,100.0,95.5,19.9,30.0,53.0,True,58.0,70.5,51.4,63.4,87.7,95.0,97.7,21.0,32.0,53.0,True,"hong kong sar, china",HKG,"Hong Kong SAR, China",Hong Kong Special Administrative Region of the People's Republic of China,HK,East Asia & Pacific,High income: nonOECD,True,68.475456237793,,52.449649810791,,,,True,4.099999999999994,4.099999999999994
U0048,zhejiang university,China (Mainland),CN,china,47.0,77.1,75.3,95.4,54.7,99.5,15.9,95.0,55.5,30.7,True,,75.0,70.2,75.3,78.7,99.0,65.5,12.0,16.0,53.0,True,67.0,68.1,67.3,74.8,62.8,100.0,55.1,12.0,16.0,53.0,True,china,CHN,China,People's Republic of China,CN,East Asia & Pacific,Upper middle income,True,43.3917694091797,25.7051906585693,51.4681091308594,,,11923653.0,True,2.0999999999999943,2.0999999999999943
U0049,delft university of technology,Netherlands,NL,netherlands,49.0,77.0,74.4,83.0,39.4,79.7,91.4,100.0,54.8,99.1,True,48.0,76.3,66.7,78.2,76.5,100.0,92.8,15.9,30.0,31.0,True,70.0,67.7,58.8,76.4,59.1,93.4,94.2,16.1,31.0,31.0,True,netherlands,NLD,Netherlands,Kingdom of the Netherlands,NL,Europe & Central Asia,High income: OECD,True,,48.2467498779297,52.307559967041,13.4636602401733,,,True,0.7000000000000028,0.7000000000000028
U0050,kyoto university,Japan,JP,japan,50.0,76.0,98.8,99.0,94.2,39.3,19.0,15.9,72.8,85.2,True,,75.0,85.4,84.3,60.0,100.0,45.7,9.0,11.0,25.0,True,68.0,68.0,77.5,79.1,52.3,88.6,40.5,9.2,12.0,25.0,True,japan,JPN,Japan,Japan,JP,East Asia & Pacific,High income: OECD,True,,,,,,,False,1.0,1.0
U0051,northwestern university,United States,US,united states,50.0,76.0,84.0,68.0,97.6,67.7,52.0,45.4,96.8,55.4,True,28.0,83.2,72.3,78.8,97.8,99.7,75.9,13.1,18.0,52.0,True,26.0,82.1,71.7,80.7,97.5,85.0,67.0,13.2,20.0,51.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,-7.200000000000003,7.200000000000003
U0054,university of bristol,United Kingdom,GB,united kingdom,54.0,75.4,75.8,82.5,36.7,75.9,89.8,87.5,51.2,98.9,True,81.0,69.8,48.7,56.5,97.3,72.3,92.5,14.8,31.0,55.0,True,76.0,66.5,43.8,53.4,98.6,43.5,89.4,14.6,31.0,56.0,True,united kingdom,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Europe & Central Asia,High income: OECD,True,,,,,,740276.0,True,5.6000000000000085,5.6000000000000085
U0055,university of amsterdam,Netherlands,NL,netherlands,55.0,73.7,83.8,52.1,21.4,92.2,87.5,96.0,79.8,38.2,True,61.0,73.6,55.0,63.1,96.7,77.6,93.2,13.2,36.0,60.0,True,60.0,69.6,48.0,64.1,93.3,44.4,91.9,14.5,32.0,59.0,True,netherlands,NLD,Netherlands,Kingdom of the Netherlands,NL,Europe & Central Asia,High income: OECD,True,,48.2467498779297,52.307559967041,13.4636602401733,,,True,0.10000000000000853,0.10000000000000853
U0057,the hong kong polytechnic university,Hong Kong SAR,HK,hong kong,57.0,72.1,68.0,35.6,65.0,94.9,91.9,100.0,64.5,77.4,True,,68.2,45.7,54.1,94.5,87.4,96.3,30.6,30.0,51.0,True,,,,,,,,,,,False,"hong kong sar, china",HKG,"Hong Kong SAR, China",Hong Kong Special Administrative Region of the People's Republic of China,HK,East Asia & Pacific,High income: nonOECD,True,68.475456237793,,52.449649810791,,,,True,3.8999999999999915,3.8999999999999915
U0058,carnegie mellon university,United States,US,united states,58.0,72.0,69.8,80.1,40.9,98.9,99.1,33.7,61.5,24.5,True,24.0,86.3,75.0,84.6,98.9,87.3,85.5,11.9,44.0,44.0,True,28.0,81.1,65.4,81.8,98.7,55.2,80.1,12.9,47.0,44.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,-14.299999999999997,14.299999999999997
U0061,duke university,United States,US,united states,61.0,70.8,86.0,74.7,100.0,35.1,61.0,16.3,85.5,75.0,True,26.0,83.9,79.3,76.1,96.2,100.0,74.8,3.9,18.0,52.0,True,25.0,82.6,78.1,76.2,95.7,99.6,68.0,4.2,24.0,52.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,-13.100000000000009,13.100000000000009
U0062,city university of hong kong,Hong Kong SAR,HK,hong kong,62.0,70.7,60.9,30.8,89.5,100.0,100.0,100.0,37.5,72.9,True,82.0,69.3,52.2,52.4,91.1,100.0,98.7,13.2,67.0,54.0,True,99.0,63.4,47.2,53.0,79.9,76.6,99.6,12.1,62.0,54.0,True,"hong kong sar, china",HKG,"Hong Kong SAR, China",Hong Kong Special Administrative Region of the People's Republic of China,HK,East Asia & Pacific,High income: nonOECD,True,68.475456237793,,52.449649810791,,,,True,1.4000000000000057,1.4000000000000057
U0063,ku leuven,Belgium,BE,belgium,63.0,70.3,84.6,49.6,7.1,91.0,47.7,93.8,75.3,51.2,True,45.0,77.0,60.1,74.9,91.9,100.0,79.6,37.3,19.0,52.0,True,42.0,74.6,59.7,74.9,86.7,99.2,76.8,36.5,18.0,51.0,True,belgium,BEL,Belgium,Kingdom of Belgium,BE,Europe & Central Asia,High income: OECD,True,75.0368270874023,,55.8789100646973,,,,True,-6.700000000000003,6.700000000000003
U0064,sorbonne university,France,FR,france,63.0,70.3,87.2,52.0,43.0,72.3,46.7,33.8,79.7,87.6,True,75.0,70.5,64.7,60.8,83.7,69.5,78.8,14.5,22.0,60.0,True,90.0,64.5,58.7,58.3,76.6,40.0,72.3,13.9,21.0,59.0,True,france,FRA,France,French Republic,FR,Europe & Central Asia,High income: OECD,True,,47.0227584838867,,,,752068.0,True,-0.20000000000000284,0.20000000000000284
U0066,university of texas at austin,United States,US,united states,66.0,69.5,93.5,86.6,8.1,76.7,11.7,6.1,81.7,52.1,True,52.0,75.5,66.0,75.7,91.0,81.4,47.3,16.4,8.0,55.0,True,50.0,72.3,66.2,73.1,87.5,51.3,40.1,17.4,10.0,53.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,-6.0,6.0
U0067,korea university,South Korea,KR,south korea,67.0,69.0,78.2,93.8,73.0,45.0,45.7,15.2,89.0,85.2,True,,57.25,48.6,46.6,72.0,99.7,62.5,16.3,31.0,53.0,True,201.0,52.75,46.8,48.7,61.5,95.3,55.8,15.8,27.0,53.0,True,korea,KOR,Korea,Republic of Korea,KR,East Asia & Pacific,High income: OECD,True,93.1791381835938,,40.7566299438477,,,,True,11.75,11.75
U0068,national taiwan university (ntu),Taiwan,TW,taiwan,68.0,68.7,93.4,92.1,25.5,44.3,27.4,16.7,99.9,90.0,True,,61.9,57.3,54.8,70.8,99.9,51.2,11.1,13.0,41.0,True,187.0,55.2,50.2,55.5,60.1,75.1,47.2,11.4,11.0,42.0,True,taiwan,,,,,,,False,,,,,,,False,6.800000000000004,6.800000000000004
U0070,university of illinois at urbana-champaign,United States,US,united states,69.0,68.2,83.9,75.7,6.4,77.5,56.3,14.0,81.7,65.0,True,42.0,77.9,69.5,81.5,85.2,85.3,64.0,19.6,23.0,51.0,True,48.0,72.7,67.1,78.9,78.1,50.1,56.2,17.4,22.0,48.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,-9.700000000000003,9.700000000000003
U0073,université paris-saclay,France,FR,france,73.0,67.0,60.7,99.1,99.8,35.0,58.6,35.7,70.8,72.6,True,58.0,74.4,70.9,66.1,82.4,92.4,78.6,13.0,24.0,50.0,True,93.0,63.9,56.7,55.2,79.1,54.6,69.7,14.9,19.0,49.0,True,france,FRA,France,French Republic,FR,Europe & Central Asia,High income: OECD,True,,47.0227584838867,,,,752068.0,True,-7.400000000000006,7.400000000000006
U0074,kth royal institute of technology,Sweden,SE,sweden,74.0,65.7,45.2,55.6,62.3,86.1,65.9,92.0,62.4,94.8,True,,66.9,53.5,57.8,81.0,97.7,82.5,15.9,26.0,34.0,True,155.0,57.5,43.5,53.8,68.4,68.1,81.1,16.4,20.0,34.0,True,sweden,SWE,Sweden,Kingdom of Sweden,SE,Europe & Central Asia,High income: OECD,True,62.3007698059082,,59.1986618041992,12.5553598403931,,,True,-1.2000000000000028,1.2000000000000028
U0075,lund university,Sweden,SE,sweden,75.0,65.6,68.3,52.5,55.5,44.6,73.4,97.4,86.5,99.6,True,,66.1,46.7,56.6,86.6,99.8,79.8,12.0,18.0,56.0,True,119.0,61.0,40.5,55.5,81.0,79.5,78.5,11.5,18.0,55.0,True,sweden,SWE,Sweden,Kingdom of Sweden,SE,Europe & Central Asia,High income: OECD,True,62.3007698059082,,59.1986618041992,12.5553598403931,,,True,-0.5,0.5
U0076,university of washington,United States,US,united states,76.0,65.3,81.9,55.5,28.6,78.8,32.8,11.0,68.7,66.5,True,25.0,85.3,78.0,83.5,98.2,77.6,73.2,10.1,16.0,56.0,True,26.0,82.1,71.6,82.8,98.9,53.9,63.0,10.8,18.0,55.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,-20.0,20.0
U0077,the university of western australia,Australia,AU,australia,77.0,65.2,55.5,41.8,13.1,98.8,99.8,100.0,78.0,50.8,True,,62.7,37.7,48.6,88.7,97.2,93.5,22.4,26.0,50.0,True,131.0,59.4,34.9,48.1,85.6,69.2,94.4,21.3,28.0,49.0,True,australia,AUS,Australia,Commonwealth of Australia,AU,East Asia & Pacific,High income: OECD,True,,,,,,,False,2.5,2.5
U0078,university of glasgow,United Kingdom,GB,united kingdom,78.0,65.0,77.4,67.7,38.0,32.5,99.4,95.7,33.5,98.5,True,,68.2,48.1,51.8,96.8,69.7,96.1,14.4,43.0,59.0,True,82.0,65.3,43.3,50.8,96.5,41.9,93.8,13.5,41.0,59.0,True,united kingdom,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Europe & Central Asia,High income: OECD,True,,,,,,740276.0,True,-3.200000000000003,3.200000000000003
U0079,brown university,United States,US,united states,79.0,64.7,59.9,49.6,77.7,76.4,50.9,79.9,63.6,46.6,True,,73.0,69.8,59.6,89.7,69.3,72.1,10.3,19.0,53.0,True,61.0,69.3,64.5,58.0,89.5,39.0,63.3,10.1,21.0,53.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,-8.299999999999997,8.299999999999997
U0080,university of birmingham,United Kingdom,GB,united kingdom,80.0,64.1,68.9,69.0,39.0,40.5,89.3,92.6,44.5,96.8,True,101.0,66.6,46.1,49.3,95.5,72.1,95.1,15.2,32.0,58.0,True,108.0,62.6,40.5,46.2,95.2,42.3,92.2,15.0,34.0,58.0,True,united kingdom,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Europe & Central Asia,High income: OECD,True,,,,,,740276.0,True,-2.5,2.5
U0081,university of southampton,United Kingdom,GB,united kingdom,80.0,64.1,50.1,44.3,40.7,83.4,98.0,92.5,49.2,96.9,True,,66.9,48.9,50.1,92.7,73.1,96.5,13.0,35.0,51.0,True,108.0,62.6,41.4,47.5,92.3,44.1,94.6,13.7,39.0,53.0,True,united kingdom,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Europe & Central Asia,High income: OECD,True,,,,,,740276.0,True,-2.8000000000000114,2.8000000000000114
U0083,university of leeds,United Kingdom,GB,united kingdom,82.0,63.8,70.5,75.9,36.4,39.8,88.5,82.5,50.9,71.8,True,129.0,63.9,46.1,49.1,87.3,68.8,94.6,14.4,32.0,59.0,True,128.0,59.8,46.0,47.8,79.3,40.5,91.8,14.6,36.0,60.0,True,united kingdom,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Europe & Central Asia,High income: OECD,True,,,,,,740276.0,True,-0.10000000000000142,0.10000000000000142
U0086,osaka university,Japan,JP,japan,86.0,63.5,82.4,87.0,45.2,54.9,12.2,23.9,33.0,68.0,True,,60.4,62.5,65.7,50.5,100.0,51.0,10.4,10.0,32.0,True,251.0,50.0,54.3,60.9,31.8,96.4,42.2,10.5,10.0,33.0,True,japan,JPN,Japan,Japan,JP,East Asia & Pacific,High income: OECD,True,,,,,,,False,3.1000000000000014,3.1000000000000014
U0088,university of technology sydney,Australia,AU,australia,88.0,62.4,43.9,55.0,9.8,97.7,86.0,96.6,40.2,96.3,True,148.0,62.3,36.2,43.3,95.9,78.9,94.3,37.4,25.0,50.0,True,133.0,59.3,36.9,42.1,90.5,49.7,96.0,35.1,31.0,50.0,True,australia,AUS,Australia,Commonwealth of Australia,AU,East Asia & Pacific,High income: OECD,True,,,,,,,False,0.10000000000000142,0.10000000000000142
U0089,durham university,United Kingdom,GB,united kingdom,89.0,61.7,59.6,83.9,26.3,40.9,84.9,97.3,39.4,98.6,True,174.0,60.6,43.5,44.5,83.5,65.6,95.8,14.0,32.0,54.0,True,198.0,54.4,40.0,44.6,70.0,39.4,94.3,14.1,35.0,54.0,True,united kingdom,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Europe & Central Asia,High income: OECD,True,,,,,,740276.0,True,1.1000000000000014,1.1000000000000014
U0094,lomonosov moscow state university,Russia,RU,russia,94.0,61.4,78.0,82.3,99.7,4.1,91.5,19.7,95.8,3.5,True,,67.0,87.5,75.2,33.9,91.1,73.8,9.6,37.0,50.0,True,,,,,,,,,,,False,russia,RUS,Russia,Russian Federation,RU,Europe & Central Asia,High income: nonOECD,True,80.3940811157227,,53.433479309082,,,,True,-5.600000000000001,5.600000000000001
