wb_income_group,university_count,average_score,average_rank,best_rank
High income: OECD,1091,43.68924788135593,76.06,1.0
High income: nonOECD,197,32.342700729927,44.2,19.0
,54,30.337234042553188,,
Low income,41,29.144117647058824,,
Upper middle income,797,28.611328125,58.57142857142857,12.0
Lower middle income,491,27.93574297188755,,
