wb_region,university_count,percentage
Europe & Central Asia,1297,36.742209631728045
East Asia & Pacific,588,16.657223796033993
Middle East & North Africa,448,12.691218130311615
Latin America & Caribbean,402,11.388101983002832
North America,317,8.980169971671389
South Asia,290,8.21529745042493
Sub-Saharan Africa,124,3.5127478753541075
,64,1.8130311614730876
