country_name,overlapping_universities,average_qs_rank,average_the_rank,average_rank_difference,median_rank_difference,average_absolute_difference
Canada,3,30.666666666666668,37.0,-6.333333333333333,-3.0,9.0
France,3,60.666666666666664,68.0,-7.333333333333333,-12.0,17.333333333333332
United Kingdom,11,74.0,90.27272727272727,-16.272727272727273,-13.0,23.363636363636363
China (Mainland),6,66.0,40.5,25.5,5.0,27.166666666666668
United States,24,82.83333333333333,46.541666666666664,36.291666666666664,28.5,37.041666666666664
Australia,5,63.2,102.4,-39.2,-42.0,39.2
Netherlands,6,143.0,95.66666666666667,47.333333333333336,56.5,49.333333333333336
