indicator,available,missing,mean,median,std
the_teaching_score_2024,1906,765,29.050996852046172,25.8,13.961323462033915
the_research_score_2024,1906,765,23.411857292759702,17.25,16.69308958546119
the_citations_score_2024,1906,765,52.20745015739769,52.45,25.065820484067725
the_industry_income_score_2024,1906,765,47.051311647429166,41.05,26.14734065780932
the_international_outlook_score_2024,1906,765,49.9310073452256,45.349999999999994,21.83859375389021
the_student_staff_ratio_2024,2671,0,19.133695245226505,16.6,13.454522754719953
the_international_students_pct_2024,2671,0,9.812055409958816,5.0,13.490149712173459
the_female_percentage_2024,2671,0,51.33807562710595,53.0,14.069885999031372
