wb_region,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015
East Asia & Pacific,48.376153635489295,25.42273983202481,51.74086431464144,16.01419845540474,99.09350558139535,5703434.225
Europe & Central Asia,69.38953589501781,48.68136409968765,51.69755890645693,12.55910183839351,99.6621830798479,400938.3392274968
Latin America & Caribbean,60.195388856226074,24.83317189603238,54.8897044022878,14.529008222950791,98.88727187214612,280843.6913580247
Middle East & North Africa,49.41799999817074,29.873581319241936,52.67817001558292,19.995306213843428,99.26152555555556,329221.87086092716
North America,85.7957763671875,,56.2370185852051,,,
South Asia,20.263406644340673,28.04823939005533,46.76585664821942,21.67688244090362,,8118373.074074074
Sub-Saharan Africa,16.036286910374947,,44.27037154303659,26.52815219334192,96.45952047619048,46477.6875
,,,,,,
