wb_region,overlapping_universities,average_qs_rank,average_the_rank,average_rank_difference,average_absolute_difference
East Asia & Pacific,15,62.333333333333336,71.8,-9.466666666666667,30.933333333333334
Europe & Central Asia,31,108.06451612903226,102.83870967741936,5.225806451612903,32.12903225806452
North America,27,77.03703703703704,45.48148148148148,31.555555555555557,33.925925925925924
Sub-Saharan Africa,1,171.0,167.0,4.0,4.0
