education_indicator,sample_size,pearson_correlation,spearman_correlation
Tertiary Enrollment Ratio,401,0.15329572846890885,0.12383314761953387
Tertiary Graduation Ratio,192,0.057250753353173256,0.08406701548748524
Female Tertiary Students (%),423,0.0804708950911677,0.08292677239179079
Tertiary Pupil-Teacher Ratio,189,-0.19424242694554694,-0.16594950837742026
Youth Literacy Rate 15-24 (%),57,0.02986337873891561,-0.06303707168835009
Tertiary Graduates,266,-0.030803110117785887,0.05565158497652192
