university_id,university_name,country_name,country_code,country_name_canonical,qs_rank_2025,qs_overall_score,qs_academic_reputation_score,qs_employer_reputation_score,qs_faculty_student_score,qs_citations_per_faculty_score,qs_international_students_score,qs_international_faculty_score,qs_employment_outcomes_score,qs_sustainability_score,qs_present,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024,the24_present,the_rank_2023,the_overall_score_2023,the_teaching_score_2023,the_research_score_2023,the_citations_score_2023,the_industry_income_score_2023,the_international_outlook_score_2023,the_student_staff_ratio_2023,the_international_students_pct_2023,the_female_percentage_2023,the23_present,worldbank_match_key,wb_country_code,wb_country_name,wb_long_name,wb_2alpha_code,wb_region,wb_income_group,worldbank_linked,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015,worldbank_education_2015_linked,rank_difference,absolute_rank_difference
U0169,ghent university,Belgium,BE,belgium,169.0,50.1,53.2,24.8,78.5,21.5,21.4,79.7,72.9,98.3,True,115.0,65.6,47.2,59.3,85.3,99.7,65.7,37.6,12.0,57.0,True,107.0,62.7,48.6,60.1,77.8,80.0,63.9,35.6,12.0,57.0,True,belgium,BEL,Belgium,Kingdom of Belgium,BE,Europe & Central Asia,High income: OECD,True,75.0368270874023,,55.8789100646973,,,,True,54.0,54.0
U0116,university of wisconsin-madison,United States,US,united states,116.0,57.1,77.7,47.8,74.3,23.7,23.6,35.3,81.6,59.6,True,63.0,73.3,68.5,67.5,85.5,79.8,62.8,9.9,13.0,53.0,True,81.0,65.5,59.7,62.9,78.7,48.4,51.8,10.0,14.0,53.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,53.0,53.0
U0076,university of washington,United States,US,united states,76.0,65.3,81.9,55.5,28.6,78.8,32.8,11.0,68.7,66.5,True,25.0,85.3,78.0,83.5,98.2,77.6,73.2,10.1,16.0,56.0,True,26.0,82.1,71.6,82.8,98.9,53.9,63.0,10.8,18.0,55.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,51.0,51.0
U0125,university of southern california,United States,US,united states,125.0,55.2,50.4,54.5,17.3,58.0,74.1,26.0,92.6,97.7,True,74.0,70.8,59.2,58.8,92.5,74.4,74.3,14.2,24.0,49.0,True,65.0,68.3,58.9,58.6,90.4,43.8,63.7,12.6,22.0,49.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,51.0,51.0
U0233,university of twente,Netherlands,NL,netherlands,233.0,42.7,20.7,32.0,43.3,61.3,90.4,100.0,20.0,13.8,True,184.0,59.7,43.4,46.0,75.1,99.6,93.3,13.9,38.0,37.0,True,251.0,50.0,34.3,46.4,57.2,80.5,94.5,14.7,37.0,37.0,True,netherlands,NLD,Netherlands,Kingdom of the Netherlands,NL,Europe & Central Asia,High income: OECD,True,,48.2467498779297,52.307559967041,13.4636602401733,,,True,49.0,49.0
U0184,university of york,United Kingdom,GB,united kingdom,184.0,48.2,42.9,30.1,43.0,40.1,75.6,87.8,23.5,97.4,True,147.0,62.4,42.4,44.8,90.8,66.9,93.1,16.1,31.0,56.0,True,139.0,58.4,39.3,44.0,85.9,38.4,88.7,14.4,28.0,56.0,True,united kingdom,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,GB,Europe & Central Asia,High income: OECD,True,,,,,,740276.0,True,37.0,37.0
U0154,texas a&m university,United States,US,united states,154.0,51.8,61.2,66.0,4.4,64.3,12.1,21.9,44.4,39.5,True,118.0,65.3,55.2,62.1,77.3,76.4,64.1,20.5,6.0,47.0,True,181.0,55.8,50.2,54.8,63.2,45.1,56.0,21.3,8.0,47.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,36.0,36.0
U0061,duke university,United States,US,united states,61.0,70.8,86.0,74.7,100.0,35.1,61.0,16.3,85.5,75.0,True,26.0,83.9,79.3,76.1,96.2,100.0,74.8,3.9,18.0,52.0,True,25.0,82.6,78.1,76.2,95.7,99.6,68.0,4.2,24.0,52.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,35.0,35.0
U0058,carnegie mellon university,United States,US,united states,58.0,72.0,69.8,80.1,40.9,98.9,99.1,33.7,61.5,24.5,True,24.0,86.3,75.0,84.6,98.9,87.3,85.5,11.9,44.0,44.0,True,28.0,81.1,65.4,81.8,98.7,55.2,80.1,12.9,47.0,44.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,34.0,34.0
U0112,boston university,United States,US,united states,108.0,58.6,61.9,69.1,38.3,41.3,88.9,34.3,77.2,65.9,True,78.0,70.1,59.6,54.1,94.3,76.4,74.1,10.8,29.0,58.0,True,71.0,67.5,55.9,56.1,92.9,41.1,65.9,10.8,31.0,59.0,True,united states,USA,United States,United States of America,US,North America,High income: OECD,True,85.7957763671875,,56.2370185852051,,,,True,30.0,30.0
