wb_income_group,university_count,percentage
High income: OECD,1455,41.21813031161473
Upper middle income,1099,31.13314447592068
Lower middle income,608,17.223796033994336
High income: nonOECD,253,7.167138810198301
,64,1.8130311614730876
Low income,51,1.4447592067988668
