indicator,count,mean,median,std,min,max,q25,q75
Tertiary Enrollment Ratio,2344,58.51664695947243,62.3007698059082,25.70607408347319,6.3905200958252,94.7322998046875,36.9222793579102,85.7957763671875
Tertiary Graduation Ratio,1086,36.532330388302725,32.0686416625977,13.03734744244036,3.57979011535645,67.1917724609375,26.9894104003906,47.6031112670898
Female Tertiary Students (%),2427,52.098577341426285,53.1438102722167,5.212978918187029,37.5186805725098,65.976463317871,47.9433212280273,56.2370185852051
Tertiary Pupil-Teacher Ratio,1302,16.4012097385805,15.3640804290771,5.944141491463997,4.59683990478516,64.4064178466797,10.7137098312378,21.5390300750732
Youth Literacy Rate 15-24 (%),607,99.17935018121909,99.49439,1.418194939500986,72.93561,100.0,98.94471,99.65568
Tertiary Graduates,1627,2059122.6445192455,438616.0,3735327.572692783,107.0,11923653.0,133478.0,752068.0
