education_indicator,sample_size,pearson_correlation,spearman_correlation
Tertiary Enrollment Ratio,401,-0.14783365125484998,-0.12383314761953387
Tertiary Graduation Ratio,192,-0.08669969042190054,-0.08406701548748524
Female Tertiary Students (%),423,-0.09005793733729052,-0.08292677239179079
Tertiary Pupil-Teacher Ratio,189,0.18656689972056184,0.16594950837742026
Youth Literacy Rate 15-24 (%),57,0.029686469973286233,0.06303707168835009
Tertiary Graduates,266,0.0391903962461221,-0.05565158497652192
