RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,Overall_Score,source,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,website_url,University Rank,Name of University,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,501–600,University of the Sunshine Coast,41.9–45.3,5880.0,20.9,1310.0,27.7,522.0,70.2,556.0,37.3,1038.0,69.1,419.0,master_account,0.0,/world-university-rankings/university-sunshine-coast,131394.0,Australia,"11,542",29.8,13%,69 : 31,University of the Sunshine Coast USC,"Art, Performing Arts & Design,Other Health,Mathematics & Statistics,Business & Management,General Engineering,Geography,Medicine & Dentistry,Veterinary Science,Law,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Psychology,Computer Science,Sociology,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Communication & Media Studies,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Economics & Econometrics,History, Philosophy & Theology,Sport Science,Accounting & Finance,Electrical & Electronic Engineering,Education",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,501–600,University of Tabriz,41.9–45.3,5890.0,26.7,896.0,23.4,673.0,80.1,319.0,43.1,920.0,40.8,1091.0,master_account,0.0,/world-university-rankings/university-tabriz,624351.0,Iran,"20,177",26.7,4%,52 : 48,University of Tabriz,"Medicine & Dentistry,Veterinary Science,Business & Management,Languages, Literature & Linguistics,Civil Engineering,Sociology,General Engineering,Physics & Astronomy,Communication & Media Studies,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Archaeology,Biological Sciences,Economics & Econometrics,History, Philosophy & Theology,Chemical Engineering,Geography,Electrical & Electronic Engineering,Chemistry,Law,Architecture,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Other Health,Sport Science,Psychology,Computer Science,Mathematics & Statistics,Education",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,501–600,Tabriz University of Medical Sciences,41.9–45.3,5900.0,43.0,239.0,15.1,1117.0,73.1,479.0,29.9,1186.0,30.2,1492.0,master_account,0.0,/world-university-rankings/tabriz-university-medical-sciences,624729.0,Iran,"8,065",9.3,2%,54 : 46,Tabriz University of Medical Sciences,"Medicine & Dentistry,Other Health",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,501–600,Taif University,41.9–45.3,5910.0,18.3,1532.0,17.8,931.0,84.1,234.0,20.9,1488.0,75.6,321.0,master_account,0.0,/world-university-rankings/taif-university,623286.0,Saudi Arabia,"36,059",19.4,3%,55 : 45,Taif University,"Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Physics & Astronomy,Accounting & Finance,Languages, Literature & Linguistics,Other Health,Chemistry,Business & Management,Electrical & Electronic Engineering,Education,History, Philosophy & Theology,General Engineering,Sport Science,Economics & Econometrics,Agriculture & Forestry,Communication & Media Studies,Mechanical & Aerospace Engineering,Mathematics & Statistics,Art, Performing Arts & Design,Archaeology,Biological Sciences,Sociology,Chemical Engineering,Law,Medicine & Dentistry,Veterinary Science,Psychology",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,501–600,The University of Texas at San Antonio,41.9–45.3,5920.0,21.0,1303.0,22.5,712.0,79.2,341.0,63.6,576.0,42.8,1024.0,public,0.0,/world-university-rankings/university-texas-san-antonio,761.0,United States,"28,469",26.4,3%,52 : 48,The University of Texas at San Antonio,"Chemical Engineering,Sociology,Other Health,Physics & Astronomy,Education,Computer Science,Communication & Media Studies,Architecture,Civil Engineering,Chemistry,Languages, Literature & Linguistics,Agriculture & Forestry,Law,Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Geography,General Engineering,Sport Science,Psychology,Biological Sciences,Politics & International Studies (incl Development Studies),Accounting & Finance,Art, Performing Arts & Design,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-33715825,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,501–600,Tomsk State University,41.9–45.3,5930.0,49.2,140.0,40.0,250.0,31.8,1405.0,53.8,740.0,79.1,263.0,master_account,0.0,/world-university-rankings/tomsk-state-university,131772.0,Russian Federation,"7,930",11.6,37%,,Tomsk State University,"Sociology,Education,Sport Science,Business & Management,Medicine & Dentistry,Civil Engineering,Communication & Media Studies,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Accounting & Finance,Mechanical & Aerospace Engineering,Computer Science,Physics & Astronomy,General Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Chemistry,Law,Biological Sciences,History, Philosophy & Theology,Archaeology,Art, Performing Arts & Design,Economics & Econometrics,Electrical & Electronic Engineering,Other Health,Languages, Literature & Linguistics,Chemical Engineering,Geography,Agriculture & Forestry",False,False,True,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,501–600,University of Trieste,41.9–45.3,5940.0,31.9,593.0,25.1,608.0,74.2,462.0,52.3,763.0,52.0,739.0,master_account,0.0,/world-university-rankings/university-trieste,713.0,Italy,"17,196",26.0,7%,57 : 43,University of Trieste,"General Engineering,Geography,History, Philosophy & Theology,Chemical Engineering,Law,Languages, Literature & Linguistics,Computer Science,Mathematics & Statistics,Architecture,Geology, Environmental, Earth & Marine Sciences,Business & Management,Medicine & Dentistry,Biological Sciences,Education,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Accounting & Finance,Mechanical & Aerospace Engineering,Communication & Media Studies,Archaeology,Chemistry,Economics & Econometrics,Civil Engineering,Sociology,Other Health,Physics & Astronomy,Psychology",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,501–600,TU Braunschweig,41.9–45.3,5950.0,34.5,478.0,24.0,655.0,61.5,745.0,77.0,302.0,60.6,573.0,master_account,0.0,/world-university-rankings/tu-braunschweig,624315.0,Germany,"18,384",19.6,18%,41 : 59,TU Braunschweig,"Agriculture & Forestry,Psychology,History, Philosophy & Theology,Chemistry,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Sport Science,Accounting & Finance,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Computer Science,Sociology,Economics & Econometrics,Mathematics & Statistics,Civil Engineering,Business & Management,Architecture,Other Health,Education,Chemical Engineering,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,General Engineering,Communication & Media Studies,Mechanical & Aerospace Engineering",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,501–600,The University of Tulsa,41.9–45.3,5960.0,36.1,423.0,17.2,958.0,71.9,513.0,52.9,755.0,44.6,972.0,private,0.0,/world-university-rankings/university-tulsa,131482.0,United States,"4,110",10.8,9%,49 : 51,The University of Tulsa,"Communication & Media Studies,Accounting & Finance,Chemical Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Sociology,Other Health,Sport Science,Economics & Econometrics,Mechanical & Aerospace Engineering,Law,Psychology,Computer Science,Mathematics & Statistics,General Engineering,Biological Sciences,Education,Electrical & Electronic Engineering,Chemistry,History, Philosophy & Theology,Physics & Astronomy,Business & Management",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-38579964,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,501–600,UiT The Arctic University of Norway,41.9–45.3,5970.0,27.7,827.0,22.1,726.0,68.8,588.0,54.0,739.0,65.6,474.0,master_account,0.0,/world-university-rankings/uit-arctic-university-norway,764.0,Norway,"15,114",10.6,8%,57 : 43,UiT The Arctic University of Norway,"Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Architecture,Agriculture & Forestry,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Physics & Astronomy,Business & Management,Medicine & Dentistry,Sport Science,Psychology,Other Health,Biological Sciences,Geography,Computer Science,Mathematics & Statistics,Education,General Engineering,Veterinary Science,Law,Languages, Literature & Linguistics,Chemical Engineering,Communication & Media Studies,Accounting & Finance,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Chemistry,Archaeology,Civil Engineering,Sociology",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,501–600,University of Ulsan,41.9–45.3,5980.0,29.4,729.0,26.6,553.0,69.0,580.0,86.6,191.0,25.2,1698.0,master_account,0.0,/world-university-rankings/university-ulsan,128781.0,South Korea,"12,223",10.8,4%,48 : 52,University of Ulsan,"Languages, Literature & Linguistics,Sociology,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Education,Electrical & Electronic Engineering,Economics & Econometrics,Chemistry,Geology, Environmental, Earth & Marine Sciences,Other Health,Accounting & Finance,Architecture,Mathematics & Statistics,Art, Performing Arts & Design,General Engineering,Mechanical & Aerospace Engineering,Chemical Engineering,Biological Sciences,Physics & Astronomy,Medicine & Dentistry,Business & Management,Sport Science,Computer Science,Civil Engineering,Law",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,501–600,University of Valencia,41.9–45.3,5990.0,28.9,751.0,25.6,590.0,75.7,426.0,58.2,676.0,49.2,824.0,master_account,0.0,/world-university-rankings/university-valencia,809.0,Spain,"49,165",13.7,9%,60 : 40,University of Valencia,"Agriculture & Forestry,Geography,Other Health,Sport Science,Economics & Econometrics,History, Philosophy & Theology,Chemistry,Psychology,Languages, Literature & Linguistics,Physics & Astronomy,Chemical Engineering,Education,Computer Science,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Medicine & Dentistry,Mathematics & Statistics,Law,Art, Performing Arts & Design,Biological Sciences,Sociology,Architecture,Communication & Media Studies,Accounting & Finance",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,501–600,Wayne State University,41.9–45.3,6000.0,36.4,417.0,20.4,795.0,70.2,557.0,79.3,273.0,41.8,1062.0,public,0.0,/world-university-rankings/wayne-state-university,738.0,United States,"22,523",13.0,5%,61 : 39,Wayne State University,"Electrical & Electronic Engineering,Communication & Media Studies,History, Philosophy & Theology,Agriculture & Forestry,Law,Languages, Literature & Linguistics,Biological Sciences,Education,Medicine & Dentistry,Physics & Astronomy,Business & Management,Computer Science,Sociology,Mechanical & Aerospace Engineering,Chemistry,Other Health,Sport Science,Psychology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Art, Performing Arts & Design,Chemical Engineering,Mathematics & Statistics,Architecture,General Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-27884402,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,501–600,University of the West of England,41.9–45.3,6010.0,19.5,1426.0,15.0,1128.0,82.6,269.0,30.2,1178.0,78.6,277.0,master_account,0.0,/world-university-rankings/university-west-england,131439.0,United Kingdom,"26,890",15.9,25%,52 : 48,University of the West of England,"History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Accounting & Finance,Art, Performing Arts & Design,Mathematics & Statistics,Psychology,Mechanical & Aerospace Engineering,Law,Biological Sciences,Education,Other Health,Geology, Environmental, Earth & Marine Sciences,Business & Management,Architecture,Communication & Media Studies,Computer Science,Geography,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Civil Engineering,Economics & Econometrics,General Engineering,Sociology",False,False,False,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-28947501,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,501–600,University of Windsor,41.9–45.3,6020.0,28.7,761.0,29.8,478.0,56.7,854.0,60.7,630.0,90.8,120.0,master_account,0.0,/world-university-rankings/university-windsor,589268.0,Canada,"14,849",34.1,35%,,University of Windsor,"Civil Engineering,Art, Performing Arts & Design,History, Philosophy & Theology,Computer Science,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Sociology,Languages, Literature & Linguistics,Sport Science,Business & Management,Other Health,Economics & Econometrics,Chemistry,Architecture,General Engineering,Agriculture & Forestry,Law,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Communication & Media Studies,Education,Electrical & Electronic Engineering,Accounting & Finance,Psychology,Physics & Astronomy",False,False,False,https://www.timeshighereducation.com/student/register-interest/applyboard?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-88327862,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,501–600,University of Wuppertal,41.9–45.3,6030.0,29.8,702.0,29.8,479.0,67.3,616.0,64.6,556.0,55.0,676.0,master_account,0.0,/world-university-rankings/university-wuppertal,632082.0,Germany,"14,699",35.4,10%,54 : 46,University of Wuppertal,"Business & Management,Civil Engineering,Education,History, Philosophy & Theology,Computer Science,Physics & Astronomy,General Engineering,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Psychology,Electrical & Electronic Engineering,Sociology,Architecture,Biological Sciences,Politics & International Studies (incl Development Studies),Accounting & Finance,Geography,Chemistry,Mathematics & Statistics,Sport Science,Economics & Econometrics,Languages, Literature & Linguistics",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,501–600,Yangzhou University,41.9–45.3,6040.0,32.8,556.0,24.6,627.0,64.9,675.0,66.7,513.0,54.0,694.0,master_account,0.0,/world-university-rankings/yangzhou-university,624264.0,China,"29,221",12.5,13%,63 : 37,Yangzhou University,"Agriculture & Forestry,Education,Art, Performing Arts & Design,Biological Sciences,Mathematics & Statistics,Business & Management,History, Philosophy & Theology,General Engineering,Law,Architecture,Veterinary Science,Accounting & Finance,Electrical & Electronic Engineering,Chemistry,Medicine & Dentistry,Physics & Astronomy,Languages, Literature & Linguistics,Computer Science,Sport Science,Psychology,Other Health,Sociology,Chemical Engineering,Communication & Media Studies,Economics & Econometrics,Civil Engineering,Politics & International Studies (incl Development Studies)",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,601–800,Abdul Wali Khan University Mardan,37.0–41.8,6050.0,18.4,1512.0,12.6,1343.0,80.4,313.0,21.8,1446.0,49.0,826.0,master_account,0.0,/world-university-rankings/abdul-wali-khan-university-mardan,693130.0,Pakistan,"11,681",22.8,0%,26 : 74,Abdul Wali Khan University Mardan,"Sport Science,Geology, Environmental, Earth & Marine Sciences,Education,Psychology,Agriculture & Forestry,Biological Sciences,Business & Management,Mathematics & Statistics,Other Health,Veterinary Science,History, Philosophy & Theology,Computer Science,Languages, Literature & Linguistics,Chemistry,Archaeology,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Physics & Astronomy,Law,Economics & Econometrics,Accounting & Finance,Communication & Media Studies,Architecture,Sociology",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,601–800,Air University,37.0–41.8,6060.0,24.2,1065.0,12.5,1356.0,81.5,292.0,39.5,993.0,48.7,839.0,master_account,0.0,/world-university-rankings/air-university,688825.0,Pakistan,"7,806",12.8,0%,34 : 66,Air University,"Education,Languages, Literature & Linguistics,Mathematics & Statistics,Economics & Econometrics,Psychology,Accounting & Finance,Other Health,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Business & Management,Electrical & Electronic Engineering,Physics & Astronomy,General Engineering,Computer Science",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,601–800,The University of Aizu,37.0–41.8,6070.0,26.6,898.0,13.8,1220.0,58.6,807.0,63.7,573.0,82.6,212.0,master_account,0.0,/world-university-rankings/university-aizu,609246.0,Japan,"1,221",11.5,12%,11 : 89,The University of Aizu Aizu University UoAizu computer science,Computer Science,False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,601–800,The University of Alabama,37.0–41.8,6080.0,26.0,932.0,21.2,756.0,64.4,683.0,46.6,872.0,39.3,1137.0,public,0.0,/world-university-rankings/university-alabama,591764.0,United States,"34,810",21.6,4%,57 : 43,The University of Alabama,"Civil Engineering,Chemistry,Economics & Econometrics,Accounting & Finance,Biological Sciences,Sport Science,Languages, Literature & Linguistics,Computer Science,Psychology,History, Philosophy & Theology,Chemical Engineering,Business & Management,Electrical & Electronic Engineering,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,General Engineering,Art, Performing Arts & Design,Sociology,Other Health,Geography,Physics & Astronomy,Education,Communication & Media Studies,Mechanical & Aerospace Engineering,Law,Mathematics & Statistics",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-67678632,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,601–800,Alagappa University,37.0–41.8,6090.0,34.8,467.0,12.8,1318.0,64.8,676.0,23.2,1388.0,44.4,974.0,master_account,0.0,/world-university-rankings/alagappa-university,624270.0,India,"5,020",15.8,0%,62 : 38,Alagappa University,"Art, Performing Arts & Design,Economics & Econometrics,Languages, Literature & Linguistics,Sociology,Communication & Media Studies,Geology, Environmental, Earth & Marine Sciences,Business & Management,Biological Sciences,Physics & Astronomy,Computer Science,History, Philosophy & Theology,Mathematics & Statistics,Chemistry,Psychology,Education,Sport Science",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,601–800,Aligarh Muslim University,37.0–41.8,6100.0,41.1,277.0,14.0,1202.0,61.6,740.0,34.3,1104.0,38.2,1180.0,master_account,0.0,/world-university-rankings/aligarh-muslim-university,980.0,India,"20,428",12.0,1%,40 : 60,Aligarh Muslim University,"Geography,Accounting & Finance,Sport Science,Psychology,History, Philosophy & Theology,Chemistry,Biological Sciences,Electrical & Electronic Engineering,Architecture,Politics & International Studies (incl Development Studies),Law,Mechanical & Aerospace Engineering,Chemical Engineering,Languages, Literature & Linguistics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Education,Medicine & Dentistry,Art, Performing Arts & Design,Civil Engineering,Economics & Econometrics,Sociology,Communication & Media Studies,Physics & Astronomy,Business & Management,Mathematics & Statistics,Computer Science,Other Health",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,601–800,Amedeo Avogadro University of Eastern Piedmont,37.0–41.8,6110.0,12.7,1856.0,23.5,668.0,71.3,527.0,47.1,861.0,48.2,858.0,master_account,0.0,/world-university-rankings/amedeo-avogadro-university-eastern-piedmont,622857.0,Italy,"14,981",40.8,7%,61 : 39,Amedeo Avogadro University of Eastern Piedmont,"Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Business & Management,Chemistry,Medicine & Dentistry,Economics & Econometrics,Biological Sciences,Geography,Computer Science,Sociology,Law,Other Health,Accounting & Finance,Languages, Literature & Linguistics,Education",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,601–800,American University,37.0–41.8,6120.0,35.2,454.0,17.1,959.0,57.2,842.0,38.5,1010.0,46.5,914.0,private,0.0,/world-university-rankings/american-university,131636.0,United States,"12,771",12.0,12%,62 : 38,American University,"Law,Other Health,Economics & Econometrics,Computer Science,Accounting & Finance,Medicine & Dentistry,Sociology,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemistry,Physics & Astronomy,Business & Management,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Communication & Media Studies,Mathematics & Statistics,History, Philosophy & Theology,Education,Sport Science,Psychology,Biological Sciences",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-67379501,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,601–800,American University of Sharjah,37.0–41.8,6130.0,24.5,1040.0,26.3,560.0,57.9,824.0,27.9,1236.0,88.6,141.0,master_account,1.0,/world-university-rankings/american-university-sharjah,995.0,United Arab Emirates,"4,737",12.5,74%,54 : 46,American University of Sharjah,"Biological Sciences,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Economics & Econometrics,Chemical Engineering,Psychology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Sociology,Electrical & Electronic Engineering,Chemistry,Mathematics & Statistics,Business & Management,Languages, Literature & Linguistics,Physics & Astronomy,Accounting & Finance,Architecture,Politics & International Studies (incl Development Studies),Computer Science,Communication & Media Studies",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,601–800,University of Arkansas,37.0–41.8,6140.0,27.4,847.0,30.5,453.0,62.6,714.0,67.3,491.0,36.2,1266.0,public,0.0,/world-university-rankings/university-arkansas,131806.0,United States,"25,318",18.6,4%,55 : 45,University of Arkansas,"Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Chemistry,Veterinary Science,Physics & Astronomy,Civil Engineering,Business & Management,General Engineering,Medicine & Dentistry,Other Health,Education,Agriculture & Forestry,Economics & Econometrics,Art, Performing Arts & Design,Computer Science,Accounting & Finance,Psychology,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Sport Science,Geography,Sociology,Architecture,Archaeology,Communication & Media Studies,Chemical Engineering,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Law,Biological Sciences",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-97361274,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,601–800,University of Aveiro,37.0–41.8,6150.0,27.1,866.0,30.2,464.0,57.3,835.0,48.1,836.0,48.6,844.0,master_account,0.0,/world-university-rankings/university-aveiro,769.0,Portugal,"13,563",16.3,11%,54 : 46,University of Aveiro,"Electrical & Electronic Engineering,Sociology,General Engineering,Business & Management,Mathematics & Statistics,Physics & Astronomy,Psychology,Chemical Engineering,Architecture,Biological Sciences,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Civil Engineering,Education,Other Health,Economics & Econometrics,Chemistry,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Computer Science,Art, Performing Arts & Design,Languages, Literature & Linguistics",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,601–800,Babol University of Medical Sciences,37.0–41.8,6160.0,41.7,267.0,12.0,1405.0,70.5,551.0,18.0,1662.0,21.0,1840.0,master_account,0.0,/world-university-rankings/babol-university-medical-sciences,625236.0,Iran,"4,135",11.7,0%,57 : 43,Babol University of Medical Sciences,"Biological Sciences,Other Health,Medicine & Dentistry",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,601–800,Banaras Hindu University,37.0–41.8,6170.0,47.2,172.0,16.4,1012.0,66.4,640.0,26.8,1266.0,25.0,1702.0,master_account,0.0,/world-university-rankings/banaras-hindu-university,623298.0,India,"12,620",8.0,3%,43 : 57,Banaras Hindu University,"Other Health,Politics & International Studies (incl Development Studies),Economics & Econometrics,Art, Performing Arts & Design,Chemistry,Medicine & Dentistry,Law,Biological Sciences,Sociology,Archaeology,Communication & Media Studies,Business & Management,Languages, Literature & Linguistics,Physics & Astronomy,Accounting & Finance,Veterinary Science,Education,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Computer Science,Geography,History, Philosophy & Theology,Mathematics & Statistics,Psychology",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,601–800,University of Bari Aldo Moro,37.0–41.8,6180.0,19.8,1386.0,21.8,737.0,78.3,356.0,57.8,685.0,37.5,1216.0,master_account,0.0,/world-university-rankings/university-bari-aldo-moro,818.0,Italy,"30,486",20.0,2%,62 : 38,University of Bari Aldo Moro,"Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Other Health,Mathematics & Statistics,Psychology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Physics & Astronomy,Business & Management,Languages, Literature & Linguistics,Sport Science,Accounting & Finance,Archaeology,Chemistry,Economics & Econometrics,Agriculture & Forestry,Law,Computer Science,Communication & Media Studies,Biological Sciences,Sociology,Veterinary Science,Education",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,601–800,University of the Basque Country,37.0–41.8,6190.0,27.0,873.0,23.9,656.0,65.8,652.0,65.5,536.0,46.2,921.0,master_account,0.0,/world-university-rankings/university-basque-country,131556.0,Spain,"38,301",13.8,5%,55 : 45,University of the Basque Country,"Business & Management,Other Health,Computer Science,Archaeology,Accounting & Finance,Languages, Literature & Linguistics,Civil Engineering,Geography,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Physics & Astronomy,Art, Performing Arts & Design,Economics & Econometrics,History, Philosophy & Theology,Mathematics & Statistics,Biological Sciences,Education,Communication & Media Studies,Chemical Engineering,Law,Sociology,General Engineering,Architecture,Sport Science,Medicine & Dentistry,Psychology,Geology, Environmental, Earth & Marine Sciences,Chemistry",False,False,False,,,,,,,,,,,,,
