RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,Overall_Score,source,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,website_url,University Rank,Name of University,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Universidade Federal de Sergipe,9.7–22.7,16200.0,17.0,1622.0,10.4,1599.0,36.4,1293.0,18.1,1658.0,28.1,1571.0,master_account,0.0,/world-university-rankings/universidade-federal-de-sergipe-0,625488.0,Brazil,"26,133",16.0,0%,52 : 48,Universidade Federal de Sergipe,"Sociology,Geography,Medicine & Dentistry,Sport Science,Politics & International Studies (incl Development Studies),Business & Management,Mathematics & Statistics,Chemistry,Education,Archaeology,Civil Engineering,History, Philosophy & Theology,Accounting & Finance,General Engineering,Computer Science,Law,Psychology,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Agriculture & Forestry,Chemical Engineering,Physics & Astronomy,Economics & Econometrics,Communication & Media Studies,Veterinary Science,Architecture,Biological Sciences,Mechanical & Aerospace Engineering,Other Health,Languages, Literature & Linguistics,Art, Performing Arts & Design",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Fluminense Federal University,9.7–22.7,16210.0,21.0,1298.0,13.1,1290.0,27.8,1495.0,22.5,1417.0,30.8,1469.0,master_account,0.0,/world-university-rankings/universidade-federal-fluminense,131557.0,Brazil,"70,629",20.8,1%,47 : 53,Fluminense Federal University,"Chemistry,Economics & Econometrics,General Engineering,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Sociology,Computer Science,Physics & Astronomy,Chemical Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Languages, Literature & Linguistics,Architecture,Medicine & Dentistry,Education,Sport Science,History, Philosophy & Theology,Art, Performing Arts & Design,Biological Sciences,Communication & Media Studies,Law,Other Health,Mechanical & Aerospace Engineering,Veterinary Science,Geography,Agriculture & Forestry,Psychology,Mathematics & Statistics,Business & Management",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,University of Fortaleza (UNIFOR),9.7–22.7,16220.0,14.3,1785.0,9.4,1729.0,33.6,1360.0,16.9,1762.0,37.8,1204.0,master_account,0.0,/world-university-rankings/university-fortaleza-unifor,639098.0,Brazil,"21,048",20.3,0%,51 : 49,University of Fortaleza (UNIFOR),"Art, Performing Arts & Design,Medicine & Dentistry,Psychology,Accounting & Finance,Economics & Econometrics,Law,General Engineering,Electrical & Electronic Engineering,Other Health,Veterinary Science,Civil Engineering,Communication & Media Studies,Sport Science,Architecture,Mechanical & Aerospace Engineering,Computer Science,Business & Management",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Université Frères Mentouri Constantine 1,9.7–22.7,16230.0,20.2,1355.0,8.1,1870.0,13.5,1793.0,18.2,1649.0,38.3,1176.0,master_account,0.0,/world-university-rankings/universite-freres-mentouri-constantine-1,648689.0,Algeria,"32,394",16.2,1%,65 : 35,Université Frères Mentouri Constantine 1,"Mathematics & Statistics,Civil Engineering,Veterinary Science,Electrical & Electronic Engineering,Chemistry,Biological Sciences,Chemical Engineering,General Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Agriculture & Forestry,Law,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Universidad de las Fuerzas Armadas – ESPE,9.7–22.7,16240.0,15.9,1702.0,8.6,1842.0,11.6,1830.0,16.3,1825.0,40.6,1096.0,master_account,0.0,/world-university-rankings/universidad-de-las-fuerzas-armadas-espe,625959.0,Ecuador,"19,314",14.5,1%,39 : 61,Universidad de las Fuerzas Armadas – ESPE,"Civil Engineering,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Biological Sciences,Accounting & Finance,Physics & Astronomy,Education,Chemical Engineering,Business & Management,Electrical & Electronic Engineering,Agriculture & Forestry,Geography,Computer Science,Mechanical & Aerospace Engineering",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,University of Fukui,9.7–22.7,16250.0,26.0,934.0,12.4,1362.0,16.4,1739.0,37.9,1021.0,26.5,1638.0,master_account,0.0,/world-university-rankings/university-fukui,609312.0,Japan,"4,803",7.6,2%,27 : 73,University of Fukui,"Education,Politics & International Studies (incl Development Studies),General Engineering,Civil Engineering,Business & Management,Other Health,Biological Sciences,Languages, Literature & Linguistics,Physics & Astronomy,Accounting & Finance,Sociology,Medicine & Dentistry,Chemistry,Chemical Engineering,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Mathematics & Statistics,Computer Science,Geology, Environmental, Earth & Marine Sciences",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Fukuoka University,9.7–22.7,16260.0,23.5,1108.0,9.7,1685.0,17.9,1716.0,37.1,1042.0,24.4,1725.0,master_account,0.0,/world-university-rankings/fukuoka-university,609522.0,Japan,"19,536",8.7,1%,40 : 60,Fukuoka University,"Other Health,Economics & Econometrics,Law,Chemistry,Sport Science,Psychology,Physics & Astronomy,Mathematics & Statistics,Accounting & Finance,History, Philosophy & Theology,Computer Science,Biological Sciences,Chemical Engineering,Business & Management,Archaeology,Education,General Engineering,Geography,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Communication & Media Studies,Medicine & Dentistry,Civil Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Architecture,Sociology,Electrical & Electronic Engineering",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Université de Gabès,9.7–22.7,16270.0,20.8,1313.0,9.4,1730.0,28.9,1472.0,16.7,1783.0,42.8,1023.0,master_account,0.0,/world-university-rankings/universite-de-gabes-0,709562.0,Tunisia,"12,714",12.4,1%,74 : 26,Université de Gabès,"Other Health,Physics & Astronomy,Languages, Literature & Linguistics,Civil Engineering,Education,Architecture,Law,Agriculture & Forestry,Accounting & Finance,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,History, Philosophy & Theology,Sociology,Art, Performing Arts & Design,Biological Sciences,Business & Management,General Engineering,Chemical Engineering,Electrical & Electronic Engineering,Chemistry,Economics & Econometrics",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Gaziantep University,9.7–22.7,16280.0,15.6,1725.0,10.8,1548.0,33.0,1374.0,20.1,1524.0,39.5,1132.0,master_account,0.0,/world-university-rankings/gaziantep-university,624375.0,Turkey,"31,977",38.1,12%,47 : 53,Gaziantep University,"Other Health,Civil Engineering,Business & Management,History, Philosophy & Theology,Chemistry,Economics & Econometrics,Archaeology,Sociology,Sport Science,Accounting & Finance,Architecture,Geography,Medicine & Dentistry,Biological Sciences,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Communication & Media Studies,Electrical & Electronic Engineering,Law,General Engineering,Education,Languages, Literature & Linguistics,Mathematics & Statistics",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Georgian Technical University,9.7–22.7,16290.0,32.4,573.0,9.3,1745.0,22.2,1632.0,16.1,1847.0,40.8,1087.0,master_account,0.0,/world-university-rankings/georgian-technical-university,716978.0,Georgia,"19,873",15.0,2%,1 : 99,Georgian Technical University,"Archaeology,Chemical Engineering,Electrical & Electronic Engineering,Law,Architecture,Geography,Mechanical & Aerospace Engineering,Computer Science,General Engineering,Business & Management,Sociology,Civil Engineering,Communication & Media Studies,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Chemistry,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Accounting & Finance,Other Health,Biological Sciences,Art, Performing Arts & Design",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,German University in Cairo,9.7–22.7,16300.0,18.6,1490.0,8.7,1826.0,34.0,1348.0,16.8,1772.0,48.6,845.0,master_account,0.0,/world-university-rankings/german-university-cairo,670620.0,Egypt,"12,332",12.8,2%,43 : 57,German University in Cairo,"Biological Sciences,Civil Engineering,Mechanical & Aerospace Engineering,Business & Management,Communication & Media Studies,Computer Science,General Engineering,Architecture,Economics & Econometrics,Electrical & Electronic Engineering,Accounting & Finance,Other Health,Art, Performing Arts & Design,Law",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Gheorghe Asachi Technical University of Iaşi,9.7–22.7,16310.0,15.9,1703.0,9.6,1699.0,23.2,1602.0,26.2,1288.0,32.1,1420.0,master_account,0.0,/world-university-rankings/gheorghe-asachi-technical-university-iasi-0,709502.0,Romania,"13,357",20.8,9%,29 : 71,Gheorghe Asachi Technical University of Iaşi,"Mechanical & Aerospace Engineering,Chemical Engineering,Civil Engineering,Electrical & Electronic Engineering,Architecture,General Engineering",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,GITAM University,9.7–22.7,16320.0,19.6,1412.0,9.3,1746.0,20.8,1660.0,19.0,1589.0,25.2,1695.0,master_account,0.0,/world-university-rankings/gitam-university,625692.0,India,"23,730",13.9,1%,37 : 63,GITAM University,"Languages, Literature & Linguistics,Business & Management,Computer Science,Biological Sciences,Accounting & Finance,Civil Engineering,Physics & Astronomy,Mechanical & Aerospace Engineering,Chemistry,History, Philosophy & Theology,Law,Architecture,Mathematics & Statistics,Economics & Econometrics,Electrical & Electronic Engineering,Communication & Media Studies,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Other Health,Psychology,Sociology",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Goa University,9.7–22.7,16330.0,32.1,584.0,12.4,1363.0,23.0,1610.0,18.6,1619.0,24.1,1734.0,master_account,0.0,/world-university-rankings/goa-university,719220.0,India,"2,820",11.8,3%,65 : 35,Goa University,"Geology, Environmental, Earth & Marine Sciences,Business & Management,Economics & Econometrics,Physics & Astronomy,Mathematics & Statistics,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Other Health,Languages, Literature & Linguistics,Chemistry,Sociology,Computer Science,Accounting & Finance,Biological Sciences",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,Grigore T. Popa University of Medicine and Pharmacy,9.7–22.7,16340.0,22.5,1188.0,10.1,1631.0,18.9,1703.0,22.5,1418.0,42.1,1046.0,master_account,0.0,/world-university-rankings/grigore-t-popa-university-medicine-and-pharmacy,624561.0,Romania,"9,765",10.8,26%,68 : 32,Grigore T. Popa University of Medicine and Pharmacy,"Medicine & Dentistry,General Engineering,Other Health",False,False,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE 2024,1501+,University of Guadalajara,9.7–22.7,16350.0,16.3,1676.0,8.8,1820.0,13.7,1787.0,18.0,1665.0,31.2,1452.0,master_account,6.0,/world-university-rankings/university-guadalajara,131406.0,Mexico,"140,348",19.3,0%,55 : 45,University of Guadalajara Universidad de Guadalajara UdeG UDG,"Other Health,Veterinary Science,Business & Management,Mechanical & Aerospace Engineering,Sociology,Computer Science,Physics & Astronomy,Education,Architecture,Sport Science,Geography,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Languages, Literature & Linguistics,Agriculture & Forestry,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,General Engineering,Chemistry,Medicine & Dentistry,Electrical & Electronic Engineering,Mathematics & Statistics,Psychology,Civil Engineering,Law,Art, Performing Arts & Design,Chemical Engineering,Communication & Media Studies,Accounting & Finance",False,False,False,,,,,,,,,,,,,
