university_id,university_name,country_id,country,region,source,ranking_year,global_rank,normalized_rank,ranking_score,rank_band,overall_score,academic_reputation_score,employer_reputation_score,faculty_student_score,student_staff_ratio,citations_per_faculty_score,citations_score,teaching_score,research_score,industry_income_score,international_outlook_score,international_faculty_score,international_students_score,international_student_percentage,international_research_network_score,employment_outcomes_score,sustainability_score,number_of_students,female_percentage
U0700,gifu university,C055,Japan,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,6.6,2.3,57.9,,7.6,,,,,,4.3,3.3,,20.6,1.8,3.1,,
U0703,glasgow caledonian university,C126,United Kingdom,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.2,5.4,4.3,,6.3,,,,,,30.1,34.9,,37.2,6.8,23.5,,
U0734,gunma university,C055,Japan,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,3.5,1.9,85.8,,4.7,,,,,,4.0,3.2,,8.7,1.9,1.0,,
U0736,guru gobind singh indraprastha university,C047,India,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,4.5,4.4,6.6,,27.7,,,,,,3.7,5.1,,17.3,6.4,2.2,,
U0754,harbin engineering university,C022,China,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.4,2.4,16.5,,28.1,,,,,,2.3,2.2,,32.4,3.8,1.3,,
U0786,hohai university,C022,China,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,4.1,1.5,7.9,,16.5,,,,,,,,,70.7,2.2,2.4,,
U0794,howard university,C127,United States,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,7.0,9.2,38.9,,3.0,,,,,,1.1,4.1,,31.9,18.8,1.1,,
U0808,hungarian university of agriculture and life sciences,C045,Hungary,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,6.0,4.9,30.4,,3.2,,,,,,2.2,29.2,,53.5,3.6,1.3,,
U0867,indiana university purdue university indianapolis,C127,United States,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,7.1,4.5,22.2,,10.0,,,,,,28.8,6.6,,33.6,3.7,6.7,,
U0897,international christian university,C055,Japan,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.2,11.5,19.4,,1.5,,,,,,76.3,4.5,,10.1,12.0,,,
U0902,international islamic university islamabad iiu,C088,Pakistan,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,7.0,10.7,3.5,,8.0,,,,,,4.2,6.1,,50.3,4.3,1.1,,
U0927,islamic university of madinah,C101,Saudi Arabia,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.5,1.9,6.6,,1.5,,,,,,36.3,100.0,,10.3,2.1,1.0,,
U0943,iteso universidad jesuita de guadalajara,C073,Mexico,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,6.3,4.4,72.8,,1.0,,,,,,2.4,1.5,,3.5,1.9,1.0,,
U0980,jiangnan university,C022,China,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,4.4,3.3,20.0,,26.7,,,,,,,,,44.4,1.4,1.2,,
U1011,kagoshima university,C055,Japan,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,6.1,2.9,63.6,,3.5,,,,,,3.8,2.8,,26.6,1.7,1.0,,
U1019,kangwon national university,C109,South Korea,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,4.8,4.7,22.2,,8.2,,,,,,4.7,2.6,,27.6,2.8,34.5,,
U1043,kazakh british technical university,C057,Kazakhstan,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,14.4,28.2,16.1,,1.5,,,,,,6.0,2.5,,13.8,3.4,1.2,,
U1058,kent state university,C127,United States,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.5,2.9,6.2,,12.7,,,,,,19.2,6.6,,57.1,7.6,2.8,,
U1161,kyushu institute of technology,C055,Japan,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,4.6,5.4,9.6,,25.6,,,,,,7.1,3.5,,20.6,1.9,1.1,,
U1185,leeds beckett university,C126,United Kingdom,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,4.5,5.9,3.8,,7.5,,,,,,39.1,27.4,,24.8,8.5,1.5,,
U1206,lobachevsky university,C099,Russia,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,7.9,3.9,41.1,,2.0,,,,,,2.0,22.3,,18.1,3.2,1.3,,
U1207,lodz university of technology,C094,Poland,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.0,3.4,46.2,,8.9,,,,,,3.3,4.0,,50.7,3.2,4.0,,
U1212,london metropolitan university,C126,United Kingdom,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.0,3.0,3.8,,3.3,,,,,,59.5,100.0,,16.1,13.5,1.0,,
U1221,loyola university chicago,C127,United States,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,8.5,17.3,23.2,,7.0,,,,,,6.5,3.0,,39.5,13.2,1.9,,
U1227,lviv polytechnic national university,C124,Ukraine,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,8.4,13.5,28.4,,1.9,,,,,,1.4,1.2,,18.9,15.2,11.5,,
U1264,marmara university,C120,Turkey,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,8.1,11.4,4.4,,2.4,,,,,,2.9,4.2,,45.3,23.9,2.7,,
U1318,mississippi state university,C127,United States,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,6.2,3.6,7.4,,17.4,,,,,,8.9,3.1,,50.6,7.1,4.5,,
U1346,multimedia university mmu,C070,Malaysia,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,11.0,15.4,10.9,,4.7,,,,,,28.5,30.3,,19.6,3.8,3.7,,
U1351,mustansiriyah university,C050,Iraq,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.0,8.4,51.2,,1.3,,,,,,35.7,3.6,,14.0,4.2,1.1,,
U1352,mutah university,C056,Jordan,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,9.1,11.0,11.0,,1.8,,,,,,10.1,32.5,,25.7,7.3,1.6,,
U1353,mykolas romeris university,C065,Lithuania,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,6.2,8.7,13.9,,4.5,,,,,,14.0,35.3,,15.0,47.2,11.8,,
U1371,nanjing normal university,C022,China,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.0,1.8,15.8,,26.8,,,,,,,4.2,,53.3,4.4,2.9,,
U1384,narxoz university,C057,Kazakhstan,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,9.6,7.5,12.9,,1.3,,,,,,14.9,6.2,,1.0,60.3,1.4,,
U1397,national chung cheng university,C116,Taiwan,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,12.5,24.9,14.5,,4.9,,,,,,4.7,3.5,,21.4,2.7,9.9,,
U1427,national technical university kharkiv polytechnic institute,C124,Ukraine,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,6.5,10.6,54.3,,1.3,,,,,,1.7,20.1,,11.4,4.0,1.6,,
U1442,national university of kyiv mohyla academy naukma,C124,Ukraine,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.1,10.6,44.2,,1.2,,,,,,2.1,1.1,,6.3,13.5,1.0,,
U1488,njsc kimep university,C057,Kazakhstan,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.9,14.3,13.8,,4.0,,,,,,75.6,15.7,,2.5,27.6,1.0,,
U1503,northern arizona university,C127,United States,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.8,6.2,5.1,,13.1,,,,,,3.0,3.1,,55.1,4.6,6.4,,
U1512,northwest university china,C022,China,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,4.0,1.4,48.8,,17.2,,,,,,3.5,2.6,,33.9,3.0,1.4,,
U1530,o p jindal global university,C047,India,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,8.8,10.0,53.8,,1.6,,,,,,18.0,1.2,,8.4,3.2,2.3,,
U1543,ohio university,C127,United States,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,8.1,5.5,5.7,,10.5,,,,,,2.4,3.3,,41.4,16.9,2.7,,
U1584,panjab university,C047,India,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,7.8,7.3,6.2,,24.1,,,,,,,1.7,,30.9,31.8,2.4,,
U1594,paul valery university montpellier,C037,France,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,11.8,2.8,2.9,,5.3,,,,,,5.0,32.2,,48.3,2.1,2.8,,
U1654,pontificia universidade catolica de sao paulo,C016,Brazil,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,10.1,14.8,37.6,,1.2,,,,,,3.8,1.2,,1.8,34.1,1.0,,
U1663,poznan university of technology,C094,Poland,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,7.8,6.8,31.6,,6.3,,,,,,2.3,5.7,,44.9,5.2,1.4,,
U1733,rochester institute of technology rit,C127,United States,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,7.2,10.7,19.2,,6.3,,,,,,4.7,16.1,,36.8,9.0,34.5,,
U1756,russian presidential academy of national economy and public administration,C099,Russia,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,4.9,7.6,47.8,,1.1,,,,,,1.8,2.8,,17.7,41.8,1.0,,
U1773,saint petersburg electrotechnical university etu leti,C099,Russia,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.4,3.6,46.4,,1.8,,,,,,4.2,46.3,,14.6,5.6,1.1,,
U1774,saint petersburg mining university,C099,Russia,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,3.6,3.2,64.1,,2.1,,,,,,21.1,29.3,,6.5,8.0,1.1,,
U1786,samara national research university samara university,C099,Russia,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,4.1,2.2,75.4,,2.1,,,,,,2.2,12.3,,17.0,9.1,1.2,,
U1794,san diego state university,C127,United States,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.4,3.0,3.3,,14.3,,,,,,5.2,3.5,,68.7,15.8,9.4,,
U1856,sheffield hallam university,C126,United Kingdom,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,6.7,8.6,9.5,,4.5,,,,,,33.6,33.1,,50.4,8.6,2.2,,
U1861,shinshu university,C055,Japan,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,3.6,3.2,34.9,,11.2,,,,,,5.5,2.6,,24.1,1.8,1.1,,
U1871,siberian federal university sibfu,C099,Russia,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,6.8,4.5,18.9,,3.8,,,,,,46.3,31.6,,32.6,8.0,1.2,,
U1880,silesian university of technology,C094,Poland,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,6.8,3.8,30.3,,7.0,,,,,,2.9,3.3,,63.4,9.5,1.4,,
U1891,slovak university of agriculture in nitra,C105,Slovakia,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,8.5,9.0,25.8,,7.2,,,,,,7.1,4.4,,29.0,4.9,1.0,,
U1892,slovak university of technology in bratislava,C105,Slovakia,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,9.1,9.0,38.8,,3.8,,,,,,2.4,6.5,,48.3,15.0,1.0,,
U1898,sohar university,C087,Oman,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,4.4,5.0,2.2,,9.0,,,,,,100.0,1.7,,9.0,53.7,1.0,,
U1905,soonchunhyang university,C109,South Korea,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.6,4.7,55.2,,5.7,,,,,,5.5,3.9,,11.7,1.8,6.4,,
U1920,southern methodist university,C127,United States,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,4.9,3.6,29.3,,7.2,,,,,,6.8,8.7,,30.2,38.8,2.4,,
U1927,southwest university,C022,China,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,3.0,1.9,13.3,,23.9,,,,,,1.3,1.7,,44.1,10.6,2.3,,
U1935,srm institute of science and technology,C047,India,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,8.6,16.0,13.4,,4.0,,,,,,1.5,1.6,,56.2,1.8,12.7,,
U1968,sumy state university,C124,Ukraine,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.8,5.3,35.1,,2.5,,,,,,3.1,40.5,,28.9,3.8,7.5,,
U1971,sungshin women s university,C109,South Korea,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.6,8.3,81.9,,1.2,,,,,,2.7,4.3,,4.2,1.7,1.0,,
U1985,szechenyi istvan university,C045,Hungary,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,9.2,31.2,25.0,,1.6,,,,,,3.4,6.7,,7.4,3.9,3.5,,
U1989,taibah university,C101,Saudi Arabia,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,6.1,2.1,4.5,,3.6,,,,,,94.4,2.0,,38.6,2.0,1.1,,
U1994,tallinn university,C033,Estonia,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,9.0,4.3,7.9,,5.5,,,,,,43.8,19.4,,49.4,31.0,1.0,,
U2033,technical university of kosice,C105,Slovakia,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,7.5,4.4,19.8,,5.5,,,,,,1.5,56.2,,37.2,4.5,1.0,,
U2052,tecnologico de costa rica tec,C024,Costa Rica,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,8.4,21.0,21.4,,1.4,,,,,,7.0,1.9,,12.4,8.8,1.0,,
U2060,telkom university,C048,Indonesia,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,8.7,12.1,21.3,,1.5,,,,,,35.5,6.5,,10.0,5.7,1.5,,
U2084,the hashemite university,C056,Jordan,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,9.4,14.6,4.2,,3.6,,,,,,7.2,14.6,,39.1,3.6,2.4,,
U2119,the university of northampton,C126,United Kingdom,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,3.2,2.7,5.2,,2.6,,,,,,36.3,96.6,,8.4,4.1,1.0,,
U2124,the university of texas at arlington,C127,United States,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,4.6,5.1,4.5,,9.8,,,,,,1.9,29.6,,61.6,8.1,40.4,,
U2145,tokushima university,C055,Japan,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,4.4,1.8,64.0,,5.6,,,,,,2.5,2.2,,18.4,4.1,1.0,,
U2152,tokyo metropolitan university,C055,Japan,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,12.8,5.5,32.0,,11.4,,,,,,7.3,4.5,,29.5,4.0,1.1,,
U2224,universidad andres bello,C021,Chile,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,12.3,7.4,6.9,,2.3,,,,,,7.1,1.9,,51.2,2.1,4.0,,
U2227,universidad austral de chile,C021,Chile,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,13.9,8.0,3.1,,7.3,,,,,,15.6,1.6,,45.4,3.5,5.6,,
U2228,universidad autonoma chapingo,C073,Mexico,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,3.7,2.5,80.2,,1.4,,,,,,2.6,1.3,,3.8,4.8,1.0,,
U2236,universidad autonoma de nuevo leon,C073,Mexico,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,14.5,8.5,2.3,,1.8,,,,,,2.9,1.1,,35.9,13.4,10.6,,
U2244,universidad autonoma del estado de mexico uaemex,C073,Mexico,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,19.3,8.2,4.6,,1.5,,,,,,3.0,1.3,,16.0,1.8,4.9,,
U2277,universidad de castilla la mancha,C110,Spain,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,7.9,2.1,16.9,,9.7,,,,,,2.1,5.2,,71.6,4.9,8.8,,
U2284,universidad de guadalajara udg,C073,Mexico,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,18.9,7.5,17.1,,1.2,,,,,,2.2,1.1,,47.1,5.8,6.0,,
U2286,universidad de la frontera ufro,C021,Chile,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,10.3,3.0,4.1,,9.3,,,,,,6.0,1.2,,53.3,2.3,1.5,,
U2292,universidad de las americas puebla udlap,C073,Mexico,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,7.9,9.1,44.2,,1.9,,,,,,21.5,7.4,,6.9,3.8,1.0,,
U2297,universidad de lima,C092,Peru,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,9.6,26.2,3.8,,1.2,,,,,,3.2,2.1,,8.7,20.9,1.0,,
U2300,universidad de los andes ula merida,C130,Venezuela,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,14.6,8.5,25.4,,1.2,,,,,,1.3,1.6,,15.5,18.8,1.3,,
U2305,universidad de oviedo,C110,Spain,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,12.5,3.7,20.0,,6.5,,,,,,4.1,1.7,,70.7,8.5,5.1,,
U2310,universidad de puerto rico,C096,Puerto Rico,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,10.2,6.8,14.4,,2.0,,,,,,1.3,1.5,,39.4,62.2,2.3,,
U2317,universidad de talca,C021,Chile,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,10.8,5.6,6.4,,6.2,,,,,,21.4,1.4,,35.7,2.1,1.3,,
U2326,universidad del norte,C023,Colombia,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,9.6,11.9,10.8,,2.9,,,,,,7.7,1.4,,29.6,7.6,21.3,,
U2327,universidad del pacifico,C092,Peru,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,7.0,28.0,3.0,,3.1,,,,,,9.4,2.2,,5.3,16.6,1.5,,
U2332,universidad del valle,C023,Colombia,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,18.1,8.2,7.7,,1.9,,,,,,2.1,1.3,,20.5,21.4,1.7,,
U2335,universidad diego portales udp,C021,Chile,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,14.7,14.9,8.6,,3.7,,,,,,13.1,2.9,,39.6,6.2,2.3,,
U2339,universidad icesi,C023,Colombia,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.7,6.1,78.6,,1.6,,,,,,3.7,2.5,,8.7,9.7,1.0,,
U2361,universidad nacional de cuyo,C004,Argentina,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,12.9,6.1,23.0,,1.6,,,,,,1.8,13.9,,27.4,10.3,8.4,,
U2364,universidad nacional de la asuncion,C091,Paraguay,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,6.1,5.3,31.7,,1.1,,,,,,1.3,1.7,,11.8,69.0,1.1,,
U2371,universidad nacional de san luis,C004,Argentina,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,3.8,1.4,73.8,,1.2,,,,,,,,,9.8,1.2,1.0,,
U2374,universidad nacional del centro de la provincia de buenos aires unicen,C004,Argentina,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.5,2.5,76.8,,1.3,,,,,,,,,13.9,1.3,1.0,,
U2383,universidad peruana cayetano heredia upch,C092,Peru,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,9.5,8.5,45.5,,2.2,,,,,,1.8,1.4,,28.9,3.8,9.8,,
U2393,universidad rey juan carlos,C110,Spain,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,7.9,8.3,7.2,,4.5,,,,,,16.5,12.4,,62.9,7.0,24.0,,
U2398,universidad simon bolivar usb,C130,Venezuela,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,13.7,15.9,14.4,,2.6,,,,,,1.7,1.0,,11.5,11.2,1.0,,
U2404,universidad tecnologica de panama utp,C090,Panama,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,7.8,17.8,27.2,,1.1,,,,,,4.1,3.9,,4.9,6.1,1.1,,
U2407,universidad tecnologica nacional utn,C004,Argentina,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,4.5,14.3,49.7,,1.1,,,,,,,1.5,,11.4,6.7,1.0,,
U2412,universidade da coruna,C110,Spain,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.9,4.8,24.2,,7.3,,,,,,2.9,4.5,,56.1,1.8,23.2,,
U2438,universidade federal de pernambuco ufpe,C016,Brazil,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,11.6,2.4,15.5,,4.1,,,,,,1.5,1.2,,55.1,3.7,1.2,,
U2441,universidade federal de sao carlos ufscar,C016,Brazil,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,11.8,6.4,15.5,,17.8,,,,,,2.6,1.6,,45.5,1.8,2.7,,
U2452,universidade federal do parana ufpr,C016,Brazil,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,13.0,5.8,20.1,,5.2,,,,,,2.9,6.0,,52.6,9.6,2.0,,
U2458,universidade federal fluminense,C016,Brazil,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,9.6,2.5,12.8,,3.6,,,,,,6.3,1.2,,52.2,10.9,13.1,,
U2473,universita degli studi g d annunzio chieti pescara,C053,Italy,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,3.7,1.6,3.3,,29.3,,,,,,3.8,2.8,,58.5,1.2,1.2,,
U2472,universita degli studi di udine,C053,Italy,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,7.1,2.7,11.3,,16.7,,,,,,4.2,3.7,,53.5,1.9,4.3,,
U2475,universita del salento,C053,Italy,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,7.1,1.7,6.9,,21.7,,,,,,1.7,1.5,,65.2,1.6,2.7,,
U2486,universitas hasanuddin,C048,Indonesia,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,14.3,13.0,22.2,,1.3,,,,,,8.8,1.4,,15.9,15.0,1.1,,
U2497,universitas sebelas maret,C048,Indonesia,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,12.9,16.3,16.0,,1.5,,,,,,17.1,2.8,,14.9,2.4,9.3,,
U2504,universitat de lleida,C110,Spain,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,6.0,2.0,19.2,,13.0,,,,,,5.5,9.6,,51.8,3.0,38.5,,
U2525,universitat siegen,C039,Germany,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,4.5,1.7,9.2,,6.8,,,,,,57.7,28.0,,40.0,3.9,1.2,,
U2538,universite de caen normandie,C037,France,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,8.8,2.8,6.6,,6.3,,,,,,8.1,6.2,,74.6,2.1,1.9,,
U2549,universite de poitiers,C037,France,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,7.9,1.7,5.4,,5.2,,,,,,,26.4,,75.3,6.7,2.1,,
U2551,universite de sfax,C119,Tunisia,Africa,QS,2025,1001-1200,1100.5,26.7,1001-1500,,7.0,4.1,44.0,,3.7,,,,,,1.1,3.2,,50.8,10.3,8.0,,
U2554,universite de sousse,C119,Tunisia,Africa,QS,2025,1001-1200,1100.5,26.7,1001-1500,,4.5,1.8,51.1,,1.7,,,,,,1.1,2.2,,37.0,3.9,1.0,,
U2556,universite de toulouse ii le mirail,C037,France,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,9.4,2.7,1.3,,7.1,,,,,,27.2,19.7,,67.0,2.1,1.2,,
U2557,universite de tunis,C119,Tunisia,Africa,QS,2025,1001-1200,1100.5,26.7,1001-1500,,7.2,3.9,19.4,,1.9,,,,,,2.0,1.8,,27.0,48.1,1.0,,
U2570,universite lumiere lyon 2,C037,France,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,10.1,2.5,4.5,,6.2,,,,,,26.7,35.5,,59.1,1.3,1.7,,
U2573,universite mohammed v de rabat,C077,Morocco,Africa,QS,2025,1001-1200,1100.5,26.7,1001-1500,,3.7,3.3,1.5,,4.5,,,,,,3.8,2.6,,77.7,70.1,2.9,,
U2577,universite paris nanterre,C037,France,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,11.4,2.6,3.3,,2.5,,,,,,8.6,1.4,,56.9,29.1,1.6,,
U2597,universiti malaysia sabah ums,C070,Malaysia,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,14.7,8.9,8.5,,3.7,,,,,,10.2,4.7,,28.2,3.8,1.4,,
U2598,universiti malaysia sarawak unimas,C070,Malaysia,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,13.2,7.3,13.1,,3.2,,,,,,34.8,10.5,,28.9,3.7,9.1,,
U2599,universiti malaysia terengganu umt,C070,Malaysia,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,10.5,4.3,12.0,,12.2,,,,,,11.1,12.1,,50.2,3.7,18.2,,
U2617,universiti tun hussein onn university of malaysia uthm,C070,Malaysia,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,10.3,6.2,9.9,,8.6,,,,,,6.3,6.5,,43.8,3.8,10.3,,
U2666,university of arkansas fayetteville,C127,United States,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.8,3.5,6.3,,11.9,,,,,,4.8,3.0,,51.6,15.4,3.8,,
U2785,university of derby,C126,United Kingdom,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,4.8,4.8,10.7,,5.1,,,,,,29.1,45.5,,45.7,2.1,2.4,,
U2787,university of deusto,C110,Spain,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,6.3,24.9,4.6,,7.8,,,,,,4.7,14.5,,24.2,45.0,1.1,,
U2864,university of hradec kralove,C028,Czech Republic,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,5.0,2.5,22.4,,5.4,,,,,,51.4,3.2,,41.3,4.2,1.0,,
U2870,university of ibadan,C083,Nigeria,Africa,QS,2025,1001-1200,1100.5,26.7,1001-1500,,9.9,7.8,5.2,,3.5,,,,,,,,,65.8,69.3,2.2,,
U2872,university of idaho,C127,United States,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,3.1,1.4,9.9,,32.6,,,,,,4.6,5.9,,32.5,3.5,3.4,,
U2882,university of ioannina,C041,Greece,Europe,QS,2025,1001-1200,1100.5,26.7,1001-1500,,7.2,3.8,1.5,,19.5,,,,,,1.7,2.5,,61.3,3.6,2.0,,
U2896,university of karachi,C088,Pakistan,Asia,QS,2025,1001-1200,1100.5,26.7,1001-1500,,11.6,16.1,1.6,,4.9,,,,,,3.5,1.1,,36.8,42.8,1.2,,
U2902,university of khartoum,C112,Sudan,Africa,QS,2025,1001-1200,1100.5,26.7,1001-1500,,6.1,4.0,6.7,,2.6,,,,,,,1.4,,45.0,74.1,1.0,,
U2918,university of lagos,C083,Nigeria,Africa,QS,2025,1001-1200,1100.5,26.7,1001-1500,,8.4,7.5,2.2,,2.6,,,,,,,,,34.0,87.6,1.3,,
U2943,university of louisville,C127,United States,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,3.5,3.2,30.5,,7.7,,,,,,24.8,3.2,,59.0,5.1,2.4,,
U2967,university of massachusetts boston,C127,United States,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,11.0,7.7,9.8,,19.7,,,,,,4.5,14.8,,32.2,2.9,8.4,,
U2991,university of missouri kansas city,C127,United States,Americas,QS,2025,1001-1200,1100.5,26.7,1001-1500,,4.4,4.4,14.3,,16.9,,,,,,4.1,20.0,,29.3,6.6,1.8,,
