university_id,university_name,country_id,country,region,source,ranking_year,global_rank,normalized_rank,ranking_score,rank_band,overall_score,academic_reputation_score,employer_reputation_score,faculty_student_score,student_staff_ratio,citations_per_faculty_score,citations_score,teaching_score,research_score,industry_income_score,international_outlook_score,international_faculty_score,international_students_score,international_student_percentage,international_research_network_score,employment_outcomes_score,sustainability_score,number_of_students,female_percentage
U2127,the university of tokyo,C055,Japan,Asia,QS,2025,32,32.0,97.93,11-50,82.1,100.0,99.8,89.3,,57.3,,,,,,10.1,29.7,,87.4,99.9,98.3,,
U0431,columbia university,C127,United States,Americas,QS,2025,34,34.0,97.8,11-50,82.0,99.6,98.8,100.0,,31.7,,,,,,41.5,97.0,,98.5,99.9,71.8,,
U2116,the university of manchester,C126,United Kingdom,Europe,QS,2025,34,34.0,97.8,11-50,82.0,95.6,98.1,51.3,,45.1,,,,,,93.1,99.2,,99.2,87.6,99.8,,
U2080,the chinese university of hong kong cuhk,C044,Hong Kong,Asia,QS,2025,36,36.0,97.67,11-50,81.3,86.7,53.3,64.2,,92.9,,,,,,100.0,87.5,,74.2,89.0,86.7,,
U1325,monash university,C006,Australia,Oceania,QS,2025,37,37.0,97.6,11-50,81.2,89.2,79.6,9.4,,87.6,,,,,,100.0,100.0,,94.8,79.4,98.2,,
U2711,university of british columbia,C020,Canada,Americas,QS,2025,38,38.0,97.53,11-50,81.0,98.3,94.3,34.5,,57.7,,,,,,95.5,72.8,,96.2,74.6,99.8,,
U0663,fudan university,C022,China,Asia,QS,2025,39,39.0,97.47,11-50,80.3,85.7,87.8,79.7,,80.7,,,,,,88.4,35.1,,67.2,64.4,82.7,,
U1096,king s college london,C126,United Kingdom,Europe,QS,2025,40,40.0,97.4,11-50,80.2,90.3,85.7,64.3,,53.6,,,,,,99.1,99.5,,98.6,59.8,96.2,,
U3091,the university of queensland,C006,Australia,Oceania,QS,2025,40,40.0,97.4,11-50,80.2,86.7,74.0,21.2,,90.2,,,,,,100.0,100.0,,96.7,56.7,96.7,,
U2724,university of california los angeles ucla,C127,United States,Americas,QS,2025,42,42.0,97.27,11-50,79.8,100.0,99.8,35.4,,74.0,,,,,,42.2,22.3,,95.5,94.7,67.1,,
U1472,new york university nyu,C127,United States,Americas,QS,2025,43,43.0,97.2,11-50,79.6,96.3,98.8,90.5,,28.6,,,,,,30.2,98.1,,92.6,98.4,95.4,,
U2980,university of michigan ann arbor,C127,United States,Americas,QS,2025,44,44.0,97.13,11-50,79.0,97.9,92.1,80.3,,47.6,,,,,,65.5,39.2,,95.8,94.5,62.2,,
U1849,shanghai jiao tong university,C022,China,Asia,QS,2025,45,45.0,97.07,11-50,77.8,84.0,86.3,58.6,,99.6,,,,,,23.1,19.6,,73.7,73.5,80.3,,
U0877,institut polytechnique de paris,C037,France,Europe,QS,2025,46,46.0,97.0,11-50,77.5,44.7,99.6,95.9,,86.1,,,,,,99.1,98.0,,89.6,97.7,54.8,,
U2088,the hong kong university of science and technology,C044,Hong Kong,Asia,QS,2025,47,47.0,96.93,11-50,77.1,81.1,50.3,56.7,,99.7,,,,,,100.0,95.4,,46.7,65.4,77.6,,
U3459,zhejiang university,C022,China,Asia,QS,2025,47,47.0,96.93,11-50,77.1,75.3,95.4,54.7,,99.5,,,,,,95.0,15.9,,91.8,55.5,30.7,,
U0480,delft university of technology,C081,Netherlands,Europe,QS,2025,49,49.0,96.8,11-50,77.0,74.4,83.0,39.4,,79.7,,,,,,100.0,91.4,,93.7,54.8,99.1,,
U1155,kyoto university,C055,Japan,Asia,QS,2025,50,50.0,96.73,11-50,76.0,98.8,99.0,94.2,,39.3,,,,,,15.9,19.0,,85.7,72.8,85.2,,
U1514,northwestern university,C127,United States,Americas,QS,2025,50,50.0,96.73,11-50,76.0,84.0,68.0,97.6,,67.7,,,,,,45.4,52.0,,89.4,96.8,55.4,,
U2095,the london school of economics and political science lse,C126,United Kingdom,Europe,QS,2025,50,50.0,96.73,11-50,76.0,67.2,97.0,35.1,,69.4,,,,,,100.0,100.0,,81.2,99.6,91.3,,
U1012,kaist korea advanced institute of science technology,C109,South Korea,Asia,QS,2025,53,53.0,96.53,51-100,75.7,87.7,91.0,60.2,,96.2,,,,,,21.1,10.9,,46.8,63.3,60.3,,
U2710,university of bristol,C126,United Kingdom,Europe,QS,2025,54,54.0,96.47,51-100,75.4,75.8,82.5,36.7,,75.9,,,,,,87.5,89.8,,94.6,51.2,98.9,,
U2658,university of amsterdam,C081,Netherlands,Europe,QS,2025,55,55.0,96.4,51-100,73.7,83.8,52.1,21.4,,92.2,,,,,,96.0,87.5,,96.3,79.8,38.2,,
U3441,yonsei university,C109,South Korea,Asia,QS,2025,56,56.0,96.33,51-100,72.9,81.5,97.0,84.2,,44.1,,,,,,20.7,51.2,,78.7,87.8,88.9,,
U2087,the hong kong polytechnic university,C044,Hong Kong,Asia,QS,2025,57,57.0,96.27,51-100,72.1,68.0,35.6,65.0,,94.9,,,,,,100.0,91.9,,78.9,64.5,77.4,,
U0331,carnegie mellon university,C127,United States,Americas,QS,2025,58,58.0,96.2,51-100,72.0,69.8,80.1,40.9,,98.9,,,,,,33.7,99.1,,79.9,61.5,24.5,,
U1223,ludwig maximilians universitat munchen,C039,Germany,Europe,QS,2025,59,59.0,96.13,51-100,71.6,92.2,86.6,38.5,,50.0,,,,,,75.1,37.6,,95.5,66.9,62.2,,
U2593,universiti malaya um,C070,Malaysia,Asia,QS,2025,60,60.0,96.07,51-100,71.2,82.9,95.1,75.7,,29.1,,,,,,60.2,64.2,,91.8,69.3,83.6,,
U0512,duke university,C127,United States,Americas,QS,2025,61,61.0,96.0,51-100,70.8,86.0,74.7,100.0,,35.1,,,,,,16.3,61.0,,93.3,85.5,75.0,,
U0413,city university of hong kong,C044,Hong Kong,Asia,QS,2025,62,62.0,95.93,51-100,70.7,60.9,30.8,89.5,,100.0,,,,,,100.0,100.0,,62.9,37.5,72.9,,
U1136,ku leuven,C012,Belgium,Europe,QS,2025,63,63.0,95.87,51-100,70.3,84.6,49.6,7.1,,91.0,,,,,,93.8,47.7,,99.5,75.3,51.2,,
U1909,sorbonne university,C037,France,Europe,QS,2025,63,63.0,95.87,51-100,70.3,87.2,52.0,43.0,,72.3,,,,,,33.8,46.7,,99.8,79.7,87.6,,
U2107,the university of auckland,C082,New Zealand,Oceania,QS,2025,65,65.0,95.73,51-100,69.7,82.2,44.7,15.5,,66.9,,,,,,100.0,84.0,,87.4,92.9,99.7,,
U3196,university of texas at austin,C127,United States,Americas,QS,2025,66,66.0,95.67,51-100,69.5,93.5,86.6,8.1,,76.7,,,,,,6.1,11.7,,91.7,81.7,52.1,,
U1130,korea university,C109,South Korea,Asia,QS,2025,67,67.0,95.6,51-100,69.0,78.2,93.8,73.0,,45.0,,,,,,15.2,45.7,,65.7,89.0,85.2,,
U1425,national taiwan university ntu,C116,Taiwan,Asia,QS,2025,68,68.0,95.53,51-100,68.7,93.4,92.1,25.5,,44.3,,,,,,16.7,27.4,,71.5,99.9,90.0,,
U2129,the university of warwick,C126,United Kingdom,Europe,QS,2025,69,69.0,95.47,51-100,68.2,72.2,86.4,35.5,,37.7,,,,,,98.1,99.1,,94.2,65.7,89.7,,
U2875,university of illinois at urbana champaign,C127,United States,Americas,QS,2025,69,69.0,95.47,51-100,68.2,83.9,75.7,6.4,,77.5,,,,,,14.0,56.3,,90.4,81.7,65.0,,
U2273,universidad de buenos aires uba,C004,Argentina,Americas,QS,2025,71,71.0,95.33,51-100,67.6,94.1,94.1,71.7,,1.6,,,,,,63.9,64.6,,73.4,99.8,51.8,,
U2728,university of california san diego ucsd,C127,United States,Americas,QS,2025,72,72.0,95.27,51-100,67.1,89.3,57.8,50.8,,67.0,,,,,,54.6,44.3,,95.5,21.7,44.3,,
U2578,universite paris saclay,C037,France,Europe,QS,2025,73,73.0,95.2,51-100,67.0,60.7,99.1,99.8,,35.0,,,,,,35.7,58.6,,98.6,70.8,72.6,,
U1134,kth royal institute of technology,C113,Sweden,Europe,QS,2025,74,74.0,95.13,51-100,65.7,45.2,55.6,62.3,,86.1,,,,,,92.0,65.9,,91.1,62.4,94.8,,
