country_code,year,indicator,value
USA,2015,tertiary_enrollment_ratio,85.7957763671875
GBR,2015,tertiary_enrollment_ratio,
CHE,2015,tertiary_enrollment_ratio,57.672191619873
SGP,2015,tertiary_enrollment_ratio,
AUS,2015,tertiary_enrollment_ratio,
CHN,2015,tertiary_enrollment_ratio,43.3917694091797
HKG,2015,tertiary_enrollment_ratio,68.475456237793
FRA,2015,tertiary_enrollment_ratio,
CAN,2015,tertiary_enrollment_ratio,
DEU,2015,tertiary_enrollment_ratio,68.2655868530273
KOR,2015,tertiary_enrollment_ratio,93.1791381835938
JPN,2015,tertiary_enrollment_ratio,
NLD,2015,tertiary_enrollment_ratio,
MYS,2015,tertiary_enrollment_ratio,26.074089050293
BEL,2015,tertiary_enrollment_ratio,75.0368270874023
NZL,2015,tertiary_enrollment_ratio,83.9313201904297
ARG,2015,tertiary_enrollment_ratio,
SWE,2015,tertiary_enrollment_ratio,62.3007698059082
IRL,2015,tertiary_enrollment_ratio,83.7777862548828
BRA,2015,tertiary_enrollment_ratio,50.6049194335938
CHL,2015,tertiary_enrollment_ratio,88.577293395996
RUS,2015,tertiary_enrollment_ratio,80.3940811157227
MEX,2015,tertiary_enrollment_ratio,
DNK,2015,tertiary_enrollment_ratio,82.7869720458984
SAU,2015,tertiary_enrollment_ratio,63.066219329834
ITA,2015,tertiary_enrollment_ratio,62.4960708618164
FIN,2015,tertiary_enrollment_ratio,87.2897033691406
IND,2015,tertiary_enrollment_ratio,26.8748798370361
NOR,2015,tertiary_enrollment_ratio,76.6963806152344
QAT,2015,tertiary_enrollment_ratio,14.5180797576904
AUT,2015,tertiary_enrollment_ratio,81.5405120849609
KAZ,2015,tertiary_enrollment_ratio,46.039909362793
ESP,2015,tertiary_enrollment_ratio,89.6701431274414
ZAF,2015,tertiary_enrollment_ratio,
COL,2015,tertiary_enrollment_ratio,55.6572685241699
ARE,2015,tertiary_enrollment_ratio,
IDN,2015,tertiary_enrollment_ratio,24.254940032959
ISR,2015,tertiary_enrollment_ratio,64.7467803955078
THA,2015,tertiary_enrollment_ratio,48.8574409484863
MAC,2015,tertiary_enrollment_ratio,75.5988464355469
CZE,2015,tertiary_enrollment_ratio,64.9667129516602
LBN,2015,tertiary_enrollment_ratio,38.4847717285156
POL,2015,tertiary_enrollment_ratio,
PRT,2015,tertiary_enrollment_ratio,61.8741912841797
TUR,2015,tertiary_enrollment_ratio,94.7322998046875
PAK,2015,tertiary_enrollment_ratio,9.92739009857178
GRC,2015,tertiary_enrollment_ratio,
PHL,2015,tertiary_enrollment_ratio,
IRN,2015,tertiary_enrollment_ratio,71.8811416625977
EGY,2015,tertiary_enrollment_ratio,36.2285385131836
LUX,2015,tertiary_enrollment_ratio,
EST,2015,tertiary_enrollment_ratio,69.5504302978516
PER,2015,tertiary_enrollment_ratio,
OMN,2015,tertiary_enrollment_ratio,
JOR,2015,tertiary_enrollment_ratio,44.8695182800292
BRN,2015,tertiary_enrollment_ratio,30.8447799682617
BLR,2015,tertiary_enrollment_ratio,87.9407424926758
CYP,2015,tertiary_enrollment_ratio,60.1012306213379
LTU,2015,tertiary_enrollment_ratio,
VNM,2015,tertiary_enrollment_ratio,28.8356494903564
CRI,2015,tertiary_enrollment_ratio,53.6296615600586
BHR,2015,tertiary_enrollment_ratio,43.2632293701172
UZB,2015,tertiary_enrollment_ratio,8.78775024414063
ISL,2015,tertiary_enrollment_ratio,
BGD,2015,tertiary_enrollment_ratio,
HUN,2015,tertiary_enrollment_ratio,50.8622016906738
SVN,2015,tertiary_enrollment_ratio,
KWT,2015,tertiary_enrollment_ratio,
HRV,2015,tertiary_enrollment_ratio,69.052490234375
SVK,2015,tertiary_enrollment_ratio,
BGR,2015,tertiary_enrollment_ratio,73.934196472168
URY,2015,tertiary_enrollment_ratio,55.5662689208984
VEN,2015,tertiary_enrollment_ratio,
CUB,2015,tertiary_enrollment_ratio,36.2803993225098
UKR,2015,tertiary_enrollment_ratio,
LVA,2015,tertiary_enrollment_ratio,
SRB,2015,tertiary_enrollment_ratio,58.2876892089844
MLT,2015,tertiary_enrollment_ratio,47.4218711853027
ETH,2015,tertiary_enrollment_ratio,
TUN,2015,tertiary_enrollment_ratio,34.6065788269042
ROU,2015,tertiary_enrollment_ratio,53.2202186584473
GEO,2015,tertiary_enrollment_ratio,43.4195289611816
ECU,2015,tertiary_enrollment_ratio,
IRQ,2015,tertiary_enrollment_ratio,
PSE,2015,tertiary_enrollment_ratio,44.2832183837891
KGZ,2015,tertiary_enrollment_ratio,46.9014511108398
GHA,2015,tertiary_enrollment_ratio,16.2305107116699
UGA,2015,tertiary_enrollment_ratio,
KEN,2015,tertiary_enrollment_ratio,
ARM,2015,tertiary_enrollment_ratio,44.3095016479492
AZE,2015,tertiary_enrollment_ratio,25.4832000732422
LKA,2015,tertiary_enrollment_ratio,19.7966194152832
PRI,2015,tertiary_enrollment_ratio,
PRY,2015,tertiary_enrollment_ratio,
PAN,2015,tertiary_enrollment_ratio,
MAR,2015,tertiary_enrollment_ratio,28.1435794830322
NGA,2015,tertiary_enrollment_ratio,
SDN,2015,tertiary_enrollment_ratio,
BIH,2015,tertiary_enrollment_ratio,
SYR,2015,tertiary_enrollment_ratio,44.0486183166504
DOM,2015,tertiary_enrollment_ratio,50.1163902282715
GTM,2015,tertiary_enrollment_ratio,21.846809387207
BOL,2015,tertiary_enrollment_ratio,
HND,2015,tertiary_enrollment_ratio,22.0593700408936
DZA,2015,tertiary_enrollment_ratio,36.9222793579102
TZA,2015,tertiary_enrollment_ratio,
FJI,2015,tertiary_enrollment_ratio,
JAM,2015,tertiary_enrollment_ratio,27.2202701568604
BWA,2015,tertiary_enrollment_ratio,27.5310897827148
MOZ,2015,tertiary_enrollment_ratio,6.3905200958252
MUS,2015,tertiary_enrollment_ratio,36.6675682067871
NAM,2015,tertiary_enrollment_ratio,
NPL,2015,tertiary_enrollment_ratio,14.9399499893188
ZMB,2015,tertiary_enrollment_ratio,
ZWE,2015,tertiary_enrollment_ratio,8.43327045440674
MNE,2015,tertiary_enrollment_ratio,
XKX,2015,tertiary_enrollment_ratio,
MKD,2015,tertiary_enrollment_ratio,42.0633506774902
SOM,2015,tertiary_enrollment_ratio,
RWA,2015,tertiary_enrollment_ratio,7.8970799446106
YEM,2015,tertiary_enrollment_ratio,
LBY,2015,tertiary_enrollment_ratio,
TCA,2015,tertiary_enrollment_ratio,
TKM,2015,tertiary_enrollment_ratio,
SEN,2015,tertiary_enrollment_ratio,10.3866596221924
MWI,2015,tertiary_enrollment_ratio,
KHM,2015,tertiary_enrollment_ratio,13.0882596969604
AGO,2015,tertiary_enrollment_ratio,9.30801963806152
MDA,2015,tertiary_enrollment_ratio,41.2134819030762
MNG,2015,tertiary_enrollment_ratio,68.5670166015625
ALB,2015,tertiary_enrollment_ratio,58.1099510192871
USA,2015,tertiary_graduation_ratio,
GBR,2015,tertiary_graduation_ratio,
CHE,2015,tertiary_graduation_ratio,51.3324813842773
SGP,2015,tertiary_graduation_ratio,
AUS,2015,tertiary_graduation_ratio,
CHN,2015,tertiary_graduation_ratio,25.7051906585693
HKG,2015,tertiary_graduation_ratio,
FRA,2015,tertiary_graduation_ratio,47.0227584838867
CAN,2015,tertiary_graduation_ratio,
DEU,2015,tertiary_graduation_ratio,
KOR,2015,tertiary_graduation_ratio,
JPN,2015,tertiary_graduation_ratio,
NLD,2015,tertiary_graduation_ratio,48.2467498779297
MYS,2015,tertiary_graduation_ratio,15.1786804199219
BEL,2015,tertiary_graduation_ratio,
NZL,2015,tertiary_graduation_ratio,55.9750099182129
ARG,2015,tertiary_graduation_ratio,
SWE,2015,tertiary_graduation_ratio,
IRL,2015,tertiary_graduation_ratio,
BRA,2015,tertiary_graduation_ratio,
CHL,2015,tertiary_graduation_ratio,
RUS,2015,tertiary_graduation_ratio,
MEX,2015,tertiary_graduation_ratio,
DNK,2015,tertiary_graduation_ratio,
SAU,2015,tertiary_graduation_ratio,28.5307102203369
ITA,2015,tertiary_graduation_ratio,
FIN,2015,tertiary_graduation_ratio,53.0008697509766
IND,2015,tertiary_graduation_ratio,28.7010097503662
NOR,2015,tertiary_graduation_ratio,47.5122604370117
QAT,2015,tertiary_graduation_ratio,3.57979011535645
AUT,2015,tertiary_graduation_ratio,34.8578910827637
