Country Name,Country Code,wb_tertiary_enrollment_ratio_2015,wb_tertiary_graduation_ratio_2015,wb_female_tertiary_students_pct_2015,wb_tertiary_pupil_teacher_ratio_2015,wb_youth_literacy_15_24_pct_2015,wb_tertiary_graduates_2015
Albania,ALB,58.1099510192871,36.8129501342773,56.7119483947754,,,33529.0
Algeria,DZA,36.9222793579102,,60.202449798584,24.0474796295166,,287914.0
Andorra,AND,,,57.6846313476563,4.55455017089844,100.0,47.0
Angola,AGO,9.30801963806152,,44.5065803527832,25.5238990783691,,
Argentina,ARG,,,,,99.3,
Armenia,ARM,44.3095016479492,37.4854888916016,54.2729797363281,6.86901998519897,,
Aruba,ABW,15.2737798690796,,68.3533401489258,13.5581398010254,,142.0
Austria,AUT,81.5405120849609,34.8578910827637,53.2282218933105,6.99524021148682,,83587.0859375
Azerbaijan,AZE,25.4832000732422,,51.7134284973145,9.70718955993652,99.94278,48021.0
Bahrain,BHR,43.2632293701172,,59.589729309082,15.436900138855,,5691.0
Belarus,BLR,87.9407424926758,,55.635440826416,14.5663003921509,,127520.0
Belgium,BEL,75.0368270874023,,55.8789100646973,,,
Belize,BLZ,23.2903499603271,6.77920007705688,61.6678314208984,14.1754999160767,,1699.0
Bermuda,BMU,24.3006992340088,,69.2703018188477,18.711540222168,,114.0
Bolivia,BOL,,,,,99.39917,
Bosnia and Herzegovina,BIH,,,56.0138282775879,11.3218898773193,,20589.0
Botswana,BWA,27.5310897827148,,57.4930305480957,,,15594.0
Brazil,BRA,50.6049194335938,,57.0587997436523,,,
British Virgin Islands,VGB,41.6414909362792,,64.3289031982422,9.50574970245361,,186.0
Brunei Darussalam,BRN,30.8447799682617,,60.9791984558105,11.9144697189331,,2768.0
Bulgaria,BGR,73.934196472168,49.5609893798828,54.5615196228027,,,62718.0
Cabo Verde,CPV,21.707820892334,,58.7812995910645,9.17862033843994,98.11131,
Cambodia,KHM,13.0882596969604,,43.7082481384277,17.7497997283936,,48772.0
Cameroon,CMR,17.4778995513916,,43.4495582580566,,,
Chad,TCD,,,,,38.77242,
Chile,CHL,88.577293395996,,51.902889251709,,,
China,CHN,43.3917694091797,25.7051906585693,51.4681091308594,,,11923653.0
Colombia,COL,55.6572685241699,21.1114101409912,52.9310913085938,15.3640804290771,98.53473,374738.0
Costa Rica,CRI,53.6296615600586,50.3252410888672,55.6451683044434,,,49778.0
Cote d'Ivoire,CIV,9.15526962280273,,39.4070205688477,10.2871704101563,,
Croatia,HRV,69.052490234375,48.5432395935059,56.4713401794434,10.0503702163696,,36144.0
Cuba,CUB,36.2803993225098,36.6180191040039,56.767261505127,4.59683990478516,,84139.0
Cyprus,CYP,60.1012306213379,,56.7696304321289,12.6544103622437,,7941.0
Czech Republic,CZE,64.9667129516602,39.0339508056641,57.2906188964844,,,98119.0
Denmark,DNK,82.7869720458984,,57.0733299255371,8.46296977996826,,74428.0
Dominican Republic,DOM,50.1163902282715,22.3049697875977,64.4203414916992,25.5251693725586,97.61406,42982.0
Ecuador,ECU,,,,,99.1262,
"Egypt, Arab Rep.",EGY,36.2285385131836,,48.0099792480469,,,
El Salvador,SLV,29.1310997009277,12.2138595581055,53.5870399475098,18.1098308563232,97.94933,22994.0
Estonia,EST,69.5504302978516,,58.8057403564453,,,10491.0
Finland,FIN,87.2897033691406,53.0008697509766,53.594970703125,,,56829.0
France,FRA,,47.0227584838867,,,,752068.0
Georgia,GEO,43.4195289611816,,54.0213012695313,7.08954000473022,,22214.0
Germany,DEU,68.2655868530273,,47.9433212280273,7.51541996002197,,
Ghana,GHA,16.2305107116699,,40.0305099487305,28.9271202087402,,67472.0
Greenland,GRL,,,,,100.0,
Grenada,GRD,91.1477432250977,60.4488792419434,53.0749206542969,4.26408004760742,,2107.0
Guatemala,GTM,21.846809387207,,53.5707511901855,,,33680.0
High income,HIC,73.7469177246094,,53.5887794494629,,,
Honduras,HND,22.0593700408936,10.9112396240234,57.0028991699219,19.9702701568604,96.00751,21481.0
"Hong Kong SAR, China",HKG,68.475456237793,,52.449649810791,,,
Hungary,HUN,50.8622016906738,34.0990982055664,54.5398712158203,14.6224298477173,,68485.0
India,IND,26.8748798370361,28.7010097503662,47.1949195861816,24.2897605895996,,8428836.0
Indonesia,IDN,24.254940032959,,52.1860504150391,,99.67007,941038.0
"Iran, Islamic Rep.",IRN,71.8811416625977,32.0686416625977,45.8151702880859,15.25767993927,,738260.0
Ireland,IRL,83.7777862548828,,50.907600402832,,,
Israel,ISR,64.7467803955078,,56.7566184997559,,,
Italy,ITA,62.4960708618164,,56.3315086364746,20.300500869751,,
Jamaica,JAM,27.2202701568604,,62.5823402404785,,,
Jordan,JOR,44.8695182800292,,51.5971183776855,22.4531593322754,,69704.0
Kazakhstan,KAZ,46.039909362793,67.1917724609375,55.4981384277344,12.9751901626587,,241472.0
"Korea, Dem. People’s Rep.",PRK,28.059440612793,20.0905094146729,34.596981048584,9.02855014801025,,129620.0
"Korea, Rep.",KOR,93.1791381835938,,40.7566299438477,,,
Kuwait,KWT,,,,,99.25909,
Kyrgyz Republic,KGZ,46.9014511108398,33.9849090576172,55.7030982971191,12.8191499710083,,52570.0
Lao PDR,LAO,16.9058990478516,12.8830003738403,48.3013381958008,10.597559928894,,39817.0
Latvia,LVA,,34.5982093811035,59.5661392211914,12.5612096786499,,17021.0
Lebanon,LBN,38.4847717285156,,,,,
Liechtenstein,LIE,33.5420417785645,,32.1333312988281,6.30251979827881,,283.0
Lithuania,LTU,,57.4757385253906,57.5741806030273,10.7555599212646,,32205.0
Low income,LIC,7.62687015533447,,35.5959701538086,,,
Lower middle income,LMC,23.1234607696533,,48.1596412658691,,,
"Macao SAR, China",MAC,75.5988464355469,53.4912300109863,56.2997589111328,15.2709703445435,,6674.0
"Macedonia, FYR",MKD,42.0633506774902,,54.3065299987792,,,
Malawi,MWI,,,,,72.93561,
Malaysia,MYS,26.074089050293,15.1786804199219,58.2287902832031,10.1904096603394,,192260.0
Mali,MLI,,,,,49.36653,
Malta,MLT,47.4218711853027,35.4408111572266,55.9019393920898,7.95593023300171,,3953.0
Mauritania,MRT,5.62172985076904,3.48535990715027,32.725959777832,,,2770.0
Mauritius,MUS,36.6675682067871,,56.3465385437012,,,6666.0
Mexico,MEX,,,,,98.94471,
Middle income,MIC,33.2736396789551,,50.7928581237792,,,
Moldova,MDA,41.2134819030762,,56.2895889282227,16.5099601745605,,31459.0
Mongolia,MNG,68.5670166015625,,57.4323310852051,20.2595405578613,,35181.0
Morocco,MAR,28.1435794830322,,48.0312385559082,,,159028.0
Mozambique,MOZ,6.3905200958252,,42.4251403808594,,,14512.0
Nepal,NPL,14.9399499893188,,51.6897811889648,,,
Netherlands,NLD,,48.2467498779297,52.307559967041,13.4636602401733,,
New Zealand,NZL,83.9313201904297,55.9750099182129,56.5296783447266,,,72746.0
Norway,NOR,76.6963806152344,47.5122604370117,57.8713912963867,9.92749977111816,,48212.0
Oman,OMN,,,58.1746711730957,16.1571807861328,99.15373,18605.0
Pakistan,PAK,9.92739009857178,,45.1739807128906,17.5596199035645,,
Palau,PLW,,,,,98.66444,
Paraguay,PRY,,,,,98.32855,
Peru,PER,,,,,99.00954,
Poland,POL,,47.6031112670898,,,,516675.0
Portugal,PRT,61.8741912841797,51.4120712280273,53.2700119018555,10.4342699050903,,74757.0
Qatar,QAT,14.5180797576904,3.57979011535645,65.976463317871,12.9428701400757,,3234.0
Romania,ROU,53.2202186584473,45.1505699157715,53.663688659668,19.5035591125488,,133478.0
Russian Federation,RUS,80.3940811157227,,53.433479309082,,,
Rwanda,RWA,7.8970799446106,,44.9007301330566,23.8808002471924,,17519.0
Sao Tome and Principe,STP,13.4060297012329,,50.4280815124512,8.02748966217041,,
Saudi Arabia,SAU,63.066219329834,28.5307102203369,49.0502815246582,19.8450202941895,,185122.0
Senegal,SEN,10.3866596221924,,37.6380081176758,25.7836894989014,,
Serbia,SRB,58.2876892089844,,55.780029296875,22.5157909393311,,50501.0
Seychelles,SYC,14.256199836731,10.2272701263428,66.3768081665039,14.375,,405.0
Singapore,SGP,,,,,99.7849,
Sint Maarten (Dutch part),SXM,,,78.3505172729492,3.59259009361267,,47.0
Slovak Republic,SVK,,40.2954902648926,,,,61054.0
Slovenia,SVN,,60.7241401672363,,,,18631.0
South Africa,ZAF,,,,,98.95578,
