university_id,university_name,country_id,country_name,region
U00313,brighton and sussex medical school,C076,United Kingdom,Europe & Central Asia
U00314,british university in egypt,C063,"Egypt, Arab Rep.",
U00315,brno university of technology,C051,Czech Republic,Europe & Central Asia
U00316,brock university,C034,Canada,North America
U00317,brown university,C228,United States,North America
U00318,brunel university london,C076,United Kingdom,Europe & Central Asia
U00319,buali sina university,C101,"Iran, Islamic Rep.",
U00320,bucharest university of economic studies,C185,Romania,Europe & Central Asia
U00321,buckinghamshire new university,C076,United Kingdom,Europe & Central Asia
U00322,budapest university of technology and economics,C096,Hungary,Europe & Central Asia
U00323,bukhara engineering technological institute,C229,Uzbekistan,Europe & Central Asia
U00324,bukhara state medical institute,C229,Uzbekistan,Europe & Central Asia
U00325,bukhara state university,C229,Uzbekistan,Europe & Central Asia
U00326,bukkyo university,C108,Japan,East Asia & Pacific
U00327,burapha university,C214,Thailand,East Asia & Pacific
U00328,burapha university,,,
U00329,buriram rajabhat university,C214,Thailand,East Asia & Pacific
U00330,bursa technical university,C221,Turkey,Europe & Central Asia
U00331,bursa uludağ university,C221,Turkey,Europe & Central Asia
U00332,ca foscari university of venice,C105,Italy,Europe & Central Asia
U00333,cairo university,C063,"Egypt, Arab Rep.",
U00334,california institute of technology,C228,United States,North America
U00335,california institute of technology caltech,C228,United States,North America
U00336,california polytechnic state university,C228,United States,North America
U00337,california state university long beach,C228,United States,North America
U00338,california state university los angeles,C228,United States,North America
U00339,campus biomedico university of rome,C105,Italy,Europe & Central Asia
U00340,canadian international college cic cairo,C063,"Egypt, Arab Rep.",
U00341,canadian university dubai,C007,United Arab Emirates,Middle East & North Africa
U00342,cankaya university,C221,Turkey,Europe & Central Asia
U00343,canterbury christ church university,C076,United Kingdom,Europe & Central Asia
U00344,capital medical university,C038,China,East Asia & Pacific
U00345,capital university of science and technology,C171,Pakistan,South Asia
U00346,cardiff metropolitan university,C076,United Kingdom,Europe & Central Asia
U00347,cardiff university,C076,United Kingdom,Europe & Central Asia
U00348,cardiff university,,,
U00349,carleton university,C034,Canada,North America
U00350,carlos iii university of madrid,C066,Spain,Europe & Central Asia
U00351,carlos iii university of madrid,,,
U00352,carnegie mellon university,C228,United States,North America
U00353,case western reserve university,C228,United States,North America
U00354,catania university,C105,Italy,Europe & Central Asia
U00355,catholic university in erbil,C102,Iraq,Middle East & North Africa
U00356,catholic university of brasília,C028,Brazil,Latin America & Caribbean
U00357,catholic university of portugal,C180,Portugal,Europe & Central Asia
U00358,catholic university of the north,C037,Chile,Latin America & Caribbean
U00359,catholic university of the sacred heart,C105,Italy,Europe & Central Asia
