master_university_id,source_a,source_a_row,source_b,source_b_row,match_method,match_score
UNI00272,QS,242,THE,270,exact,exact
UNI00273,QS,243,THE,260,exact,exact
UNI00265,QS,244,THE,293,exact,exact
UNI00276,QS,246,THE,297,exact,exact
UNI00280,QS,248,THE,416,exact,exact
UNI00153,QS,249,THE,160,exact,exact
UNI00281,QS,250,THE,499,exact,exact
UNI00285,QS,253,THE,470,exact,exact
UNI00156,QS,255,THE,163,exact,exact
UNI00163,QS,257,THE,138,exact,exact
UNI00108,QS,261,THE,92,exact,exact
UNI00298,QS,262,THE,790,exact,exact
UNI00161,QS,264,THE,137,exact,exact
UNI00224,QS,266,THE,200,exact,exact
UNI00301,QS,267,THE,451,exact,exact
UNI00107,QS,269,THE,91,exact,exact
UNI00170,QS,270,THE,159,exact,exact
UNI00184,QS,273,THE,219,exact,exact
UNI00308,QS,274,THE,278,exact,exact
UNI00310,QS,276,THE,381,exact,exact
UNI00311,QS,277,THE,337,exact,exact
UNI00216,QS,279,THE,224,exact,exact
UNI00313,QS,280,THE,324,exact,exact
UNI00315,QS,281,THE,1223,exact,exact
UNI00225,QS,282,THE,252,exact,exact
UNI00316,QS,283,THE,336,exact,exact
UNI00271,QS,286,THE,241,exact,exact
UNI00325,QS,289,THE,314,exact,exact
UNI00326,QS,290,THE,344,exact,exact
UNI00329,QS,292,THE,326,exact,exact
UNI00330,QS,293,THE,345,exact,exact
UNI00159,QS,297,THE,186,exact,exact
UNI00335,QS,298,THE,308,exact,exact
UNI00256,QS,299,THE,235,exact,exact
UNI00336,QS,303,THE,299,exact,exact
UNI00341,QS,304,THE,677,exact,exact
UNI00222,QS,305,THE,198,exact,exact
UNI00342,QS,306,THE,442,exact,exact
UNI00343,QS,307,THE,362,exact,exact
UNI00328,QS,308,THE,295,exact,exact
UNI00334,QS,310,THE,296,exact,exact
UNI00314,QS,315,THE,279,exact,exact
UNI00351,QS,316,THE,473,exact,exact
UNI00354,QS,318,THE,343,exact,exact
UNI00323,QS,319,THE,287,exact,exact
UNI00357,QS,321,THE,580,exact,exact
UNI00363,QS,326,THE,574,exact,exact
UNI00364,QS,327,THE,334,exact,exact
UNI00366,QS,329,THE,359,exact,exact
UNI00367,QS,330,THE,435,exact,exact
UNI00303,QS,333,THE,268,exact,exact
UNI00213,QS,334,THE,207,exact,exact
UNI00374,QS,336,THE,384,exact,exact
UNI00227,QS,337,THE,201,exact,exact
UNI00375,QS,338,THE,380,exact,exact
UNI00378,QS,340,THE,446,exact,exact
UNI00235,QS,342,THE,210,exact,exact
UNI00384,QS,344,THE,355,exact,exact
UNI00385,QS,345,THE,614,exact,exact
UNI00388,QS,347,THE,388,exact,exact
UNI00389,QS,348,THE,721,exact,exact
UNI00395,QS,351,THE,466,exact,exact
UNI00304,QS,352,THE,269,exact,exact
UNI00397,QS,353,THE,419,exact,exact
UNI00399,QS,354,THE,399,exact,exact
UNI00405,QS,358,THE,397,exact,exact
UNI00407,QS,359,THE,365,exact,exact
UNI00379,QS,360,THE,340,exact,exact
UNI00411,QS,363,THE,450,exact,exact
UNI00414,QS,365,THE,612,exact,exact
UNI00418,QS,367,THE,491,exact,exact
UNI00424,QS,372,THE,828,exact,exact
UNI00274,QS,373,THE,244,exact,exact
UNI00277,QS,376,THE,347,exact,exact
UNI00175,QS,380,THE,191,exact,exact
UNI00349,QS,381,THE,313,exact,exact
UNI00246,QS,382,THE,221,exact,exact
UNI00434,QS,383,THE,701,exact,exact
UNI00338,QS,388,THE,350,exact,exact
UNI00442,QS,389,THE,1225,exact,exact
UNI00444,QS,390,THE,525,exact,exact
UNI00446,QS,391,THE,458,exact,exact
UNI00449,QS,395,THE,393,exact,exact
UNI00428,QS,397,THE,375,exact,exact
UNI00426,QS,401,THE,373,exact,exact
UNI00460,QS,402,THE,707,exact,exact
UNI00463,QS,404,THE,535,exact,exact
UNI00465,QS,405,THE,543,exact,exact
UNI00290,QS,406,THE,255,exact,exact
