rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,subjects_offered,disabled,female_percentage,male_percentage,rank_type,rank_numeric,overall_score_min,overall_score_max,overall_score_mid
1,University of Oxford,98.5,10,96.6,5,100.0,2,99.0,5,98.7,77,97.5,14,master_account,0,468,United Kingdom,21750,10.9,42,"Geography,Chemistry,Chemical Engineering,Biological Sciences,General Engineering,Computer Science,Art, Performing Arts & Design,Communication & Media Studies,Electrical & Electronic Engineering,Law,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Medicine & Dentistry,Languages, Literature & Linguistics,Business & Management,Accounting & Finance,Mechanical & Aerospace Engineering,Mathematics & Statistics,Physics & Astronomy,Psychology,Other Health,Archaeology,Sociology,Civil Engineering,Education",False,49,51,Exact,1,98.5,98.5,98.5
2,Stanford University,98.0,20,99.0,1,97.8,8,99.6,2,100.0,25,87.0,167,private,0,467,United States,14517,6.4,23,"Computer Science,Communication & Media Studies,Electrical & Electronic Engineering,Mathematics & Statistics,Education,Medicine & Dentistry,Civil Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Veterinary Science,Economics & Econometrics,Other Health,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Mechanical & Aerospace Engineering,Chemistry,Sociology,Art, Performing Arts & Design,Chemical Engineering,Business & Management,General Engineering,Physics & Astronomy,Archaeology,Agriculture & Forestry,Law,Languages, Literature & Linguistics,Biological Sciences,Psychology",False,47,53,Exact,2,98.0,98.0,98.0
3,Massachusetts Institute of Technology,97.9,30,98.6,2,96.2,11,99.7,1,100.0,16,93.8,66,private,0,471,United States,11085,8.0,33,"Architecture,Economics & Econometrics,Archaeology,Biological Sciences,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Psychology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Mathematics & Statistics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,General Engineering,Art, Performing Arts & Design,Other Health,Physics & Astronomy,Computer Science,Accounting & Finance,Chemical Engineering,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Chemistry",False,41,59,Exact,3,97.9,97.9,97.9
4,Harvard University,97.8,40,97.7,3,99.9,3,99.4,3,84.2,216,90.8,119,private,0,466,United States,20050,9.0,25,"Sociology,Architecture,Physics & Astronomy,Psychology,Mechanical & Aerospace Engineering,Law,Chemical Engineering,Electrical & Electronic Engineering,Medicine & Dentistry,Communication & Media Studies,Mathematics & Statistics,History, Philosophy & Theology,Languages, Literature & Linguistics,Agriculture & Forestry,Education,Computer Science,Business & Management,Geography,Accounting & Finance,Politics & International Studies (incl Development Studies),Chemistry,Archaeology,Art, Performing Arts & Design,Other Health,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,General Engineering,Civil Engineering",False,51,49,Exact,4,97.8,97.8,97.8
5,University of Cambridge,97.5,50,95.8,7,100.0,1,98.0,12,87.9,180,97.4,15,master_account,0,470,United Kingdom,20565,11.5,38,"Politics & International Studies (incl Development Studies),Biological Sciences,Business & Management,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Psychology,General Engineering,Physics & Astronomy,Chemical Engineering,Chemistry,Economics & Econometrics,History, Philosophy & Theology,Computer Science,Accounting & Finance,Education,Veterinary Science,Electrical & Electronic Engineering,Geography,Other Health,Architecture,Art, Performing Arts & Design,Law,Mechanical & Aerospace Engineering,Sociology,Medicine & Dentistry,Archaeology,Languages, Literature & Linguistics",False,48,52,Exact,5,97.5,97.5,97.5
6,Princeton University,96.9,60,96.3,6,97.9,7,98.8,7,95.1,118,89.1,135,private,0,469,United States,7753,7.3,23,"History, Philosophy & Theology,Agriculture & Forestry,Economics & Econometrics,Languages, Literature & Linguistics,Architecture,Sociology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,Mechanical & Aerospace Engineering,Physics & Astronomy,Civil Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Biological Sciences,Computer Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Psychology",False,47,53,Exact,6,96.9,96.9,96.9
7,California Institute of Technology,96.5,70,96.6,4,98.0,6,95.9,38,100.0,2,90.6,123,private,0,128779,United States,2240,6.1,33,"Computer Science,Chemistry,Chemical Engineering,Mathematics & Statistics,Physics & Astronomy,Economics & Econometrics,Languages, Literature & Linguistics,General Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Civil Engineering,Biological Sciences,Electrical & Electronic Engineering,Business & Management",False,37,63,Exact,7,96.5,96.5,96.5
8,Imperial College London,95.1,80,90.9,12,95.5,12,98.6,8,90.9,157,98.3,6,master_account,0,472,United Kingdom,20275,11.8,61,"Computer Science,Mechanical & Aerospace Engineering,Chemical Engineering,Physics & Astronomy,Other Health,Mathematics & Statistics,Electrical & Electronic Engineering,Chemistry,Medicine & Dentistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Civil Engineering",False,42,58,Exact,8,95.1,95.1,95.1
9,"University of California, Berkeley",94.6,90,87.2,18,98.8,4,99.0,4,99.4,63,86.8,171,public,0,474,United States,39991,17.9,22,"Chemistry,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Archaeology,History, Philosophy & Theology,Law,Agriculture & Forestry,Education,Communication & Media Studies,Other Health,Art, Performing Arts & Design,Civil Engineering,Mechanical & Aerospace Engineering,Psychology,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Chemical Engineering,Architecture,Geography,Economics & Econometrics,Biological Sciences,Sociology,General Engineering,Physics & Astronomy,Business & Management",False,52,48,Exact,9,94.6,94.6,94.6
10,Yale University,94.2,100,94.0,10,94.9,13,97.7,18,86.5,192,82.4,216,private,0,475,United States,11924,5.2,21,"Law,Computer Science,Electrical & Electronic Engineering,Chemical Engineering,Economics & Econometrics,Accounting & Finance,Archaeology,Mechanical & Aerospace Engineering,Business & Management,Medicine & Dentistry,Mathematics & Statistics,Art, Performing Arts & Design,Architecture,Sociology,Politics & International Studies (incl Development Studies),Biological Sciences,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Chemistry,Other Health,Psychology",False,51,49,Exact,10,94.2,94.2,94.2
11,ETH Zurich,93.1,110,87.6,16,96.8,10,95.6,41,82.9,229,95.6,36,master_account,0,479,Switzerland,22619,15.4,43,"Mechanical & Aerospace Engineering,Education,Agriculture & Forestry,Mathematics & Statistics,Chemical Engineering,Accounting & Finance,Electrical & Electronic Engineering,Business & Management,Medicine & Dentistry,Economics & Econometrics,Other Health,Chemistry,Architecture,Civil Engineering,Sport Science,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Computer Science,Physics & Astronomy,General Engineering,Politics & International Studies (incl Development Studies)",False,33,67,Exact,11,93.1,93.1,93.1
12,Tsinghua University,92.4,120,95.3,9,98.1,5,93.2,73,99.9,38,51.7,750,master_account,0,535,China,38518,11.2,10,"Mechanical & Aerospace Engineering,Sociology,Architecture,Civil Engineering,Politics & International Studies (incl Development Studies),Other Health,Chemistry,Accounting & Finance,Archaeology,Physics & Astronomy,Business & Management,Electrical & Electronic Engineering,Geography,Medicine & Dentistry,Chemical Engineering,Psychology,History, Philosophy & Theology,Mathematics & Statistics,Law,Languages, Literature & Linguistics,Biological Sciences,Education,General Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Art, Performing Arts & Design,Computer Science,Sport Science,Communication & Media Studies",False,,,Exact,12,92.4,92.4,92.4
13,The University of Chicago,92.1,130,89.6,13,91.2,19,97.6,20,93.8,129,82.3,219,private,0,473,United States,15792,6.2,36,"Chemistry,Languages, Literature & Linguistics,Biological Sciences,Economics & Econometrics,Medicine & Dentistry,Law,Archaeology,Sociology,Geology, Environmental, Earth & Marine Sciences,Business & Management,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Physics & Astronomy,Chemical Engineering,Computer Science,Psychology,History, Philosophy & Theology,Mathematics & Statistics,Accounting & Finance",False,47,53,Exact,13,92.1,92.1,92.1
14,Peking University,91.8,140,95.6,8,97.3,9,87.2,172,98.8,72,70.2,404,master_account,0,514,China,33064,10.9,14,"History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Politics & International Studies (incl Development Studies),Archaeology,Communication & Media Studies,Business & Management,Other Health,Physics & Astronomy,Economics & Econometrics,Mechanical & Aerospace Engineering,Sociology,Medicine & Dentistry,Chemistry,Accounting & Finance,Languages, Literature & Linguistics,Mathematics & Statistics,Education,Art, Performing Arts & Design,Electrical & Electronic Engineering,Law,General Engineering,Geography,Biological Sciences,Psychology",False,,,Exact,14,91.8,91.8,91.8
15,Johns Hopkins University,91.1,150,84.4,23,92.3,17,97.2,27,100.0,11,84.2,198,private,0,478,United States,15772,4.1,28,"Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Computer Science,Physics & Astronomy,Business & Management,Archaeology,Mathematics & Statistics,Sociology,Other Health,Economics & Econometrics,General Engineering,Psychology,Mechanical & Aerospace Engineering,Chemistry,History, Philosophy & Theology,Chemical Engineering,Education,Biological Sciences,Accounting & Finance,Medicine & Dentistry,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies)",False,56,44,Exact,15,91.1,91.1,91.1
16,University of Pennsylvania,91.0,160,87.7,15,89.7,21,97.6,23,97.7,90,78.8,268,private,0,480,United States,21312,6.2,22,"Other Health,Physics & Astronomy,Accounting & Finance,General Engineering,Mathematics & Statistics,Economics & Econometrics,Languages, Literature & Linguistics,Biological Sciences,Sociology,Archaeology,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Architecture,Geography,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Psychology,Electrical & Electronic Engineering,Chemistry,Medicine & Dentistry,Veterinary Science,Education,Chemical Engineering,Law,Business & Management,Computer Science,Communication & Media Studies",False,54,46,Exact,16,91.0,91.0,91.0
17,Columbia University,90.9,170,88.6,14,89.7,20,97.4,25,75.2,332,86.9,168,private,0,476,United States,25914,5.2,35,"Accounting & Finance,Chemical Engineering,Psychology,Computer Science,Sport Science,Architecture,Medicine & Dentistry,Physics & Astronomy,Economics & Econometrics,Civil Engineering,Art, Performing Arts & Design,Chemistry,Biological Sciences,General Engineering,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Archaeology,Sociology,Law,Electrical & Electronic Engineering,Communication & Media Studies,Business & Management,Other Health,Mathematics & Statistics,Agriculture & Forestry,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences",False,,,Exact,17,90.9,90.9,90.9
18,"University of California, Los Angeles",90.1,180,85.7,19,91.9,18,96.4,34,92.3,143,74.3,341,public,0,477,United States,42634,9.6,15,"Electrical & Electronic Engineering,Veterinary Science,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Psychology,Archaeology,Art, Performing Arts & Design,Chemistry,Chemical Engineering,Medicine & Dentistry,Education,Law,Biological Sciences,Sport Science,Mathematics & Statistics,Economics & Econometrics,History, Philosophy & Theology,Communication & Media Studies,Civil Engineering,Other Health,Business & Management,Politics & International Studies (incl Development Studies),Geography,Accounting & Finance,Physics & Astronomy,Agriculture & Forestry,Sociology,Architecture,Languages, Literature & Linguistics,Computer Science,General Engineering",False,56,44,Exact,18,90.1,90.1,90.1
19,National University of Singapore,90.0,190,78.8,25,94.0,16,95.4,47,100.0,19,91.1,116,master_account,6,504,Singapore,33334,20.0,24,"Computer Science,Geology, Environmental, Earth & Marine Sciences,Business & Management,History, Philosophy & Theology,Civil Engineering,Geography,Archaeology,Sociology,Mechanical & Aerospace Engineering,Biological Sciences,Accounting & Finance,Architecture,Mathematics & Statistics,Psychology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),General Engineering,Chemistry,Economics & Econometrics,Art, Performing Arts & Design,Medicine & Dentistry,Agriculture & Forestry,Law,Other Health,Physics & Astronomy,Languages, Literature & Linguistics,Chemical Engineering,Communication & Media Studies",False,49,51,Exact,19,90.0,90.0,90.0
20,Cornell University,89.5,200,85.7,20,88.7,22,97.6,22,69.4,447,86.0,175,private,0,484,United States,23620,10.0,24,"Electrical & Electronic Engineering,History, Philosophy & Theology,Agriculture & Forestry,Chemistry,Biological Sciences,Economics & Econometrics,Business & Management,Civil Engineering,Architecture,Law,Archaeology,Mathematics & Statistics,Psychology,Veterinary Science,Sociology,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Other Health,General Engineering,Politics & International Studies (incl Development Studies),Computer Science,Languages, Literature & Linguistics,Chemical Engineering,Communication & Media Studies,Physics & Astronomy",False,51,49,Exact,20,89.5,89.5,89.5
21,University of Toronto,88.6,210,77.5,28,94.1,15,92.8,81,96.1,103,90.7,122,master_account,0,483,Canada,79282,25.8,27,"Art, Performing Arts & Design,Civil Engineering,Economics & Econometrics,Sport Science,Accounting & Finance,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Geography,Other Health,Computer Science,Psychology,Electrical & Electronic Engineering,History, Philosophy & Theology,General Engineering,Law,Sociology,Languages, Literature & Linguistics,Business & Management,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Architecture,Mechanical & Aerospace Engineering,Communication & Media Studies,Chemical Engineering,Physics & Astronomy,Medicine & Dentistry,Chemistry,Education,Archaeology,Agriculture & Forestry",False,56,44,Exact,21,88.6,88.6,88.6
22,UCL,88.1,220,78.4,26,86.4,24,98.6,9,75.2,335,97.9,8,master_account,0,481,United Kingdom,41110,11.3,61,"Medicine & Dentistry,Sport Science,Law,General Engineering,Physics & Astronomy,Mathematics & Statistics,Communication & Media Studies,Languages, Literature & Linguistics,Civil Engineering,Politics & International Studies (incl Development Studies),Business & Management,Computer Science,Education,Architecture,Electrical & Electronic Engineering,Psychology,Other Health,Sociology,Biological Sciences,Geography,History, Philosophy & Theology,Art, Performing Arts & Design,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Archaeology,Mechanical & Aerospace Engineering,Chemistry",False,59,41,Exact,22,88.1,88.1,88.1
23,University of Michigan-Ann Arbor,87.4,230,84.7,22,87.4,23,95.5,45,80.7,255,69.0,421,public,0,482,United States,45783,8.1,16,"Chemical Engineering,Accounting & Finance,Archaeology,Economics & Econometrics,Sociology,Psychology,Mathematics & Statistics,Physics & Astronomy,Politics & International Studies (incl Development Studies),Sport Science,Biological Sciences,Agriculture & Forestry,Civil Engineering,Electrical & Electronic Engineering,History, Philosophy & Theology,General Engineering,Business & Management,Education,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Computer Science,Architecture,Chemistry,Medicine & Dentistry,Other Health,Art, Performing Arts & Design,Communication & Media Studies,Law",False,51,49,Exact,23,87.4,87.4,87.4
24,Carnegie Mellon University,86.3,240,75.0,32,84.6,26,98.9,6,87.3,182,85.5,184,private,0,485,United States,13562,11.9,44,"Art, Performing Arts & Design,Civil Engineering,Economics & Econometrics,Biological Sciences,Languages, Literature & Linguistics,Chemistry,Electrical & Electronic Engineering,Communication & Media Studies,Architecture,Chemical Engineering,Computer Science,Psychology,Mechanical & Aerospace Engineering,Business & Management,Politics & International Studies (incl Development Studies),Accounting & Finance,Mathematics & Statistics,History, Philosophy & Theology,Physics & Astronomy",False,44,56,Exact,24,86.3,86.3,86.3
25,University of Washington,85.3,250,78.0,27,83.5,29,98.2,11,77.6,294,73.2,362,public,0,489,United States,49486,10.1,16,"Languages, Literature & Linguistics,Economics & Econometrics,Architecture,Art, Performing Arts & Design,Psychology,Mathematics & Statistics,General Engineering,Civil Engineering,History, Philosophy & Theology,Archaeology,Chemical Engineering,Education,Other Health,Law,Medicine & Dentistry,Mechanical & Aerospace Engineering,Sociology,Agriculture & Forestry,Chemistry,Geography,Accounting & Finance,Veterinary Science,Business & Management,Computer Science,Physics & Astronomy,Communication & Media Studies,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Electrical & Electronic Engineering",False,56,44,Exact,25,85.3,85.3,85.3
26,Duke University,83.9,260,79.3,24,76.1,41,96.2,36,100.0,6,74.8,331,private,0,487,United States,15527,3.9,18,"Mechanical & Aerospace Engineering,Agriculture & Forestry,Psychology,History, Philosophy & Theology,Mathematics & Statistics,Accounting & Finance,Art, Performing Arts & Design,Electrical & Electronic Engineering,Sociology,Civil Engineering,Physics & Astronomy,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Law,Computer Science,Chemistry,Languages, Literature & Linguistics,Biological Sciences,Business & Management,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Communication & Media Studies",False,52,48,Exact,26,83.9,83.9,83.9
27,New York University,83.5,270,73.2,36,84.0,28,94.9,49,75.4,330,80.7,245,private,0,508,United States,48461,11.8,42,"Medicine & Dentistry,Mathematics & Statistics,Sociology,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Archaeology,General Engineering,Art, Performing Arts & Design,Communication & Media Studies,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Business & Management,Electrical & Electronic Engineering,Physics & Astronomy,History, Philosophy & Theology,Economics & Econometrics,Biological Sciences,Chemistry,Other Health,Civil Engineering,Accounting & Finance,Psychology,Computer Science,Chemical Engineering,Education,Law,Architecture",False,58,42,Exact,27,83.5,83.5,83.5
28,Northwestern University,83.2,280,72.3,37,78.8,34,97.8,15,99.7,50,75.9,315,private,0,490,United States,18894,13.1,18,"Civil Engineering,Medicine & Dentistry,Sport Science,Law,Economics & Econometrics,Archaeology,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Communication & Media Studies,History, Philosophy & Theology,Mathematics & Statistics,Business & Management,Architecture,Biological Sciences,Geography,Languages, Literature & Linguistics,Chemical Engineering,Psychology,Computer Science,Chemistry,Accounting & Finance,General Engineering,Physics & Astronomy,Education,Art, Performing Arts & Design,Electrical & Electronic Engineering,Sociology,Politics & International Studies (incl Development Studies)",False,52,48,Exact,28,83.2,83.2,83.2
29,The University of Tokyo,83.1,290,93.9,11,94.2,14,67.8,607,100.0,27,49.7,812,master_account,0,494,Japan,26345,10.3,15,"Other Health,Biological Sciences,Geography,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,General Engineering,Mathematics & Statistics,Psychology,Architecture,Electrical & Electronic Engineering,Chemistry,Languages, Literature & Linguistics,Veterinary Science,Law,Computer Science,Sport Science,Education,Medicine & Dentistry,Chemical Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Archaeology,Civil Engineering,Sociology,Business & Management,Art, Performing Arts & Design,Agriculture & Forestry,Communication & Media Studies,History, Philosophy & Theology,Physics & Astronomy,Accounting & Finance",False,,,Exact,29,83.1,83.1,83.1
=30,University of Edinburgh,82.5,300,70.7,41,77.5,37,96.9,30,71.1,404,97.0,22,master_account,0,500,United Kingdom,33940,11.5,46,"Physics & Astronomy,Biological Sciences,Mathematics & Statistics,Sport Science,Other Health,Education,Medicine & Dentistry,Business & Management,Chemical Engineering,Architecture,Economics & Econometrics,Politics & International Studies (incl Development Studies),Sociology,Civil Engineering,Computer Science,General Engineering,Geography,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Chemistry,Veterinary Science,Accounting & Finance,Psychology,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Law,Art, Performing Arts & Design,Electrical & Electronic Engineering,Archaeology",False,61,39,Tie,30,82.5,82.5,82.5
=30,Technical University of Munich,82.5,310,69.8,44,85.1,25,90.0,128,100.0,26,83.1,208,master_account,6,552,Germany,35506,44.4,39,"Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Architecture,Biological Sciences,Business & Management,General Engineering,Mathematics & Statistics,Civil Engineering,Education,Physics & Astronomy,Computer Science,Agriculture & Forestry,Sociology,Chemical Engineering,Accounting & Finance,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Sport Science,Other Health,Chemistry",False,37,63,Tie,30,82.5,82.5,82.5
32,"Nanyang Technological University, Singapore",82.3,320,66.2,52,80.9,32,94.5,54,99.7,49,93.3,78,master_account,0,634,Singapore,25895,16.7,27,"General Engineering,Chemistry,Psychology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Biological Sciences,Computer Science,Geology, Environmental, Earth & Marine Sciences,Education,Art, Performing Arts & Design,Sport Science,Sociology,Mechanical & Aerospace Engineering,Communication & Media Studies,Other Health,Mathematics & Statistics,Economics & Econometrics,Languages, Literature & Linguistics,Chemical Engineering,Business & Management,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Accounting & Finance",False,49,51,Exact,32,82.3,82.3,82.3
33,École Polytechnique Fédérale de Lausanne,81.4,330,74.5,33,73.2,50,90.3,120,99.8,40,95.8,33,master_account,0,510,Switzerland,12543,13.5,64,"Civil Engineering,Chemical Engineering,Electrical & Electronic Engineering,Biological Sciences,Chemistry,Mechanical & Aerospace Engineering,Architecture,Business & Management,Mathematics & Statistics,General Engineering,Computer Science,Physics & Astronomy",False,30,70,Exact,33,81.4,81.4,81.4
34,"University of California, San Diego",81.0,340,66.0,53,78.4,35,97.6,19,100.0,1,74.3,342,public,0,497,United States,40596,12.0,19,"Other Health,Physics & Astronomy,General Engineering,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Communication & Media Studies,Languages, Literature & Linguistics,Computer Science,Civil Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Business & Management,Mathematics & Statistics,Chemical Engineering,Economics & Econometrics,Mechanical & Aerospace Engineering,Accounting & Finance,Chemistry,Electrical & Electronic Engineering,Psychology,Education,Sociology,History, Philosophy & Theology",False,45,55,Exact,34,81.0,81.0,81.0
35,University of Hong Kong,80.3,350,65.6,55,72.3,52,96.4,35,95.2,116,96.8,23,master_account,11,498,Hong Kong,18103,18.3,43,"Law,Economics & Econometrics,Communication & Media Studies,Civil Engineering,Art, Performing Arts & Design,Psychology,Mathematics & Statistics,General Engineering,Politics & International Studies (incl Development Studies),Geography,Architecture,Mechanical & Aerospace Engineering,Accounting & Finance,Chemistry,Agriculture & Forestry,Electrical & Electronic Engineering,History, Philosophy & Theology,Other Health,Biological Sciences,Sociology,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Computer Science,Education,Business & Management,Medicine & Dentistry,Physics & Astronomy",False,55,45,Exact,35,80.3,80.3,80.3
36,Georgia Institute of Technology,80.0,360,63.4,63,78.9,33,94.1,57,94.6,123,84.8,190,public,0,488,United States,32079,28.0,29,"Chemical Engineering,Other Health,Languages, Literature & Linguistics,Physics & Astronomy,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Biological Sciences,Geography,Communication & Media Studies,Architecture,Art, Performing Arts & Design,Sociology,General Engineering,Computer Science,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Economics & Econometrics,Business & Management,Mathematics & Statistics,Chemistry,Psychology,Civil Engineering,History, Philosophy & Theology",False,34,66,Exact,36,80.0,80.0,80.0
37,University of Melbourne,79.2,370,64.8,57,76.4,40,90.1,126,98.3,84,92.7,90,master_account,0,501,Australia,51307,25.1,47,"Other Health,Economics & Econometrics,Biological Sciences,Electrical & Electronic Engineering,Civil Engineering,Accounting & Finance,Chemical Engineering,Mathematics & Statistics,Sociology,Archaeology,Computer Science,Geography,Languages, Literature & Linguistics,Law,Physics & Astronomy,General Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Sport Science,Business & Management,History, Philosophy & Theology,Chemistry,Architecture,Education,Medicine & Dentistry,Veterinary Science,Agriculture & Forestry,Communication & Media Studies,Psychology,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering",False,58,42,Exact,37,79.2,79.2,79.2
=38,King’s College London,79.0,380,59.8,74,75.1,47,97.7,17,74.2,347,97.5,13,master_account,0,520,United Kingdom,32835,13.9,53,"Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Education,Art, Performing Arts & Design,Physics & Astronomy,Business & Management,Mathematics & Statistics,Psychology,History, Philosophy & Theology,Electrical & Electronic Engineering,Sociology,Archaeology,General Engineering,Economics & Econometrics,Other Health,Chemistry,Law,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Sport Science,Geography,Languages, Literature & Linguistics,Biological Sciences,Accounting & Finance,Computer Science,Communication & Media Studies",False,63,37,Tie,38,79.0,79.0,79.0
=38,LMU Munich,79.0,390,65.3,56,76.8,38,92.2,89,100.0,15,76.9,298,master_account,6,509,Germany,34622,33.5,18,"Biological Sciences,Geography,Computer Science,Law,Veterinary Science,Sociology,History, Philosophy & Theology,Chemistry,Business & Management,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Psychology,Archaeology,Physics & Astronomy,Economics & Econometrics,Art, Performing Arts & Design,Mathematics & Statistics,Communication & Media Studies,Other Health,Education,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences",False,62,38,Tie,38,79.0,79.0,79.0
40,Paris Sciences et Lettres – PSL Research University Paris,78.5,400,75.7,31,72.8,51,83.2,253,99.7,51,81.6,231,master_account,0,615804,France,16120,15.0,22,"Biological Sciences,Law,Languages, Literature & Linguistics,Chemical Engineering,Business & Management,Computer Science,Mathematics & Statistics,Economics & Econometrics,Mechanical & Aerospace Engineering,Chemistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Sociology,History, Philosophy & Theology,Physics & Astronomy,Accounting & Finance,Other Health,Politics & International Studies (incl Development Studies),Archaeology,Communication & Media Studies,Art, Performing Arts & Design,Civil Engineering,Geography",False,51,49,Exact,40,78.5,78.5,78.5
41,University of British Columbia,78.0,410,62.5,66,76.6,39,90.5,118,76.7,304,95.0,49,master_account,0,486,Canada,58987,19.4,34,"Business & Management,Economics & Econometrics,Geography,Education,Civil Engineering,Archaeology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Communication & Media Studies,Art, Performing Arts & Design,Chemistry,Physics & Astronomy,Psychology,Mechanical & Aerospace Engineering,Accounting & Finance,Other Health,Agriculture & Forestry,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Biological Sciences,Languages, Literature & Linguistics,Sociology,Chemical Engineering,Electrical & Electronic Engineering,Law,Mathematics & Statistics,Sport Science,General Engineering,Architecture,Medicine & Dentistry",False,55,45,Exact,41,78.0,78.0,78.0
42,University of Illinois at Urbana-Champaign,77.9,420,69.5,45,81.5,31,85.2,206,85.3,206,64.0,502,public,0,495,United States,50250,19.6,23,"Computer Science,Mathematics & Statistics,Education,Architecture,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Electrical & Electronic Engineering,Physics & Astronomy,Accounting & Finance,Languages, Literature & Linguistics,Biological Sciences,Psychology,General Engineering,Chemistry,Business & Management,Art, Performing Arts & Design,Civil Engineering,Politics & International Studies (incl Development Studies),Archaeology,Veterinary Science,Law,Medicine & Dentistry,Sport Science,Sociology,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Communication & Media Studies,Other Health,Agriculture & Forestry,Geography",False,51,49,Exact,42,77.9,77.9,77.9
