University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score,female_percentage,male_percentage,overall_score_min,overall_score_max,overall_score_mid,rank_type,rank_numeric
22,UCL,United Kingdom,36790,10.3,60.0,59 : 41,85.7,74.5,85.4,97.9,44.5,96.7,59,41,85.7,85.7,85.7,Exact,22
23,University of Michigan-Ann Arbor,United States,45912,8.2,17.0,50 : 50,82.9,79.3,84.6,93.6,48.7,59.2,50,50,82.9,82.9,82.9,Exact,23
24,New York University,United States,36337,9.8,42.0,57 : 43,82.7,74.2,84.0,95.0,44.6,74.7,57,43,82.7,82.7,82.7,Exact,24
25,Duke University,United States,16091,4.2,24.0,52 : 48,82.6,78.1,76.2,95.7,99.6,68.0,52,48,82.6,82.6,82.6,Exact,25
26,Northwestern University,United States,19175,13.2,20.0,51 : 49,82.1,71.7,80.7,97.5,85.0,67.0,51,49,82.1,82.1,82.1,Exact,26
26,University of Washington,United States,47727,10.8,18.0,55 : 45,82.1,71.6,82.8,98.9,53.9,63.0,55,45,82.1,82.1,82.1,Exact,26
28,Carnegie Mellon University,United States,14305,12.9,47.0,44 : 56,81.1,65.4,81.8,98.7,55.2,80.1,44,56,81.1,81.1,81.1,Exact,28
29,University of Edinburgh,United Kingdom,32845,11.8,47.0,62 : 38,79.8,66.9,74.5,97.1,40.9,95.6,62,38,79.8,79.8,79.8,Exact,29
30,Technical University of Munich,,33960,40.6,36.0,37 : 63,79.3,69.8,82.2,84.5,100.0,77.7,37,63,79.3,79.3,79.3,Exact,30
31,University of Hong Kong,,18087,18.2,43.0,54 : 46,78.5,65.6,74.1,92.4,60.6,98.7,54,46,78.5,78.5,78.5,Exact,31
32,"University of California, San Diego",United States,37030,11.3,28.0,48 : 52,78.1,60.2,77.2,98.2,93.0,67.8,48,52,78.1,78.1,78.1,Exact,32
33,LMU Munich,,35003,34.2,19.0,61 : 39,77.7,67.3,78.3,87.4,100.0,70.5,61,39,77.7,77.7,77.7,Exact,33
34,University of Melbourne,Australia,49588,23.8,47.0,58 : 42,77.6,67.1,75.9,85.8,78.1,93.6,58,42,77.6,77.6,77.6,Exact,34
35,King’s College London,United Kingdom,28965,11.8,52.0,63 : 37,77.1,58.0,72.9,98.2,45.6,96.1,63,37,77.1,77.1,77.1,Exact,35
36,"Nanyang Technological University, Singapore",Singapore,24651,15.1,25.0,48 : 52,77.0,60.9,77.9,87.2,84.5,94.5,48,52,77.0,77.0,77.0,Exact,36
37,London School of Economics and Political Science,United Kingdom,11120,11.9,73.0,55 : 45,76.5,59.2,74.3,95.1,37.8,92.8,55,45,76.5,76.5,76.5,Exact,37
38,Georgia Institute of Technology,United States,28826,24.7,40.0,33 : 67,76.0,60.2,75.9,91.4,64.9,81.2,33,67,76.0,76.0,76.0,Exact,38
39,The University of Tokyo,Japan,26112,10.5,15.0,,75.9,88.1,91.4,55.5,86.7,43.3,,,75.9,75.9,75.9,Exact,39
40,University of British Columbia,Canada,56452,18.9,34.0,55 : 45,75.7,62.9,73.1,88.8,47.9,94.8,55,45,75.7,75.7,75.7,Exact,40
41,École Polytechnique Fédérale de Lausanne,Switzerland,11641,12.3,62.0,30 : 70,75.4,65.6,70.7,84.5,71.7,98.0,30,70,75.4,75.4,75.4,Exact,41
