rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,stats_proportion_of_isr,aliases,subjects_offered,closed,unaccredited,rank_numeric,ranking_status,score_status,female_percentage
3480,301–350,Washington State University,52.05,3480,36.9,394,34.5,365,74.8,443,82.9,230,60.3,579,United States,28896,18.8,6.0,55 : 45,29.0,Washington State University,"Archaeology,Medicine & Dentistry,Chemical Engineering,Politics & International Studies (incl Development Studies),Other Health,Mathematics & Statistics,Education,Mechanical & Aerospace Engineering,Sport Science,Architecture,Civil Engineering,Geography,General Engineering,Chemistry,Economics & Econometrics,History, Philosophy & Theology,Veterinary Science,Psychology,Art, Performing Arts & Design,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Languages, Literature & Linguistics,Agriculture & Forestry,Communication & Media Studies,Business & Management,Computer Science,Physics & Astronomy,Biological Sciences,Sociology",False,False,,Reporter,Available,55.0
3490,301–350,Western Sydney University,52.05,3490,29.5,725,31.7,424,87.7,158,51.5,785,87.2,164,Australia,35590,41.8,21.0,59 : 41,21.0,Western Sydney University University of Western Sydney WSU UWS,"Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Archaeology,Veterinary Science,Communication & Media Studies,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Geography,Medicine & Dentistry,Biological Sciences,Law,Computer Science,Physics & Astronomy,Education,Other Health,Sport Science,Psychology,Architecture,Agriculture & Forestry,Politics & International Studies (incl Development Studies),General Engineering,Chemistry,Accounting & Finance,Art, Performing Arts & Design,Chemical Engineering,Sociology,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Mathematics & Statistics,Economics & Econometrics",False,False,,Reporter,Available,59.0
3500,301–350,University of the Witwatersrand,52.05,3500,33.0,545,42.9,213,72.4,503,81.3,249,76.3,310,South Africa,27765,24.4,7.0,57 : 43,21.0,University of the Witwatersrand Wits,"Communication & Media Studies,Chemistry,Archaeology,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Psychology,Biological Sciences,History, Philosophy & Theology,Education,Art, Performing Arts & Design,Architecture,Sociology,Accounting & Finance,Economics & Econometrics,Physics & Astronomy,Languages, Literature & Linguistics,Civil Engineering,Business & Management,Medicine & Dentistry,Computer Science,Law,Chemical Engineering,General Engineering,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Other Health,Mechanical & Aerospace Engineering,Geography",False,False,,Reporter,Available,57.0
3510,301–350,Xiamen University,52.05,3510,38.0,363,33.5,393,83.7,244,72.1,386,38.4,1177,China,44715,15.1,2.0,53 : 47,33.0,Xiamen University,"Medicine & Dentistry,Architecture,Other Health,Geography,Chemical Engineering,Biological Sciences,Art, Performing Arts & Design,Veterinary Science,Sociology,Mathematics & Statistics,Politics & International Studies (incl Development Studies),General Engineering,Communication & Media Studies,Mechanical & Aerospace Engineering,Physics & Astronomy,Archaeology,Economics & Econometrics,Psychology,Accounting & Finance,Electrical & Electronic Engineering,Business & Management,Geology, Environmental, Earth & Marine Sciences,Sport Science,Languages, Literature & Linguistics,Law,Chemistry,Education,History, Philosophy & Theology,Civil Engineering,Computer Science,Agriculture & Forestry",False,False,,Reporter,Available,53.0
3520,351–400,Aix-Marseille University,50.05,3520,43.0,237,27.2,533,71.9,509,63.2,583,76.3,308,France,72946,17.3,14.0,60 : 40,26.0,Aix-Marseille University,"Geography,Other Health,Medicine & Dentistry,Languages, Literature & Linguistics,Economics & Econometrics,Biological Sciences,General Engineering,Mathematics & Statistics,Civil Engineering,Sport Science,Law,Chemical Engineering,Education,Architecture,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Business & Management,Physics & Astronomy,Politics & International Studies (incl Development Studies),Sociology,Communication & Media Studies,Chemistry,Computer Science,Accounting & Finance,Electrical & Electronic Engineering,Archaeology,Geology, Environmental, Earth & Marine Sciences,Psychology,Art, Performing Arts & Design",False,False,,Reporter,Available,60.0
3530,351–400,Amirkabir University of Technology,50.05,3530,34.8,468,33.7,385,77.0,395,85.1,207,38.8,1159,Iran,9859,20.2,3.0,35 : 65,47.0,Amirkabir University of Technology,"Computer Science,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Physics & Astronomy,Business & Management,Electrical & Electronic Engineering,Chemistry,General Engineering,Civil Engineering,Mathematics & Statistics,Mechanical & Aerospace Engineering",False,False,,Reporter,Available,35.0
3540,351–400,Autonomous University of Madrid,50.05,3540,38.7,343,29.9,473,76.3,408,65.4,539,60.9,566,Spain,30227,13.4,15.0,62 : 38,26.0,Autonomous University of Madrid,"General Engineering,Medicine & Dentistry,Chemical Engineering,Education,Art, Performing Arts & Design,Mathematics & Statistics,Business & Management,Other Health,Politics & International Studies (incl Development Studies),Computer Science,Communication & Media Studies,Economics & Econometrics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Sport Science,Law,History, Philosophy & Theology,Physics & Astronomy,Accounting & Finance,Archaeology,Biological Sciences,Psychology,Chemistry,Sociology,Geography",False,False,,Reporter,Available,62.0
3550,351–400,University of Bayreuth,50.05,3550,38.0,361,40.8,236,65.0,672,83.4,222,67.7,435,Germany,8944,24.5,14.0,46 : 54,42.0,University of Bayreuth,"Chemical Engineering,Education,Languages, Literature & Linguistics,Chemistry,Accounting & Finance,Mechanical & Aerospace Engineering,Communication & Media Studies,Computer Science,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Biological Sciences,Business & Management,General Engineering,Sociology,History, Philosophy & Theology,Physics & Astronomy,Sport Science,Law,Art, Performing Arts & Design,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Geography",False,False,,Reporter,Available,46.0
3560,351–400,University of Bordeaux,50.05,3560,37.2,384,29.9,474,72.5,495,66.7,511,66.6,455,France,52643,21.7,14.0,60 : 40,26.0,University of Bordeaux,"Business & Management,Mathematics & Statistics,Agriculture & Forestry,Other Health,Medicine & Dentistry,Computer Science,Civil Engineering,Law,Accounting & Finance,Psychology,Education,Sociology,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Archaeology,Physics & Astronomy,General Engineering,Chemistry,Sport Science,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Chemical Engineering,Politics & International Studies (incl Development Studies)",False,False,,Reporter,Available,60.0
3570,351–400,Brunel University London,50.05,3570,25.2,987,26.5,556,80.7,307,60.1,643,98.4,4,United Kingdom,14130,17.9,40.0,47 : 53,35.0,Brunel University London,"Civil Engineering,Psychology,Biological Sciences,Accounting & Finance,Art, Performing Arts & Design,Sport Science,Business & Management,Computer Science,Law,Other Health,Geology, Environmental, Earth & Marine Sciences,Geography,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Education,General Engineering,Communication & Media Studies,History, Philosophy & Theology,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Mathematics & Statistics,Economics & Econometrics,Chemical Engineering,Sociology",False,False,,Reporter,Available,47.0
3580,351–400,University of Campinas,50.05,3580,50.0,133,45.5,185,54.0,915,65.5,537,40.4,1106,Brazil,32252,18.9,3.0,46 : 54,27.0,University of Campinas,"Education,Economics & Econometrics,Other Health,Mathematics & Statistics,Mechanical & Aerospace Engineering,Agriculture & Forestry,Accounting & Finance,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Physics & Astronomy,Medicine & Dentistry,Geography,Biological Sciences,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Architecture,Sociology,Sport Science,Communication & Media Studies,Business & Management,Civil Engineering,History, Philosophy & Theology,General Engineering,Art, Performing Arts & Design,Electrical & Electronic Engineering,Chemistry,Computer Science",False,False,,Reporter,Available,46.0
3590,351–400,University of Canberra,50.05,3590,24.1,1074,31.6,426,82.4,275,40.8,960,88.3,146,Australia,11299,34.4,23.0,56 : 44,24.0,University of Canberra,"Art, Performing Arts & Design,Sport Science,Accounting & Finance,Medicine & Dentistry,Biological Sciences,Education,Other Health,Psychology,General Engineering,Sociology,Computer Science,Law,Architecture,Mathematics & Statistics,History, Philosophy & Theology,Chemistry,Languages, Literature & Linguistics,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Business & Management,Civil Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Communication & Media Studies",False,False,,Reporter,Available,56.0
3600,351–400,Chongqing University,50.05,3600,32.8,553,38.2,278,75.9,420,79.6,268,42.0,1052,China,42607,20.1,2.0,53 : 47,43.0,Chongqing University,"Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Mathematics & Statistics,Sociology,Sport Science,Accounting & Finance,Languages, Literature & Linguistics,Chemical Engineering,Business & Management,Civil Engineering,Economics & Econometrics,Electrical & Electronic Engineering,Physics & Astronomy,Architecture,Biological Sciences,Law,History, Philosophy & Theology,Chemistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Communication & Media Studies",False,False,,Reporter,Available,53.0
3610,351–400,"City, University of London",50.05,3610,27.4,849,30.9,446,78.6,351,61.8,617,95.5,38,United Kingdom,16080,19.5,45.0,58 : 42,26.0,"City, University of London","Mechanical & Aerospace Engineering,Economics & Econometrics,Sociology,Languages, Literature & Linguistics,Other Health,General Engineering,History, Philosophy & Theology,Art, Performing Arts & Design,Computer Science,Communication & Media Studies,Accounting & Finance,Business & Management,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Psychology,Law,Mathematics & Statistics,Civil Engineering",False,False,,Reporter,Available,58.0
