university_name,university_name_clean,country_name,country_name_clean,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024,university_id
University of Toronto,university of toronto,Canada,canada,21.0,88.6,77.5,94.1,92.8,96.1,90.7,25.8,27.0,56.0,U0025
UCL,ucl,United Kingdom,united kingdom,22.0,88.1,78.4,86.4,98.6,75.2,97.9,11.3,61.0,59.0,U0009
University of Michigan-Ann Arbor,university of michigan-ann arbor,United States,united states,23.0,87.4,84.7,87.4,95.5,80.7,69.0,8.1,16.0,51.0,U0044
Carnegie Mellon University,carnegie mellon university,United States,united states,24.0,86.3,75.0,84.6,98.9,87.3,85.5,11.9,44.0,44.0,U0058
University of Washington,university of washington,United States,united states,25.0,85.3,78.0,83.5,98.2,77.6,73.2,10.1,16.0,56.0,U0076
Duke University,duke university,United States,united states,26.0,83.9,79.3,76.1,96.2,100.0,74.8,3.9,18.0,52.0,U0061
New York University,new york university,United States,united states,27.0,83.5,73.2,84.0,94.9,75.4,80.7,11.8,42.0,58.0,U1511
Northwestern University,northwestern university,United States,united states,28.0,83.2,72.3,78.8,97.8,99.7,75.9,13.1,18.0,52.0,U0051
The University of Tokyo,the university of tokyo,Japan,japan,29.0,83.1,93.9,94.2,67.8,100.0,49.7,10.3,15.0,53.0,U0033
University of Edinburgh,university of edinburgh,United Kingdom,united kingdom,,82.5,70.7,77.5,96.9,71.1,97.0,11.5,46.0,61.0,U1512
Technical University of Munich,technical university of munich,Germany,germany,,82.5,69.8,85.1,90.0,100.0,83.1,44.4,39.0,37.0,U0028
"Nanyang Technological University, Singapore","nanyang technological university, singapore",Singapore,singapore,32.0,82.3,66.2,80.9,94.5,99.7,93.3,16.7,27.0,49.0,U1513
École Polytechnique Fédérale de Lausanne,école polytechnique fédérale de lausanne,Switzerland,switzerland,33.0,81.4,74.5,73.2,90.3,99.8,95.8,13.5,64.0,30.0,U1514
"University of California, San Diego","university of california, san diego",United States,united states,34.0,81.0,66.0,78.4,97.6,100.0,74.3,12.0,19.0,45.0,U1515
University of Hong Kong,university of hong kong,Hong Kong,hong kong,35.0,80.3,65.6,72.3,96.4,95.2,96.8,18.3,43.0,55.0,U1516
Georgia Institute of Technology,georgia institute of technology,United States,united states,36.0,80.0,63.4,78.9,94.1,94.6,84.8,28.0,29.0,34.0,U0114
University of Melbourne,university of melbourne,Australia,australia,37.0,79.2,64.8,76.4,90.1,98.3,92.7,25.1,47.0,58.0,U1517
King’s College London,king’s college london,United Kingdom,united kingdom,,79.0,59.8,75.1,97.7,74.2,97.5,13.9,53.0,63.0,U1518
LMU Munich,lmu munich,Germany,germany,,79.0,65.3,76.8,92.2,100.0,76.9,33.5,18.0,62.0,U1519
Paris Sciences et Lettres – PSL Research University Paris,paris sciences et lettres – psl research university paris,France,france,40.0,78.5,75.7,72.8,83.2,99.7,81.6,15.0,22.0,51.0,U1520
University of British Columbia,university of british columbia,Canada,canada,41.0,78.0,62.5,76.6,90.5,76.7,95.0,19.4,34.0,55.0,U0038
University of Illinois at Urbana-Champaign,university of illinois at urbana-champaign,United States,united states,42.0,77.9,69.5,81.5,85.2,85.3,64.0,19.6,23.0,51.0,U0070
Shanghai Jiao Tong University,shanghai jiao tong university,China,china,43.0,77.7,76.6,82.5,75.4,100.0,60.6,12.6,9.0,37.0,U0045
Fudan University,fudan university,China,china,44.0,77.5,76.5,75.3,83.5,96.0,56.1,12.6,9.0,52.0,U0039
KU Leuven,ku leuven,Belgium,belgium,45.0,77.0,60.1,74.9,91.9,100.0,79.6,37.3,19.0,52.0,U0063
London School of Economics and Political Science,london school of economics and political science,United Kingdom,united kingdom,46.0,76.8,59.5,73.5,95.4,55.9,94.1,12.6,72.0,56.0,U1521
Universität Heidelberg,universität heidelberg,Germany,germany,47.0,76.7,67.7,64.3,94.6,99.3,76.4,13.3,20.0,55.0,U1522
Delft University of Technology,delft university of technology,Netherlands,netherlands,48.0,76.3,66.7,78.2,76.5,100.0,92.8,15.9,30.0,31.0,U0049
McGill University,mcgill university,Canada,canada,49.0,76.0,62.3,72.3,88.8,76.1,92.5,11.9,29.0,61.0,U0029
Karolinska Institute,karolinska institute,Sweden,sweden,50.0,75.9,58.9,67.9,95.3,96.0,85.7,9.9,27.0,70.0,U1523
University of Manchester,university of manchester,United Kingdom,united kingdom,51.0,75.6,61.4,67.1,93.1,73.1,95.6,15.6,45.0,56.0,U1524
University of Texas at Austin,university of texas at austin,United States,united states,52.0,75.5,66.0,75.7,91.0,81.4,47.3,16.4,8.0,55.0,U0066
Chinese University of Hong Kong,chinese university of hong kong,Hong Kong,hong kong,53.0,75.4,59.1,61.5,97.6,95.9,93.6,18.8,25.0,53.0,U1525
Monash University,monash university,Australia,australia,54.0,75.2,55.3,67.8,94.7,99.7,91.1,43.1,38.0,56.0,U0037
Kyoto University,kyoto university,Japan,japan,,75.0,85.4,84.3,60.0,100.0,45.7,9.0,11.0,25.0,U0050
Zhejiang University,zhejiang university,China,china,,75.0,70.2,75.3,78.7,99.0,65.5,12.0,16.0,53.0,U0048
University of Science and Technology of China,university of science and technology of china,China,china,57.0,74.8,74.3,66.3,88.2,95.6,45.4,8.1,5.0,53.0,U0135
Université Paris-Saclay,université paris-saclay,France,france,58.0,74.4,70.9,66.1,82.4,92.4,78.6,13.0,24.0,50.0,U0073
"University of California, Davis","university of california, davis",United States,united states,59.0,74.1,63.7,67.8,87.2,91.5,78.7,13.3,18.0,60.0,U0130
The University of Sydney,the university of sydney,Australia,australia,60.0,73.8,52.6,68.9,92.0,97.7,90.2,23.1,51.0,58.0,U0018
University of Amsterdam,university of amsterdam,Netherlands,netherlands,61.0,73.6,55.0,63.1,96.7,77.6,93.2,13.2,36.0,60.0,U0055
Seoul National University,seoul national university,South Korea,south korea,62.0,73.4,74.2,75.3,74.6,100.0,43.7,16.1,13.0,53.0,U0031
University of Wisconsin-Madison,university of wisconsin-madison,United States,united states,63.0,73.3,68.5,67.5,85.5,79.8,62.8,9.9,13.0,53.0,U0116
Brown University,brown university,United States,united states,,73.0,69.8,59.6,89.7,69.3,72.1,10.3,19.0,53.0,U0079
The Hong Kong University of Science and Technology,the hong kong university of science and technology,Hong Kong,hong kong,,73.0,54.0,62.1,92.9,100.0,95.5,19.9,30.0,53.0,U0047
Wageningen University & Research,wageningen university & research,Netherlands,netherlands,,73.0,56.4,59.8,93.8,98.8,92.4,18.1,28.0,54.0,U0157
Australian National University,australian national university,Australia,australia,67.0,72.6,55.9,68.0,86.6,82.0,94.8,15.1,48.0,52.0,U1526
Washington University in St Louis,washington university in st louis,United States,united states,68.0,72.3,60.8,57.2,97.5,77.8,72.7,7.3,22.0,52.0,U1527
"University of California, Santa Barbara","university of california, santa barbara",United States,united states,69.0,72.1,47.4,64.7,96.9,99.4,84.0,27.5,18.0,54.0,U1528
The University of Queensland,the university of queensland,Australia,australia,70.0,72.0,52.9,64.3,89.1,99.8,94.0,39.1,42.0,55.0,U0041
Institut Polytechnique de Paris,institut polytechnique de paris,France,france,71.0,71.3,71.0,61.6,70.8,98.8,97.1,6.8,42.0,25.0,U0046
University of North Carolina at Chapel Hill,university of north carolina at chapel hill,United States,united states,72.0,71.2,63.4,60.3,93.9,75.8,50.9,7.7,8.0,60.0,U1529
Nanjing University,nanjing university,China,china,73.0,70.9,64.0,61.7,85.3,96.8,61.8,16.7,8.0,54.0,U0145
University of Southern California,university of southern california,United States,united states,74.0,70.8,59.2,58.8,92.5,74.4,74.3,14.2,24.0,49.0,U0125
Sorbonne University,sorbonne university,France,france,75.0,70.5,64.7,60.8,83.7,69.5,78.8,14.5,22.0,60.0,U0064
Yonsei University (Seoul campus),yonsei university (seoul campus),South Korea,south korea,76.0,70.4,68.1,64.3,79.3,99.9,51.8,13.9,17.0,49.0,U1530
Leiden University,leiden university,Netherlands,netherlands,77.0,70.2,46.0,62.7,93.0,98.1,87.8,19.3,21.0,60.0,U0142
Boston University,boston university,United States,united states,78.0,70.1,59.6,54.1,94.3,76.4,74.1,10.8,29.0,58.0,U0112
University of Groningen,university of groningen,Netherlands,netherlands,79.0,70.0,47.5,57.2,94.5,99.9,93.4,28.8,29.0,53.0,U0160
University of Zurich,university of zurich,Switzerland,switzerland,80.0,69.9,54.8,53.4,91.8,93.7,92.4,14.7,24.0,58.0,U0110
University of Bristol,university of bristol,United Kingdom,united kingdom,81.0,69.8,48.7,56.5,97.3,72.3,92.5,14.8,31.0,55.0,U0054
City University of Hong Kong,city university of hong kong,Hong Kong,hong kong,82.0,69.3,52.2,52.4,91.1,100.0,98.7,13.2,67.0,54.0,U0062
Korea Advanced Institute of Science and Technology (KAIST),korea advanced institute of science and technology (kaist),South Korea,south korea,83.0,69.2,67.1,65.8,77.4,100.0,41.6,10.7,8.0,21.0,U1531
UNSW Sydney,unsw sydney,Australia,australia,84.0,68.9,47.2,57.4,91.1,98.6,94.5,36.6,40.0,47.0,U1532
University of Minnesota,university of minnesota,United States,united states,85.0,68.7,61.0,58.5,87.2,99.8,48.3,11.8,9.0,55.0,U1533
Purdue University West Lafayette,purdue university west lafayette,United States,united states,86.0,68.5,64.0,65.3,71.8,84.3,76.7,18.3,17.0,44.0,U1534
University of Glasgow,university of glasgow,United Kingdom,united kingdom,,68.2,48.1,51.8,96.8,69.7,96.1,14.4,43.0,59.0,U0078
The Hong Kong Polytechnic University,the hong kong polytechnic university,Hong Kong,hong kong,,68.2,45.7,54.1,94.5,87.4,96.3,30.6,30.0,51.0,U0057
Humboldt University of Berlin,humboldt university of berlin,Germany,germany,,68.2,55.3,63.7,82.8,65.4,79.0,54.5,18.0,53.0,U1535
RWTH Aachen University,rwth aachen university,Germany,germany,90.0,68.0,54.9,64.8,78.9,100.0,71.2,43.3,29.0,34.0,U0099
University of Bonn,university of bonn,Germany,germany,91.0,67.8,51.7,57.7,89.7,82.6,73.8,44.5,17.0,57.0,U1536
"University of California, Irvine","university of california, irvine",United States,united states,,67.4,47.1,53.8,93.2,96.1,80.9,16.2,26.0,53.0,U0307
Vanderbilt University,vanderbilt university,United States,united states,,67.4,54.1,48.5,96.0,96.5,62.9,3.9,17.0,55.0,U0248
Charité - Universitätsmedizin Berlin,charité - universitätsmedizin berlin,Germany,germany,94.0,67.2,47.5,49.1,97.7,100.0,75.2,17.5,21.0,65.0,U1537
Lomonosov Moscow State University,lomonosov moscow state university,Russian Federation,russian federation,,67.0,87.5,75.2,33.9,91.1,73.8,9.6,37.0,50.0,U0094
University of Tübingen,university of tübingen,Germany,germany,,67.0,49.1,56.5,89.0,99.8,72.0,27.1,14.0,59.0,U1538
KTH Royal Institute of Technology,kth royal institute of technology,Sweden,sweden,,66.9,53.5,57.8,81.0,97.7,82.5,15.9,26.0,34.0,U0074
University of Southampton,university of southampton,United Kingdom,united kingdom,,66.9,48.9,50.1,92.7,73.1,96.5,13.0,35.0,51.0,U0081
Erasmus University Rotterdam,erasmus university rotterdam,Netherlands,netherlands,,66.7,38.5,54.1,96.9,94.7,90.6,36.0,25.0,54.0,U0158
Ohio State University (Main campus),ohio state university (main campus),United States,united states,,66.7,55.8,52.7,88.4,85.0,67.3,11.4,11.0,51.0,U1539
University of Birmingham,university of birmingham,United Kingdom,united kingdom,101.0,66.6,46.1,49.3,95.5,72.1,95.1,15.2,32.0,58.0,U0080
Free University of Berlin,free university of berlin,Germany,germany,102.0,66.5,52.1,59.7,82.5,71.6,82.4,41.5,20.0,63.0,U1540
University of Copenhagen,university of copenhagen,Denmark,denmark,,66.3,49.2,51.1,91.3,89.5,80.1,4.3,14.0,62.0,U0100
McMaster University,mcmaster university,Canada,canada,,66.3,43.8,51.3,93.0,100.0,87.3,30.9,22.0,56.0,U0176
University of Sheffield,university of sheffield,United Kingdom,united kingdom,105.0,66.2,48.0,49.5,92.3,77.5,92.0,15.4,40.0,53.0,U1541
Emory University,emory university,United States,united states,,66.1,53.1,45.7,95.5,81.6,69.3,4.0,19.0,61.0,U0196
Lund University,lund university,Sweden,sweden,,66.1,46.7,56.6,86.6,99.8,79.8,12.0,18.0,56.0,U0075
University of Warwick,university of warwick,United Kingdom,united kingdom,,66.1,48.1,52.1,89.0,70.5,96.4,14.4,44.0,50.0,U1542
Aarhus University,aarhus university,Denmark,denmark,,65.9,44.9,59.0,86.3,98.7,76.3,13.5,9.0,56.0,U0144
