University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,QS_Normalized_Rank,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio,THE_Year,THE_Normalized_Rank,THE_Female_Percentage,THE_Male_Percentage
University of Antwerp,Belgium,267.0,38.7,24.1,11.3,37.5,48.1,94.4,32.0,94.6,44.8,74.8,55.294117647058826,168.0,60.731,38.1,44.6,89.9,98.5,75.3,16398.0,32.3,18.0,57 : 43,2025,92.01339072214252,57,43
University of Aveiro,Portugal,359.0,31.9,13.9,5.6,11.1,90.6,4.2,15.3,89.0,2.7,57.7,39.831932773109244,743.0,39.4945,29.2,30.1,54.9,52.6,47.7,13711.0,16.1,11.0,54 : 46,2025,64.51458632233381,54,46
University of Basel,Switzerland,131.0,54.3,26.6,13.5,61.4,94.5,100.0,85.8,89.4,69.9,44.6,78.15126050420169,126.0,64.20100000000001,50.5,42.7,86.0,99.7,95.1,8527.0,10.2,33.0,57 : 43,2025,94.02199904351984,57,43
University of Bath,United Kingdom,150.0,52.1,35.8,67.9,18.3,52.0,94.3,80.0,84.2,35.2,90.4,74.95798319327731,259.0,55.499,37.5,35.5,81.3,66.6,94.5,15200.0,15.7,30.0,45 : 55,2025,87.66140602582496,45,55
University of Bayreuth,Germany,527.0,23.2,10.2,15.7,50.3,25.8,54.8,21.2,75.1,9.0,11.3,11.596638655462185,339.0,51.584,38.9,41.2,66.1,81.7,67.5,7655.0,20.7,15.0,45 : 55,2025,83.83548541367767,45,55
University of Bergen,Norway,291.0,37.1,31.6,8.3,64.9,28.3,93.3,16.9,90.7,63.9,33.6,51.26050420168067,278.0,54.646,35.2,37.1,82.1,76.7,77.4,15607.0,13.0,12.0,59 : 41,2025,86.75274988043998,59,41
University of Bern,Switzerland,161.0,51.2,29.7,16.1,45.9,99.3,100.0,38.0,93.8,30.7,52.1,73.10924369747899,104.0,65.827,46.1,47.9,92.8,99.1,87.1,12054.0,17.7,17.0,59 : 41,2025,95.07412721186034,59,41
University of Birmingham,United Kingdom,80.0,64.1,68.9,69.0,39.0,40.5,92.6,89.3,97.5,44.5,96.8,86.72268907563026,94.0,67.09599999999999,46.7,50.5,95.1,75.3,95.1,32590.0,14.8,32.0,57 : 43,2025,95.55236728837878,57,43
University of Bordeaux,France,535.0,22.9,31.3,5.5,11.5,17.6,27.1,23.3,92.9,16.7,20.1,10.252100840336134,445.0,47.81049999999999,36.8,30.5,68.3,65.8,66.5,50941.0,21.3,15.0,60 : 40,2025,78.7661406025825,60,40
University of Bradford,United Kingdom,531.0,23.1,9.1,7.1,6.8,21.7,68.5,97.6,66.0,34.3,40.7,10.92436974789916,555.0,44.40549999999999,20.4,22.0,76.1,57.5,91.7,10230.0,20.7,38.0,56 : 44,2025,73.50549976087997,56,44
University of Bristol,United Kingdom,54.0,75.4,75.8,82.5,36.7,75.9,87.5,89.8,94.6,51.2,98.9,91.09243697478992,78.0,70.02099999999999,49.8,56.9,96.8,71.1,92.6,28730.0,14.5,33.0,55 : 45,2025,96.31755141080822,55,45
University of British Columbia,Canada,38.0,81.0,98.3,94.3,34.5,57.7,95.5,72.8,96.2,74.6,99.8,93.78151260504201,41.0,77.79599999999999,62.3,76.7,89.7,79.8,94.3,59931.0,19.3,34.0,56 : 44,2025,98.08703969392634,56,44
University of Calgary,Canada,198.0,46.3,37.9,44.5,18.1,40.3,77.7,66.2,85.2,53.3,93.3,66.890756302521,220.0,57.6235,34.4,42.8,83.6,88.9,85.7,34804.0,19.7,26.0,53 : 47,2025,89.52654232424678,53,47
University of California Berkeley,United States,12.0,90.1,100.0,100.0,23.5,98.2,91.5,61.0,97.2,98.4,100.0,98.15126050420167,8.0,94.565,87.2,98.9,99.0,99.5,86.4,42423.0,18.7,25.0,52 : 48,2025,99.66523194643712,52,48
University of California Davis,United States,130.0,54.4,63.0,48.0,23.5,52.5,72.7,51.3,90.6,22.8,76.1,78.31932773109244,62.0,73.54399999999998,63.8,67.8,86.1,89.4,75.4,38873.0,13.9,17.0,59 : 41,2025,97.08273553323768,59,41
University of California Irvine,United States,307.0,35.5,37.5,22.3,17.3,40.7,43.9,58.7,84.1,11.2,36.0,48.57142857142857,90.0,67.30799999999999,48.3,53.2,92.9,97.6,78.1,35218.0,15.5,25.0,54 : 46,2025,95.74366331898612,54,46
University of California Los Angeles,United States,42.0,79.8,100.0,99.8,35.4,74.0,42.2,22.3,95.5,94.7,67.1,93.10924369747899,18.0,89.7995,84.9,92.1,96.6,89.0,73.4,44237.0,9.9,15.0,56 : 44,2025,99.1869918699187,56,44
University of California Riverside,United States,497.0,24.2,16.3,9.4,6.6,50.9,47.9,10.4,77.3,3.7,21.3,16.63865546218487,276.0,54.6765,37.0,34.8,83.9,69.8,76.1,25347.0,19.7,14.0,52 : 48,2025,86.84839789574367,52,48
University of California San Diego,United States,72.0,67.1,89.3,57.8,50.8,67.0,54.6,44.3,95.5,21.7,44.3,88.0672268907563,34.0,79.89,64.9,75.8,97.4,100.0,73.9,39993.0,11.0,21.0,49 : 51,2025,98.42180774748924,49,51
University of California Santa Barbara,United States,178.0,48.9,52.6,21.3,7.7,97.8,75.4,17.2,71.2,7.9,28.4,70.25210084033613,68.0,72.6515,49.6,65.5,96.7,96.8,81.9,25442.0,27.6,17.0,55 : 45,2025,96.79579148732664,55,45
University of California Santa Cruz,United States,393.0,29.9,17.7,5.9,7.4,65.3,53.4,7.0,64.5,6.1,83.6,34.11764705882353,197.0,58.885,35.3,41.7,93.2,71.9,73.9,19782.0,24.1,10.0,46 : 54,2025,90.62649450023912,46,54
University of Cambridge,United Kingdom,5.0,96.7,100.0,100.0,100.0,84.6,100.0,94.8,99.3,100.0,84.8,99.32773109243698,5.0,97.36,95.9,99.9,97.6,88.4,97.1,20980.0,11.5,38.0,49 : 51,2025,99.80870396939264,49,51
University of Canberra,Australia,403.0,29.5,14.3,7.7,2.4,51.2,79.6,69.4,63.1,5.6,70.9,32.436974789915965,467.0,47.1515,23.1,31.4,74.5,52.9,90.2,11230.0,31.5,28.0,57 : 43,2025,77.71401243424198,57,43
University of Cape Town,South Africa,171.0,50.0,45.2,51.8,13.8,46.8,56.5,19.2,97.3,95.8,95.6,71.42857142857143,181.0,59.67199999999999,37.8,45.3,86.6,80.6,82.4,21021.0,13.0,13.0,55 : 45,2025,91.39167862266858,55,45
University of Chemistry and Technology Prague,Czech Republic,570.0,21.8,5.6,9.3,98.4,13.5,23.9,78.4,34.9,4.2,3.4,4.369747899159663,1254.0,29.6325,36.7,15.1,27.2,54.3,54.6,4505.0,9.5,29.0,57 : 43,2025,40.07651841224295,57,43
University of Chicago,United States,21.0,86.2,99.1,96.4,94.2,60.8,79.0,87.0,85.1,99.1,46.9,96.63865546218487,15.0,90.9285,88.4,90.0,97.4,86.2,81.1,16373.0,6.0,38.0,46 : 54,2025,99.33046389287422,46,54
University of Coimbra,Portugal,355.0,32.1,29.4,10.8,10.3,49.8,8.1,22.9,91.2,31.1,75.8,40.50420168067227,484.0,46.5485,30.8,40.3,61.4,80.2,55.3,22687.0,19.9,18.0,57 : 43,2025,76.9010043041607,57,43
University of Cologne,Germany,285.0,37.2,35.2,30.4,15.7,29.3,35.9,30.1,90.8,56.8,91.9,52.268907563025216,158.0,61.37799999999999,42.9,47.5,86.0,96.5,70.5,29832.0,27.7,17.0,,2025,92.49163079866094,,
University of Colorado Boulder,United States,320.0,34.4,36.1,17.5,38.3,34.9,32.2,4.9,86.3,31.6,62.8,46.38655462184874,143.0,62.2535,47.0,52.6,86.6,73.3,56.3,36067.0,16.7,9.0,46 : 54,2025,93.20899091343856,46,54
University of Connecticut,United States,565.0,22.0,14.4,8.1,18.2,29.8,27.4,19.4,88.0,23.3,37.6,5.2100840336134455,337.0,51.6785,41.1,31.5,76.0,68.6,65.0,28524.0,11.6,11.0,53 : 47,2025,83.93113342898135,53,47
University of Copenhagen,Denmark,100.0,59.6,74.0,31.6,99.8,23.1,84.9,15.6,98.2,90.8,73.2,83.36134453781513,97.0,66.67,49.1,51.8,92.0,90.4,79.3,30962.0,4.2,14.0,63 : 37,2025,95.40889526542324,63,37
University of Cyprus,Cyprus,389.0,30.1,10.0,4.7,4.5,75.0,93.8,20.0,73.4,42.1,5.8,34.78991596638655,495.0,46.096,27.4,26.0,74.1,63.2,76.2,7002.0,20.4,13.0,62 : 38,2025,76.37494021999044,62,38
University of Debrecen,Hungary,574.0,21.5,17.9,13.9,34.0,3.9,10.6,70.0,76.7,21.4,39.5,3.697478991596639,867.0,36.94199999999999,42.2,19.9,40.9,48.8,60.0,20294.0,12.0,25.0,55 : 45,2025,58.584409373505494,55,45
University of Delaware,United States,506.0,24.0,9.4,7.9,6.6,53.9,30.0,12.6,66.5,16.9,65.3,15.126050420168067,391.0,49.52,35.4,34.1,70.8,84.7,60.8,21379.0,16.4,11.0,58 : 42,2025,81.34863701578192,58,42
University of Delhi,India,328.0,33.8,38.1,35.3,4.3,25.9,1.3,1.5,75.1,96.0,70.6,45.04201680672269,864.0,37.002,41.2,27.5,43.2,53.2,23.8,25926.0,21.0,2.0,47 : 53,2025,58.72788139646102,47,53
University of Dhaka,Bangladesh,554.0,22.4,23.0,45.6,11.2,2.9,1.6,1.0,52.0,93.7,11.8,7.0588235294117645,1040.0,33.555,20.1,10.3,67.2,21.4,48.3,194187.0,12.5,3.0,59 : 41,2025,50.31085604973696,59,41
University of Dundee,United Kingdom,418.0,28.5,18.4,13.7,30.8,14.0,91.1,89.4,75.2,7.4,55.4,29.915966386554622,320.0,52.558,26.2,32.2,84.6,79.9,92.2,15145.0,19.5,31.0,64 : 36,2025,84.74414155906264,64,36
University of East Anglia,United Kingdom,332.0,33.6,17.2,7.2,15.2,58.7,66.8,32.2,87.9,19.2,91.4,44.36974789915966,281.0,54.44749999999999,31.5,31.3,90.1,59.7,88.8,16330.0,13.6,23.0,57 : 43,2025,86.60927785748446,57,43
University of Eastern Finland,Finland,535.0,22.9,13.8,7.6,43.7,18.4,37.4,5.2,86.4,4.2,78.6,10.252100840336134,520.0,45.23049999999999,28.8,29.8,72.5,66.5,49.1,12420.0,16.8,6.0,68 : 32,2025,75.17934002869441,68,32
University of Electronic Science and Technology of China,China,451.0,26.5,5.3,5.0,8.2,99.1,3.2,2.5,73.3,7.2,2.3,24.369747899159663,332.0,51.959500000000006,35.6,37.2,80.7,98.3,33.7,38924.0,16.4,2.0,27 : 73,2025,84.17025346724056,27,73
University of Florence,Italy,375.0,31.2,34.6,8.4,4.4,46.6,7.3,12.3,88.5,30.3,74.5,37.142857142857146,364.0,50.71799999999999,36.9,35.8,75.6,75.7,49.9,40415.0,22.4,11.0,57 : 43,2025,82.63988522238164,57,43
University of Florida,United States,215.0,44.2,46.7,42.3,62.9,32.1,17.8,10.3,98.3,44.5,60.6,64.03361344537815,130.0,63.6485,54.4,56.8,79.1,89.9,50.7,47534.0,15.9,10.0,56 : 44,2025,93.83070301291248,56,44
University of Galway,Ireland,273.0,38.3,26.2,30.3,63.2,13.2,95.2,43.2,81.3,46.6,85.9,54.285714285714285,381.0,49.96750000000001,25.6,34.9,76.4,86.8,78.7,16039.0,26.0,18.0,61 : 39,2025,81.82687709230034,61,39
University of Geneva,Switzerland,155.0,51.6,45.5,17.2,40.4,62.4,100.0,97.6,94.2,49.5,42.3,74.11764705882354,171.0,60.5715,43.2,39.0,86.4,84.0,96.5,18261.0,8.1,41.0,62 : 38,2025,91.869918699187,62,38
University of Genoa,Italy,547.0,22.6,18.8,4.9,12.7,43.7,5.4,9.2,81.2,10.5,39.5,8.235294117647058,412.0,48.88699999999999,37.3,30.6,74.8,76.3,46.9,20489.0,17.8,8.0,59 : 41,2025,80.34433285509326,59,41
University of Glasgow,United Kingdom,78.0,65.0,77.4,67.7,38.0,32.5,95.7,99.4,97.6,33.5,98.5,87.05882352941177,87.0,67.79849999999999,47.5,51.4,96.0,72.0,96.0,36240.0,15.1,46.0,59 : 41,2025,95.88713534194166,59,41
University of Gothenburg,Sweden,194.0,46.7,35.4,18.3,60.9,33.6,90.0,78.2,94.2,63.1,92.8,67.56302521008404,215.0,57.77499999999999,34.6,43.4,90.2,77.3,64.4,21568.0,11.5,13.0,,2025,89.76566236250598,,
University of Göttingen,Germany,252.0,40.3,46.4,27.1,76.4,16.2,49.7,22.4,95.1,40.3,32.1,57.815126050420176,121.0,64.7495,49.2,54.0,88.2,70.7,70.5,21729.0,25.2,14.0,54 : 46,2025,94.26111908177906,54,46
University of Granada,Spain,431.0,27.6,44.4,14.1,5.7,26.2,3.1,14.8,96.3,4.9,26.3,27.73109243697479,678.0,41.1525,28.8,26.4,62.2,55.2,55.1,56877.0,14.9,12.0,60 : 40,2025,67.62314681970349,60,40
University of Groningen,Netherlands,159.0,51.3,52.3,34.4,49.3,41.2,93.2,83.5,94.1,40.0,40.1,73.44537815126051,81.0,69.8115,46.4,57.5,94.8,99.9,93.5,32845.0,29.1,30.0,54 : 46,2025,96.1740793878527,54,46
University of Guelph,Canada,456.0,26.3,12.8,12.8,5.0,50.1,46.4,14.3,65.2,11.2,82.9,23.52941176470588,421.0,48.591,33.9,36.3,66.4,80.4,65.7,22115.0,26.5,11.0,59 : 41,2025,79.9139167862267,59,41
University of Hawai i at Manoa,United States,488.0,24.6,15.2,6.6,29.7,41.7,41.7,12.0,82.9,7.9,30.1,18.15126050420168,251.0,55.7375,40.6,43.4,75.7,67.8,76.7,15692.0,12.3,10.0,59 : 41,2025,88.0439980870397,59,41
University of Helsinki,Finland,117.0,56.8,62.3,29.1,59.4,49.6,73.4,5.7,96.9,90.5,94.5,80.50420168067227,107.0,65.654,48.8,58.0,90.9,68.2,59.2,23822.0,16.5,6.0,65 : 35,2025,94.93065518890484,65,35
University of Huddersfield,United Kingdom,501.0,24.1,12.7,12.4,7.5,19.4,63.7,85.6,73.0,1.3,72.3,15.966386554621847,552.0,44.438,26.6,24.7,69.8,44.2,89.6,13685.0,18.5,28.0,59 : 41,2025,73.64897178383548,59,41
University of Hull,United Kingdom,516.0,23.6,8.9,4.5,14.3,21.5,63.3,81.5,76.9,20.5,68.0,13.445378151260504,496.0,46.065,23.6,24.2,77.4,55.5,88.6,12625.0,18.3,31.0,55 : 45,2025,76.3271162123386,55,45
University of Iceland,Iceland,547.0,22.6,6.8,2.5,99.9,6.7,25.7,10.3,73.5,83.2,5.9,8.235294117647058,511.0,45.447,24.5,35.2,68.6,82.1,55.3,10045.0,17.0,12.0,68 : 32,2025,75.60975609756098,68,32
University of Illinois at Urbana Champaign,United States,69.0,68.2,83.9,75.7,6.4,77.5,14.0,56.3,90.4,81.7,65.0,88.57142857142857,46.0,76.51599999999999,66.4,81.0,84.1,86.7,63.2,50655.0,19.7,25.0,51 : 49,2025,97.84791965566714,51,49
University of Iowa,United States,596.0,20.8,18.4,8.7,41.7,19.1,15.5,3.7,75.6,26.6,20.8,0.0,280.0,54.478,46.5,33.2,78.0,91.5,54.3,28098.0,10.7,5.0,56 : 44,2025,86.6571018651363,56,44
University of Johannesburg,South Africa,312.0,35.0,17.7,17.9,40.3,24.9,96.5,51.4,98.0,63.1,65.6,47.73109243697479,420.0,48.62349999999999,28.4,36.9,67.6,77.3,82.3,31430.0,26.2,14.0,56 : 44,2025,79.96174079387852,56,44
University of Jordan,Jordan,368.0,31.4,32.9,46.7,19.5,3.5,21.2,43.5,67.0,82.1,39.5,38.31932773109244,758.0,38.95049999999999,30.4,15.1,62.8,35.4,71.3,25265.0,10.6,23.0,69 : 31,2025,63.79722620755619,69,31
University of Jyväskylä,Finland,489.0,24.5,16.2,11.4,87.7,12.1,44.0,2.6,81.2,10.4,16.3,17.983193277310924,469.0,47.116,29.4,34.2,76.6,47.5,48.6,10910.0,13.1,4.0,63 : 37,2025,77.6183644189383,63,37
University of Kansas,United States,452.0,26.4,14.4,12.6,86.7,9.2,60.3,7.2,84.6,28.2,32.4,24.201680672268907,358.0,50.94599999999999,44.0,29.7,73.0,80.2,56.6,23598.0,9.5,7.0,54 : 46,2025,82.92682926829268,54,46
University of Kent,United Kingdom,380.0,30.8,15.4,10.0,14.6,45.7,95.1,49.8,78.8,34.0,40.4,36.30252100840336,377.0,50.2045,30.6,28.6,77.8,62.9,93.7,15875.0,17.0,28.0,54 : 46,2025,82.0181731229077,54,46
University of Kwazulu Natal,South Africa,587.0,21.1,12.6,10.2,5.5,24.5,24.5,1.6,93.7,71.2,37.9,1.5126050420168067,522.0,45.1755,32.2,37.1,62.8,46.0,56.5,34156.0,30.9,2.0,61 : 39,2025,75.08369201339072,61,39
University of Lausanne,Switzerland,224.0,43.6,28.4,18.8,36.8,61.0,100.0,54.2,79.8,51.8,51.2,62.52100840336134,135.0,62.98,41.0,46.0,89.5,99.0,89.8,14512.0,10.1,23.0,,2025,93.59158297465328,,
University of Leeds,United Kingdom,82.0,63.8,70.5,75.9,36.4,39.8,82.5,88.5,98.8,50.9,71.8,86.38655462184875,123.0,64.521,46.4,51.0,87.0,71.2,94.6,35710.0,15.1,38.0,59 : 41,2025,94.16547106647538,59,41
University of Leicester,United Kingdom,285.0,37.2,19.8,13.7,30.8,43.4,80.0,95.3,88.8,22.7,75.0,52.268907563025216,194.0,59.197,34.9,34.9,96.1,69.7,95.5,14825.0,14.8,38.0,52 : 48,2025,90.76996652319464,52,48
University of Limerick,Ireland,421.0,28.3,18.3,25.5,15.7,23.0,87.1,30.8,72.5,8.0,76.4,29.411764705882355,568.0,44.142,26.2,33.2,60.9,67.0,77.8,14485.0,27.1,18.0,51 : 49,2025,72.88378766140603,51,49
University of Lisbon,Portugal,260.0,39.6,44.0,20.7,10.7,36.5,9.0,39.4,98.2,94.0,70.9,56.470588235294116,448.0,47.728,30.4,39.6,66.4,71.4,60.0,49161.0,17.7,20.0,54 : 46,2025,78.62266857962697,54,46
University of Liverpool,United Kingdom,165.0,50.7,46.1,39.4,37.8,36.6,88.3,85.4,97.2,36.3,95.6,72.43697478991596,161.0,61.053,40.1,40.7,92.1,65.7,95.5,25735.0,13.8,30.0,55 : 45,2025,92.3481587757054,55,45
University of Ljubljana,Slovenia,596.0,20.8,19.9,9.2,33.3,5.9,4.2,9.7,84.8,97.6,4.9,0.0,904.0,36.258,25.9,21.5,54.9,68.5,42.3,39010.0,13.2,9.0,60 : 40,2025,56.81492109038737,60,40
University of Luxembourg,Luxembourg,355.0,32.1,9.2,4.5,80.8,25.2,100.0,100.0,70.1,52.8,3.1,40.50420168067227,241.0,56.3535,39.2,39.5,77.1,81.3,92.7,5860.0,22.1,52.0,54 : 46,2025,88.52223816355811,54,46
University of Macau,Macau SAR,245.0,41.1,11.9,10.5,9.8,99.1,100.0,99.9,57.0,50.3,7.7,58.991596638655466,180.0,59.7025,37.7,39.0,90.7,70.4,96.6,11573.0,19.2,46.0,54 : 46,2025,91.43950263032042,54,46
University of Maryland College Park,United States,218.0,44.0,48.6,29.4,32.5,55.0,20.9,16.2,92.3,41.2,54.4,63.52941176470588,114.0,65.387,49.0,57.7,92.1,71.6,49.4,33914.0,16.9,9.0,50 : 50,2025,94.59588713534194,50,50
University of Miami,United States,324.0,34.1,19.0,29.5,50.0,39.3,66.7,16.9,81.6,43.8,27.9,45.714285714285715,232.0,57.0055,46.5,34.8,83.6,79.9,65.6,18354.0,10.8,13.0,54 : 46,2025,88.95265423242468,54,46
University of Michigan Ann Arbor,United States,44.0,79.0,97.9,92.1,80.3,47.6,65.5,39.2,95.8,94.5,62.2,92.77310924369748,23.0,87.65549999999999,84.3,88.8,95.4,82.5,68.2,47787.0,8.5,18.0,52 : 48,2025,98.9478718316595,52,48
University of Milan,Italy,285.0,37.2,52.8,17.0,6.4,39.6,6.5,6.8,85.5,44.1,74.8,52.268907563025216,326.0,52.3595,35.4,32.8,86.9,70.8,46.7,51208.0,20.9,7.0,60 : 40,2025,84.4571975131516,60,40
University of Naples Federico II,Italy,347.0,32.8,36.6,19.7,4.2,65.1,2.2,1.1,92.5,7.3,20.1,41.84873949579832,352.0,51.0215,37.8,29.8,85.9,71.4,34.7,55334.0,19.2,2.0,56 : 44,2025,83.21377331420373,56,44
University of Navarra,Spain,249.0,40.7,30.6,68.0,49.6,14.7,24.8,73.8,63.6,75.8,42.3,58.31932773109244,269.0,54.8635,37.2,32.3,84.5,87.0,75.9,12424.0,14.7,29.0,54 : 46,2025,87.18316594930656,54,46
University of Notre Dame,United States,316.0,34.7,25.8,25.2,60.8,29.2,22.3,18.4,70.1,60.2,68.9,47.05882352941176,198.0,58.871500000000005,53.2,45.1,72.4,73.9,72.3,12860.0,10.9,13.0,47 : 53,2025,90.57867049258728,47,53
University of Nottingham,United Kingdom,108.0,58.5,61.1,65.8,32.8,37.6,89.4,70.5,98.0,38.0,97.0,82.01680672268907,138.0,62.642,43.6,46.2,88.3,71.8,93.6,35030.0,16.1,29.0,55 : 45,2025,93.44811095169774,55,45
University of Oslo,Norway,119.0,56.1,55.6,16.0,73.8,55.7,91.6,31.7,97.3,80.9,72.1,80.16806722689076,117.0,65.23049999999999,46.6,52.4,91.6,74.5,77.7,19971.0,11.7,17.0,63 : 37,2025,94.45241511238642,63,37
University of Otago,New Zealand,214.0,44.4,45.0,24.6,12.8,38.8,100.0,37.6,79.5,59.1,96.0,64.2016806722689,378.0,50.1355,31.4,34.7,73.9,65.8,80.1,18927.0,20.1,15.0,61 : 39,2025,81.97034911525586,61,39
University of Ottawa,Canada,189.0,47.3,26.2,23.3,3.5,81.3,91.7,77.8,93.0,39.8,92.9,68.40336134453781,193.0,59.248,37.2,44.7,85.1,81.4,87.0,40289.0,28.4,28.0,56 : 44,2025,90.81779053084648,56,44
University of Oulu,Finland,344.0,32.9,15.1,13.5,25.3,59.4,65.3,8.6,89.4,21.7,68.6,42.35294117647059,284.0,54.36749999999999,34.3,38.9,84.7,69.7,63.6,10857.0,20.7,8.0,55 : 45,2025,86.46580583452894,55,45
University of Oxford,United Kingdom,3.0,96.9,100.0,100.0,100.0,84.8,98.1,97.7,100.0,100.0,85.0,99.66386554621849,1.0,98.4775,96.8,100.0,98.8,99.6,97.3,22095.0,10.8,43.0,51 : 49,2025,100.0,51,49
University of Pennsylvania,United States,11.0,90.3,96.3,91.9,99.8,74.0,90.9,66.2,91.9,100.0,93.0,98.31932773109243,14.0,90.947,87.1,90.7,96.9,98.3,79.3,22539.0,6.8,24.0,55 : 45,2025,99.37828790052606,55,45
University of Pisa,Italy,382.0,30.7,40.4,15.1,8.6,38.8,5.9,4.2,88.3,15.0,56.7,35.96638655462185,386.0,49.752500000000005,36.1,32.5,79.3,66.2,43.2,30876.0,19.0,7.0,52 : 48,2025,81.58775705404113,52,48
University of Porto,Portugal,278.0,38.1,41.3,17.9,10.8,59.6,6.6,19.8,95.1,39.1,53.1,53.445378151260506,443.0,47.8355,31.3,36.9,69.8,66.4,57.4,37143.0,16.9,19.0,55 : 45,2025,78.86178861788618,55,45
University of Pretoria,South Africa,354.0,32.2,23.9,48.8,4.0,15.5,33.3,8.2,98.1,80.1,79.6,40.67226890756302,610.0,42.8495,29.8,34.3,56.4,64.1,61.7,35826.0,20.3,6.0,60 : 40,2025,70.8751793400287,60,40
University of Reading,United Kingdom,172.0,49.9,32.2,41.7,13.1,65.7,86.2,78.6,91.7,47.8,94.0,71.26050420168067,209.0,58.3435,38.6,38.5,86.6,66.6,95.3,15500.0,15.8,31.0,55 : 45,2025,90.05260640841702,55,45
University of Rochester,United States,236.0,42.3,22.6,20.8,99.1,33.6,63.9,93.8,64.3,40.4,63.7,60.50420168067227,127.0,63.9025,50.8,44.5,87.8,91.6,80.1,10470.0,8.3,37.0,51 : 49,2025,93.974175035868,51,49
University of Salamanca,Spain,539.0,22.8,26.9,14.6,26.0,6.2,6.9,14.9,80.0,23.4,69.5,9.57983193277311,889.0,36.5175,31.4,23.1,48.8,44.2,55.3,25098.0,14.6,16.0,61 : 39,2025,57.53228120516499,61,39
University of Saskatchewan,Canada,340.0,33.2,11.1,5.3,18.2,57.0,77.3,49.5,82.3,32.1,90.7,43.02521008403362,374.0,50.2495,39.2,34.0,63.9,94.2,78.5,18056.0,18.4,22.0,55 : 45,2025,82.16164514586323,55,45
University of Science and Technology of China,China,133.0,54.1,50.0,23.7,94.7,97.7,11.6,5.1,75.7,31.9,11.9,77.81512605042018,54.0,75.48699999999998,72.3,68.1,90.0,98.8,46.1,20888.0,8.0,5.0,,2025,97.46532759445242,,
University of Sharjah,United Arab Emirates,434.0,27.5,18.1,17.3,6.0,22.0,100.0,100.0,84.8,11.2,11.8,27.22689075630252,333.0,51.888,22.0,27.1,94.6,44.1,98.6,12484.0,17.9,49.0,67 : 33,2025,84.12242945958872,67,33
University of South Australia,Australia,340.0,33.2,21.3,12.7,24.9,31.9,99.8,50.9,85.5,15.5,83.6,43.02521008403362,340.0,51.37599999999999,22.4,36.0,80.6,96.2,84.0,21490.0,27.6,18.0,60 : 40,2025,83.78766140602582,60,40
University of Southampton,United Kingdom,80.0,64.1,50.1,44.3,40.7,83.4,92.5,98.0,97.1,49.2,96.9,86.72268907563026,115.0,65.27749999999999,47.2,47.7,91.2,72.7,96.7,23135.0,14.7,43.0,53 : 47,2025,94.5480631276901,53,47
University of Southern California,United States,125.0,55.2,50.4,54.5,17.3,58.0,26.0,74.1,85.8,92.6,97.7,79.15966386554622,72.0,71.0445,58.3,60.4,92.8,75.0,73.2,44180.0,14.2,27.0,54 : 46,2025,96.60449545671928,54,46
University of Southern Denmark,Denmark,324.0,34.1,20.2,15.9,22.3,49.3,85.5,24.1,81.1,21.3,73.2,45.714285714285715,266.0,55.13849999999999,30.3,35.0,88.3,95.0,76.8,17572.0,9.5,14.0,53 : 47,2025,87.32663797226208,53,47
University of Southern Queensland,Australia,396.0,29.7,8.8,5.7,4.8,73.1,84.1,23.0,81.0,8.6,43.0,33.61344537815126,369.0,50.5265,27.8,27.5,87.8,48.2,81.1,10808.0,24.6,15.0,63 : 37,2025,82.40076518412242,63,37
University of St Andrews,United Kingdom,104.0,59.2,46.5,63.2,64.7,49.2,98.4,100.0,83.8,18.5,91.1,82.68907563025209,185.0,59.543,47.4,44.0,76.9,65.5,94.8,10750.0,12.8,47.0,59 : 41,2025,91.20038259206122,59,41
University of Stirling,United Kingdom,452.0,26.4,11.2,9.4,9.3,30.3,76.9,81.3,61.6,15.8,76.1,24.201680672268907,472.0,46.8225,23.3,25.6,79.8,42.5,91.8,11400.0,19.3,31.0,62 : 38,2025,77.47489239598279,62,38
University of Strathclyde,United Kingdom,281.0,37.9,25.9,30.0,16.7,31.8,93.0,64.0,85.0,33.6,88.6,52.94117647058824,363.0,50.7455,33.0,35.2,69.0,79.5,92.3,20970.0,16.3,27.0,51 : 49,2025,82.68770923003348,51,49
University of Surrey,United Kingdom,285.0,37.2,19.7,17.9,22.8,55.2,97.1,87.1,86.4,20.4,28.4,52.268907563025216,233.0,56.926,33.8,34.7,89.0,73.3,96.8,13520.0,14.4,33.0,54 : 46,2025,88.90483022477284,54,46
University of Sussex,United Kingdom,246.0,41.0,22.6,10.4,15.5,56.8,99.6,84.9,84.7,39.9,97.7,58.82352941176471,240.0,56.3715,31.8,36.0,89.6,62.7,95.5,18250.0,17.5,34.0,55 : 45,2025,88.57006217120995,55,45
University of Szeged,Hungary,570.0,21.8,18.5,16.8,37.0,4.8,11.8,41.2,73.1,15.0,61.9,4.369747899159663,1090.0,32.653,30.9,18.3,40.2,47.2,57.1,19881.0,12.3,20.0,56 : 44,2025,47.91965566714491,56,44
