University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,QS_Normalized_Rank,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio,THE_Year,THE_Normalized_Rank,THE_Female_Percentage,THE_Male_Percentage
Tel Aviv University,Israel,209.0,45.2,32.0,18.6,4.2,99.4,39.7,7.0,77.9,88.4,46.2,65.04201680672269,228.0,57.2725,40.4,49.1,79.5,78.7,54.9,24033.0,22.8,7.0,58 : 42,2025,89.14395026303204,58,42
Texas AandM University,United States,154.0,51.8,61.2,66.0,4.4,64.3,21.9,12.1,92.6,44.4,39.5,74.28571428571429,145.0,62.20399999999999,52.7,57.3,74.3,73.2,64.3,66907.0,21.8,8.0,48 : 52,2025,93.11334289813486,48,52
Thammasat University,Thailand,596.0,20.8,24.6,19.4,26.6,2.1,9.1,1.7,41.0,84.6,33.6,0.0,1426.0,26.615,27.9,20.0,28.1,32.8,37.9,29481.0,10.9,2.0,64 : 36,2025,31.850789096126253,64,36
The American University in Cairo,Egypt,410.0,29.0,32.1,31.1,35.5,5.2,97.0,3.8,29.4,75.6,14.6,31.26050420168067,760.0,38.93,26.5,26.8,55.4,33.2,71.9,6068.0,14.1,7.0,58 : 42,2025,63.701578192252505,58,42
The Australian National University,Australia,30.0,82.4,93.8,75.4,34.6,84.6,100.0,96.2,91.4,56.6,97.1,95.12605042016806,73.0,70.685,53.6,65.1,85.0,86.1,94.0,17100.0,14.8,48.0,53 : 47,2025,96.55667144906744,53,47
The Chinese University of Hong Kong,Hong Kong SAR,36.0,81.3,86.7,53.3,64.2,92.9,100.0,87.5,74.2,89.0,86.7,94.11764705882352,44.0,76.786,60.8,64.3,97.8,94.2,94.6,18210.0,18.6,27.0,,2025,97.94356767097084,,
The Hebrew University of Jerusalem,Israel,281.0,37.9,32.8,18.2,79.3,19.4,53.2,23.8,77.8,94.6,34.2,52.94117647058824,338.0,51.6625,45.1,37.2,70.9,72.0,45.6,19205.0,9.1,6.0,57 : 43,2025,83.88330942132951,57,43
The Hong Kong Polytechnic University,Hong Kong SAR,57.0,72.1,68.0,35.6,65.0,94.9,100.0,91.9,78.9,64.5,77.4,90.58823529411765,84.0,68.026,46.1,53.5,92.8,93.6,97.7,20387.0,22.3,35.0,50 : 50,2025,96.03060736489718,50,50
The Hong Kong University of Science and Technology,Hong Kong SAR,47.0,77.1,81.1,50.3,56.7,99.7,100.0,95.4,46.7,65.4,77.6,92.26890756302521,66.0,72.878,54.1,60.9,93.0,100.0,98.1,9534.0,16.5,44.0,,2025,96.89143950263032,,
The London School of Economics and Political Science,United Kingdom,50.0,76.0,67.2,97.0,35.1,69.4,100.0,100.0,81.2,99.6,91.3,91.76470588235294,51.0,75.859,60.0,72.0,94.7,45.1,94.2,12150.0,12.3,71.0,57 : 43,2025,97.60879961740794,57,43
The Ohio State University,United States,208.0,45.6,58.6,50.4,39.5,31.2,13.4,10.6,94.6,45.3,50.8,65.21008403361344,118.0,65.222,55.0,51.7,87.6,83.6,58.4,55115.0,10.5,12.0,52 : 48,2025,94.40459110473458,52,48
The University of Adelaide,Australia,82.0,63.8,56.0,38.9,17.9,87.0,100.0,99.3,93.6,51.5,95.7,86.38655462184875,129.0,63.8135,39.1,48.1,92.3,93.5,92.0,22577.0,31.4,30.0,50 : 50,2025,93.87852702056433,50,50
