university_rank,name_of_university,location,no_of_student,no_of_student_per_staff,international_student,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,university_name_clean,country_clean,rank_numeric,rank_is_banded
351–400,North Carolina State University,United States,31540.0,16.6,14.0,48 : 52,,40.9,38.2,59.7,47.5,54.8,north carolina state university,united states,375.5,True
351–400,University of Rome II – Tor Vergata,Italy,24038.0,30.3,20.0,56 : 44,,39.7,28.8,63.8,45.8,65.3,university of rome ii tor vergata,italy,375.5,True
351–400,"Royal Holloway, University of London",United Kingdom,10640.0,15.1,35.0,57 : 43,,28.7,28.4,67.6,39.5,91.6,royal holloway university of london,united kingdom,375.5,True
351–400,Royal Veterinary College,United Kingdom,2250.0,10.5,30.0,80 : 20,,24.4,20.1,79.6,46.6,93.4,royal veterinary college,united kingdom,375.5,True
351–400,Rush University,United States,2757.0,2.1,1.0,76 : 24,,40.9,15.3,90.1,44.1,22.1,rush university,united states,375.5,True
351–400,Shoolini University of Biotechnology and Management Sciences,India,2973.0,14.3,2.0,45 : 55,,23.2,14.4,98.3,37.9,49.1,shoolini university of biotechnology and management sciences,india,375.5,True
351–400,University of Stirling,United Kingdom,9855.0,16.0,27.0,64 : 36,,22.9,25.9,79.4,37.3,86.1,university of stirling,united kingdom,375.5,True
351–400,Swedish University of Agricultural Sciences,Sweden,4216.0,4.6,7.0,70 : 30,,29.9,31.4,71.8,89.2,52.1,swedish university of agricultural sciences,sweden,375.5,True
351–400,University of Texas at Dallas,United States,25464.0,21.6,20.0,43 : 57,,24.8,27.0,81.3,42.7,56.4,university of texas at dallas,united states,375.5,True
351–400,Tulane University,United States,11220.0,7.5,11.0,58 : 42,,41.9,23.0,73.6,38.8,43.8,tulane university,united states,375.5,True
351–400,University of Turku,,13012.0,15.3,5.0,64 : 36,,27.7,32.6,73.9,38.7,53.5,university of turku,,375.5,True
351–400,University of Vaasa,Finland,3873.0,20.0,4.0,53 : 47,,19.6,25.5,88.0,38.5,66.2,university of vaasa,finland,375.5,True
351–400,Verona University,Italy,18621.0,23.8,4.0,64 : 36,,31.4,26.0,80.0,45.5,42.4,verona university,italy,375.5,True
351–400,Wake Forest University,United States,8122.0,4.0,10.0,54 : 46,,39.4,20.2,81.9,45.7,33.0,wake forest university,united states,375.5,True
351–400,Washington State University,United States,29463.0,19.5,7.0,54 : 46,,33.4,32.7,69.6,50.8,50.1,washington state university,united states,375.5,True
351–400,Wroclaw Medical University,Poland,6769.0,9.4,14.0,71 : 29,,39.6,11.7,89.0,38.2,37.5,wroclaw medical university,poland,375.5,True
401–500,Alagappa University,India,4831.0,15.7,0.0,63 : 37,,34.6,11.0,82.8,37.2,35.1,alagappa university,india,450.5,True
401–500,University of Alaska Fairbanks,United States,2910.0,7.2,6.0,53 : 47,,29.1,24.9,70.0,47.7,60.0,university of alaska fairbanks,united states,450.5,True
401–500,Arak University of Medical Sciences,Iran,3500.0,7.4,1.0,56 : 44,,24.6,8.8,100.0,36.9,17.9,arak university of medical sciences,iran,450.5,True
401–500,Aston University,United Kingdom,12015.0,17.8,25.0,48 : 52,,20.5,24.9,76.8,38.8,92.6,aston university,united kingdom,450.5,True
401–500,Aswan University,Egypt,31877.0,46.7,2.0,55 : 45,,16.7,11.6,98.5,37.0,47.8,aswan university,egypt,450.5,True
401–500,Babol University of Medical Sciences,Iran,4102.0,11.8,0.0,58 : 42,,32.3,10.6,97.3,37.3,18.4,babol university of medical sciences,iran,450.5,True
401–500,Babol Noshirvani University of Technology,Iran,6180.0,28.7,0.0,33 : 67,,20.3,20.9,98.4,38.5,22.9,babol noshirvani university of technology,iran,450.5,True
401–500,Bangor University,United Kingdom,8790.0,15.7,26.0,61 : 39,,28.3,24.7,72.6,37.4,84.3,bangor university,united kingdom,450.5,True
401–500,University of Bayreuth,Germany,9734.0,26.6,12.0,47 : 53,,36.4,39.4,55.0,53.3,58.3,university of bayreuth,germany,450.5,True
401–500,Brunel University London,United Kingdom,13040.0,17.0,39.0,47 : 53,,24.3,26.4,69.9,37.9,96.9,brunel university london,united kingdom,450.5,True
401–500,University of Campinas,Brazil,31199.0,17.8,3.0,46 : 54,,47.9,46.7,38.4,44.4,34.1,university of campinas,brazil,450.5,True
401–500,Cankaya University,Turkey,7113.0,25.4,1.0,46 : 54,,15.5,13.2,100.0,37.7,46.7,cankaya university,turkey,450.5,True
401–500,University of Catania,Italy,26902.0,21.2,3.0,58 : 42,,31.2,21.5,79.7,39.4,31.9,university of catania,italy,450.5,True
401–500,Claude Bernard University Lyon 1,France,28253.0,13.0,14.0,54 : 46,,36.1,27.2,65.5,41.6,59.0,claude bernard university lyon 1,france,450.5,True
401–500,Colorado School of Mines,United States,6350.0,17.6,9.0,31 : 69,,34.0,30.3,63.0,46.2,37.1,colorado school of mines,united states,450.5,True
401–500,"Colorado State University, Fort Collins",United States,29351.0,17.7,6.0,55 : 45,,31.7,29.6,72.3,43.0,39.1,colorado state university fort collins,united states,450.5,True
401–500,Complutense University of Madrid,Spain,61128.0,20.3,12.0,62 : 38,,31.4,34.7,60.5,39.1,44.7,complutense university of madrid,spain,450.5,True
401–500,University of Connecticut,United States,27752.0,13.6,12.0,52 : 48,,39.1,29.3,59.8,40.0,54.8,university of connecticut,united states,450.5,True
401–500,University of Crete,Greece,13808.0,27.6,4.0,63 : 37,,20.6,26.0,82.2,51.0,48.4,university of crete,greece,450.5,True
401–500,University of Cyprus,,6875.0,20.1,13.0,60 : 40,,26.0,23.1,67.0,55.5,83.4,university of cyprus,,450.5,True
401–500,University of Denver,United States,10001.0,13.0,6.0,60 : 40,,40.1,24.7,69.8,37.9,27.5,university of denver,united states,450.5,True
401–500,Dublin City University,Ireland,13956.0,25.4,17.0,59 : 41,,23.9,33.8,63.2,42.6,82.2,dublin city university,ireland,450.5,True
401–500,Duy Tan University,Vietnam,21670.0,21.9,0.0,62 : 38,,14.4,12.6,100.0,37.7,48.6,duy tan university,vietnam,450.5,True
401–500,Edinburgh Napier University,United Kingdom,11535.0,20.4,35.0,53 : 47,,17.9,17.0,81.3,37.0,87.8,edinburgh napier university,united kingdom,450.5,True
401–500,University of Electronic Science and Technology of China,China,35232.0,15.4,3.0,30 : 70,,29.3,31.2,67.1,67.0,32.4,university of electronic science and technology of china,china,450.5,True
401–500,Ferhat Abbas Sétif University 1,Algeria,34637.0,22.7,1.0,63 : 37,,18.2,19.8,94.7,36.9,40.0,ferhat abbas sétif university 1,algeria,450.5,True
401–500,University of Ferrara,Italy,20507.0,32.6,5.0,61 : 39,,31.4,24.7,70.6,43.0,42.4,university of ferrara,italy,450.5,True
401–500,University of Florence,Italy,39407.0,23.0,9.0,56 : 44,,34.8,32.4,65.6,45.0,44.7,university of florence,italy,450.5,True
401–500,Free University of Bozen-Bolzano,Italy,4236.0,12.6,15.0,68 : 32,,23.5,19.4,83.3,38.5,74.2,free university of bozenbolzano,italy,450.5,True
401–500,University of Genoa,Italy,20447.0,23.7,8.0,57 : 43,,36.4,28.3,66.5,48.3,43.9,university of genoa,italy,450.5,True
401–500,Georgia State University,United States,34734.0,17.3,5.0,58 : 42,,34.3,26.9,65.2,38.1,43.4,georgia state university,united states,450.5,True
401–500,Université Grenoble Alpes,France,50868.0,18.2,17.0,52 : 48,,37.6,35.0,56.1,40.4,65.5,université grenoble alpes,france,450.5,True
401–500,Hanyang University,,20079.0,14.6,20.0,,,41.8,40.8,40.8,89.8,63.7,hanyang university,,450.5,True
401–500,Hunan University,China,41580.0,18.6,2.0,47 : 53,,24.0,26.4,87.6,59.1,25.6,hunan university,china,450.5,True
401–500,University of Ibadan,Nigeria,26156.0,17.6,0.0,49 : 51,,30.1,15.7,83.7,37.4,34.5,university of ibadan,nigeria,450.5,True
401–500,Illinois Institute of Technology,United States,6386.0,11.5,41.0,37 : 63,,43.1,21.8,61.0,39.7,67.3,illinois institute of technology,united states,450.5,True
401–500,University of Innsbruck,Austria,13918.0,22.0,46.0,53 : 47,,33.9,30.1,55.9,52.5,96.2,university of innsbruck,austria,450.5,True
401–500,Institut Agro,France,2148.0,11.5,16.0,65 : 35,,35.4,30.5,59.1,46.7,59.4,institut agro,france,450.5,True
401–500,University of International Business and Economics,China,16061.0,15.7,15.0,69 : 31,,27.2,15.6,84.0,38.1,54.3,university of international business and economics,china,450.5,True
401–500,Iowa State University,United States,28767.0,16.7,10.0,44 : 56,,35.5,36.9,56.5,51.0,39.5,iowa state university,united states,450.5,True
401–500,Jazan University,Saudi Arabia,26568.0,13.0,3.0,64 : 36,,17.5,8.5,97.0,37.1,74.8,jazan university,saudi arabia,450.5,True
401–500,Justus Liebig University Giessen,Germany,28278.0,44.6,11.0,63 : 37,,33.1,37.3,60.2,43.7,51.8,justus liebig university giessen,germany,450.5,True
401–500,University of Jyväskylä,Finland,10444.0,14.4,3.0,62 : 38,,28.5,33.3,68.0,38.2,51.2,university of jyväskylä,finland,450.5,True
401–500,University of Kansas,United States,24435.0,9.9,8.0,53 : 47,,38.1,24.4,67.2,46.3,49.2,university of kansas,united states,450.5,True
401–500,University of Klagenfurt,Austria,3562.0,10.0,28.0,68 : 32,,23.5,18.2,74.7,38.5,90.9,university of klagenfurt,austria,450.5,True
401–500,Koç University,Turkey,5882.0,19.7,8.0,48 : 52,,30.7,42.3,56.1,100.0,49.3,koç university,turkey,450.5,True
401–500,University of KwaZulu-Natal,,35795.0,30.1,2.0,60 : 40,,30.4,34.4,63.9,38.2,51.5,university of kwazulunatal,,450.5,True
401–500,University of Lagos,Nigeria,36237.0,21.5,0.0,48 : 52,,18.5,14.0,97.7,40.9,34.0,university of lagos,nigeria,450.5,True
401–500,Leibniz University Hannover,Germany,21677.0,43.7,18.0,42 : 58,,39.1,39.2,46.2,48.9,54.7,leibniz university hannover,germany,450.5,True
401–500,Lincoln University,New Zealand,2492.0,13.3,44.0,51 : 49,,29.7,22.6,59.9,51.7,96.4,lincoln university,new zealand,450.5,True
401–500,University of Lincoln,United Kingdom,14480.0,15.7,13.0,55 : 45,,17.8,17.4,85.8,37.5,75.4,university of lincoln,united kingdom,450.5,True
401–500,Liverpool John Moores University,United Kingdom,21725.0,17.4,16.0,54 : 46,,20.9,19.0,81.2,37.4,77.2,liverpool john moores university,united kingdom,450.5,True
401–500,Mahatma Gandhi University,India,1855.0,14.6,2.0,61 : 39,,42.5,31.5,58.1,37.9,21.9,mahatma gandhi university,india,450.5,True
401–500,University of Marburg,Germany,23383.0,31.2,12.0,56 : 44,,36.0,30.1,64.1,36.9,53.9,university of marburg,germany,450.5,True
401–500,Maynooth University,Ireland,11454.0,28.5,15.0,55 : 45,,21.7,28.9,71.7,39.5,82.5,maynooth university,ireland,450.5,True
401–500,Middlesex University,United Kingdom,15905.0,18.7,50.0,58 : 42,,21.3,19.6,75.3,37.2,91.0,middlesex university,united kingdom,450.5,True
401–500,University of Modena and Reggio Emilia,Italy,21409.0,26.9,5.0,53 : 47,,32.7,23.2,72.1,49.1,37.6,university of modena and reggio emilia,italy,450.5,True
401–500,Muhimbili University of Health and Allied Sciences,Tanzania,3626.0,11.3,3.0,41 : 59,,17.0,11.0,99.9,39.1,49.2,muhimbili university of health and allied sciences,tanzania,450.5,True
401–500,Murdoch University,Australia,16641.0,36.5,40.0,61 : 39,,21.6,27.8,70.6,46.7,93.2,murdoch university,australia,450.5,True
401–500,National and Kapodistrian University of Athens,Greece,66649.0,31.0,11.0,59 : 41,,22.1,20.1,82.4,67.9,56.3,national and kapodistrian university of athens,greece,450.5,True
401–500,University of Nebraska-Lincoln,United States,24909.0,16.8,10.0,49 : 51,,34.0,31.0,60.5,39.6,56.1,university of nebraskalincoln,united states,450.5,True
401–500,University of Nebraska Medical Center,United States,3181.0,2.0,9.0,69 : 31,,34.9,12.6,83.2,40.2,46.3,university of nebraska medical center,united states,450.5,True
401–500,Norwegian University of Science and Technology,Norway,37707.0,15.8,9.0,48 : 52,,30.0,34.7,60.1,42.9,67.5,norwegian university of science and technology,norway,450.5,True
401–500,Nova Southeastern University,United States,17952.0,16.3,4.0,70 : 30,,39.4,10.6,87.5,36.9,28.9,nova southeastern university,united states,450.5,True
401–500,Örebro University,Sweden,10005.0,15.2,5.0,61 : 39,,17.7,21.8,87.1,37.7,55.1,örebro university,sweden,450.5,True
401–500,University of Passau,Germany,9703.0,69.2,12.0,61 : 39,,35.6,38.1,54.5,43.0,53.6,university of passau,germany,450.5,True
401–500,University of Pisa,Italy,33791.0,21.9,6.0,51 : 49,,28.8,30.2,69.2,41.7,40.6,university of pisa,italy,450.5,True
401–500,University of Plymouth,United Kingdom,15605.0,17.7,16.0,58 : 42,,22.2,22.7,79.6,37.2,73.0,university of plymouth,united kingdom,450.5,True
401–500,Pontificia Universidad Católica de Chile,Chile,31578.0,16.0,4.0,,,24.2,31.9,66.2,70.3,56.2,pontificia universidad católica de chile,chile,450.5,True
401–500,University of Porto,Portugal,33484.0,16.2,16.0,55 : 45,,26.6,32.3,63.7,41.9,57.9,university of porto,portugal,450.5,True
401–500,University of Portsmouth,United Kingdom,22490.0,16.4,29.0,47 : 53,,18.8,19.2,76.3,37.6,91.4,university of portsmouth,united kingdom,450.5,True
401–500,Qazvin University of Medical Sciences,Iran,2598.0,9.2,1.0,57 : 43,,30.6,10.3,99.9,37.0,22.6,qazvin university of medical sciences,iran,450.5,True
401–500,Qom University of Medical Sciences,Iran,2272.0,9.1,4.0,57 : 43,,28.9,9.8,100.0,37.0,19.4,qom university of medical sciences,iran,450.5,True
401–500,Quaid-i-Azam University,Pakistan,9250.0,16.5,1.0,51 : 49,,26.9,22.9,78.7,38.2,48.6,quaidiazam university,pakistan,450.5,True
401–500,Sabancı University,,3819.0,20.0,10.0,38 : 62,,25.5,37.7,57.0,73.4,59.7,sabancı university,,450.5,True
401–500,Sharif University of Technology,Iran,9219.0,22.5,2.0,25 : 75,,33.5,36.3,60.4,89.5,31.6,sharif university of technology,iran,450.5,True
401–500,Shenzhen University,China,38240.0,14.1,1.0,46 : 54,,23.0,27.9,86.0,50.5,34.5,shenzhen university,china,450.5,True
401–500,University of Siena,Italy,12948.0,18.7,9.0,63 : 37,,21.5,25.3,79.9,41.7,43.5,university of siena,italy,450.5,True
401–500,South China University of Technology,China,40082.0,12.7,5.0,39 : 61,,28.2,35.6,70.7,80.7,34.4,south china university of technology,china,450.5,True
401–500,Southeast University,China,37484.0,12.3,4.0,36 : 64,,34.8,42.3,47.2,93.7,37.8,southeast university,china,450.5,True
401–500,Southern Medical University,,20432.0,10.7,6.0,,,38.6,37.7,58.0,43.8,25.0,southern medical university,,450.5,True
401–500,SRUC (Scotland’s Rural College),United Kingdom,1325.0,5.3,8.0,60 : 40,,23.6,12.6,92.1,42.5,59.1,sruc,united kingdom,450.5,True
401–500,University of Strathclyde,United Kingdom,19840.0,17.0,29.0,50 : 50,,32.0,33.9,56.1,47.8,89.7,university of strathclyde,united kingdom,450.5,True
401–500,Sumy State University,Ukraine,8703.0,11.4,21.0,44 : 56,,19.5,12.3,94.5,39.9,57.2,sumy state university,ukraine,450.5,True
401–500,Syracuse University,United States,20620.0,14.9,23.0,52 : 48,,34.9,28.0,64.3,37.2,50.7,syracuse university,united states,450.5,True
401–500,Universiti Teknologi Petronas,Malaysia,5021.0,13.6,16.0,38 : 62,,26.8,33.8,58.9,77.6,76.7,universiti teknologi petronas,malaysia,450.5,True
401–500,Tianjin University,China,27353.0,8.7,12.0,,,35.3,42.8,51.6,89.9,41.5,tianjin university,china,450.5,True
401–500,Ton Duc Thang University,,27878.0,25.3,1.0,56 : 44,,13.5,16.0,99.2,39.8,58.4,ton duc thang university,,450.5,True
401–500,University of Trento,Italy,14219.0,19.2,8.0,52 : 48,,27.0,32.3,66.5,41.1,56.9,university of trento,italy,450.5,True
401–500,The University of Tulsa,United States,4407.0,12.0,10.0,48 : 52,,37.8,17.1,75.6,48.0,36.4,the university of tulsa,united states,450.5,True
401–500,University of Turin,Italy,58463.0,28.4,6.0,61 : 39,,21.5,29.7,77.5,43.9,41.4,university of turin,italy,450.5,True
401–500,TU Wien,Austria,10327.0,17.7,31.0,31 : 69,,40.1,37.4,38.1,62.0,87.6,tu wien,austria,450.5,True
401–500,Umeå University,Sweden,18218.0,12.6,11.0,61 : 39,,21.9,29.6,78.4,38.5,64.5,umeå university,sweden,450.5,True
401–500,Urmia University of Medical Sciences,Iran,4644.0,12.0,2.0,51 : 49,,35.0,10.0,90.4,36.9,19.7,urmia university of medical sciences,iran,450.5,True
401–500,Universiti Utara Malaysia,Malaysia,12457.0,11.6,30.0,79 : 21,,33.4,25.7,60.2,41.2,74.8,universiti utara malaysia,malaysia,450.5,True
401–500,Victoria University of Wellington,New Zealand,17883.0,18.8,20.0,58 : 42,,27.8,34.0,53.2,53.7,87.4,victoria university of wellington,new zealand,450.5,True
401–500,University of Waikato,New Zealand,10472.0,17.6,31.0,59 : 41,,21.6,28.1,66.4,40.8,95.4,university of waikato,new zealand,450.5,True
401–500,University of the West of England,United Kingdom,24585.0,15.9,23.0,53 : 47,,18.3,14.6,92.9,37.6,72.9,university of the west of england,united kingdom,450.5,True
401–500,William & Mary,United States,8089.0,10.9,8.0,56 : 44,,43.7,21.4,64.3,37.3,35.7,william mary,united states,450.5,True
401–500,Xiamen University,China,42760.0,15.4,2.0,,,30.8,28.5,78.4,53.1,28.3,xiamen university,china,450.5,True
401–500,York University,,44036.0,29.1,28.0,55 : 45,,25.1,33.1,67.0,42.1,75.3,york university,,450.5,True
501–600,Aberystwyth University,United Kingdom,6180.0,16.3,24.0,52 : 48,,22.3,23.4,64.1,39.8,81.1,aberystwyth university,united kingdom,550.5,True
501–600,An-Najah National University,,23922.0,23.9,10.0,65 : 35,,13.3,8.9,98.4,38.1,64.1,annajah national university,,550.5,True
501–600,University of L’Aquila,Italy,18491.0,40.2,4.0,56 : 44,,33.0,24.3,69.2,54.8,34.6,university of laquila,italy,550.5,True
501–600,Beihang University,China,31821.0,12.9,4.0,,,32.9,39.6,48.4,90.0,27.1,beihang university,china,550.5,True
501–600,Beijing Institute of Technology,China,35710.0,14.2,6.0,,,33.6,36.2,49.9,99.8,25.8,beijing institute of technology,china,550.5,True
501–600,Birmingham City University,United Kingdom,22935.0,16.6,26.0,62 : 38,,16.3,10.8,90.3,37.1,72.0,birmingham city university,united kingdom,550.5,True
501–600,University of Bradford,United Kingdom,8400.0,19.1,30.0,57 : 43,,22.0,22.7,62.5,39.7,84.2,university of bradford,united kingdom,550.5,True
501–600,Bucharest University of Economic Studies,Romania,22723.0,16.2,4.0,65 : 35,,17.9,11.1,97.7,37.8,24.6,bucharest university of economic studies,romania,550.5,True
501–600,Centrale Nantes,France,1730.0,15.7,43.0,24 : 76,,31.9,28.7,45.3,81.0,86.3,centrale nantes,france,550.5,True
501–600,Changsha University of Science and Technology,China,33342.0,15.3,1.0,37 : 63,,15.5,11.8,93.8,54.8,23.5,changsha university of science and technology,china,550.5,True
501–600,Charles University,Czech Republic,49787.0,13.2,22.0,62 : 38,,33.2,31.0,49.7,37.3,64.3,charles university,czechia,550.5,True
501–600,University of Côte d’Azur,France,31723.0,20.2,20.0,56 : 44,,24.9,21.1,69.9,37.6,74.0,university of côte dazur,france,550.5,True
501–600,Damietta University,Egypt,30084.0,24.7,1.0,71 : 29,,17.0,8.2,99.9,37.5,39.0,damietta university,egypt,550.5,True
501–600,Durban University of Technology,South Africa,27063.0,36.5,1.0,54 : 46,,17.6,11.6,90.0,38.5,38.8,durban university of technology,south africa,550.5,True
501–600,Eastern Mediterranean University,Northern Cyprus,14375.0,27.0,76.0,43 : 57,,22.4,14.2,76.6,46.1,89.3,eastern mediterranean university,northern cyprus,550.5,True
501–600,École des Mines de Saint-Étienne,France,1115.0,9.9,25.0,28 : 72,,32.3,30.8,51.6,76.1,70.9,école des mines de saintétienne,france,550.5,True
501–600,Federal University of Toulouse Midi-Pyrénées,France,108889.0,19.8,14.0,55 : 45,,26.4,27.5,61.2,39.9,66.0,federal university of toulouse midipyrénées,france,550.5,True
501–600,Florida International University,United States,35590.0,23.3,9.0,57 : 43,,32.2,27.4,62.7,37.9,41.7,florida international university,united states,550.5,True
501–600,University of Fribourg,Switzerland,6880.0,15.6,14.0,64 : 36,,29.3,31.3,54.8,49.4,82.5,university of fribourg,switzerland,550.5,True
501–600,"Goldsmiths, University of London",United Kingdom,9215.0,14.9,39.0,66 : 34,,25.5,25.9,63.4,37.0,80.7,goldsmiths university of london,united kingdom,550.5,True
501–600,Government College University Faisalabad,Pakistan,21219.0,27.3,0.0,46 : 54,,16.8,13.1,88.1,37.0,45.3,government college university faisalabad,pakistan,550.5,True
501–600,University of Greenwich,United Kingdom,15045.0,20.2,44.0,57 : 43,,18.1,16.8,78.2,37.8,94.6,university of greenwich,united kingdom,550.5,True
501–600,University of Guelph,Canada,22763.0,27.4,10.0,59 : 41,,29.5,33.4,48.7,49.3,60.6,university of guelph,canada,550.5,True
501–600,Gwangju Institute of Science and Technology (GIST),South Korea,1808.0,10.0,8.0,25 : 75,,44.5,40.8,31.4,76.8,39.8,gwangju institute of science and technology,south korea,550.5,True
501–600,Harokopio University of Athens,Greece,3125.0,46.6,3.0,53 : 47,,23.2,24.2,76.2,43.9,43.9,harokopio university of athens,greece,550.5,True
501–600,Heriot-Watt University,United Kingdom,9735.0,17.9,37.0,40 : 60,,31.2,31.1,48.3,43.0,94.0,heriotwatt university,united kingdom,550.5,True
501–600,Hokkaido University,Japan,18263.0,8.4,11.0,30 : 70,,43.1,40.8,32.2,65.4,44.0,hokkaido university,japan,550.5,True
501–600,Hong Kong Baptist University,Hong Kong,8358.0,12.4,62.0,67 : 33,,26.5,28.2,57.4,40.1,98.0,hong kong baptist university,hong kong,550.5,True
501–600,University of Hull,United Kingdom,12565.0,17.2,19.0,55 : 45,,25.3,24.6,62.1,38.2,77.6,university of hull,united kingdom,550.5,True
501–600,University of Iceland,Iceland,10642.0,17.9,10.0,68 : 32,,18.7,32.0,66.3,63.1,61.6,university of iceland,iceland,550.5,True
501–600,Indian Institute of Technology Ropar,India,2339.0,13.6,0.0,17 : 83,,30.1,15.4,78.4,42.7,19.4,indian institute of technology ropar,india,550.5,True
501–600,University of Insubria,Italy,9789.0,27.0,6.0,55 : 45,,18.0,22.6,84.8,38.6,40.3,university of insubria,italy,550.5,True
501–600,"International Institute of Information Technology, Hyderabad",India,1862.0,18.1,7.0,20 : 80,,18.4,23.1,79.5,68.8,30.2,international institute of information technology hyderabad,india,550.5,True
501–600,Iran University of Science and Technology,Iran,15436.0,33.9,1.0,34 : 66,,32.6,36.8,54.2,98.4,21.2,iran university of science and technology,iran,550.5,True
501–600,"Islamic Azad University, Najafabad Branch (IAUN)",Iran,21971.0,17.7,0.0,47 : 53,,21.9,8.5,96.4,37.3,23.5,islamic azad university najafabad branch,iran,550.5,True
501–600,Constructor University Bremen,,1556.0,21.6,84.0,43 : 57,,34.5,31.4,40.5,56.2,90.2,constructor university bremen,,550.5,True
501–600,Jamia Millia Islamia,India,10481.0,11.2,2.0,49 : 51,,36.6,12.5,75.8,38.2,27.7,jamia millia islamia,india,550.5,True
501–600,Jimma University,Ethiopia,30473.0,16.3,0.0,30 : 70,,14.7,9.5,100.0,37.5,39.5,jimma university,ethiopia,550.5,True
501–600,Johannes Kepler University of Linz,Austria,7133.0,22.5,13.0,50 : 50,,32.5,32.9,42.3,73.1,70.4,johannes kepler university of linz,austria,550.5,True
501–600,Jordan University of Science and Technology,Jordan,25905.0,14.9,13.0,57 : 43,,15.7,10.3,92.2,38.2,50.6,jordan university of science and technology,jordan,550.5,True
501–600,Kafrelsheikh University,Egypt,62533.0,26.1,2.0,48 : 52,,13.6,8.4,96.7,39.2,48.3,kafrelsheikh university,egypt,550.5,True
501–600,Kashan University of Medical Sciences and Health Services,Iran,3419.0,12.8,2.0,38 : 62,,32.0,13.4,84.0,37.4,22.9,kashan university of medical sciences and health services,iran,550.5,True
501–600,Keele University,United Kingdom,9170.0,15.3,16.0,59 : 41,,21.1,24.8,68.4,37.5,73.1,keele university,united kingdom,550.5,True
501–600,University of Kentucky,United States,27216.0,11.2,4.0,57 : 43,,36.1,27.3,59.2,40.4,39.0,university of kentucky,united states,550.5,True
501–600,Kermanshah University of Medical Sciences,Iran,5759.0,9.6,12.0,53 : 47,,20.8,10.3,95.0,37.3,39.3,kermanshah university of medical sciences,iran,550.5,True
501–600,University of Kragujevac,Serbia,16679.0,15.8,1.0,57 : 43,,21.5,8.3,96.0,39.3,33.3,university of kragujevac,serbia,550.5,True
501–600,Kyushu University,Japan,18568.0,7.8,14.0,29 : 71,,46.0,42.5,34.8,71.0,43.6,kyushu university,japan,550.5,True
501–600,Lebanese American University,Lebanon,7057.0,10.1,19.0,52 : 48,,29.4,11.9,69.5,37.0,86.5,lebanese american university,lebanon,550.5,True
501–600,University of Lille,France,75291.0,29.6,14.0,60 : 40,,30.7,21.5,59.5,42.2,62.5,university of lille,france,550.5,True
501–600,University of Lisbon,Portugal,48404.0,18.1,18.0,53 : 47,,26.4,35.7,53.4,43.0,60.4,university of lisbon,portugal,550.5,True
501–600,University of Management and Technology,Pakistan,22520.0,22.2,2.0,45 : 55,,14.8,9.5,99.9,39.5,45.4,university of management and technology,pakistan,550.5,True
501–600,University of Messina,Italy,15290.0,24.2,3.0,63 : 37,,31.7,23.6,72.1,38.6,32.1,university of messina,italy,550.5,True
501–600,Middle East Technical University,Turkey,17151.0,22.5,10.0,48 : 52,,37.5,42.4,35.4,99.9,44.6,middle east technical university,turkey,550.5,True
501–600,Missouri University of Science and Technology,United States,7617.0,22.3,9.0,23 : 77,,29.0,26.7,61.3,58.7,62.9,missouri university of science and technology,united states,550.5,True
501–600,University of Mons,Belgium,7450.0,26.9,17.0,57 : 43,,23.1,27.0,60.1,41.3,69.9,university of mons,belgium,550.5,True
501–600,National Tsing Hua University,Taiwan,13711.0,16.3,11.0,41 : 59,,32.6,42.6,47.2,69.2,43.0,national tsing hua university,taiwan,550.5,True
501–600,National Yang Ming Chiao Tung University,Taiwan,16425.0,14.2,11.0,36 : 64,,41.3,46.7,34.9,79.9,41.3,national yang ming chiao tung university,taiwan,550.5,True
501–600,University of Neuchâtel,Switzerland,4148.0,11.1,21.0,61 : 39,,26.2,25.2,58.3,39.5,88.7,university of neuchâtel,switzerland,550.5,True
501–600,University of Nicosia,,4696.0,11.3,54.0,53 : 47,,19.6,16.6,75.7,37.4,94.8,university of nicosia,,550.5,True
501–600,Northumbria University,United Kingdom,22500.0,16.2,22.0,54 : 46,,20.5,22.4,71.5,37.5,81.6,northumbria university,united kingdom,550.5,True
501–600,Northwestern Polytechnical University,China,34095.0,13.9,4.0,28 : 72,,30.2,37.7,54.8,69.5,40.1,northwestern polytechnical university,china,550.5,True
501–600,Nottingham Trent University,United Kingdom,29925.0,15.3,21.0,57 : 43,,19.4,15.0,79.6,37.5,82.2,nottingham trent university,united kingdom,550.5,True
501–600,Open University of Catalonia,Spain,32319.0,100.5,6.0,57 : 43,,20.0,18.9,81.2,37.7,48.1,open university of catalonia,spain,550.5,True
501–600,University of Peradeniya,Sri Lanka,16123.0,10.7,1.0,59 : 41,,17.3,8.9,99.2,39.1,40.3,university of peradeniya,sri lanka,550.5,True
501–600,Universitat Ramon Llull,Spain,14900.0,22.2,19.0,52 : 48,,19.5,17.0,83.6,40.0,66.5,universitat ramon llull,spain,550.5,True
501–600,University of Salerno,Italy,26289.0,27.4,3.0,54 : 46,,18.9,23.3,77.4,39.1,35.0,university of salerno,italy,550.5,True
501–600,University of Saskatchewan,Canada,17741.0,17.6,22.0,55 : 45,,36.7,30.3,48.6,69.7,75.0,university of saskatchewan,canada,550.5,True
