University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score,University_Name_Standardized,Country_Standardized,Country_ID,University_ID
49,Karolinska Institute,Sweden,"8,021",9.9,27%,70 : 30,72.4,51.1,68.8,94.0,66.4,87.3,karolinska institute,sweden,C098,U0049
50,University of Texas at Austin,United States,"49,171",17.4,10%,53 : 47,72.3,66.2,73.1,87.5,51.3,40.1,university of texas at austin,united states,C110,U0050
51,Fudan University,China,"36,318",11.9,9%,52 : 48,72.0,71.8,75.8,74.5,77.3,45.2,fudan university,china,C017,U0051
52,Shanghai Jiao Tong University,China,"37,478",11.5,8%,42 : 58,71.2,75.3,82.9,59.9,100.0,43.7,shanghai jiao tong university,china,C017,U0052
53,The University of Queensland,,"41,372",34.2,41%,55 : 45,71.1,55.9,66.5,84.3,82.0,93.2,the university of queensland,,,U0053
54,University of Manchester,,"37,035",14.2,44%,55 : 45,70.9,54.5,63.7,91.3,45.3,92.7,university of manchester,,,U0054
54,The University of Sydney,Australia,"45,853",19.0,45%,58 : 42,70.9,53.1,65.8,88.5,73.2,90.6,the university of sydney,australia,C005,U0055
56,Seoul National University,South Korea,"26,209",15.1,10%,,70.8,75.2,76.2,67.6,96.6,35.9,seoul national university,south korea,C094,U0056
57,Washington University in St Louis,United States,"14,420",7.8,24%,53 : 47,70.6,60.3,56.8,98.2,47.5,64.0,washington university in st louis,united states,C110,U0057
58,The Hong Kong University of Science and Technology,,"9,864",21.0,32%,,70.5,51.4,63.4,87.7,95.0,97.7,the hong kong university of science and technology,,,U0058
59,Wageningen University & Research,Netherlands,"15,404",18.6,27%,55 : 45,70.3,50.4,60.2,93.2,100.0,88.8,wageningen university research,netherlands,C071,U0059
60,University of Amsterdam,Netherlands,"29,157",14.5,32%,59 : 41,69.6,48.0,64.1,93.3,44.4,91.9,university of amsterdam,netherlands,C071,U0060
61,Brown University,United States,"10,037",10.1,21%,,69.3,64.5,58.0,89.5,39.0,63.3,brown university,united states,C110,U0061
62,Australian National University,Australia,"16,758",14.6,51%,52 : 48,69.0,51.3,69.2,81.8,45.6,96.0,australian national university,australia,C005,U0062
63,"University of California, Davis",United States,"37,639",13.1,18%,60 : 40,68.5,59.7,66.3,80.9,52.4,68.7,university of california davis,united states,C110,U0063
64,"University of California, Santa Barbara",United States,"25,860",28.5,20%,54 : 46,68.4,44.6,61.5,96.2,80.1,76.0,university of california santa barbara,united states,C110,U0064
65,University of Southern California,United States,"40,549",12.6,22%,49 : 51,68.3,58.9,58.6,90.4,43.8,63.7,university of southern california,united states,C110,U0065
66,Utrecht University,Netherlands,"32,532",17.1,13%,62 : 38,68.2,44.3,66.0,91.2,72.7,78.8,utrecht university,netherlands,C071,U0066
67,Zhejiang University,,"46,124",12.0,16%,,68.1,67.3,74.8,62.8,100.0,55.1,zhejiang university,,,U0067
68,Kyoto University,Japan,"22,269",9.2,12%,25 : 75,68.0,77.5,79.1,52.3,88.6,40.5,kyoto university,japan,C047,U0068
