RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,Overall_Score,RANK_2025_Original,Rank_Type,University_Name_Standardized,Country_Standardized,Country_ID,University_ID
18,19,The University of Sydney,Australia,Oceania,XL,FC,VH,A,96.4,30,90.0,51,10.9,701+,93.7,56,99.9,87,100.0,17,95.8,61,93.1,63,99.6,7,87.3,18,Exact,the university of sydney,australia,C003,U0802
19,19,The University of New South Wales (UNSW Sydney),Australia,Oceania,XL,FC,VH,A,90.5,43,90.4,50,20.6,660,94.9,49,100.0,57,99.4,48,98.3,20,97.7,29,99.2,11=,87.1,19,Exact,the university of new south wales unsw sydney,australia,C003,U0796
20,25,Tsinghua University,China (Mainland),Asia,XL,FC,VH,A,99.2,16,97.7,22,95.0,62,99.1,26,18.1,623,13.4,654,79.2,337,92.3,68,40.4,363=,86.5,20,Exact,tsinghua university,china (mainland),C017,U0826
21,11,University of Chicago,United States,Americas,L,FC,VH,B,99.1,17,96.4,29,94.2,69,60.8,197,79.0,244,87.0,140,85.1,245,99.1,16,46.9,330=,86.2,21,Exact,university of chicago,united states,C102,U1125
22,17,Princeton University,United States,Americas,M,CO,VH,B,99.8,10,98.3,19,57.0,258,100.0,3,9.6,701+,56.6,264,78.3,354,95.7,48,51.5,312,85.5,22,Exact,princeton university,united states,C102,U0605
23,16,Yale University,United States,Americas,L,FC,VH,B,99.9,9,99.9,7,100.0,3,38.6,363,91.5,181,63.3,238,93.9,100,98.5,21,92.2,76=,85.2,23,Exact,yale university,united states,C102,U1483
24,24,Université PSL,France,Europe,L,CO,VH,A,74.4,81,97.6,23,98.1,46,87.6,85,62.3,315,65.0,230,99.8,3,97.1,33,73.4,197,84.7,24,Exact,université psl,france,C031,U1436
25,21,University of Toronto,Canada,Americas,XL,FC,VH,A,99.7,11,96.9,27,44.9,344,50.8,257,96.9,132,96.1,90,97.7,29,98.7,19,100.0,1,84.1,25,Exact,university of toronto,canada,C015,U1341
26,36,EPFL,Switzerland,Europe,M,FO,VH,A,84.2,56,67.2,111,91.2,80,93.6,57,100.0,28,100.0,14,81.7,291,27.2,440,86.7,114=,83.5,26,Exact,epfl,switzerland,C092,U0215
27,22,The University of Edinburgh,United Kingdom,Europe,XL,FC,VH,A,98.3,24,97.2,24,65.5,201,47.7,282,98.7,111,99.8,41,99.5,7,55.9,222,99.0,15=,83.3,27,Exact,the university of edinburgh,united kingdom,C101,U0789
28,37,Technical University of Munich,Germany,Europe,XL,FO,VH,A,83.0,61,98.6,17,76.8,155,75.9,133,80.4,236,98.6,64,95.6,68,34.5,365,93.1,70,83.2,28,Exact,technical university of munich,germany,C033,U0751
29,30,McGill University,Canada,Americas,L,FC,VH,A,94.3,34,87.6,56,62.3,224,57.9,212,83.7,225,89.6,124,94.2,94,98.3,24,99.1,13,83,29,Exact,mcgill university,canada,C015,U0466
30,34,The Australian National University,Australia,Oceania,L,FC,VH,A,93.8,36,75.4,85,34.6,457,84.6,97,100.0,52,96.2,89,91.4,151,56.6,216,97.1,30=,82.4,30,Exact,the australian national university,australia,C003,U0770
31,41,Seoul National University,South Korea,Asia,L,FC,VH,A,98.5,20,98.6,16,83.1,117,71.7,151,10.5,701+,16.9,586,73.2,435,100.0,4,96.0,46=,82.3,31,Exact,seoul national university,south korea,C087,U0663
32,28,Johns Hopkins University,United States,Americas,L,FC,VH,B,86.0,53,62.6,129,100.0,7,84.2,99,63.7,307,95.8,92,98.7,15,71.5,152,61.9,258=,82.1,32,Exact,johns hopkins university,united states,C102,U0359
32,28,The University of Tokyo,Japan,Asia,L,FC,VH,A,100.0,7,99.8,9,89.3,89,57.3,215,10.1,701+,29.7,432,87.4,207,99.9,10,98.3,22,82.1,32,Exact,the university of tokyo,japan,C048,U0805
34,23,Columbia University,United States,Americas,XL,FC,VH,B,99.6,12,98.8,15,100.0,16,31.7,417,41.5,413,97.0,79,98.5,19,99.9,9,71.8,211=,82,34,Exact,columbia university,united states,C102,U0165
34,32,The University of Manchester,United Kingdom,Europe,XL,FC,VH,A,95.6,33,98.1,20,51.3,297,45.1,307,93.1,169,99.2,55,99.2,12,87.6,90,99.8,3,82,34,Exact,the university of manchester,united kingdom,C101,U0794
36,47,The Chinese University of Hong Kong (CUHK),Hong Kong SAR,Asia,L,FC,VH,A,86.7,51,53.3,159,64.2,212,92.9,64,100.0,58,87.5,137,74.2,419,89.0,82,86.7,114=,81.3,36,Exact,the chinese university of hong kong cuhk,hong kong sar,C038,U0772
37,42,Monash University,Australia,Oceania,XL,FC,VH,A,89.2,47,79.6,78,9.4,701+,87.6,84,100.0,59,100.0,24,94.8,81,79.4,126,98.2,23,81.2,37,Exact,monash university,australia,C003,U0482
38,34,University of British Columbia,Canada,Americas,XL,FC,VH,A,98.3,23,94.3,36,34.5,459,57.7,214,95.5,142,72.8,200,96.2,53,74.6,141,99.8,4,81,38,Exact,university of british columbia,canada,C015,U1104
39,50,Fudan University,China (Mainland),Asia,XL,FC,VH,A,85.7,54,87.8,55,79.7,140,80.7,107,88.4,201,35.1,390,67.2,519,64.4,183,82.7,142,80.3,39,Exact,fudan university,china (mainland),C017,U0237
40,40,King's College London,United Kingdom,Europe,XL,FC,VH,A,90.3,44,85.7,64,64.3,210,53.6,238,99.1,103,99.5,47,98.6,17,59.8,205,96.2,44=,80.2,40,Exact,kings college london,united kingdom,C101,U0398
40,43,The University of Queensland,Australia,Oceania,XL,FC,VH,A,86.7,50,74.0,89,21.2,653,90.2,75,100.0,54,100.0,23,96.7,47,56.7,214,96.7,36,80.2,40,Exact,the university of queensland,australia,C003,U0800
42,29,"University of California, Los Angeles (UCLA)",United States,Americas,XL,FC,VH,A,100.0,8,99.8,8,35.4,448,74.0,137,42.2,407,22.3,515,95.5,69,94.7,53,67.1,232=,79.8,42,Exact,university of california los angeles ucla,united states,C102,U1112
43,38,New York University (NYU),United States,Americas,XL,FC,VH,B,96.3,32,98.8,14,90.5,83,28.6,453,30.2,492,98.1,68,92.6,126,98.4,22,95.4,55=,79.6,43,Exact,new york university nyu,united states,C102,U0534
44,33,University of Michigan-Ann Arbor,United States,Americas,XL,FC,VH,A,97.9,26,92.1,43,80.3,133,47.6,284,65.5,299,39.2,359,95.8,63,94.5,55,62.2,254=,79,44,Exact,university of michiganann arbor,united states,C102,U1223
45,51,Shanghai Jiao Tong University,China (Mainland),Asia,XL,FC,VH,A,84.0,57,86.3,62,58.6,251,99.6,17,23.1,558,19.6,553,73.7,424,73.5,144,80.3,154,77.8,45,Exact,shanghai jiao tong university,china (mainland),C017,U0669
46,38,Institut Polytechnique de Paris,France,Europe,M,CO,VH,A,44.7,189,99.6,10,95.9,55,86.1,92,99.1,104,98.0,71,89.6,173,97.7,31,54.8,289=,77.5,46,Exact,institut polytechnique de paris,france,C031,U0318
47,60,The Hong Kong University of Science and Technology,Hong Kong SAR,Asia,M,FO,VH,A,81.1,68,50.3,179,56.7,261,99.7,16,100.0,22,95.4,94,46.7,701+,65.4,180,77.6,170=,77.1,47,Exact,the hong kong university of science and technology,hong kong sar,C038,U0778
