university_id,university_name,country_name,openalex_id,openalex_display_name,openalex_country_code,openalex_country,openalex_ror,openalex_works_count,openalex_works_2023,openalex_works_2024,openalex_works_2025,normalized_university_name,normalized_openalex_name,name_similarity,country_match,publication_match_status
U2331,Yuriy Fedkovych Chernivtsi National University,Ukraine,,,,,,,,,,yuriy fedkovych chernivtsi national university,,0.0,False,Unmatched
U2332,University of Zambia,Zambia,,,,,,,,,,university of zambia,,0.0,False,Unmatched
U2333,University of Zanjan,Iran,,,,,,,,,,university of zanjan,,0.0,False,Unmatched
U2334,Zanjan University of Medical Sciences,Iran,,,,,,,,,,zanjan university of medical sciences,,0.0,False,Unmatched
U2335,Zhejiang Chinese Medical University,China,,,,,,,,,,zhejiang chinese medical university,,0.0,False,Unmatched
U2336,University of Zimbabwe,Zimbabwe,,,,,,,,,,university of zimbabwe,,0.0,False,Unmatched
U2337,Université 8 Mai 1945 Guelma,Algeria,,,,,,,,,,universite 8 mai 1945 guelma,,0.0,False,Unmatched
U2338,University Abdelhamid Ibn Badis Mostaganem,Algeria,,,,,,,,,,university abdelhamid ibn badis mostaganem,,0.0,False,Unmatched
U2339,Abdelmalek Essaâdi University,Morocco,,,,,,,,,,abdelmalek essaadi university,,0.0,False,Unmatched
U2340,University of Abou Bekr Belkaïd Tlemcen,Algeria,,,,,,,,,,university of abou bekr belkaid tlemcen,,0.0,False,Unmatched
U2341,Acıbadem University,Turkey,,,,,,,,,,ac badem university,,0.0,False,Unmatched
U2342,Adelphi University,United States,,,,,,,,,,adelphi university,,0.0,False,Unmatched
U2343,Afe Babalola University,Nigeria,,,,,,,,,,afe babalola university,,0.0,False,Unmatched
U2344,Akita University,Japan,,,,,,,,,,akita university,,0.0,False,Unmatched
U2345,Aksaray University,Turkey,,,,,,,,,,aksaray university,,0.0,False,Unmatched
U2346,Alzahra University,Iran,,,,,,,,,,alzahra university,,0.0,False,Unmatched
U2347,University of Anbar,Iraq,,,,,,,,,,university of anbar,,0.0,False,Unmatched
U2348,"University of the Andes, Venezuela",Venezuela,,,,,,,,,,university of the andes venezuela,,0.0,False,Unmatched
U2349,Andhra University,India,,,,,,,,,,andhra university,,0.0,False,Unmatched
U2350,Universidad Andrés Bello (UNAB),Chile,,,,,,,,,,universidad andres bello,,0.0,False,Unmatched
U2351,Ankara University,Turkey,,,,,,,,,,ankara university,,0.0,False,Unmatched
U2352,Ankara Yildirim Beyazit University,Turkey,,,,,,,,,,ankara yildirim beyazit university,,0.0,False,Unmatched
U2353,Annamalai University,India,,,,,,,,,,annamalai university,,0.0,False,Unmatched
U2354,Antonio Nariño University,Colombia,,,,,,,,,,antonio narino university,,0.0,False,Unmatched
U2355,Arak University,Iran,,,,,,,,,,arak university,,0.0,False,Unmatched
U2356,Universidad Autónoma de Ciudad Juárez,Mexico,,,,,,,,,,universidad autonoma de ciudad juarez,,0.0,False,Unmatched
U2357,Universidad Autónoma de Coahuila,Mexico,,,,,,,,,,universidad autonoma de coahuila,,0.0,False,Unmatched
U2358,Universidad Autónoma del Estado de Hidalgo,Mexico,,,,,,,,,,universidad autonoma del estado de hidalgo,,0.0,False,Unmatched
U2359,Universidad Autónoma del Estado de Mexico (UAEMex),Mexico,,,,,,,,,,universidad autonoma del estado de mexico,,0.0,False,Unmatched
U2360,Universidad Autónoma del Estado de Morelos,Mexico,,,,,,,,,,universidad autonoma del estado de morelos,,0.0,False,Unmatched
U2361,Universidad Autónoma de Nuevo León (UANL),Mexico,,,,,,,,,,universidad autonoma de nuevo leon,,0.0,False,Unmatched
U2362,Universidad Autónoma de Querétaro,Mexico,,,,,,,,,,universidad autonoma de queretaro,,0.0,False,Unmatched
U2363,Universidad Autónoma de Yucatán,Mexico,,,,,,,,,,universidad autonoma de yucatan,,0.0,False,Unmatched
U2364,Autonomous University of Baja California,Mexico,,,,,,,,,,autonomous university of baja california,,0.0,False,Unmatched
U2365,Badji Mokhtar University – Annaba,Algeria,,,,,,,,,,badji mokhtar university annaba,,0.0,False,Unmatched
U2366,Başkent University,Turkey,,,,,,,,,,baskent university,,0.0,False,Unmatched
U2367,University of Batna 2,Algeria,,,,,,,,,,university of batna 2,,0.0,False,Unmatched
U2368,University of Béjaïa,Algeria,,,,,,,,,,university of bejaia,,0.0,False,Unmatched
