university_id,university_name,country_name,year,publication_count
U0066,university of texas at austin,United States,2023,12063.0
U0066,university of texas at austin,United States,2024,83061.0
U0066,university of texas at austin,United States,2025,15487.0
U0067,korea university,South Korea,2023,7074.0
U0067,korea university,South Korea,2024,7731.0
U0067,korea university,South Korea,2025,8685.0
U0073,université paris-saclay,France,2023,19239.0
U0073,université paris-saclay,France,2024,19937.0
U0073,université paris-saclay,France,2025,21358.0
U0074,kth royal institute of technology,Sweden,2023,6499.0
U0074,kth royal institute of technology,Sweden,2024,6589.0
U0074,kth royal institute of technology,Sweden,2025,6370.0
U0075,lund university,Sweden,2023,12199.0
U0075,lund university,Sweden,2024,13121.0
U0075,lund university,Sweden,2025,12506.0
U0076,university of washington,United States,2023,24220.0
U0076,university of washington,United States,2024,23669.0
U0076,university of washington,United States,2025,22419.0
U0077,the university of western australia,Australia,2023,9317.0
U0077,the university of western australia,Australia,2024,8824.0
U0077,the university of western australia,Australia,2025,8515.0
U0078,university of glasgow,United Kingdom,2023,10781.0
U0078,university of glasgow,United Kingdom,2024,11253.0
U0078,university of glasgow,United Kingdom,2025,10723.0
U0079,brown university,United States,2023,8671.0
U0079,brown university,United States,2024,12866.0
U0079,brown university,United States,2025,9485.0
U0080,university of birmingham,United Kingdom,2023,10792.0
U0080,university of birmingham,United Kingdom,2024,11809.0
U0080,university of birmingham,United Kingdom,2025,11556.0
U0081,university of southampton,United Kingdom,2023,8778.0
U0081,university of southampton,United Kingdom,2024,9362.0
U0081,university of southampton,United Kingdom,2025,9181.0
U0082,the university of adelaide,Australia,2023,8422.0
U0082,the university of adelaide,Australia,2024,8948.0
U0082,the university of adelaide,Australia,2025,8924.0
U0083,university of leeds,United Kingdom,2023,10168.0
U0083,university of leeds,United Kingdom,2024,10423.0
U0083,university of leeds,United Kingdom,2025,10494.0
U0085,tokyo institute of technology (tokyo tech),Japan,2023,6448.0
U0085,tokyo institute of technology (tokyo tech),Japan,2024,4961.0
U0085,tokyo institute of technology (tokyo tech),Japan,2025,3516.0
U0088,university of technology sydney,Australia,2023,7034.0
U0088,university of technology sydney,Australia,2024,6974.0
U0088,university of technology sydney,Australia,2025,7033.0
