world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,pub,pcp,year,university_id
24.0,University of Toronto,1,43.1,28.1,19.7,39.3,38.9,76.7,41.9,2005,UNI_00091
25.0,University of Illinois at Urbana-Champaign,19,42.8,41.6,37.4,44.4,34.1,58.0,26.0,2005,UNI_01037
26.0,University College London,4,42.6,30.7,32.9,37.7,41.5,60.5,38.8,2005,UNI_00915
27.0,Swiss Federal Institute of Technology Zurich,1,41.7,40.2,37.0,35.1,41.1,43.4,52.4,2005,UNI_01238
28.0,Washington University in St. Louis,20,40.7,25.1,26.6,38.5,46.5,53.9,39.9,2005,UNI_01039
29.0,New York University,21,38.8,33.8,25.0,43.0,35.3,55.4,26.3,2005,UNI_01011
30.0,Rockefeller University,22,38.2,22.6,59.8,28.3,44.1,24.0,35.9,2005,UNI_01162
31.0,Northwestern University,23,37.9,21.7,19.3,44.4,33.8,57.6,36.2,2005,UNI_00994
32.0,Duke University,24,37.7,20.8,0.0,47.1,45.3,60.8,38.9,2005,UNI_00986
32.0,"University of Minnesota, Twin Cities",24,37.7,36.0,0.0,49.7,35.2,68.4,23.8,2005,UNI_01156
34.0,"University of California, Santa Barbara",26,36.9,0.0,36.0,42.3,39.0,44.1,35.8,2005,UNI_00970
35.0,University of Colorado at Boulder,27,36.3,16.6,29.8,40.8,36.6,46.3,29.5,2005,UNI_01239
36.0,The University of Texas at Austin,28,35.5,21.7,17.1,49.1,30.0,54.8,21.7,2005,UNI_01105
37.0,University of British Columbia,2,35.4,20.8,19.3,32.4,32.5,60.4,33.9,2005,UNI_00100
38.0,The University of Texas Southwestern Medical Center at Dallas,29,34.8,24.3,33.9,31.4,38.2,37.9,31.0,2005,UNI_01240
39.0,Pennsylvania State University - University Park,30,33.4,14.0,0.0,45.8,37.9,59.9,24.0,2005,UNI_01155
39.0,Vanderbilt University,30,33.4,12.5,30.2,34.2,24.5,49.2,35.6,2005,UNI_01019
41.0,"University of California, Davis",32,32.9,0.0,0.0,46.5,34.5,64.0,29.8,2005,UNI_01092
41.0,Utrecht University,1,32.9,30.7,21.4,27.2,27.3,55.7,25.9,2005,UNI_00639
43.0,"Rutgers, The State University of New Jersey - New Brunswick",33,32.3,15.4,20.4,36.9,32.9,47.1,24.1,2005,UNI_01241
43.0,University of Pittsburgh,33,32.3,25.1,0.0,40.1,25.9,64.3,28.2,2005,UNI_01003
45.0,Karolinska Institute,1,32.1,30.7,27.8,33.3,19.7,47.3,25.1,2005,UNI_00807
46.0,Pierre and Marie Curie University - Paris 6,1,32.0,35.7,23.9,23.6,24.2,51.2,30.0,2005,UNI_01242
47.0,The University of Edinburgh,5,31.8,22.6,17.1,26.1,35.8,49.4,29.9,2005,UNI_00939
47.0,"University of California, Irvine",35,31.8,0.0,30.0,32.4,28.5,48.2,31.1,2005,UNI_01017
47.0,"University of Maryland, College Park",35,31.8,25.9,0.0,40.8,33.6,54.6,25.6,2005,UNI_01136
50.0,University of Southern California,37,31.7,0.0,27.3,37.7,23.6,52.8,25.8,2005,UNI_01031
51.0,University of Munich,1,31.4,37.1,21.1,15.7,30.4,51.9,30.0,2005,UNI_01243
52.0,Technical University Munich,2,31.3,43.0,24.1,24.8,20.7,46.5,29.2,2005,UNI_01244
53.0,The University of Manchester,6,31.2,27.3,19.3,23.6,22.6,57.3,30.4,2005,UNI_00892
54.0,Carnegie Mellon University,38,30.8,30.7,33.5,32.4,14.7,38.3,31.4,2005,UNI_00987
55.0,University of North Carolina at Chapel Hill,39,30.3,12.5,0.0,35.1,32.8,59.5,27.3,2005,UNI_00974
56.0,The Australian National University,1,30.2,17.7,12.9,36.9,29.0,45.1,27.8,2005,UNI_00009
57.0,University of Copenhagen,1,30.0,30.7,24.7,23.6,22.8,45.7,27.7,2005,UNI_00246
57.0,University of Florida,40,30.0,15.4,0.0,35.1,25.0,65.2,25.8,2005,UNI_01079
57.0,University of Zurich,2,30.0,12.5,27.3,19.2,30.3,47.2,30.6,2005,UNI_00817
60.0,Uppsala University,2,29.9,25.9,32.9,11.1,28.7,49.1,21.6,2005,UNI_00810
61.0,University of Paris Sud (Paris 11),2,29.4,33.2,34.2,13.6,19.6,44.9,27.9,2005,UNI_01245
62.0,Osaka University,3,29.3,12.5,0.0,23.6,31.1,66.8,29.2,2005,UNI_00573
63.0,The Ohio State University - Columbus,41,29.2,17.7,0.0,40.8,21.5,61.2,19.5,2005,UNI_01157
64.0,University of Bristol,7,28.8,10.9,18.2,30.4,24.5,47.5,27.4,2005,UNI_00890
65.0,The University of Sheffield,8,28.6,23.5,14.4,23.6,29.2,46.6,27.1,2005,UNI_00929
65.0,University of Rochester,42,28.6,33.2,9.1,27.2,25.3,43.0,36.1,2005,UNI_01138
67.0,McGill University,3,28.4,28.8,0.0,28.3,23.6,56.8,30.0,2005,UNI_00104
67.0,Moscow State University,1,28.4,51.4,34.9,0.0,7.5,54.0,31.6,2005,UNI_01246
69.0,Case Western Reserve University,43,28.3,40.7,11.8,20.8,23.0,44.8,33.7,2005,UNI_01055
69.0,University of Oslo,1,28.3,25.9,34.1,17.6,18.2,41.5,26.4,2005,UNI_00657
71.0,University of Heidelberg,3,28.0,10.9,27.7,20.8,20.9,48.1,26.9,2005,UNI_01247
72.0,Leiden University,2,27.9,25.1,15.8,27.2,19.3,46.7,28.1,2005,UNI_00636
73.0,Tohoku University,4,27.8,18.8,0.0,19.2,26.9,65.3,29.0,2005,UNI_00580
73.0,University of Arizona,44,27.8,0.0,0.0,29.4,36.8,55.8,25.7,2005,UNI_01123
75.0,Purdue University - West Lafayette,45,27.7,18.8,17.1,27.2,21.4,49.8,19.4,2005,UNI_01160
76.0,University of Helsinki,1,27.4,18.8,18.2,15.7,21.4,54.5,27.5,2005,UNI_00263
77.0,Michigan State University,46,26.9,12.5,0.0,37.7,26.6,51.0,18.7,2005,UNI_01088
78.0,Rice University,47,26.2,21.7,22.3,23.6,24.4,30.8,31.0,2005,UNI_01013
78.0,The Hebrew University of Jerusalem,1,26.2,33.2,0.0,23.6,27.1,46.6,26.9,2005,UNI_00472
80.0,Boston University,48,26.1,15.4,0.0,31.4,28.1,50.8,17.5,2005,UNI_01000
80.0,King's College London,9,26.1,16.6,23.5,20.8,17.4,44.6,24.8,2005,UNI_00909
82.0,University of Melbourne,2,26.0,15.4,14.4,22.2,18.7,53.5,19.9,2005,UNI_00026
83.0,University of Nottingham,10,25.9,15.4,20.4,20.8,19.0,45.6,24.8,2005,UNI_00928
84.0,University of Goettingen,4,25.8,38.7,20.4,15.7,17.5,40.2,24.5,2005,UNI_01248
85.0,University of Vienna,1,25.6,25.1,15.8,7.9,22.7,52.2,26.4,2005,UNI_00038
86.0,Brown University,49,25.4,0.0,13.9,29.4,25.5,40.7,27.9,2005,UNI_01021
87.0,Indiana University Bloomington,50,25.2,14.0,18.2,24.8,21.2,42.0,18.2,2005,UNI_01220
87.0,University of Basel,3,25.2,25.9,17.5,19.2,21.4,34.5,33.8,2005,UNI_00812
89.0,Texas A&M University - College Station,51,25.1,0.0,0.0,32.4,24.4,55.0,20.4,2005,UNI_01219
90.0,McMaster University,4,24.9,16.6,19.3,22.2,15.9,43.5,23.9,2005,UNI_00108
90.0,University of Freiburg,5,24.9,25.1,21.4,17.6,18.2,39.5,23.2,2005,UNI_00382
92.0,University of Strasbourg,3,24.7,29.4,22.9,19.2,19.5,32.7,22.4,2005,UNI_00296
93.0,Ecole Normale Superieure - Paris,4,24.6,47.8,25.0,13.6,18.1,27.2,23.3,2005,UNI_01249
93.0,Stockholm University,3,24.6,29.4,30.2,15.7,14.3,35.3,18.9,2005,UNI_00804
93.0,Tokyo Institute of Technology,5,24.6,16.6,0.0,22.2,22.5,50.6,31.5,2005,UNI_00561
93.0,University of Utah,52,24.6,0.0,0.0,30.4,31.4,45.5,24.8,2005,UNI_00984
97.0,University of Roma - La Sapienza,1,24.5,16.6,15.8,11.1,21.8,54.6,15.1,2005,UNI_01250
98.0,University of Birmingham,11,24.4,25.1,11.2,22.2,13.4,47.0,24.5,2005,UNI_00955
99.0,Lund University,4,24.3,29.4,0.0,24.8,19.4,50.1,18.1,2005,UNI_00805
100.0,Tufts University,53,23.9,18.8,17.1,20.8,19.1,37.4,25.2,2005,UNI_01023
101.0,Aarhus University,2,,15.4,19.3,7.9,22.3,41.6,22.4,2005,UNI_00248
101.0,Arizona State University - Tempe,54-71,,0.0,14.4,20.8,26.3,41.9,17.5,2005,UNI_01251
101.0,Baylor College of Medicine,54-71,,0.0,0.0,17.6,34.5,44.0,24.9,2005,UNI_01221
101.0,Catholic University of Leuven,1-4,,0.0,0.0,19.2,16.0,48.7,23.1,2005,UNI_01252
101.0,Catholic University of Louvain,1-4,,14.0,13.9,13.6,8.3,44.7,26.9,2005,UNI_01253
101.0,College of France,5,,15.4,37.4,11.1,11.7,16.9,19.3,2005,UNI_01254
