university_name,university_name_clean,country_name,country_name_clean,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024
University of Oxford,university of oxford,United Kingdom,united kingdom,1.0,98.5,96.6,100.0,99.0,98.7,97.5,10.9,42.0,49.0
Stanford University,stanford university,United States,united states,2.0,98.0,99.0,97.8,99.6,100.0,87.0,6.4,23.0,47.0
Massachusetts Institute of Technology,massachusetts institute of technology,United States,united states,3.0,97.9,98.6,96.2,99.7,100.0,93.8,8.0,33.0,41.0
Harvard University,harvard university,United States,united states,4.0,97.8,97.7,99.9,99.4,84.2,90.8,9.0,25.0,51.0
University of Cambridge,university of cambridge,United Kingdom,united kingdom,5.0,97.5,95.8,100.0,98.0,87.9,97.4,11.5,38.0,48.0
Princeton University,princeton university,United States,united states,6.0,96.9,96.3,97.9,98.8,95.1,89.1,7.3,23.0,47.0
California Institute of Technology,california institute of technology,United States,united states,7.0,96.5,96.6,98.0,95.9,100.0,90.6,6.1,33.0,37.0
Imperial College London,imperial college london,United Kingdom,united kingdom,8.0,95.1,90.9,95.5,98.6,90.9,98.3,11.8,61.0,42.0
"University of California, Berkeley","university of california, berkeley",United States,united states,9.0,94.6,87.2,98.8,99.0,99.4,86.8,17.9,22.0,52.0
Yale University,yale university,United States,united states,10.0,94.2,94.0,94.9,97.7,86.5,82.4,5.2,21.0,51.0
ETH Zurich,eth zurich,Switzerland,switzerland,11.0,93.1,87.6,96.8,95.6,82.9,95.6,15.4,43.0,33.0
Tsinghua University,tsinghua university,China,china,12.0,92.4,95.3,98.1,93.2,99.9,51.7,11.2,10.0,53.0
The University of Chicago,the university of chicago,United States,united states,13.0,92.1,89.6,91.2,97.6,93.8,82.3,6.2,36.0,47.0
Peking University,peking university,China,china,14.0,91.8,95.6,97.3,87.2,98.8,70.2,10.9,14.0,53.0
Johns Hopkins University,johns hopkins university,United States,united states,15.0,91.1,84.4,92.3,97.2,100.0,84.2,4.1,28.0,56.0
University of Pennsylvania,university of pennsylvania,United States,united states,16.0,91.0,87.7,89.7,97.6,97.7,78.8,6.2,22.0,54.0
Columbia University,columbia university,United States,united states,17.0,90.9,88.6,89.7,97.4,75.2,86.9,5.2,35.0,53.0
"University of California, Los Angeles","university of california, los angeles",United States,united states,18.0,90.1,85.7,91.9,96.4,92.3,74.3,9.6,15.0,56.0
National University of Singapore,national university of singapore,Singapore,singapore,19.0,90.0,78.8,94.0,95.4,100.0,91.1,20.0,24.0,49.0
Cornell University,cornell university,United States,united states,20.0,89.5,85.7,88.7,97.6,69.4,86.0,10.0,24.0,51.0
University of Toronto,university of toronto,Canada,canada,21.0,88.6,77.5,94.1,92.8,96.1,90.7,25.8,27.0,56.0
UCL,ucl,United Kingdom,united kingdom,22.0,88.1,78.4,86.4,98.6,75.2,97.9,11.3,61.0,59.0
University of Michigan-Ann Arbor,university of michigan-ann arbor,United States,united states,23.0,87.4,84.7,87.4,95.5,80.7,69.0,8.1,16.0,51.0
Carnegie Mellon University,carnegie mellon university,United States,united states,24.0,86.3,75.0,84.6,98.9,87.3,85.5,11.9,44.0,44.0
University of Washington,university of washington,United States,united states,25.0,85.3,78.0,83.5,98.2,77.6,73.2,10.1,16.0,56.0
Duke University,duke university,United States,united states,26.0,83.9,79.3,76.1,96.2,100.0,74.8,3.9,18.0,52.0
New York University,new york university,United States,united states,27.0,83.5,73.2,84.0,94.9,75.4,80.7,11.8,42.0,58.0
Northwestern University,northwestern university,United States,united states,28.0,83.2,72.3,78.8,97.8,99.7,75.9,13.1,18.0,52.0
The University of Tokyo,the university of tokyo,Japan,japan,29.0,83.1,93.9,94.2,67.8,100.0,49.7,10.3,15.0,53.0
University of Edinburgh,university of edinburgh,United Kingdom,united kingdom,,82.5,70.7,77.5,96.9,71.1,97.0,11.5,46.0,61.0
Technical University of Munich,technical university of munich,Germany,germany,,82.5,69.8,85.1,90.0,100.0,83.1,44.4,39.0,37.0
"Nanyang Technological University, Singapore","nanyang technological university, singapore",Singapore,singapore,32.0,82.3,66.2,80.9,94.5,99.7,93.3,16.7,27.0,49.0
École Polytechnique Fédérale de Lausanne,école polytechnique fédérale de lausanne,Switzerland,switzerland,33.0,81.4,74.5,73.2,90.3,99.8,95.8,13.5,64.0,30.0
"University of California, San Diego","university of california, san diego",United States,united states,34.0,81.0,66.0,78.4,97.6,100.0,74.3,12.0,19.0,45.0
University of Hong Kong,university of hong kong,Hong Kong,hong kong,35.0,80.3,65.6,72.3,96.4,95.2,96.8,18.3,43.0,55.0
Georgia Institute of Technology,georgia institute of technology,United States,united states,36.0,80.0,63.4,78.9,94.1,94.6,84.8,28.0,29.0,34.0
University of Melbourne,university of melbourne,Australia,australia,37.0,79.2,64.8,76.4,90.1,98.3,92.7,25.1,47.0,58.0
King’s College London,king’s college london,United Kingdom,united kingdom,,79.0,59.8,75.1,97.7,74.2,97.5,13.9,53.0,63.0
LMU Munich,lmu munich,Germany,germany,,79.0,65.3,76.8,92.2,100.0,76.9,33.5,18.0,62.0
Paris Sciences et Lettres – PSL Research University Paris,paris sciences et lettres – psl research university paris,France,france,40.0,78.5,75.7,72.8,83.2,99.7,81.6,15.0,22.0,51.0
University of British Columbia,university of british columbia,Canada,canada,41.0,78.0,62.5,76.6,90.5,76.7,95.0,19.4,34.0,55.0
University of Illinois at Urbana-Champaign,university of illinois at urbana-champaign,United States,united states,42.0,77.9,69.5,81.5,85.2,85.3,64.0,19.6,23.0,51.0
Shanghai Jiao Tong University,shanghai jiao tong university,China,china,43.0,77.7,76.6,82.5,75.4,100.0,60.6,12.6,9.0,37.0
Fudan University,fudan university,China,china,44.0,77.5,76.5,75.3,83.5,96.0,56.1,12.6,9.0,52.0
KU Leuven,ku leuven,Belgium,belgium,45.0,77.0,60.1,74.9,91.9,100.0,79.6,37.3,19.0,52.0
London School of Economics and Political Science,london school of economics and political science,United Kingdom,united kingdom,46.0,76.8,59.5,73.5,95.4,55.9,94.1,12.6,72.0,56.0
Universität Heidelberg,universität heidelberg,Germany,germany,47.0,76.7,67.7,64.3,94.6,99.3,76.4,13.3,20.0,55.0
Delft University of Technology,delft university of technology,Netherlands,netherlands,48.0,76.3,66.7,78.2,76.5,100.0,92.8,15.9,30.0,31.0
McGill University,mcgill university,Canada,canada,49.0,76.0,62.3,72.3,88.8,76.1,92.5,11.9,29.0,61.0
Karolinska Institute,karolinska institute,Sweden,sweden,50.0,75.9,58.9,67.9,95.3,96.0,85.7,9.9,27.0,70.0
University of Manchester,university of manchester,United Kingdom,united kingdom,51.0,75.6,61.4,67.1,93.1,73.1,95.6,15.6,45.0,56.0
University of Texas at Austin,university of texas at austin,United States,united states,52.0,75.5,66.0,75.7,91.0,81.4,47.3,16.4,8.0,55.0
Chinese University of Hong Kong,chinese university of hong kong,Hong Kong,hong kong,53.0,75.4,59.1,61.5,97.6,95.9,93.6,18.8,25.0,53.0
Monash University,monash university,Australia,australia,54.0,75.2,55.3,67.8,94.7,99.7,91.1,43.1,38.0,56.0
Kyoto University,kyoto university,Japan,japan,,75.0,85.4,84.3,60.0,100.0,45.7,9.0,11.0,25.0
Zhejiang University,zhejiang university,China,china,,75.0,70.2,75.3,78.7,99.0,65.5,12.0,16.0,53.0
University of Science and Technology of China,university of science and technology of china,China,china,57.0,74.8,74.3,66.3,88.2,95.6,45.4,8.1,5.0,53.0
Université Paris-Saclay,université paris-saclay,France,france,58.0,74.4,70.9,66.1,82.4,92.4,78.6,13.0,24.0,50.0
"University of California, Davis","university of california, davis",United States,united states,59.0,74.1,63.7,67.8,87.2,91.5,78.7,13.3,18.0,60.0
The University of Sydney,the university of sydney,Australia,australia,60.0,73.8,52.6,68.9,92.0,97.7,90.2,23.1,51.0,58.0
University of Amsterdam,university of amsterdam,Netherlands,netherlands,61.0,73.6,55.0,63.1,96.7,77.6,93.2,13.2,36.0,60.0
Seoul National University,seoul national university,South Korea,south korea,62.0,73.4,74.2,75.3,74.6,100.0,43.7,16.1,13.0,53.0
University of Wisconsin-Madison,university of wisconsin-madison,United States,united states,63.0,73.3,68.5,67.5,85.5,79.8,62.8,9.9,13.0,53.0
Brown University,brown university,United States,united states,,73.0,69.8,59.6,89.7,69.3,72.1,10.3,19.0,53.0
The Hong Kong University of Science and Technology,the hong kong university of science and technology,Hong Kong,hong kong,,73.0,54.0,62.1,92.9,100.0,95.5,19.9,30.0,53.0
Wageningen University & Research,wageningen university & research,Netherlands,netherlands,,73.0,56.4,59.8,93.8,98.8,92.4,18.1,28.0,54.0
Australian National University,australian national university,Australia,australia,67.0,72.6,55.9,68.0,86.6,82.0,94.8,15.1,48.0,52.0
Washington University in St Louis,washington university in st louis,United States,united states,68.0,72.3,60.8,57.2,97.5,77.8,72.7,7.3,22.0,52.0
"University of California, Santa Barbara","university of california, santa barbara",United States,united states,69.0,72.1,47.4,64.7,96.9,99.4,84.0,27.5,18.0,54.0
The University of Queensland,the university of queensland,Australia,australia,70.0,72.0,52.9,64.3,89.1,99.8,94.0,39.1,42.0,55.0
Institut Polytechnique de Paris,institut polytechnique de paris,France,france,71.0,71.3,71.0,61.6,70.8,98.8,97.1,6.8,42.0,25.0
University of North Carolina at Chapel Hill,university of north carolina at chapel hill,United States,united states,72.0,71.2,63.4,60.3,93.9,75.8,50.9,7.7,8.0,60.0
Nanjing University,nanjing university,China,china,73.0,70.9,64.0,61.7,85.3,96.8,61.8,16.7,8.0,54.0
University of Southern California,university of southern california,United States,united states,74.0,70.8,59.2,58.8,92.5,74.4,74.3,14.2,24.0,49.0
Sorbonne University,sorbonne university,France,france,75.0,70.5,64.7,60.8,83.7,69.5,78.8,14.5,22.0,60.0
Yonsei University (Seoul campus),yonsei university (seoul campus),South Korea,south korea,76.0,70.4,68.1,64.3,79.3,99.9,51.8,13.9,17.0,49.0
Leiden University,leiden university,Netherlands,netherlands,77.0,70.2,46.0,62.7,93.0,98.1,87.8,19.3,21.0,60.0
Boston University,boston university,United States,united states,78.0,70.1,59.6,54.1,94.3,76.4,74.1,10.8,29.0,58.0
University of Groningen,university of groningen,Netherlands,netherlands,79.0,70.0,47.5,57.2,94.5,99.9,93.4,28.8,29.0,53.0
University of Zurich,university of zurich,Switzerland,switzerland,80.0,69.9,54.8,53.4,91.8,93.7,92.4,14.7,24.0,58.0
University of Bristol,university of bristol,United Kingdom,united kingdom,81.0,69.8,48.7,56.5,97.3,72.3,92.5,14.8,31.0,55.0
City University of Hong Kong,city university of hong kong,Hong Kong,hong kong,82.0,69.3,52.2,52.4,91.1,100.0,98.7,13.2,67.0,54.0
Korea Advanced Institute of Science and Technology (KAIST),korea advanced institute of science and technology (kaist),South Korea,south korea,83.0,69.2,67.1,65.8,77.4,100.0,41.6,10.7,8.0,21.0
UNSW Sydney,unsw sydney,Australia,australia,84.0,68.9,47.2,57.4,91.1,98.6,94.5,36.6,40.0,47.0
University of Minnesota,university of minnesota,United States,united states,85.0,68.7,61.0,58.5,87.2,99.8,48.3,11.8,9.0,55.0
Purdue University West Lafayette,purdue university west lafayette,United States,united states,86.0,68.5,64.0,65.3,71.8,84.3,76.7,18.3,17.0,44.0
University of Glasgow,university of glasgow,United Kingdom,united kingdom,,68.2,48.1,51.8,96.8,69.7,96.1,14.4,43.0,59.0
The Hong Kong Polytechnic University,the hong kong polytechnic university,Hong Kong,hong kong,,68.2,45.7,54.1,94.5,87.4,96.3,30.6,30.0,51.0
Humboldt University of Berlin,humboldt university of berlin,Germany,germany,,68.2,55.3,63.7,82.8,65.4,79.0,54.5,18.0,53.0
RWTH Aachen University,rwth aachen university,Germany,germany,90.0,68.0,54.9,64.8,78.9,100.0,71.2,43.3,29.0,34.0
University of Bonn,university of bonn,Germany,germany,91.0,67.8,51.7,57.7,89.7,82.6,73.8,44.5,17.0,57.0
"University of California, Irvine","university of california, irvine",United States,united states,,67.4,47.1,53.8,93.2,96.1,80.9,16.2,26.0,53.0
Vanderbilt University,vanderbilt university,United States,united states,,67.4,54.1,48.5,96.0,96.5,62.9,3.9,17.0,55.0
Charité - Universitätsmedizin Berlin,charité - universitätsmedizin berlin,Germany,germany,94.0,67.2,47.5,49.1,97.7,100.0,75.2,17.5,21.0,65.0
Lomonosov Moscow State University,lomonosov moscow state university,Russian Federation,russian federation,,67.0,87.5,75.2,33.9,91.1,73.8,9.6,37.0,50.0
University of Tübingen,university of tübingen,Germany,germany,,67.0,49.1,56.5,89.0,99.8,72.0,27.1,14.0,59.0
KTH Royal Institute of Technology,kth royal institute of technology,Sweden,sweden,,66.9,53.5,57.8,81.0,97.7,82.5,15.9,26.0,34.0
University of Southampton,university of southampton,United Kingdom,united kingdom,,66.9,48.9,50.1,92.7,73.1,96.5,13.0,35.0,51.0
Erasmus University Rotterdam,erasmus university rotterdam,Netherlands,netherlands,,66.7,38.5,54.1,96.9,94.7,90.6,36.0,25.0,54.0
Ohio State University (Main campus),ohio state university (main campus),United States,united states,,66.7,55.8,52.7,88.4,85.0,67.3,11.4,11.0,51.0
University of Birmingham,university of birmingham,United Kingdom,united kingdom,101.0,66.6,46.1,49.3,95.5,72.1,95.1,15.2,32.0,58.0
Free University of Berlin,free university of berlin,Germany,germany,102.0,66.5,52.1,59.7,82.5,71.6,82.4,41.5,20.0,63.0
University of Copenhagen,university of copenhagen,Denmark,denmark,,66.3,49.2,51.1,91.3,89.5,80.1,4.3,14.0,62.0
McMaster University,mcmaster university,Canada,canada,,66.3,43.8,51.3,93.0,100.0,87.3,30.9,22.0,56.0
University of Sheffield,university of sheffield,United Kingdom,united kingdom,105.0,66.2,48.0,49.5,92.3,77.5,92.0,15.4,40.0,53.0
Emory University,emory university,United States,united states,,66.1,53.1,45.7,95.5,81.6,69.3,4.0,19.0,61.0
Lund University,lund university,Sweden,sweden,,66.1,46.7,56.6,86.6,99.8,79.8,12.0,18.0,56.0
University of Warwick,university of warwick,United Kingdom,united kingdom,,66.1,48.1,52.1,89.0,70.5,96.4,14.4,44.0,50.0
Aarhus University,aarhus university,Denmark,denmark,,65.9,44.9,59.0,86.3,98.7,76.3,13.5,9.0,56.0
University of Alberta,university of alberta,Canada,canada,,65.9,50.1,55.5,80.9,99.9,90.7,22.8,27.0,53.0
University of Adelaide,university of adelaide,Australia,australia,,65.8,42.4,50.6,92.8,95.0,92.9,36.4,31.0,49.0
University of Göttingen,university of göttingen,Germany,germany,,65.8,50.0,54.8,90.1,70.8,70.7,27.4,14.0,53.0
Université de Montréal,université de montréal,Canada,canada,,65.8,51.2,54.1,81.7,96.6,87.7,20.5,22.0,53.0
"University of Maryland, College Park","university of maryland, college park",United States,united states,114.0,65.7,49.4,58.1,92.8,70.2,48.6,17.0,9.0,49.0
Ghent University,ghent university,Belgium,belgium,115.0,65.6,47.2,59.3,85.3,99.7,65.7,37.6,12.0,57.0
University of Bern,university of bern,Switzerland,switzerland,,65.4,45.1,47.0,93.3,99.2,87.0,18.2,16.0,59.0
Michigan State University,michigan state university,United States,united states,,65.4,54.8,52.3,86.2,70.0,71.4,16.1,11.0,52.0
Texas A&M University,texas a&m university,United States,united states,118.0,65.3,55.2,62.1,77.3,76.4,64.1,20.5,6.0,47.0
Rice University,rice university,United States,united states,,65.2,56.4,45.6,86.5,73.9,85.8,9.8,26.0,42.0
University of Vienna,university of vienna,Austria,austria,,65.2,48.7,60.3,77.4,75.9,94.9,37.4,31.0,66.0
University of Helsinki,university of helsinki,Finland,finland,121.0,65.1,48.1,57.6,90.6,69.2,56.7,15.9,5.0,67.0
Penn State (Main campus),penn state (main campus),United States,united states,122.0,65.0,53.1,58.7,83.7,70.4,58.4,14.2,15.0,48.0
University of Basel,university of basel,Switzerland,switzerland,,64.9,50.8,42.9,87.7,99.4,95.4,10.4,31.0,56.0
University of Massachusetts,university of massachusetts,United States,united states,,64.9,54.0,46.9,87.3,85.6,77.3,13.3,14.0,50.0
Vrije Universiteit Amsterdam,vrije universiteit amsterdam,Netherlands,netherlands,125.0,64.7,40.4,51.0,93.4,91.5,84.3,19.2,18.0,57.0
Technical University of Denmark,technical university of denmark,Denmark,denmark,126.0,64.6,50.7,47.4,83.2,99.7,92.2,7.7,28.0,32.0
University of Oslo,university of oslo,Norway,norway,127.0,64.3,45.6,50.6,92.1,72.3,75.6,12.5,15.0,66.0
University of Freiburg,university of freiburg,Germany,germany,128.0,64.1,46.7,51.3,86.2,100.0,74.2,34.4,17.0,53.0
University of Leeds,university of leeds,United Kingdom,united kingdom,129.0,63.9,46.1,49.1,87.3,68.8,94.6,14.4,32.0,59.0
University of Nottingham,university of nottingham,United Kingdom,united kingdom,,63.8,45.6,45.9,90.6,71.2,92.8,16.0,27.0,54.0
Tohoku University,tohoku university,Japan,japan,,63.8,67.8,66.4,53.8,99.9,58.5,11.8,12.0,28.0
University of Florida,university of florida,United States,united states,132.0,63.7,55.5,56.7,78.3,88.9,50.9,16.7,9.0,56.0
University of Rochester,university of rochester,United States,united states,133.0,63.6,50.8,42.9,88.3,89.0,81.7,7.3,34.0,50.0
Trinity College Dublin,trinity college dublin,Ireland,ireland,134.0,63.2,44.0,48.4,87.6,76.6,91.4,22.2,34.0,61.0
Queen Mary University of London,queen mary university of london,United Kingdom,united kingdom,135.0,63.1,37.6,42.6,97.9,73.9,98.1,14.6,45.0,54.0
University of Hamburg,university of hamburg,Germany,germany,,63.0,44.7,53.3,84.8,98.6,65.7,58.5,13.0,58.0
Technical University of Berlin,technical university of berlin,Germany,germany,,63.0,47.8,55.6,78.1,99.9,71.3,49.6,29.0,35.0
University of Colorado Boulder,university of colorado boulder,United States,united states,,62.9,46.5,51.9,88.6,82.8,56.6,16.5,8.0,45.0
Maastricht University,maastricht university,Netherlands,netherlands,,62.9,41.4,47.1,86.1,98.1,97.4,19.6,57.0,60.0
Karlsruhe Institute of Technology,karlsruhe institute of technology,Germany,germany,,62.8,49.9,56.8,72.5,99.9,77.6,20.5,25.0,29.0
Radboud University Nijmegen,radboud university nijmegen,Netherlands,netherlands,,62.8,39.1,51.0,91.3,81.4,77.7,18.2,12.0,57.0
Uppsala University,uppsala university,Sweden,sweden,,62.8,43.9,55.0,81.3,97.7,74.7,13.3,17.0,60.0
University of Lausanne,university of lausanne,Switzerland,switzerland,,62.7,41.7,46.3,87.3,99.5,90.4,10.5,23.0,53.0
The University of Western Australia,the university of western australia,Australia,australia,,62.7,37.7,48.6,88.7,97.2,93.5,22.4,26.0,50.0
University of Pittsburgh-Pittsburgh campus,university of pittsburgh-pittsburgh campus,United States,united states,,62.5,49.1,46.1,92.4,76.1,50.9,5.4,10.0,56.0
Sungkyunkwan University (SKKU),sungkyunkwan university (skku),South Korea,south korea,,62.5,55.5,54.2,72.9,98.8,61.3,19.4,19.0,53.0
University of York,university of york,United Kingdom,united kingdom,147.0,62.4,42.4,44.8,90.8,66.9,93.1,16.1,31.0,56.0
University of Technology Sydney,university of technology sydney,Australia,australia,148.0,62.3,36.2,43.3,95.9,78.9,94.3,37.4,25.0,50.0
Pohang University of Science and Technology (POSTECH),pohang university of science and technology (postech),South Korea,south korea,149.0,62.2,58.1,51.5,77.2,100.0,40.0,10.5,5.0,53.0
University of Auckland,university of auckland,New Zealand,new zealand,,62.0,39.7,45.7,88.3,95.8,89.9,24.4,31.0,57.0
Sichuan University,sichuan university,China,china,,62.0,59.1,57.3,69.3,93.2,46.1,15.9,5.0,53.0
University of Barcelona,university of barcelona,Spain,spain,,61.9,42.4,47.3,91.4,83.9,65.2,15.3,11.0,64.0
National Taiwan University (NTU),national taiwan university (ntu),Taiwan,taiwan,,61.9,57.3,54.8,70.8,99.9,51.2,11.1,13.0,41.0
Université Paris Cité,université paris cité,France,france,,61.9,47.9,42.7,90.6,68.3,73.2,16.9,18.0,66.0
University of Arizona,university of arizona,United States,united states,,61.8,48.7,51.3,85.7,84.0,47.0,19.9,7.0,56.0
University of Bologna,university of bologna,Italy,italy,,61.8,53.0,44.6,86.5,79.4,54.3,24.7,11.0,57.0
Lancaster University,lancaster university,United Kingdom,united kingdom,,61.8,40.2,40.7,93.9,66.6,96.8,13.9,38.0,51.0
Huazhong University of Science and Technology,huazhong university of science and technology,China,china,,61.7,48.8,48.1,90.0,96.9,32.9,15.5,4.0,53.0
University of Waterloo,university of waterloo,Canada,canada,,61.7,42.2,49.3,83.7,78.3,89.3,24.2,23.0,47.0
University of Cologne,university of cologne,Germany,germany,160.0,61.5,42.9,47.1,85.6,98.8,73.3,28.7,17.0,53.0
University of Antwerp,university of antwerp,Belgium,belgium,,61.4,38.2,44.4,92.5,98.4,74.7,31.8,17.0,56.0
Dartmouth College,dartmouth college,United States,united states,,61.4,57.3,40.7,84.7,68.4,60.2,7.4,16.0,49.0
TU Dresden,tu dresden,Germany,germany,,61.4,46.6,51.1,79.3,99.7,67.9,29.4,17.0,45.0
Case Western Reserve University,case western reserve university,United States,united states,,61.3,51.7,40.2,88.7,71.4,65.0,8.8,25.0,51.0
Wuhan University,wuhan university,China,china,,61.3,50.9,45.0,88.5,90.6,41.0,15.0,5.0,53.0
University of Virginia (Main campus),university of virginia (main campus),United States,united states,166.0,61.1,51.1,40.1,88.9,79.9,60.8,8.9,11.0,54.0
University of Cape Town,university of cape town,South Africa,south africa,167.0,60.9,38.7,47.0,88.3,78.2,82.9,13.6,13.0,54.0
Université Catholique de Louvain,université catholique de louvain,Belgium,belgium,,60.8,39.5,49.4,83.1,92.0,83.1,37.3,20.0,54.0
Eindhoven University of Technology,eindhoven university of technology,Netherlands,netherlands,,60.8,47.4,51.5,71.3,100.0,87.3,21.4,27.0,53.0
Harbin Institute of Technology,harbin institute of technology,China,china,,60.8,58.8,55.1,70.9,91.2,33.9,10.6,6.0,53.0
University of Liverpool,university of liverpool,United Kingdom,united kingdom,,60.8,38.4,40.2,93.4,64.9,96.4,14.2,32.0,54.0
Newcastle University,newcastle university,United Kingdom,united kingdom,,60.8,37.2,41.1,93.8,72.1,91.3,14.8,26.0,53.0
Scuola Normale Superiore di Pisa,scuola normale superiore di pisa,Italy,italy,,60.8,60.1,42.6,82.9,34.9,59.3,7.4,11.0,29.0
Durham University,durham university,United Kingdom,united kingdom,174.0,60.6,43.5,44.5,83.5,65.6,95.8,14.0,32.0,54.0
Osaka University,osaka university,Japan,japan,,60.4,62.5,65.7,50.5,100.0,51.0,10.4,10.0,32.0
University of Würzburg,university of würzburg,Germany,germany,,60.4,40.3,43.4,90.8,99.6,63.2,38.3,12.0,59.0
Beijing Normal University,beijing normal university,China,china,,60.2,57.7,45.8,77.5,67.6,52.3,14.4,9.0,53.0
University of Exeter,university of exeter,United Kingdom,united kingdom,,60.2,33.5,42.5,95.7,52.2,95.5,16.6,28.0,53.0
University of Ottawa,university of ottawa,Canada,canada,,60.2,39.6,46.5,84.4,80.2,86.9,27.2,26.0,59.0
Macquarie University,macquarie university,Australia,australia,180.0,60.1,36.7,44.2,87.4,90.9,88.6,51.7,22.0,53.0
Sapienza University of Rome,sapienza university of rome,Italy,italy,181.0,60.0,53.5,48.1,77.9,85.4,46.5,22.2,9.0,61.0
Arizona State University (Tempe),arizona state university (tempe),United States,united states,182.0,59.9,40.9,46.2,87.5,71.5,71.7,19.7,14.0,46.0
University of Geneva,university of geneva,Switzerland,switzerland,183.0,59.8,41.8,38.0,86.7,80.7,97.1,8.4,40.0,62.0
University of Twente,university of twente,Netherlands,netherlands,184.0,59.7,43.4,46.0,75.1,99.6,93.3,13.9,38.0,37.0
Stockholm University,stockholm university,Sweden,sweden,,59.6,32.1,49.6,91.0,59.2,81.2,20.3,13.0,53.0
Tongji University,tongji university,China,china,,59.6,50.0,53.6,69.5,85.4,67.7,11.3,15.0,41.0
Georgetown University,georgetown university,United States,united states,,59.5,52.6,37.0,85.1,92.2,53.2,10.1,18.0,55.0
University of Mannheim,university of mannheim,Germany,germany,,59.5,36.5,45.4,90.2,93.6,63.7,57.1,14.0,52.0
Chalmers University of Technology,chalmers university of technology,Sweden,sweden,189.0,59.4,42.7,46.6,79.4,97.1,74.1,15.4,17.0,32.0
Cardiff University,cardiff university,United Kingdom,united kingdom,190.0,59.3,35.5,39.6,91.9,70.4,92.5,15.0,27.0,58.0
Tokyo Institute of Technology,tokyo institute of technology,Japan,japan,,59.2,59.5,63.3,49.4,100.0,60.1,9.6,17.0,16.0
Tufts University,tufts university,United States,united states,,59.2,51.5,35.0,87.5,71.7,62.8,10.5,16.0,57.0
University of Erlangen-Nuremberg,university of erlangen-nuremberg,Germany,germany,,59.0,42.6,48.1,79.7,100.0,61.0,41.9,13.0,51.0
University of Macau,university of macau,Macao,macao,,59.0,38.4,38.1,90.3,61.9,93.7,18.6,41.0,54.0
University of Münster,university of münster,Germany,germany,,59.0,43.8,47.3,83.7,81.5,53.5,25.1,5.0,53.0
University of St Andrews,university of st andrews,United Kingdom,united kingdom,,59.0,46.0,42.6,77.7,63.6,95.8,12.4,46.0,58.0
Ulm University,ulm university,Germany,germany,,59.0,40.6,41.2,87.9,99.6,63.0,26.4,13.0,51.0
Indiana University,indiana university,United States,united states,198.0,58.9,47.3,38.4,84.9,85.8,64.7,12.3,12.0,54.0
University of Notre Dame,university of notre dame,United States,united states,,58.7,51.9,42.6,76.1,72.9,69.9,10.9,12.0,47.0
Queensland University of Technology,queensland university of technology,Australia,australia,,58.7,33.9,42.1,89.5,85.9,82.2,37.9,14.0,54.0
Ulsan National Institute of Science and Technology (UNIST),ulsan national institute of science and technology (unist),South Korea,south korea,,58.7,47.7,40.8,85.0,94.6,46.5,11.8,9.0,28.0
Aalborg University,aalborg university,Denmark,denmark,,57.25,33.7,45.0,83.0,80.6,72.4,14.9,12.0,53.0
Aalto University,aalto university,Finland,finland,,57.25,42.0,43.1,79.7,87.2,81.8,20.4,23.0,39.0
University of Aberdeen,university of aberdeen,United Kingdom,united kingdom,,57.25,36.4,35.8,81.8,78.9,97.5,15.3,40.0,58.0
Autonomous University of Barcelona,autonomous university of barcelona,Spain,spain,,57.25,45.1,41.4,84.8,67.6,68.8,13.2,13.0,60.0
University of Calgary,university of calgary,Canada,canada,,57.25,36.5,41.4,81.7,88.8,85.2,18.8,24.0,54.0
"University of California, Santa Cruz","university of california, santa cruz",United States,united states,,57.25,34.9,39.8,93.3,73.2,77.9,24.2,12.0,47.0
Curtin University,curtin university,Australia,australia,,57.25,30.2,36.5,87.5,78.8,94.7,20.8,29.0,53.0
Friedrich Schiller University Jena,friedrich schiller university jena,Germany,germany,,57.25,43.2,42.0,81.8,79.8,69.3,18.9,14.0,53.0
George Washington University,george washington university,United States,united states,,57.25,48.2,35.7,86.0,67.3,66.1,13.0,14.0,62.0
Goethe University Frankfurt,goethe university frankfurt,Germany,germany,,57.25,40.2,38.2,82.4,74.6,70.8,14.5,14.0,59.0
University of Gothenburg,university of gothenburg,Sweden,sweden,,57.25,34.0,43.4,90.2,75.4,65.7,11.9,13.0,53.0
University of Hawai’i at Mānoa,university of hawai’i at mānoa,United States,united states,,57.25,42.0,42.5,75.8,68.3,77.3,11.3,10.0,57.0
University of Illinois Chicago,university of illinois chicago,United States,united states,,57.25,50.3,33.9,80.0,76.7,61.0,11.4,18.0,54.0
Indian Institute of Science,indian institute of science,India,india,,57.25,62.9,57.8,53.9,96.0,31.1,9.6,1.0,27.0
University of Iowa,university of iowa,United States,united states,,57.25,46.1,37.0,79.9,88.6,55.8,10.9,6.0,55.0
King Fahd University of Petroleum and Minerals,king fahd university of petroleum and minerals,Saudi Arabia,saudi arabia,,57.25,37.6,38.7,86.3,90.9,84.8,8.5,15.0,8.0
Korea University,korea university,South Korea,south korea,,57.25,48.6,46.6,72.0,99.7,62.5,16.3,31.0,53.0
