university_name,university_name_clean,country_name,country_name_clean,the_rank_2024,the_overall_score_2024,the_teaching_score_2024,the_research_score_2024,the_citations_score_2024,the_industry_income_score_2024,the_international_outlook_score_2024,the_student_staff_ratio_2024,the_international_students_pct_2024,the_female_percentage_2024
Novosibirsk State University,novosibirsk state university,Russian Federation,russian federation,,39.4,42.2,36.6,31.6,40.7,51.9,6.6,20.0,53.0
Ohio University (Main campus),ohio university (main campus),United States,united states,,39.4,30.6,20.1,61.2,54.7,37.2,19.9,4.0,58.0
Oklahoma State University,oklahoma state university,United States,united states,,39.4,34.1,20.9,60.8,65.8,56.0,14.1,5.0,52.0
Old Dominion University,old dominion university,United States,united states,,39.4,26.1,20.4,61.2,64.0,38.1,18.2,2.0,57.0
Ontario Tech University,ontario tech university,Canada,canada,,39.4,18.8,25.0,63.5,51.9,63.2,30.1,8.0,43.0
The Open University,the open university,United Kingdom,united kingdom,,39.4,17.7,16.1,68.7,52.6,63.6,33.5,8.0,65.0
Open University of Catalonia,open university of catalonia,Spain,spain,,39.4,18.4,18.2,75.9,29.7,51.0,96.5,6.0,56.0
Örebro University,örebro university,Sweden,sweden,,39.4,20.1,22.5,77.9,43.8,54.6,15.6,5.0,62.0
Otto von Guericke University of Magdeburg,otto von guericke university of magdeburg,Germany,germany,,39.4,33.4,18.0,54.4,51.4,74.5,11.2,26.0,42.0
Oxford Brookes University,oxford brookes university,United Kingdom,united kingdom,,39.4,25.1,21.1,62.5,29.1,87.9,14.0,25.0,58.0
University of Palermo,university of palermo,Italy,italy,,39.4,18.9,22.5,69.8,47.2,34.8,22.0,1.0,59.0
Panjab University,panjab university,India,india,,39.4,32.6,16.2,67.9,39.2,23.5,18.6,1.0,51.0
University of Parma,university of parma,Italy,italy,,39.4,19.4,22.6,72.2,65.9,38.7,33.4,6.0,58.0
Parthenope University of Naples,parthenope university of naples,Italy,italy,,39.4,18.5,22.6,78.2,25.6,32.2,32.4,1.0,42.0
Universiti Pendidikan Sultan Idris,universiti pendidikan sultan idris,Malaysia,malaysia,,39.4,35.3,25.2,38.8,62.3,70.8,9.8,20.0,57.0
Universitat Politècnica de Catalunya,universitat politècnica de catalunya,Spain,spain,,39.4,31.2,21.0,57.3,69.7,61.4,9.8,13.0,28.0
Polytechnic University of Valencia,polytechnic university of valencia,Spain,spain,,39.4,30.0,25.0,55.4,83.2,57.6,14.5,14.0,41.0
Prince Sattam Bin Abdulaziz University,prince sattam bin abdulaziz university,Saudi Arabia,saudi arabia,,39.4,21.3,12.0,80.8,23.5,75.8,11.9,2.0,61.0
Princess Nourah bint Abdulrahman University,princess nourah bint abdulrahman university,Saudi Arabia,saudi arabia,,39.4,26.7,16.3,66.1,28.3,91.7,12.1,17.0,100.0
Qazvin University of Medical Sciences,qazvin university of medical sciences,Iran,iran,,39.4,38.7,11.6,71.9,18.7,26.5,1.6,2.0,56.0
Qingdao University,qingdao university,China,china,,39.4,17.8,18.4,84.1,40.0,24.4,15.1,1.0,53.0
Universitat Ramon Llull,universitat ramon llull,Spain,spain,,39.4,20.7,18.2,70.3,32.1,72.6,22.6,20.0,51.0
Reykjavík University,reykjavík university,Iceland,iceland,,39.4,15.6,24.0,76.1,28.7,64.4,24.2,10.0,47.0
University of Rhode Island,university of rhode island,United States,united states,,39.4,26.3,20.5,57.4,50.0,53.7,14.5,3.0,57.0
