University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research,THE_Citations,THE_Industry_Income,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio,QS_Rank_Numeric,THE_Rank_Numeric,THE_Overall_Score_Numeric,university_id,country_id,kpi1_global_ranking_score,kpi2_research_impact_score,kpi3_students_per_staff_num,kpi3_faculty_to_student_ratio,kpi4_international_student_pct,kpi5_academic_reputation_score,kpi6_research_productivity_index
Chungnam National University,South Korea,851-900,,8.8,7.8,46.3,10.7,7.2,9.2,32.7,5.0,25.7,801–1000,32.7–36.9,29.9,29.7,34.9,71.7,26.0,"20,334",19.8,4%,47 : 53,851.0,801.0,34.8,U0262,SO,34.8,10.7,19.8,1:19.8,4%,8.8,18.49
Chuo University,Japan,,,,,,,,,,,,1501+,9.7–22.7,18.7,12.7,15.5,27.2,30.4,"26,161",35.6,4%,38 : 62,,1501.0,16.2,U0263,JA,16.2,15.5,35.6,1:35.6,4%,,12.1
City University of Hong Kong,Hong Kong,62,70.7,60.9,30.8,89.5,100.0,100.0,100.0,62.9,37.5,72.9,82,69.3,52.2,52.4,91.1,100.0,98.7,"9,076",13.2,67%,54 : 46,62.0,82.0,69.3,U0264,HO,70.7,100.0,13.2,1:13.2,67%,60.9,75.03
"City, University of London",United Kingdom,352,32.4,20.8,21.3,5.6,31.2,95.8,98.9,66.4,54.8,23.2,351–400,49.1–51.0,27.4,30.9,78.6,61.8,95.5,"16,080",19.5,45%,58 : 42,352.0,351.0,50.05,U0265,UN,32.4,31.2,19.5,1:19.5,45%,20.8,42.14
City University of New York,United States,661-670,,19.9,35.6,8.9,4.7,6.1,4.4,93.1,22.0,13.2,,,,,,,,,,,,661.0,,,U0266,UN,,4.7,,,,19.9,14.81
Clark University,United States,951-1000,,2.6,2.5,18.9,16.7,13.2,84.7,20.2,13.6,6.5,601–800,37.0–41.8,26.6,20.8,66.8,54.0,70.5,"3,217",12.2,27%,59 : 41,951.0,601.0,39.4,U0267,UN,39.4,16.7,12.2,1:12.2,27%,2.6,26.4
Clarkson University,United States,851-900,,1.3,1.9,13.5,41.8,48.5,15.0,30.6,7.9,1.2,801–1000,32.7–36.9,29.9,18.0,41.2,67.4,63.3,"3,871",15.5,8%,34 : 66,851.0,801.0,34.8,U0268,UN,34.8,41.8,15.5,1:15.5,8%,1.3,30.8
Claude Bernard University Lyon 1,France,,,,,,,,,,,,401–500,45.4–49.0,40.3,27.1,65.0,71.3,63.7,"27,444",12.7,14%,55 : 45,,401.0,47.2,U0269,FR,47.2,65.0,12.7,1:12.7,14%,,42.7
Clemson University,United States,951-1000,,7.3,7.0,12.6,15.2,11.6,5.2,78.5,7.7,12.3,,,,,,,,,,,,951.0,,,U0270,UN,,15.2,,,,7.3,17.99
Cleveland State University,United States,1201-1400,,4.1,3.1,9.2,4.0,4.0,26.2,16.7,7.3,1.0,,,,,,,,,,,,1201.0,,,U0271,UN,,4.0,,,,4.1,14.6
Cochin University of Science and Technology,India,,,,,,,,,,,,1201–1500,22.8–28.2,37.6,20.0,25.4,45.6,20.2,"4,136",16.2,1%,60 : 40,,1201.0,25.5,U0272,IN,25.5,25.4,16.2,1:16.2,1%,,16.46
École Centrale de Lyon,France,,,,,,,,,,,,601–800,37.0–41.8,36.0,25.7,32.6,82.5,79.2,"2,286",16.4,24%,27 : 73,,601.0,39.4,U0273,FR,39.4,32.6,16.4,1:16.4,24%,,35.89
École des Mines de Saint-Étienne,France,,,,,,,,,,,,601–800,37.0–41.8,44.3,31.4,34.5,77.3,70.6,"1,089",9.8,24%,27 : 73,,601.0,39.4,U0274,FR,39.4,34.5,9.8,1:9.8,24%,,37.38
École des Ponts ParisTech,France,,,,,,,,,,,,401–500,45.4–49.0,43.9,30.3,55.7,87.2,82.7,"1,992",8.7,39%,31 : 69,,401.0,47.2,U0275,FR,47.2,55.7,8.7,1:8.7,39%,,46.15
École Nationale des Travaux Publics de l'État (ENTPE),France,,,,,,,,,,,,601–800,37.0–41.8,32.1,37.0,31.3,80.8,67.7,800,14.8,14%,42 : 58,,601.0,39.4,U0276,FR,39.4,31.3,14.8,1:14.8,14%,,38.64
École Normale Supérieure de Lyon,France,187,47.5,29.8,16.3,97.0,93.5,59.0,11.7,70.3,14.0,6.6,251–300,53.1–55.8,58.5,46.8,53.9,78.5,68.0,"2,024",7.9,11%,43 : 57,187.0,251.0,54.45,U0277,FR,47.5,93.5,7.9,1:7.9,11%,29.8,62.7
École Polytechnique Fédérale de Lausanne,Switzerland,,,,,,,,,,,,33,81.4,74.5,73.2,90.3,99.8,95.8,"12,543",13.5,64%,30 : 70,,33.0,81.4,U0278,SW,81.4,90.3,13.5,1:13.5,64%,,82.29
Colegio de México,Mexico,771-780,,14.9,2.5,100.0,1.7,8.5,16.4,9.6,3.2,1.0,,,,,,,,,,,,771.0,,,U0279,ME,,1.7,,,,14.9,13.9
College of Charleston,United States,,,,,,,,,,,,1501+,9.7–22.7,17.4,7.9,30.4,23.2,29.8,"9,986",16.3,1%,68 : 32,,1501.0,16.2,U0280,UN,16.2,30.4,16.3,1:16.3,1%,,13.95
College of William and Mary,United States,1001-1200,,8.1,9.1,20.9,11.4,6.3,5.4,33.1,23.7,4.3,,,,,,,,,,,,1001.0,,,U0281,UN,,11.4,,,,8.1,16.84
Colorado School of Mines,United States,501,24.1,6.8,12.5,15.8,72.0,29.7,7.4,30.9,17.7,18.0,,,,,,,,,,,,501.0,,,U0282,UN,24.1,72.0,,,,6.8,35.21
Colorado State University,United States,442,26.8,18.3,20.4,60.9,17.1,18.5,3.7,78.4,22.2,70.9,,,,,,,,,,,,442.0,,,U0283,UN,26.8,17.1,,,,18.3,18.57
"Colorado State University, Fort Collins",United States,,,,,,,,,,,,401–500,45.4–49.0,33.4,31.7,74.4,69.4,46.6,"27,786",16.2,5%,56 : 44,,401.0,47.2,U0284,UN,47.2,74.4,16.2,1:16.2,5%,,43.82
Columbia University,United States,34,82.0,99.6,98.8,100.0,31.7,41.5,97.0,98.5,99.9,71.8,17,90.9,88.6,89.7,97.4,75.2,86.9,"25,914",5.2,35%,,34.0,17.0,90.9,U0285,UN,82.0,31.7,5.2,1:5.2,35%,99.6,71.03
Comenius University Bratislava,Slovakia,661-670,,12.8,8.5,56.0,3.5,3.8,22.9,60.2,79.8,5.1,,,,,,,,,,,,661.0,,,U0286,SL,,3.5,,,,12.8,14.45
Comenius University in Bratislava,Slovakia,,,,,,,,,,,,1001–1200,28.3–32.6,31.2,16.6,41.8,25.0,52.6,"21,812",10.5,15%,65 : 35,,1001.0,30.450000000000003,U0287,SL,30.450000000000003,41.8,10.5,1:10.5,15%,,27.48
Comillas Pontifical University,Spain,,,,,,,,,,,,1501+,9.7–22.7,18.3,15.7,26.3,31.4,44.2,"9,765",21.0,7%,55 : 45,,1501.0,16.2,U0288,SP,16.2,26.3,21.0,1:21.0,7%,,20.28
Communication University of China,China,,,,,,,,,,,,1501+,9.7–22.7,27.5,17.3,15.5,37.6,23.4,"17,316",15.3,3%,70 : 30,,1501.0,16.2,U0289,CH,16.2,15.5,15.3,1:15.3,3%,,12.82
Complutense University of Madrid,Spain,164,50.9,68.1,68.1,28.7,7.9,10.5,34.3,91.8,96.3,88.9,501–600,41.9–45.3,40.3,29.4,58.8,52.1,46.7,"59,814",11.8,10%,62 : 38,164.0,501.0,43.599999999999994,U0290,SP,50.9,7.9,11.8,1:11.8,10%,68.1,22.49
COMSATS University Islamabad,Pakistan,711-720,,11.7,30.5,13.4,18.2,1.5,1.4,88.3,6.1,14.6,601–800,37.0–41.8,17.9,16.6,88.2,30.5,50.0,"34,323",16.0,1%,42 : 58,711.0,601.0,39.4,U0291,PA,39.4,18.2,16.0,1:16.0,1%,11.7,19.7
Concordia University,Canada,415,28.7,15.8,11.4,3.3,17.5,87.4,92.3,73.8,43.6,89.8,501–600,41.9–45.3,25.7,29.3,66.2,66.3,86.6,"36,749",34.6,34%,50 : 50,415.0,501.0,43.599999999999994,U0292,CA,28.7,17.5,34.6,1:34.6,34%,15.8,35.0
Constructor University Bremen,Germany,,,,,,,,,,,,401–500,45.4–49.0,36.7,35.9,48.9,84.7,93.5,"1,534",22.1,83%,42 : 58,,401.0,47.2,U0293,GE,47.2,48.9,22.1,1:22.1,83%,,49.64
Copenhagen Business School,Denmark,,,,,,,,,,,,301–350,51.1–53.0,21.1,32.3,92.1,43.8,91.5,"16,785",27.5,23%,48 : 52,,301.0,52.05,U0294,DE,52.05,92.1,27.5,1:27.5,23%,,60.36
Cornell University,United States,16,87.9,98.3,93.1,52.7,97.5,54.2,63.4,94.0,97.1,72.1,20,89.5,85.7,88.7,97.6,69.4,86.0,"23,620",10.0,24%,51 : 49,16.0,20.0,89.5,U0295,UN,87.9,97.5,10.0,1:10.0,24%,98.3,90.22
Corvinus University of Budapest,Hungary,1001-1200,,10.3,21.6,4.7,3.1,7.3,34.8,19.3,33.5,1.0,,,,,,,,,,,,1001.0,,,U0296,HU,,3.1,,,,10.3,14.33
Covenant University,Nigeria,,,,,,,,,,,,801–1000,32.7–36.9,24.7,24.4,56.6,24.2,54.3,"8,940",17.5,0%,37 : 63,,801.0,34.8,U0297,NI,34.8,56.6,17.5,1:17.5,0%,,36.46
Coventry University,United Kingdom,531,23.1,9.7,9.5,16.9,7.1,77.0,99.9,82.6,10.0,64.4,601–800,37.0–41.8,20.9,14.9,69.6,26.8,95.6,"32,635",14.9,48%,48 : 52,531.0,601.0,39.4,U0298,UN,23.1,7.1,14.9,1:14.9,48%,9.7,26.47
Cracow University of Technology (Politechnika Krakowska),Poland,1001-1200,,11.0,21.3,21.7,4.7,2.6,3.3,46.5,5.4,1.0,1501+,9.7–22.7,21.2,10.7,30.4,28.2,27.3,"13,510",12.2,5%,36 : 64,1001.0,1501.0,16.2,U0299,PO,16.2,4.7,12.2,1:12.2,5%,11.0,7.03
Cukurova University,Turkey,1201-1400,,4.9,3.8,5.2,2.6,1.9,3.3,46.2,7.6,2.9,1201–1500,22.8–28.2,23.8,23.4,26.2,26.7,28.9,"35,424",15.4,4%,45 : 55,1201.0,1201.0,25.5,U0300,TU,25.5,2.6,15.4,1:15.4,4%,4.9,13.43
CUNY The City College of New York,United States,1201-1400,,7.2,3.0,11.9,11.3,6.7,4.7,24.8,1.5,2.5,,,,,,,,,,,,1201.0,,,U0301,UN,,11.3,,,,7.2,16.81
Curtin University,Australia,174,49.3,33.1,27.7,15.7,84.7,100.0,24.3,94.2,31.0,90.7,201–250,55.9–58.6,30.2,36.5,87.5,78.8,94.7,"29,283",20.8,29%,53 : 47,174.0,201.0,57.25,U0302,AU,49.3,84.7,20.8,1:20.8,29%,33.1,61.09
CY Cergy Paris University,France,851-900,,3.7,2.5,49.5,5.0,47.2,45.9,46.0,1.5,1.4,801–1000,32.7–36.9,23.8,25.3,44.4,56.6,92.7,"16,082",19.5,26%,52 : 48,851.0,801.0,34.8,U0303,FR,34.8,5.0,19.5,1:19.5,26%,3.7,30.59
Cyprus University of Technology,Cyprus,,,,,,,,,,,,601–800,37.0–41.8,29.4,19.1,63.3,21.9,71.2,"3,157",15.3,14%,57 : 43,,601.0,39.4,U0304,CY,39.4,63.3,15.3,1:15.3,14%,,39.8
Czech Technical University in Prague,Czech Republic,420,28.4,22.0,42.4,80.6,3.6,19.9,50.2,59.4,15.6,5.8,1001–1200,28.3–32.6,30.9,18.8,32.2,51.9,60.2,"15,663",8.7,21%,30 : 70,420.0,1001.0,30.450000000000003,U0305,CZ,28.4,3.6,8.7,1:8.7,21%,22.0,18.9
Czech University of Life Sciences in Prague,Czech Republic,711-720,,10.4,6.7,9.4,10.8,29.0,73.5,75.8,3.9,49.5,,,,,,,,,,,,711.0,,,U0306,CZ,,10.8,,,,10.4,16.66
Czech University of Life Sciences Prague (CZU),Czech Republic,,,,,,,,,,,,801–1000,32.7–36.9,20.1,15.4,50.8,50.2,76.4,"19,126",18.3,26%,50 : 50,,801.0,34.8,U0307,CZ,34.8,50.8,18.3,1:18.3,26%,,35.33
D. Serikbayev East Kazakhstan state technical university,Kazakhstan,951-1000,,13.0,7.7,64.2,1.2,14.4,2.5,2.4,3.5,1.3,,,,,,,,,,,,951.0,,,U0308,KA,,1.2,,,,13.0,13.75
Daegu Gyeongbuk Institute of Science and Technology (DGIST),South Korea,326,34.0,10.5,11.8,84.1,99.9,6.6,3.3,12.3,2.7,3.1,351–400,49.1–51.0,48.8,38.9,64.8,78.1,34.5,742,6.3,4%,36 : 64,326.0,351.0,50.05,U0309,SO,34.0,99.9,6.3,1:6.3,4%,10.5,52.4
Daffodil International University,Bangladesh,1201-1400,,9.5,19.8,3.8,2.8,5.0,2.9,22.0,3.7,3.4,,,,,,,,,,,,1201.0,,,U0310,BA,,2.8,,,,9.5,14.24
Dalhousie University,Canada,275,38.2,19.4,16.7,12.9,53.5,99.9,74.6,77.4,30.1,87.9,301–350,51.1–53.0,30.8,31.6,78.9,71.7,89.1,"17,314",14.7,27%,54 : 46,275.0,301.0,52.05,U0311,CA,38.2,53.5,14.7,1:14.7,27%,19.4,47.71
Dalian University of Technology,China,448,26.6,9.6,3.8,18.1,88.1,11.5,2.9,55.9,14.4,8.0,401–500,45.4–49.0,37.0,35.0,68.1,86.8,40.2,"37,389",14.5,3%,,448.0,401.0,47.2,U0312,CH,26.6,88.1,14.5,1:14.5,3%,9.6,48.16
Damascus University,Syria,1201-1400,,6.1,3.7,1.4,1.2,4.0,6.0,18.4,90.2,1.1,,,,,,,,,,,,1201.0,,,U0313,SY,,1.2,,,,6.1,13.75
Damghan University,Iran,,,,,,,,,,,,1501+,9.7–22.7,17.7,11.4,27.0,17.9,27.9,"4,709",15.9,0%,69 : 31,,1501.0,16.2,U0314,IR,16.2,27.0,15.9,1:15.9,0%,,14.3
