University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research,THE_Citations,THE_Industry_Income,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio
Al-Farabi Kazakh National University,KZ,163,51,54.2,79.6,99.3,1.4,49.0,54.2,64.7,59.6,29.8,1201–1500,22.8–28.2,24.8,11.1,27.1,25.3,72.5,"24,303",5.9,10%,59 : 41
Al-Nahrain University,Iraq,,,,,,,,,,,,1201–1500,22.8–28.2,27.9,8.7,34.1,16.6,25.4,"6,714",5.9,0%,55 : 45
Al-Quds University,PS,851-900,-,5.8,14.6,12.7,1.7,61.5,66.8,30.6,23.5,3.0,,,,,,,,,,,
Alagappa University,India,,,,,,,,,,,,601–800,37.0–41.8,34.8,12.8,64.8,23.2,44.4,"5,020",15.8,0%,62 : 38
Albert-Ludwigs-Universitaet Freiburg,DE,212,44.8,43.1,24.5,24.6,52.2,67.6,33.7,92.3,32.5,90.0,,,,,,,,,,,
Alexandria University ,EG,801-850,-,23.1,18.3,4.5,2.0,1.7,4.8,76.4,24.3,6.9,801–1000,32.7–36.9,17.9,17.7,58.2,27.2,51.4,"205,777",28.7,4%,52 : 48
Alexandru Ioan Cuza University,RO,1201-1400,-,7.5,11.9,5.5,3.0,3.5,9.6,40.2,14.3,3.2,1501+,9.7–22.7,16.5,12.1,31.6,18.3,40.2,"25,443",22.3,8%,56 : 44
Alfaisal University,SA,791-800,-,4.8,3.0,21.6,10.6,100.0,89.0,19.1,4.4,1.1,501–600,41.9–45.3,24.1,15.2,72.7,42.1,97.7,"3,274",10.8,32%,56 : 44
Aligarh Muslim University,IN,1001-1200,-,11.1,2.8,16.2,12.1,1.0,1.4,46.0,2.7,13.2,601–800,37.0–41.8,41.1,14.0,61.6,34.3,38.2,"20,428",12.0,1%,40 : 60
Allameh Tabataba ’i University,Iran,,,,,,,,,,,,1201–1500,22.8–28.2,29.1,14.2,28.5,19.0,32.4,"15,113",29.7,3%,57 : 43
Alma Mater Studiorum - University of Bologna,IT,133,54.1,80.8,47.8,3.7,46.6,14.5,12.3,96.0,53.8,88.4,,,,,,,,,,,
Almaty Technological University,KZ,951-1000,-,6.2,4.2,88.1,1.0,25.0,4.8,2.9,3.3,1.1,,,,,,,,,,,
Altai State University,RU,741-750,-,11.7,3.3,87.5,1.4,6.3,60.0,18.8,1.9,10.1,1501+,9.7–22.7,20.5,16.5,15.2,25.2,64.4,"9,271",19.0,27%,56 : 44
Alzahra University,Iran,,,,,,,,,,,,1501+,9.7–22.7,25.4,15.3,24.6,19.6,31.0,"10,531",28.4,3%,100 : 0
Amedeo Avogadro University of Eastern Piedmont,Italy,,,,,,,,,,,,601–800,37.0–41.8,12.7,23.5,71.3,47.1,48.2,"14,981",40.8,7%,61 : 39
American University,US,711-720,-,16.2,29.3,32.9,4.3,8.0,19.4,30.6,40.5,4.8,601–800,37.0–41.8,35.2,17.1,57.2,38.5,46.5,"12,771",12.0,12%,62 : 38
The American University in Cairo,EG,410,29,32.1,31.1,35.5,5.2,97.0,3.8,29.4,75.6,14.6,801–1000,32.7–36.9,26.7,24.0,51.1,23.0,70.3,"6,034",14.2,4%,58 : 42
American University in Dubai,AE,621-630,-,10.3,16.9,25.2,1.9,100.0,100.0,4.5,41.3,1.0,,,,,,,,,,,
American University of Beirut (AUB),LB,250,40.6,28.6,29.5,48.5,28.9,63.2,37.0,73.1,97.0,80.5,501–600,41.9–45.3,29.7,17.9,73.5,66.0,72.9,"8,722",8.7,20%,49 : 51
American University of Ras Al Khaimah ( AURAK ),AE,485,24.8,4.6,3.3,35.5,46.8,100.0,100.0,15.4,4.1,1.1,,,,,,,,,,,
American University of Sharjah,AE,332,33.6,20.9,38.6,19.1,23.9,100.0,100.0,48.1,48.0,16.5,601–800,37.0–41.8,24.5,26.3,57.9,27.9,88.6,"4,737",12.5,74%,54 : 46
American University of the Middle East,KW,611-620,-,23.1,21.6,19.7,3.7,100.0,23.0,35.1,5.1,3.5,,,,,,,,,,,
Amirkabir University of Technology,IR,403,29.5,5.2,20.5,4.6,100.0,24.6,2.8,70.2,5.8,1.6,351–400,49.1–51.0,34.8,33.7,77.0,85.1,38.8,"9,859",20.2,3%,35 : 65
Amity University,IN,1001-1200,-,9.8,10.6,10.7,7.1,3.7,21.1,61.5,4.1,10.8,801–1000,32.7–36.9,23.6,14.0,62.3,20.0,31.1,"30,989",17.1,7%,52 : 48
Amrita Vishwa Vidyapeetham,IN,1001-1200,-,5.8,4.7,24.0,5.7,35.5,1.6,39.7,1.7,1.1,801–1000,32.7–36.9,28.4,20.5,60.8,41.1,36.9,"22,085",11.8,5%,
An-Najah National University,PS,1001-1200,-,7.7,12.1,7.3,2.3,34.6,24.8,31.8,21.8,1.1,1001–1200,28.3–32.6,13.3,9.8,65.4,21.0,61.2,"24,835",21.7,11%,66 : 34
Anadolu University,TR,1201-1400,-,4.9,3.9,13.1,2.6,1.8,2.9,17.5,13.9,1.0,1201–1500,22.8–28.2,22.3,11.8,41.2,22.0,32.7,"21,491",17.0,8%,53 : 47
Andhra University,India,,,,,,,,,,,,1501+,9.7–22.7,38.2,10.4,18.7,26.1,24.1,"10,382",14.8,5%,46 : 54
Anglia Ruskin University (ARU),United Kingdom,,,,,,,,,,,,501–600,41.9–45.3,20.2,16.3,84.8,19.0,94.2,"17,200",24.1,41%,61 : 39
Çankırı Karatekin University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,12.5,9.5,22.7,15.6,41.0,"10,567",19.9,20%,53 : 47
Ankara Üniversitesi,TR,801-850,-,20.2,16.8,7.8,2.6,2.3,4.6,70.6,53.5,2.9,,,,,,,,,,,
Ankara University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,18.2,11.6,30.5,36.6,34.4,"70,464",27.6,6%,53 : 47
Ankara Yildirim Beyazit University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,19.2,12.6,23.1,17.3,35.4,"21,060",23.3,12%,54 : 46
Anna University,IN,383,30.6,10.0,12.0,5.5,100.0,,1.3,89.2,5.9,24.7,501–600,41.9–45.3,32.0,26.3,72.4,51.0,20.4,"12,824",13.1,1%,41 : 59
Annamalai University,India,,,,,,,,,,,,1501+,9.7–22.7,35.5,9.6,20.0,22.2,20.1,"18,360",13.6,0%,48 : 52
Antonio Nariño University,Colombia,,,,,,,,,,,,1501+,9.7–22.7,16.6,7.9,33.1,16.0,51.5,"13,691",14.1,2%,55 : 45
Aoyama Gakuin University,JP,1201-1400,-,7.0,10.9,5.2,1.8,15.4,2.5,6.2,9.5,1.0,1501+,9.7–22.7,20.0,8.9,10.4,22.2,36.2,"19,692",12.2,3%,49 : 51
Applied Science Private University - Jordan,JO,851-900,-,9.9,15.7,28.6,3.1,39.3,59.7,10.4,4.6,1.8,,,,,,,,,,,
Applied Science University - Bahrain,BH,539,22.8,23.5,25.0,39.3,2.0,100.0,46.8,13.3,11.3,1.7,,,,,,,,,,,
"Arab Academy for Science, Technology and Maritime Transport",EG,1001-1200,-,7.4,8.4,33.0,1.5,6.8,20.4,29.8,11.4,1.6,1201–1500,22.8–28.2,28.1,12.3,32.9,22.6,53.3,"37,942",13.9,10%,32 : 68
Arak University,Iran,,,,,,,,,,,,1501+,9.7–22.7,19.5,11.2,32.7,20.1,26.3,"7,506",18.7,5%,58 : 42
Arak University of Medical Sciences,Iran,,,,,,,,,,,,801–1000,32.7–36.9,31.7,10.2,66.4,18.9,21.2,"3,545",7.4,2%,55 : 45
Ariel University,Israel,,,,,,,,,,,,1201–1500,22.8–28.2,15.6,18.9,37.0,25.9,30.9,"14,234",21.4,0%,48 : 52
Aristotle University of Thessaloniki,GR,508,23.9,28.2,26.1,4.3,15.8,1.7,4.1,90.5,38.3,44.3,801–1000,32.7–36.9,22.3,16.8,66.3,52.7,38.1,"49,654",18.2,5%,58 : 42
Arizona State University,US,200,46.2,48.6,44.1,7.4,47.1,52.1,37.2,95.7,23.6,96.3,182,59.9,40.9,46.2,87.5,71.5,71.7,"48,870",19.7,14%,46 : 54
Arts et Métiers,France,,,,,,,,,,,,801–1000,32.7–36.9,31.1,19.5,35.2,67.7,67.0,"5,970",16.3,12%,18 : 82
Asia Pacific University of Technology and Innovation (APU),MY,611-620,-,9.3,12.5,62.2,1.6,92.0,100.0,6.8,4.0,1.6,,,,,,,,,,,
Asia University Taiwan,TW,801-850,-,5.9,1.8,3.6,52.5,9.9,3.2,57.1,2.0,1.7,401–500,45.4–49.0,18.3,36.6,80.6,63.2,49.2,"11,431",29.5,4%,63 : 37
Assiut University ,EG,1001-1200,-,11.4,9.8,13.6,2.2,11.8,3.5,56.0,2.5,5.4,1201–1500,22.8–28.2,16.1,10.8,48.0,22.2,52.9,"99,610",22.1,1%,38 : 62
