University,Country,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,QS_International_Research_Network,QS_Employment_Outcomes,QS_Sustainability,THE_Rank,THE_Overall_Score,THE_Teaching,THE_Research,THE_Citations,THE_Industry_Income,THE_International_Outlook,THE_Number_Students,THE_Student_Staff_Ratio,THE_International_Students,THE_Female_Male_Ratio
Indian Institute of Technology Guwahati (IITG),IN,344,32.9,18.8,32.0,6.4,97.6,2.3,1.2,51.2,4.9,2.2,601–800,37.0–41.8,35.5,24.1,52.0,49.5,28.6,"8,157",18.0,1%,24 : 76
Indian Institute of Technology Hyderabad,IN,681-690,-,6.2,4.4,18.2,71.1,1.2,1.5,13.7,2.0,4.3,,,,,,,,,,,
Indian Institute of Technology Indore (IIT Indore),IN,477,25.1,6.1,5.0,27.1,95.6,2.1,1.1,23.6,2.2,4.2,,,,,,,,,,,
Indian Institute of Technology Kanpur (IITK),IN,263,39.3,36.9,56.9,14.0,73.3,2.6,1.1,38.8,19.6,22.0,,,,,,,,,,,
Indian Institute of Technology Kharagpur (IIT-KGP),IN,222,43.7,34.0,51.1,9.0,90.2,1.1,1.1,69.3,33.0,44.3,,,,,,,,,,,
Indian Institute of Technology Madras (IITM),IN,227,43.5,42.4,63.2,20.3,70.3,3.9,1.6,37.5,27.0,44.6,,,,,,,,,,,
Indian Institute of Technology Mandi,India,,,,,,,,,,,,1001–1200,28.3–32.6,36.5,13.4,49.2,18.3,26.8,"2,058",12.9,1%,27 : 73
Indian Institute of Technology Patna,India,,,,,,,,,,,,601–800,37.0–41.8,33.2,24.1,70.6,19.8,22.3,"2,375",18.8,1%,18 : 82
Indian Institute of Technology Roorkee (IITR),IN,335,33.4,19.4,29.0,6.8,93.8,1.3,2.0,44.3,6.4,37.9,,,,,,,,,,,
Indian Institute of Technology Ropar,India,,,,,,,,,,,,1001–1200,28.3–32.6,36.5,18.4,44.7,27.2,23.7,"2,486",14.9,1%,22 : 78
Indian Institute of Technology (BHU) Varanasi,IN,531,23.1,5.5,5.9,3.9,95.0,1.4,1.1,24.5,6.5,10.1,,,,,,,,,,,
Indiana State University,US,1401+,-,6.2,4.4,8.5,3.0,1.7,2.2,4.2,6.8,1.0,,,,,,,,,,,
Indiana University,United States,,,,,,,,,,,,198,58.9,47.3,38.4,84.9,85.8,64.7,"66,389",12.3,12%,54 : 46
Indiana University Bloomington,US,355,32.1,33.4,23.6,23.3,29.1,36.3,10.8,86.6,56.8,32.7,,,,,,,,,,,
Indiana University–Purdue University Indianapolis,US,1001-1200,-,7.1,4.5,22.2,10.0,28.8,6.6,33.6,3.7,6.7,,,,,,,,,,,
Indraprastha Institute of Information Technology Delhi,India,,,,,,,,,,,,801–1000,32.7–36.9,22.8,16.0,66.2,57.8,44.6,"2,714",23.4,5%,21 : 79
Industrial University of Tyumen,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,19.5,8.4,14.0,18.3,23.1,"11,396",11.4,6%,35 : 65
Inha University,KR,631-640,-,12.2,14.3,77.2,10.9,9.7,13.7,23.9,13.1,41.4,801–1000,32.7–36.9,31.2,27.2,41.7,83.9,38.8,"16,035",19.2,8%,42 : 58
Institut Agro,France,,,,,,,,,,,,401–500,45.4–49.0,43.8,32.6,60.2,59.6,60.3,"3,117",10.8,13%,60 : 40
Institut National des Sciences Appliquées de Lyon (INSA),FR,405,29.3,7.4,28.7,33.7,60.6,29.2,58.3,59.5,14.4,2.4,,,,,,,,,,,
Institut Polytechnique de Paris,FR,46,77.5,44.7,99.6,95.9,86.1,99.1,98.0,89.6,97.7,54.8,71,71.3,71.0,61.6,70.8,98.8,97.1,"6,073",6.8,42%,25 : 75
Institut Teknologi Sepuluh Nopember (ITS Surabaya),ID,585,21.2,17.3,48.9,47.8,1.6,47.5,5.3,12.0,13.0,16.1,1201–1500,22.8–28.2,25.3,10.8,25.4,35.4,42.5,"20,658",7.1,6%,40 : 60
Institute of Chemical Technology,India,,,,,,,,,,,,801–1000,32.7–36.9,37.5,20.7,51.0,57.9,17.4,"2,550",17.2,0%,30 : 70
Institute of Space Technology,Pakistan,,,,,,,,,,,,801–1000,32.7–36.9,18.6,13.3,70.5,16.5,47.1,"1,869",13.4,0%,25 : 75
Instituto Politécnico de Bragança,Portugal,,,,,,,,,,,,1201–1500,22.8–28.2,13.1,13.5,42.6,21.2,64.5,"9,626",20.6,34%,53 : 47
Instituto Politécnico de Viana do Castelo,Portugal,,,,,,,,,,,,1501+,9.7–22.7,13.0,9.6,35.4,18.7,44.1,"5,364",19.8,10%,49 : 51
Instituto Politécnico Nacional (IPN),MX,801-850,-,19.1,28.8,9.1,2.0,2.2,1.1,46.0,6.8,35.7,1501+,9.7–22.7,20.7,9.9,14.5,26.7,25.5,"141,583",13.0,0%,42 : 58
Instituto Tecnológico Autónomo de México (ITAM),MX,751-760,-,15.2,31.0,13.9,1.6,51.0,1.4,7.7,77.1,1.0,,,,,,,,,,,
Instituto Tecnológico de Buenos Aires (ITBA),AR,951-1000,-,8.8,24.6,39.0,1.3,17.3,12.3,2.7,22.3,,,,,,,,,,,,
Instituto Tecnológico de Santo Domingo (INTEC),DO,1201-1400,-,1.6,4.0,35.4,1.4,10.0,4.1,5.6,38.5,1.0,,,,,,,,,,,
International Christian University,JP,1001-1200,-,5.2,11.5,19.4,1.5,76.3,4.5,10.1,12.0,,,,,,,,,,,,
International Hellenic University,Greece,,,,,,,,,,,,1501+,9.7–22.7,9.6,9.4,36.5,20.1,30.7,"59,370",38.0,2%,44 : 56
"International Institute of Information Technology, Hyderabad",India,,,,,,,,,,,,601–800,37.0–41.8,26.0,21.4,71.7,49.6,39.5,"1,905",18.3,7%,21 : 79
International Islamic University Islamabad (IIU),PK,1001-1200,-,7.0,10.7,3.5,8.0,4.2,6.1,50.3,4.3,1.1,801–1000,32.7–36.9,17.3,11.2,72.7,17.6,60.0,"23,650",21.8,7%,54 : 46
International Islamic University Malaysia (IIUM),MY,661-670,-,24.4,17.0,13.4,3.1,22.8,57.1,62.5,23.0,1.2,,,,,,,,,,,
"International University of Business, Agriculture and Technology (IUBAT)",BD,1401+,-,6.6,4.1,2.6,2.3,1.4,1.3,8.6,3.8,1.0,,,,,,,,,,,
INTI International University,MY,516,23.6,7.7,19.9,89.1,1.7,95.4,92.9,7.0,4.4,1.1,,,,,,,,,,,
Iowa State University,US,470,25.6,20.7,12.0,9.1,47.9,7.5,12.5,77.3,32.9,31.3,351–400,49.1–51.0,39.5,34.5,69.3,84.8,46.0,"28,591",17.1,8%,46 : 54
IPB University (a.k.a. Bogor Agricultural University),ID,426,27.9,23.5,46.9,71.4,1.8,53.2,3.6,19.1,33.9,35.1,1201–1500,22.8–28.2,30.9,9.8,24.2,39.2,45.0,"23,070",6.8,3%,60 : 40
Iran University of Medical Sciences,Iran,,,,,,,,,,,,601–800,37.0–41.8,48.2,16.4,54.5,39.1,38.3,"9,084",8.3,10%,55 : 45
Iran University of Science and Technology,IR,436,27.2,7.8,14.0,2.7,98.7,12.0,1.5,53.4,5.3,1.6,401–500,45.4–49.0,33.6,37.4,75.2,73.9,24.3,"14,679",32.7,1%,35 : 65
Irkutsk National Research Technical University,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,21.7,9.6,23.4,24.2,33.8,"9,732",10.6,13%,38 : 62
Irkutsk State University,RU,1401+,-,3.3,1.8,14.1,1.3,1.9,3.8,26.4,5.2,1.2,1501+,9.7–22.7,18.6,11.5,9.1,18.9,28.1,"13,496",14.2,4%,68 : 32
ISCTE - Instituto Universitario de Lisboa,PT,661-670,-,6.9,5.9,2.0,47.8,18.7,49.6,49.7,27.2,1.5,,,,,,,,,,,
ISCTE-University Institute of Lisbon,Portugal,,,,,,,,,,,,601–800,37.0–41.8,26.4,35.7,56.3,55.2,53.0,"10,353",26.7,17%,52 : 48
Isfahan University of Medical Sciences,Iran,,,,,,,,,,,,801–1000,32.7–36.9,45.6,13.6,47.0,25.6,25.4,"10,944",10.2,3%,60 : 40
Isfahan University of Technology,IR,489,24.5,4.9,15.7,5.1,92.2,2.3,1.4,43.5,5.6,1.1,601–800,37.0–41.8,21.5,26.5,62.0,75.2,33.0,"10,529",22.7,1%,40 : 60
Islamia College Peshawar,Pakistan,,,,,,,,,,,,801–1000,32.7–36.9,21.4,11.1,62.9,17.1,55.6,"6,738",24.4,3%,27 : 73
The Islamia University of Bahawalpur,Pakistan,,,,,,,,,,,,1001–1200,28.3–32.6,16.4,11.4,66.7,18.2,48.2,"64,226",47.8,0%,42 : 58
Islamic University of Indonesia,Indonesia,,,,,,,,,,,,1501+,9.7–22.7,15.8,9.7,12.5,17.3,35.5,"22,998",26.5,4%,48 : 52
Islamic University of Madinah,SA,1001-1200,-,5.5,1.9,6.6,1.5,36.3,100.0,10.3,2.1,1.0,,,,,,,,,,,
Istanbul Aydın University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,17.0,9.2,32.3,15.8,56.9,"28,851",26.3,13%,51 : 49
Istanbul Aydin University  ,TR,1201-1400,-,4.9,3.0,12.3,1.4,6.7,52.1,7.3,2.1,1.1,,,,,,,,,,,
Istanbul Bilgi Üniversitesi,TR,1201-1400,-,4.9,4.3,13.3,1.7,3.5,20.2,6.5,13.3,2.2,,,,,,,,,,,
Istanbul Bilgi University,Turkey,,,,,,,,,,,,1201–1500,22.8–28.2,18.7,11.7,42.6,16.3,62.8,"10,484",16.0,14%,49 : 51
Istanbul Medeniyet University,Turkey,,,,,,,,,,,,1201–1500,22.8–28.2,14.5,11.7,56.9,18.8,25.9,"15,254",18.7,2%,55 : 45
Istanbul Medipol University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,14.6,10.6,33.3,20.6,44.0,"26,110",20.0,16%,65 : 35
Istanbul Technical University,TR,326,34,27.0,67.2,9.7,17.0,8.3,19.8,76.1,69.1,70.3,501–600,41.9–45.3,35.8,36.6,51.8,87.3,45.8,"19,055",25.8,14%,42 : 58
Istanbul University,TR,621-630,-,28.1,25.3,2.8,3.5,5.3,9.9,68.8,72.8,1.7,1001–1200,28.3–32.6,23.5,22.0,34.4,50.9,38.2,"61,369",25.4,9%,56 : 44
Istanbul University-Cerrahpaşa,Turkey,,,,,,,,,,,,1001–1200,28.3–32.6,26.0,24.1,41.7,59.8,26.9,"22,236",27.8,6%,52 : 48
"ITESO, Universidad Jesuita de Guadalajara",MX,1001-1200,-,6.3,4.4,72.8,1.0,2.4,1.5,3.5,1.9,1.0,,,,,,,,,,,
ITMO University,RU,595,20.9,10.5,13.0,95.5,5.4,20.3,36.2,65.3,1.9,1.2,601–800,37.0–41.8,34.0,34.9,40.0,69.0,67.1,"10,902",14.6,18%,34 : 66
Iuliu Haţieganu University of Medicine and Pharmacy Cluj-Napoca,Romania,,,,,,,,,,,,1001–1200,28.3–32.6,25.8,10.9,54.3,25.2,50.2,"8,258",8.9,36%,66 : 34
Ivan Franko National University of Lviv,UA,1201-1400,-,5.7,12.8,30.2,1.3,1.3,1.5,12.6,18.6,2.0,1201–1500,22.8–28.2,24.5,10.5,10.0,17.9,31.7,"19,799",10.7,2%,63 : 37
Ivane Javakhishvili Tbilisi State University,GE,791-800,-,10.4,1.2,73.9,1.2,1.9,3.2,22.7,88.4,1.0,1501+,9.7–22.7,15.9,11.3,22.2,18.0,46.7,"23,278",30.6,3%,61 : 39
Ivanovo State University of Chemistry and Technology,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,16.4,9.7,7.0,21.3,25.0,"3,652",16.8,6%,44 : 56
Iwate University,Japan,,,,,,,,,,,,1501+,9.7–22.7,22.3,11.2,12.6,38.5,28.2,"5,316",13.6,3%,37 : 63
Izmir Institute of Technology (IZTECH),TR,1201-1400,-,7.2,4.4,5.8,8.2,3.2,2.1,15.5,2.1,1.6,1201–1500,22.8–28.2,20.2,15.1,27.8,56.7,35.5,"6,309",18.6,3%,47 : 53
Izmir University of Economics,Turkey,,,,,,,,,,,,1501+,9.7–22.7,16.7,11.2,36.7,26.2,32.5,"6,750",14.7,2%,54 : 46
Jönköping University,Sweden,,,,,,,,,,,,601–800,37.0–41.8,20.1,19.2,78.3,28.2,65.7,"6,910",13.0,13%,60 : 40
Jadavpur University,IN,721-730,-,17.8,5.9,9.1,40.6,,1.0,32.5,14.9,13.4,1001–1200,28.3–32.6,35.3,15.8,46.0,35.4,19.2,"14,338",21.3,0%,31 : 69
Jagiellonian University,PL,312,35,37.8,46.4,65.1,5.5,5.7,15.4,88.6,51.3,35.4,601–800,37.0–41.8,38.4,29.0,55.7,46.7,43.4,"34,309",8.8,11%,67 : 33
Jahangirnagar University,BD,1201-1400,-,9.7,12.7,4.0,5.7,,,29.4,3.8,1.1,801–1000,32.7–36.9,24.1,8.9,71.9,19.5,49.7,"12,649",17.3,0%,49 : 51
James Cook University,AU,445,26.7,14.4,6.5,17.5,46.9,36.7,16.0,76.0,6.7,88.9,351–400,49.1–51.0,28.3,30.9,79.6,58.9,77.7,"9,759",17.3,9%,66 : 34
Jamia Hamdard,IN,1201-1400,-,5.1,1.8,8.4,12.6,,2.1,12.7,1.9,1.0,,,,,,,,,,,
Jamia Hamdard University,India,,,,,,,,,,,,601–800,37.0–41.8,21.1,15.0,74.8,40.4,41.9,"9,831",18.5,3%,41 : 59
Jamia Millia Islamia,IN,851-900,-,9.3,3.1,33.6,26.0,3.2,5.2,43.0,1.9,1.6,501–600,41.9–45.3,41.1,14.4,75.7,37.5,39.7,"10,235",11.2,4%,52 : 48
Jan Evangelista Purkyně University,Czech Republic,,,,,,,,,,,,1501+,9.7–22.7,16.1,13.6,15.3,18.0,38.2,"7,887",17.7,3%,66 : 34
Jan Kochanowski University in Kielce,Poland,,,,,,,,,,,,1501+,9.7–22.7,21.3,12.3,11.9,18.4,27.9,"10,010",11.2,3%,72 : 28
Jaume I University,Spain,,,,,,,,,,,,801–1000,32.7–36.9,23.0,20.5,56.5,47.7,45.7,"12,194",15.2,10%,59 : 41
Jawaharlal Nehru Technological University Anantapur (JNTUA),India,,,,,,,,,,,,801–1000,32.7–36.9,28.9,14.1,60.7,17.5,19.6,"6,175",18.1,0%,41 : 59
Jawaharlal Nehru University,IN,580,21.3,31.0,14.4,10.0,28.9,,1.3,47.4,14.7,19.7,601–800,37.0–41.8,41.9,24.3,51.8,33.9,23.7,"9,737",16.1,1%,45 : 55
Jaypee University of Information Technology,India,,,,,,,,,,,,801–1000,32.7–36.9,23.2,16.5,70.6,22.5,23.8,"1,851",18.5,2%,27 : 73
Jazan University,Saudi Arabia,,,,,,,,,,,,801–1000,32.7–36.9,21.0,9.9,67.3,19.4,77.4,"23,176",12.4,4%,60 : 40
Jean Moulin University – Lyon 3,France,,,,,,,,,,,,1501+,9.7–22.7,14.3,13.6,13.6,27.5,60.8,"27,655",39.0,18%,66 : 34
Jeju National University ,KR,1201-1400,-,3.6,1.9,30.0,7.0,7.5,5.5,23.1,1.8,15.0,1201–1500,22.8–28.2,27.4,19.2,35.0,38.2,31.2,"11,376",17.2,6%,53 : 47
Jember University,Indonesia,,,,,,,,,,,,1501+,9.7–22.7,11.1,9.1,23.0,18.1,21.3,"36,654",30.2,0%,66 : 34
Jeonbuk National University,KR,681-690,-,15.6,11.1,61.3,10.6,7.8,6.8,35.3,2.8,48.5,801–1000,32.7–36.9,30.2,27.3,45.0,68.1,34.1,"20,118",19.6,7%,46 : 54
Jianghan University,China,,,,,,,,,,,,1501+,9.7–22.7,16.7,9.2,27.6,33.6,22.0,"20,774",15.1,1%,56 : 44
Jiangnan University,CN,1001-1200,-,4.4,3.3,20.0,26.7,,,44.4,1.4,1.2,801–1000,32.7–36.9,24.7,22.4,60.2,76.6,24.0,"31,018",12.9,1%,
Jiangsu Normal University,China,,,,,,,,,,,,1201–1500,22.8–28.2,16.3,12.9,47.1,23.9,27.4,"25,759",15.0,2%,
Jiangsu University,China,,,,,,,,,,,,601–800,37.0–41.8,25.6,14.1,77.5,51.1,55.1,"35,258",9.4,6%,43 : 57
The Jikei University School of Medicine,Japan,,,,,,,,,,,,1201–1500,22.8–28.2,30.1,10.8,40.5,42.6,19.7,"1,095",0.9,0%,50 : 50
Jilin University,CN,497,24.2,12.1,46.1,37.4,27.4,11.6,2.1,62.2,23.2,9.1,,,,,,,,,,,
Jimma University,Ethiopia,,,,,,,,,,,,1001–1200,28.3–32.6,16.4,8.9,60.2,16.2,39.2,"30,186",14.9,1%,38 : 62
Jinan University (China),CN,580,21.3,5.2,2.7,8.9,52.7,34.0,83.1,52.8,6.5,3.1,501–600,41.9–45.3,25.9,22.8,73.5,43.6,63.1,"37,555",15.0,30%,60 : 40
Johannes Gutenberg Universität Mainz,DE,501,24.1,22.3,11.4,57.8,11.5,42.0,15.5,87.0,11.4,16.3,,,,,,,,,,,
Johannes Gutenberg University of Mainz,Germany,,,,,,,,,,,,251–300,53.1–55.8,39.5,32.6,82.3,89.0,66.0,"30,755",24.1,11%,59 : 41
Johannes Kepler University Linz,AT,472,25.3,12.8,12.3,75.9,14.3,83.5,33.5,59.7,12.2,13.2,,,,,,,,,,,
Johannes Kepler University of Linz,Austria,,,,,,,,,,,,401–500,45.4–49.0,36.8,35.4,58.2,98.7,71.7,"6,803",20.8,16%,50 : 50
The John Paul II Catholic University of Lublin,Poland,,,,,,,,,,,,1201–1500,22.8–28.2,27.7,14.3,35.1,18.6,34.0,"9,173",9.6,9%,65 : 35
Johns Hopkins University,US,32,82.1,86.0,62.6,100.0,84.2,63.7,95.8,98.7,71.5,61.9,15,91.1,84.4,92.3,97.2,100.0,84.2,"15,772",4.1,28%,56 : 44
Jordan University of Science & Technology,JO,554,22.4,21.0,30.7,18.8,5.6,38.2,67.7,55.5,4.3,24.5,801–1000,32.7–36.9,19.8,13.6,67.3,40.8,61.1,"21,161",13.3,17%,56 : 44
The Josip Juraj Strossmayer University of Osijek,HR,1201-1400,-,4.3,2.0,28.6,3.1,,,54.0,11.2,1.0,,,,,,,,,,,
Jouf University,SA,801-850,-,11.7,5.1,37.1,2.3,100.0,2.6,43.5,2.4,1.0,601–800,37.0–41.8,30.5,18.3,58.3,21.3,76.7,"19,006",9.6,3%,64 : 36
JSS Academy of Higher Education and Research,India,,,,,,,,,,,,801–1000,32.7–36.9,39.7,10.6,51.9,22.0,51.8,"8,315",9.5,8%,58 : 42
Julius-Maximilians-Universität Würzburg,DE,428,27.8,15.8,7.0,5.5,74.4,45.0,9.5,78.5,8.7,8.8,,,,,,,,,,,
Juntendo University,Japan,,,,,,,,,,,,601–800,37.0–41.8,37.6,17.1,59.3,81.4,25.3,"6,579",5.0,3%,54 : 46
Justus-Liebig-University Giessen,DE,445,26.7,12.7,5.9,1.9,79.3,14.2,18.8,83.9,10.5,11.0,351–400,49.1–51.0,34.4,38.0,72.5,70.5,62.7,"27,184",42.4,11%,64 : 36
K.N. Toosi University of Technology,Iran,,,,,,,,,,,,801–1000,32.7–36.9,22.6,21.0,60.2,34.8,35.7,"8,727",23.1,1%,34 : 66
Kırşehir Ahi Evran University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,11.8,9.8,18.4,16.5,37.3,"12,506",24.6,17%,50 : 50
Kafrelsheikh University,Egypt,,,,,,,,,,,,801–1000,32.7–36.9,14.7,9.1,76.2,20.0,51.9,"72,606",28.7,2%,48 : 52
Kagawa University,Japan,,,,,,,,,,,,1201–1500,22.8–28.2,25.7,12.9,27.4,54.1,31.9,"6,309",9.6,2%,42 : 58
Kagoshima University,JP,1001-1200,-,6.1,2.9,63.6,3.5,3.8,2.8,26.6,1.7,1.0,1201–1500,22.8–28.2,25.7,13.5,24.0,55.2,27.7,"10,257",10.1,3%,38 : 62
KAIST - Korea Advanced Institute of Science & Technology,KR,53,75.7,87.7,91.0,60.2,96.2,21.1,10.9,46.8,63.3,60.3,,,,,,,,,,,
Kalasalingam Academy of Research and Education,India,,,,,,,,,,,,801–1000,32.7–36.9,29.1,8.9,74.8,19.9,30.3,"8,049",7.5,4%,55 : 45
Kanagawa University,Japan,,,,,,,,,,,,1501+,9.7–22.7,17.6,8.3,11.4,24.4,38.7,"17,730",14.5,4%,30 : 70
Kanazawa Medical University,Japan,,,,,,,,,,,,1501+,9.7–22.7,26.6,10.2,17.3,29.7,21.2,"1,063",2.1,1%,55 : 45
Kanazawa University,JP,901-950,-,10.5,3.9,55.1,12.2,8.1,5.8,31.9,1.8,1.6,1001–1200,28.3–32.6,35.5,18.8,35.4,70.4,33.6,"10,271",9.9,6%,37 : 63
Kangwon National University ,KR,1001-1200,-,4.8,4.7,22.2,8.2,4.7,2.6,27.6,2.8,34.5,1201–1500,22.8–28.2,22.0,21.9,32.4,47.4,24.1,"21,920",21.6,3%,41 : 59
Kansai Medical University,Japan,,,,,,,,,,,,1001–1200,28.3–32.6,30.0,10.6,51.6,47.9,21.0,"1,217",1.6,3%,55 : 45
Kansai University,Japan,,,,,,,,,,,,1501+,9.7–22.7,20.2,8.3,7.3,25.5,33.4,"30,026",12.3,4%,41 : 59
Kansas State University ,US,851-900,-,8.2,6.7,10.3,22.1,10.1,4.6,74.9,13.5,10.2,601–800,37.0–41.8,32.9,20.9,57.4,66.9,57.5,"19,332",13.8,6%,53 : 47
Kaohsiung Medical University,Taiwan,,,,,,,,,,,,801–1000,32.7–36.9,26.4,26.1,44.0,81.3,28.7,"6,528",12.2,5%,59 : 41
Karabük University,Turkey,,,,,,,,,,,,1201–1500,22.8–28.2,12.6,9.4,57.2,16.1,48.2,"47,709",42.4,24%,39 : 61
Karadeniz Technical University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,19.3,10.1,27.8,22.4,22.7,"30,690",14.0,5%,44 : 56
Karaganda Buketov University,KZ,901-950,-,15.6,24.5,41.3,1.1,13.1,5.2,7.5,7.8,1.0,,,,,,,,,,,
Karaganda State Technical University,KZ,851-900,-,9.7,7.7,84.6,1.1,10.0,18.8,2.4,5.8,1.2,,,,,,,,,,,
Karl-Franzens-Universitaet Graz,AT,671-680,-,19.9,10.9,11.7,10.7,45.4,26.1,63.9,31.9,12.3,,,,,,,,,,,
Karlsruhe Institute of Technology,Germany,,,,,,,,,,,,=140,62.8,49.9,56.8,72.5,99.9,77.6,"21,448",20.5,25%,29 : 71
Karlstad University,Sweden,,,,,,,,,,,,1001–1200,28.3–32.6,19.9,14.4,53.8,29.4,57.4,"10,279",12.8,2%,63 : 37
Karnatak University Dharwad,India,,,,,,,,,,,,1001–1200,28.3–32.6,35.1,9.7,52.5,21.6,27.8,"4,968",12.1,0%,53 : 47
Karolinska Institute,Sweden,,,,,,,,,,,,50,75.9,58.9,67.9,95.3,96.0,85.7,"8,085",9.9,27%,70 : 30
Karunya Institute of Technology and Sciences,India,,,,,,,,,,,,1201–1500,22.8–28.2,18.7,13.4,48.4,18.6,23.2,"7,659",16.5,0%,36 : 64
Kasetsart University,TH,781-790,-,25.2,18.6,6.5,2.5,4.3,1.3,51.9,18.5,33.9,1501+,9.7–22.7,18.1,12.6,23.5,25.7,33.8,"70,633",18.7,1%,62 : 38
Kashan University of Medical Sciences and Health Services,Iran,,,,,,,,,,,,601–800,37.0–41.8,32.9,15.0,75.6,17.4,25.3,"3,265",20.5,3%,58 : 42
Kastamonu University,Turkey,,,,,,,,,,,,1501+,9.7–22.7,11.6,11.6,35.8,15.9,35.5,"18,233",36.8,12%,43 : 57
Kaunas University of Technology,LT,751-760,-,11.2,18.5,31.1,7.9,3.5,28.6,64.2,23.2,16.1,1201–1500,22.8–28.2,22.2,15.3,39.0,36.9,39.2,"7,986",13.3,8%,36 : 64
Kazakh Ablai Khan University of International Relations and World Languages,KZ,1201-1400,-,7.7,9.0,40.4,1.0,6.6,4.1,1.0,3.4,,,,,,,,,,,,
Kazakh-British Technical University,KZ,1001-1200,-,14.4,28.2,16.1,1.5,6.0,2.5,13.8,3.4,1.2,,,,,,,,,,,
Kazakh National Agrarian University KazNAU,KZ,671-680,-,19.9,16.4,85.2,1.1,19.6,22.6,6.5,3.3,2.7,,,,,,,,,,,
Kazan (Volga region) Federal University,RU,401,29.6,23.6,11.4,95.6,2.4,10.2,95.7,88.3,15.4,22.2,801–1000,32.7–36.9,44.7,21.7,32.3,42.6,69.2,"22,464",10.8,33%,67 : 33
Kazan National Research Technical University,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,18.8,10.8,24.9,42.6,31.7,"7,516",16.7,12%,26 : 74
Kazan National Research Technological University,RU,1201-1400,-,5.7,4.1,18.9,1.4,2.7,29.6,7.2,3.1,1.0,1501+,9.7–22.7,21.9,8.8,12.4,36.1,35.4,"13,088",11.6,16%,40 : 60
Kazan State Medical University,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,40.5,10.3,7.3,17.1,45.2,"5,891",10.7,31%,63 : 37
Keele University ,UK,791-800,-,6.0,4.4,14.4,26.2,51.6,30.7,62.9,6.9,3.1,501–600,41.9–45.3,21.5,24.6,73.3,66.1,81.3,"9,610",15.8,15%,60 : 40
Keio University,JP,188,47.4,53.0,91.6,57.2,5.1,9.4,10.2,57.5,91.4,59.0,601–800,37.0–41.8,36.9,27.0,49.2,73.3,38.4,"33,577",10.2,8%,36 : 64
Kemerovo State University,Russian Federation,,,,,,,,,,,,1501+,9.7–22.7,14.9,10.1,8.6,18.2,24.3,"14,842",18.5,7%,63 : 37
Kent State University,US,1001-1200,-,5.5,2.9,6.2,12.7,19.2,6.6,57.1,7.6,2.8,,,,,,,,,,,
Kenyatta University,KE,1201-1400,-,7.0,7.4,1.5,1.3,,,13.1,28.4,1.0,,,,,,,,,,,
Kerman University of Medical Sciences,Iran,,,,,,,,,,,,1001–1200,28.3–32.6,32.7,11.8,51.2,20.5,25.6,"5,350",3.9,3%,
Khalifa University,United Arab Emirates,,,,,,,,,,,,251–300,53.1–55.8,31.7,35.9,78.4,95.6,97.4,"3,289",9.3,41%,58 : 42
Khalifa University of Science and Technology,AE,202,46.1,22.7,21.0,80.0,60.7,100.0,78.9,78.8,9.3,61.6,,,,,,,,,,,
Kharazmi University,Iran,,,,,,,,,,,,1201–1500,22.8–28.2,32.7,13.8,37.2,25.0,29.5,"12,604",16.8,3%,55 : 45
Kharkiv Aviation Institute,Ukraine,,,,,,,,,,,,1201–1500,22.8–28.2,20.6,9.2,44.5,16.4,32.6,"5,654",12.0,12%,31 : 69
Kharkiv National University of Radio Electronics ,UA,1201-1400,-,3.9,12.3,21.6,1.5,1.4,5.1,11.9,4.1,1.4,1001–1200,28.3–32.6,22.2,9.4,28.0,16.5,32.9,"7,744",10.8,11%,26 : 74
Khoja Akhmet Yassawi International Kazakh-Turkish University,KZ,801-850,-,16.7,27.9,44.6,1.2,7.1,16.3,3.2,7.7,1.5,,,,,,,,,,,
Khon Kaen University,TH,951-1000,-,17.2,10.7,7.4,4.4,5.3,2.3,50.9,4.4,31.8,1201–1500,22.8–28.2,23.3,15.7,35.5,36.1,35.4,"32,895",17.2,2%,62 : 38
Khulna University,BD,1201-1400,-,6.9,5.0,10.5,5.3,,,17.8,3.8,1.0,1201–1500,22.8–28.2,17.0,9.5,46.9,17.1,43.7,"6,997",13.9,0%,43 : 57
Khulna University of Engineering and Technology,BD,1201-1400,-,6.6,11.8,8.7,5.6,,1.0,9.4,3.7,1.0,,,,,,,,,,,
KIIT University,India,,,,,,,,,,,,601–800,37.0–41.8,38.5,15.8,61.5,52.0,39.4,"24,802",12.3,10%,49 : 51
Kindai University (Kinki University),JP,1201-1400,-,5.2,4.3,8.4,4.9,15.7,1.9,32.2,1.8,2.4,1001–1200,28.3–32.6,18.4,11.8,51.9,50.2,30.9,"34,545",17.7,2%,32 : 68
