university_id,university_name,country
UNI_00397,Martin Luther University of Halle-Wittenberg,Germany
UNI_00398,Leibniz University of Hanover,Germany
UNI_00399,University of Potsdam,Germany
UNI_00400,University of Hanover,Germany
UNI_00401,Kaiserslautern University of Technology,Germany
UNI_00402,Otto von Guericke University of Magdeburg,Germany
UNI_00403,Chemnitz University of Technology,Germany
UNI_00404,University of Osnabrück,Germany
UNI_00405,University of Siegen,Germany
UNI_00406,University of Ghana,Ghana
UNI_00407,Aristotle University of Thessaloniki,Greece
UNI_00408,Athens University of Economics and Business,Greece
UNI_00409,National Technical University of Athens,Greece
UNI_00410,University of Patras,Greece
UNI_00411,University of Crete,Greece
UNI_00412,University of Thessaly,Greece
UNI_00413,National and Kapodistrian University of Athens,Greece
UNI_00414,University of Ioannina,Greece
UNI_00415,City University of Hong Kong,Hong Kong SAR
UNI_00416,Hong Kong Polytechnic University,Hong Kong SAR
UNI_00417,Chinese University of Hong Kong,Hong Kong SAR
UNI_00418,Hong Kong University of Science and Technology,Hong Kong SAR
UNI_00419,University of Hong Kong,Hong Kong SAR
UNI_00420,Hong Kong Baptist University,Hong Kong SAR
UNI_00421,Budapest University of Technology and Economics,Hungary
UNI_00422,University of Pécs,Hungary
UNI_00423,University of Szeged,Hungary
UNI_00424,University of Debrecen,Hungary
UNI_00425,Eötvös Loránd University,Hungary
UNI_00426,Semmelweis University,Hungary
UNI_00427,University of Iceland,Iceland
UNI_00428,Tata Institute of Fundamental Research,India
UNI_00429,University of Delhi,India
UNI_00430,Panjab University,India
UNI_00431,Indian Institute of Technology Kanpur,India
UNI_00432,Indian Institute of Technology Roorkee,India
UNI_00433,Andhra University,India
UNI_00434,Amrita University,India
UNI_00435,University of Hyderabad,India
UNI_00436,Indian Institute of Technology Kharagpur,India
UNI_00437,Indian Institute of Science,India
UNI_00438,Aligarh Muslim University,India
UNI_00439,Indian Institute of Technology Madras,India
UNI_00440,Jadavpur University,India
UNI_00441,"Birla Institute of Technology and Science, Pilani",India
UNI_00442,Indian Institute of Technology Bombay,India
UNI_00443,University of Calcutta,India
UNI_00444,"All India Institute of Medical Sciences, New Delhi",India
UNI_00445,Indian Institute of Technology Delhi,India
UNI_00446,Banaras Hindu University,India
UNI_00447,Indian Institute of Technology Guwahati,India
UNI_00448,Savitribai Phule Pune University,India
UNI_00449,Jawaharlal Nehru Centre for Advanced Scientific Research,India
UNI_00450,University of Indonesia,Indonesia
UNI_00451,Shiraz University,Iran
UNI_00452,Isfahan University of Technology,Iran
UNI_00453,University of Tehran,Iran
UNI_00454,Iran University of Science and Technology,Iran
UNI_00455,Sharif University of Technology,Iran
UNI_00456,Tarbiat Modares University,Iran
UNI_00457,Tehran University of Medical Sciences,Iran
UNI_00458,Shahid Beheshti University,Iran
UNI_00459,Amirkabir University of Technology,Iran
UNI_00460,K.N. Toosi University of Technology,Iran
UNI_00461,Shahid Beheshti University of Medical Sciences,Iran
UNI_00462,University of Limerick,Republic of Ireland
UNI_00463,Royal College of Surgeons in Ireland,Republic of Ireland
UNI_00464,"National University of Ireland, Galway",Republic of Ireland
UNI_00465,Dublin City University,Republic of Ireland
UNI_00466,University College Cork,Republic of Ireland
UNI_00467,"National University of Ireland, Maynooth",Republic of Ireland
UNI_00468,"Trinity College, Dublin",Republic of Ireland
UNI_00469,University College Dublin,Republic of Ireland
UNI_00470,Weizmann Institute of Science,Israel
UNI_00471,Tel Aviv University,Israel
UNI_00472,Hebrew University of Jerusalem,Israel
UNI_00473,Bar-Ilan University,Israel
UNI_00474,Technion – Israel Institute of Technology,Israel
UNI_00475,Ben-Gurion University of the Negev,Israel
UNI_00476,University of Haifa,Israel
UNI_00477,University of Bari Aldo Moro,Italy
UNI_00478,University of Milan-Bicocca,Italy
UNI_00479,Scuola Superiore Sant’Anna,Italy
UNI_00480,University of Padua,Italy
UNI_00481,University of Ferrara,Italy
UNI_00482,Sapienza University of Rome,Italy
UNI_00483,Ca’ Foscari University of Venice,Italy
UNI_00484,Scuola Normale Superiore di Pisa,Italy
UNI_00485,University of Florence,Italy
UNI_00486,University of Trento,Italy
UNI_00487,University of Trieste,Italy
UNI_00488,University of Palermo,Italy
UNI_00489,University of Modena and Reggio Emilia,Italy
UNI_00490,Polytechnic University of Milan,Italy
UNI_00491,Marche Polytechnic University,Italy
UNI_00492,University of Milan,Italy
UNI_00493,Magna Græcia University of Catanzaro,Italy
UNI_00494,Polytechnic University of Turin,Italy
UNI_00495,University of Rome III,Italy
UNI_00496,University of Brescia,Italy
UNI_00497,University of Naples Federico II,Italy
UNI_00498,University of Salento,Italy
UNI_00499,Verona University,Italy
UNI_00500,University of Bologna,Italy
UNI_00501,University of Catania,Italy
UNI_00502,University of Turin,Italy
UNI_00503,Catholic University of the Sacred Heart,Italy
