country,institute_type,direct_expenditure_type,year,expenditure_pct_gdp
Israel,All Institutions ,Public,2000,6.6
Italy,All Institutions ,Public,2000,4.5
Japan,All Institutions ,Public,2000,3.5
"Korea, Republic of",All Institutions ,Public,2000,4.3
Mexico,All Institutions ,Public,2000,4.7
Netherlands,All Institutions ,Public,2000,4.3
New Zealand,All Institutions ,Public,2000,5.8
Norway,All Institutions ,Public,2000,5.8
Poland,All Institutions ,Public,2000,5.2
Portugal,All Institutions ,Public,2000,5.6
Slovak Republic,All Institutions ,Public,2000,4.0
Spain,All Institutions ,Public,2000,4.3
Sweden,All Institutions ,Public,2000,6.3
Switzerland,All Institutions ,Public,2000,5.3
Turkey,All Institutions ,Public,2000,3.4
United Kingdom,All Institutions ,Public,2000,4.5
United States,All Institutions ,Public,2000,4.6
Russia,All Institutions ,Public,2000,3.0
OECD Average,Elementary and Secondary Institutions ,Public,2000,3.4
Australia,Elementary and Secondary Institutions ,Public,2000,3.7
Austria,Elementary and Secondary Institutions ,Public,2000,3.7
Belgium,Elementary and Secondary Institutions ,Public,2000,3.4
Canada,Elementary and Secondary Institutions ,Public,2000,3.3
Chile,Elementary and Secondary Institutions ,Public,2000,3.2
Czech Republic,Elementary and Secondary Institutions ,Public,2000,2.8
Denmark,Elementary and Secondary Institutions ,Public,2000,4.1
Finland,Elementary and Secondary Institutions ,Public,2000,3.5
France,Elementary and Secondary Institutions ,Public,2000,4.0
Germany,Elementary and Secondary Institutions ,Public,2000,2.9
Greece,Elementary and Secondary Institutions ,Public,2000,2.7
Hungary,Elementary and Secondary Institutions ,Public,2000,2.8
Iceland,Elementary and Secondary Institutions ,Public,2000,4.6
Ireland,Elementary and Secondary Institutions ,Public,2000,2.9
Israel,Elementary and Secondary Institutions ,Public,2000,4.5
Italy,Elementary and Secondary Institutions ,Public,2000,3.2
Japan,Elementary and Secondary Institutions ,Public,2000,2.7
"Korea, Republic of",Elementary and Secondary Institutions ,Public,2000,3.3
Mexico,Elementary and Secondary Institutions ,Public,2000,3.3
Netherlands,Elementary and Secondary Institutions ,Public,2000,3.0
New Zealand,Elementary and Secondary Institutions ,Public,2000,4.6
Norway,Elementary and Secondary Institutions ,Public,2000,3.6
Poland,Elementary and Secondary Institutions ,Public,2000,3.7
Portugal,Elementary and Secondary Institutions ,Public,2000,4.1
Slovak Republic,Elementary and Secondary Institutions ,Public,2000,2.7
Spain,Elementary and Secondary Institutions ,Public,2000,3.1
Sweden,Elementary and Secondary Institutions ,Public,2000,4.4
Switzerland,Elementary and Secondary Institutions ,Public,2000,3.8
Turkey,Elementary and Secondary Institutions ,Public,2000,2.4
United Kingdom,Elementary and Secondary Institutions ,Public,2000,3.4
United States,Elementary and Secondary Institutions ,Public,2000,3.5
Russia,Elementary and Secondary Institutions ,Public,2000,1.7
OECD Average,Higher Education Institutions ,Public,2000,1.0
Australia,Higher Education Institutions ,Public,2000,0.8
Austria,Higher Education Institutions ,Public,2000,1.2
Belgium,Higher Education Institutions ,Public,2000,1.2
Canada,Higher Education Institutions ,Public,2000,1.6
Chile,Higher Education Institutions ,Public,2000,0.6
Czech Republic,Higher Education Institutions ,Public,2000,0.8
Denmark,Higher Education Institutions ,Public,2000,1.5
Finland,Higher Education Institutions ,Public,2000,1.7
France,Higher Education Institutions ,Public,2000,1.0
Germany,Higher Education Institutions ,Public,2000,1.0
Greece,Higher Education Institutions ,Public,2000,0.9
Hungary,Higher Education Institutions ,Public,2000,0.9
Iceland,Higher Education Institutions ,Public,2000,0.8
Ireland,Higher Education Institutions ,Public,2000,1.2
Israel,Higher Education Institutions ,Public,2000,1.1
Italy,Higher Education Institutions ,Public,2000,0.7
Japan,Higher Education Institutions ,Public,2000,0.5
"Korea, Republic of",Higher Education Institutions ,Public,2000,0.6
Mexico,Higher Education Institutions ,Public,2000,0.8
Netherlands,Higher Education Institutions ,Public,2000,1.0
New Zealand,Higher Education Institutions ,Public,2000,0.9
Norway,Higher Education Institutions ,Public,2000,1.2
Poland,Higher Education Institutions ,Public,2000,0.8
Portugal,Higher Education Institutions ,Public,2000,1.0
Slovak Republic,Higher Education Institutions ,Public,2000,0.7
Spain,Higher Education Institutions ,Public,2000,0.9
Sweden,Higher Education Institutions ,Public,2000,1.5
Switzerland,Higher Education Institutions ,Public,2000,1.2
Turkey,Higher Education Institutions ,Public,2000,1.0
United Kingdom,Higher Education Institutions ,Public,2000,0.7
United States,Higher Education Institutions ,Public,2000,0.8
Russia,Higher Education Institutions ,Public,2000,0.5
OECD Average,All Institutions ,Public,2005,5.0
Australia,All Institutions ,Public,2005,4.3
Austria,All Institutions ,Public,2005,5.2
Belgium,All Institutions ,Public,2005,5.8
Canada,All Institutions ,Public,2005,4.8
Chile,All Institutions ,Public,2005,3.3
Czech Republic,All Institutions ,Public,2005,4.1
Denmark,All Institutions ,Public,2005,6.8
Estonia,All Institutions ,Public,2005,4.7
Finland,All Institutions ,Public,2005,5.9
France,All Institutions ,Public,2005,5.6
Germany,All Institutions ,Public,2005,4.2
Greece,All Institutions ,Public,2005,4.0
Hungary,All Institutions ,Public,2005,5.1
Iceland,All Institutions ,Public,2005,7.2
Ireland,All Institutions ,Public,2005,4.3
Israel,All Institutions ,Public,2005,6.2
Italy,All Institutions ,Public,2005,4.3
Japan,All Institutions ,Public,2005,3.4
"Korea, Republic of",All Institutions ,Public,2005,4.3
Mexico,All Institutions ,Public,2005,5.3
Netherlands,All Institutions ,Public,2005,4.6
New Zealand,All Institutions ,Public,2005,5.2
Norway,All Institutions ,Public,2005,5.7
Poland,All Institutions ,Public,2005,5.4
Portugal,All Institutions ,Public,2005,5.3
Slovak Republic,All Institutions ,Public,2005,3.7
Slovenia,All Institutions ,Public,2005,5.3
Spain,All Institutions ,Public,2005,4.1
Sweden,All Institutions ,Public,2005,6.2
Switzerland,All Institutions ,Public,2005,5.6
United Kingdom,All Institutions ,Public,2005,5.0
United States,All Institutions ,Public,2005,4.9
Brazil,All Institutions ,Public,2005,4.4
Russia,All Institutions ,Public,2005,3.8
OECD Average,Elementary and Secondary Institutions ,Public,2005,3.5
Australia,Elementary and Secondary Institutions ,Public,2005,3.4
Austria,Elementary and Secondary Institutions ,Public,2005,3.5
Belgium,Elementary and Secondary Institutions ,Public,2005,3.9
Canada,Elementary and Secondary Institutions ,Public,2005,3.3
