country_name,Country Code,indicator,year,value
"Korea, Rep.",KOR,"Gross enrolment ratio, tertiary, both sexes (%)",2015,93.17913818
Kuwait,KWT,"Adult literacy rate, population 15+ years, both sexes (%)",2015,95.68545
Kyrgyz Republic,KGZ,"Gross enrolment ratio, tertiary, both sexes (%)",2015,46.90145111
Lao PDR,LAO,"Gross enrolment ratio, tertiary, both sexes (%)",2015,16.90589905
Lebanon,LBN,"Gross enrolment ratio, tertiary, both sexes (%)",2015,38.48477173
Liechtenstein,LIE,"Gross enrolment ratio, tertiary, both sexes (%)",2015,33.54204178
"Macao SAR, China",MAC,"Gross enrolment ratio, tertiary, both sexes (%)",2015,75.59884644
"Macedonia, FYR",MKD,"Gross enrolment ratio, tertiary, both sexes (%)",2015,42.06335068
Malawi,MWI,"Adult literacy rate, population 15+ years, both sexes (%)",2015,62.14354
Malaysia,MYS,"Gross enrolment ratio, tertiary, both sexes (%)",2015,26.07408905
Mali,MLI,"Adult literacy rate, population 15+ years, both sexes (%)",2015,33.06889
Malta,MLT,"Gross enrolment ratio, tertiary, both sexes (%)",2015,47.42187119
Mauritania,MRT,"Gross enrolment ratio, tertiary, both sexes (%)",2015,5.621729851
Mauritius,MUS,"Adult literacy rate, population 15+ years, both sexes (%)",2015,92.7076
Mauritius,MUS,"Gross enrolment ratio, tertiary, both sexes (%)",2015,36.66756821
Mexico,MEX,"Adult literacy rate, population 15+ years, both sexes (%)",2015,94.47228
Moldova,MDA,"Gross enrolment ratio, tertiary, both sexes (%)",2015,41.2134819
Mongolia,MNG,"Gross enrolment ratio, tertiary, both sexes (%)",2015,68.5670166
Morocco,MAR,"Gross enrolment ratio, tertiary, both sexes (%)",2015,28.14357948
Mozambique,MOZ,"Gross enrolment ratio, tertiary, both sexes (%)",2015,6.390520096
Nepal,NPL,"Gross enrolment ratio, tertiary, both sexes (%)",2015,14.93994999
New Zealand,NZL,"Gross enrolment ratio, tertiary, both sexes (%)",2015,83.93132019
Norway,NOR,"Gross enrolment ratio, tertiary, both sexes (%)",2015,76.69638062
Oman,OMN,"Adult literacy rate, population 15+ years, both sexes (%)",2015,93.03861
Pakistan,PAK,"Gross enrolment ratio, tertiary, both sexes (%)",2015,9.927390099
Palau,PLW,"Adult literacy rate, population 15+ years, both sexes (%)",2015,96.59374
Paraguay,PRY,"Adult literacy rate, population 15+ years, both sexes (%)",2015,95.0727
Peru,PER,"Adult literacy rate, population 15+ years, both sexes (%)",2015,94.16234
Portugal,PRT,"Gross enrolment ratio, tertiary, both sexes (%)",2015,61.87419128
Qatar,QAT,"Gross enrolment ratio, tertiary, both sexes (%)",2015,14.51807976
Romania,ROU,"Gross enrolment ratio, tertiary, both sexes (%)",2015,53.22021866
Russian Federation,RUS,"Gross enrolment ratio, tertiary, both sexes (%)",2015,80.39408112
Rwanda,RWA,"Gross enrolment ratio, tertiary, both sexes (%)",2015,7.897079945
Sao Tome and Principe,STP,"Gross enrolment ratio, tertiary, both sexes (%)",2015,13.4060297
Saudi Arabia,SAU,"Gross enrolment ratio, tertiary, both sexes (%)",2015,63.06621933
Senegal,SEN,"Gross enrolment ratio, tertiary, both sexes (%)",2015,10.38665962
Serbia,SRB,"Gross enrolment ratio, tertiary, both sexes (%)",2015,58.28768921
Seychelles,SYC,"Gross enrolment ratio, tertiary, both sexes (%)",2015,14.25619984
Singapore,SGP,"Adult literacy rate, population 15+ years, both sexes (%)",2015,96.82549
South Africa,ZAF,"Adult literacy rate, population 15+ years, both sexes (%)",2015,94.36792
Spain,ESP,"Adult literacy rate, population 15+ years, both sexes (%)",2015,98.14326
Spain,ESP,"Gross enrolment ratio, tertiary, both sexes (%)",2015,89.67014313
Sri Lanka,LKA,"Gross enrolment ratio, tertiary, both sexes (%)",2015,19.79661942
St. Kitts and Nevis,KNA,"Gross enrolment ratio, tertiary, both sexes (%)",2015,79.56452942
St. Lucia,LCA,"Gross enrolment ratio, tertiary, both sexes (%)",2015,16.76589012
Sweden,SWE,"Gross enrolment ratio, tertiary, both sexes (%)",2015,62.30076981
Switzerland,CHE,"Gross enrolment ratio, tertiary, both sexes (%)",2015,57.67219162
Syrian Arab Republic,SYR,"Gross enrolment ratio, tertiary, both sexes (%)",2015,44.04861832
Tajikistan,TJK,"Gross enrolment ratio, tertiary, both sexes (%)",2015,26.37450027
Tanzania,TZA,"Adult literacy rate, population 15+ years, both sexes (%)",2015,77.88723
Thailand,THA,"Adult literacy rate, population 15+ years, both sexes (%)",2015,92.86831
Thailand,THA,"Gross enrolment ratio, tertiary, both sexes (%)",2015,48.85744095
Togo,TGO,"Adult literacy rate, population 15+ years, both sexes (%)",2015,63.74562
Togo,TGO,"Gross enrolment ratio, tertiary, both sexes (%)",2015,10.62596035
Tunisia,TUN,"Gross enrolment ratio, tertiary, both sexes (%)",2015,34.60657883
Turkey,TUR,"Adult literacy rate, population 15+ years, both sexes (%)",2015,95.60142
Turkey,TUR,"Gross enrolment ratio, tertiary, both sexes (%)",2015,94.7322998
United States,USA,"Gross enrolment ratio, tertiary, both sexes (%)",2015,85.79577637
Uruguay,URY,"Adult literacy rate, population 15+ years, both sexes (%)",2015,98.52387
Uruguay,URY,"Gross enrolment ratio, tertiary, both sexes (%)",2015,55.56626892
Uzbekistan,UZB,"Adult literacy rate, population 15+ years, both sexes (%)",2015,99.98383
