university_id,year,citations_per_faculty_score,international_research_network_score,research_score,citation_score,research_impact,source,research_productivity_index
U1781,2025,32.7,94.5,,32.7,32.7,QS 2025,56.98989898989899
U2124,2025,43.1,61.2,,43.1,43.1,QS 2025,49.83838383838384
U1597,2025,54.9,68.2,,54.9,54.9,QS 2025,59.81818181818182
U2154,2025,58.4,91.3,,58.4,58.4,QS 2025,71.27272727272728
U3189,2025,97.7,91.4,,97.7,97.7,QS 2025,95.13131313131314
U0555,2025,40.9,89.7,,40.9,40.9,QS 2025,60.02020202020202
U1629,2025,55.4,97.9,,55.4,55.4,QS 2025,72.12121212121212
U1710,2025,54.3,92.9,,54.3,54.3,QS 2025,69.43434343434345
U2322,2025,28.5,95.9,,28.5,28.5,QS 2025,55.01010101010101
U1677,2025,8.8,82.5,,8.8,8.8,QS 2025,37.656565656565654
U1232,2025,4.1,88.1,,4.1,4.1,QS 2025,37.070707070707066
U2391,2025,2.4,93.2,,2.4,2.4,QS 2025,38.101010101010104
U2634,2025,61.3,96.0,,61.3,61.3,QS 2025,74.92929292929293
U0670,2025,71.7,93.1,,71.7,71.7,QS 2025,80.06060606060606
U1648,2025,96.9,26.6,,96.9,96.9,QS 2025,68.46464646464646
U1791,2025,71.9,86.1,,71.9,71.9,QS 2025,77.35353535353536
U2755,2025,23.1,98.2,,23.1,23.1,QS 2025,52.66666666666667
U1110,2025,78.0,73.9,,78.0,78.0,QS 2025,76.12121212121212
U1126,2025,68.4,86.4,,68.4,68.4,QS 2025,75.35353535353536
U3309,2025,42.3,96.7,,42.3,42.3,QS 2025,63.6969696969697
U3161,2025,49.2,83.8,,49.2,49.2,QS 2025,62.66666666666667
U3129,2025,43.9,95.8,,43.9,43.9,QS 2025,64.3030303030303
U3323,2025,79.5,97.3,,79.5,79.5,QS 2025,86.48484848484847
U2116,2025,23.9,68.3,,23.9,23.9,QS 2025,41.07070707070707
U3034,2025,37.6,98.0,,37.6,37.6,QS 2025,61.37373737373738
U2063,2025,84.4,88.1,,84.4,84.4,QS 2025,85.73737373737373
U3300,2025,40.1,94.3,,40.1,40.1,QS 2025,61.39393939393939
U1650,2025,40.2,88.1,,40.2,40.2,QS 2025,58.94949494949495
U0289,2025,41.3,86.9,,41.3,41.3,QS 2025,59.131313131313135
U0002,2025,73.6,78.2,,73.6,73.6,QS 2025,75.19191919191918
U0703,2025,52.8,75.5,,52.8,52.8,QS 2025,61.494949494949495
U3273,2025,78.9,84.6,,78.9,78.9,QS 2025,80.98989898989899
U3282,2025,23.7,91.6,,23.7,23.7,QS 2025,50.36363636363636
U2847,2025,49.6,96.9,,49.6,49.6,QS 2025,68.20202020202021
U0868,2025,79.1,52.3,,79.1,79.1,QS 2025,68.06060606060606
U3042,2025,55.7,97.3,,55.7,55.7,QS 2025,72.06060606060606
U1723,2025,62.8,92.5,,62.8,62.8,QS 2025,74.42424242424242
U3389,2025,93.4,81.5,,93.4,93.4,QS 2025,88.52525252525253
U1714,2025,48.2,89.4,,48.2,48.2,QS 2025,64.32323232323233
U1758,2025,77.7,83.2,,77.7,77.7,QS 2025,79.69696969696969
U2000,2025,41.3,54.2,,41.3,41.3,QS 2025,45.91919191919192
U3152,2025,58.0,85.8,,58.0,58.0,QS 2025,68.8080808080808
U0822,2025,27.0,93.1,,27.0,27.0,QS 2025,52.96969696969697
U2616,2025,46.4,87.2,,46.4,46.4,QS 2025,62.343434343434346
U1986,2025,64.5,95.7,,64.5,64.5,QS 2025,76.74747474747474
U1495,2025,38.7,97.1,,38.7,38.7,QS 2025,61.67676767676767
U2707,2025,52.5,90.6,,52.5,52.5,QS 2025,67.41414141414141
U2663,2025,94.5,89.4,,94.5,94.5,QS 2025,92.3838383838384
U1826,2025,45.3,97.1,,45.3,45.3,QS 2025,65.67676767676767
U0084,2025,46.6,96.0,,46.6,46.6,QS 2025,66.02020202020202
U1256,2025,79.6,90.9,,79.6,79.6,QS 2025,83.95959595959596
U3120,2025,97.7,75.7,,97.7,97.7,QS 2025,88.7878787878788
