university_id,year,global_rank,overall_score,academic_reputation_score,employer_reputation_score,source,teaching_score,research_score,citation_score,industry_income_score,international_outlook_score
U1677,2025,93.0,61.5,93.7,98.0,QS 2025,,,,,
U1232,2025,94.0,61.4,78.0,82.3,QS 2025,,,,,
U2391,2025,94.0,61.4,97.0,94.4,QS 2025,,,,,
U2634,2025,96.0,61.2,57.0,42.2,QS 2025,,,,,
U0670,2025,97.0,60.6,80.3,56.9,QS 2025,,,,,
U1648,2025,98.0,60.3,45.9,80.0,QS 2025,,,,,
U1791,2025,99.0,59.9,46.6,93.7,QS 2025,,,,,
U2755,2025,100.0,59.6,74.0,31.6,QS 2025,,,,,
U1110,2025,101.0,59.5,38.0,46.5,QS 2025,,,,,
U1126,2025,102.0,59.4,44.9,80.9,QS 2025,,,,,
U3309,2025,103.0,59.3,61.4,33.7,QS 2025,,,,,
U3161,2025,104.0,59.2,46.5,63.2,QS 2025,,,,,
U3129,2025,105.0,59.1,58.3,48.7,QS 2025,,,,,
U3323,2025,105.0,59.1,66.5,38.8,QS 2025,,,,,
U2116,2025,107.0,58.8,73.8,82.8,QS 2025,,,,,
U3034,2025,108.0,58.5,61.1,65.8,QS 2025,,,,,
U2063,2025,109.0,58.3,33.2,22.1,QS 2025,,,,,
U3300,2025,109.0,58.3,59.9,26.4,QS 2025,,,,,
U1650,2025,111.0,58.2,70.8,77.0,QS 2025,,,,,
U0289,2025,108.0,58.6,61.9,69.1,QS 2025,,,,,
U0002,2025,113.0,57.9,45.7,40.6,QS 2025,,,,,
U0703,2025,114.0,57.3,67.1,82.6,QS 2025,,,,,
U3273,2025,115.0,57.2,40.4,64.2,QS 2025,,,,,
U3282,2025,116.0,57.1,77.7,47.8,QS 2025,,,,,
U2847,2025,117.0,56.8,62.3,29.1,QS 2025,,,,,
U0868,2025,118.0,56.3,58.5,86.0,QS 2025,,,,,
U3042,2025,119.0,56.1,55.6,16.0,QS 2025,,,,,
U1723,2025,120.0,55.8,48.3,36.9,QS 2025,,,,,
U3389,2025,120.0,55.8,32.6,38.9,QS 2025,,,,,
U1714,2025,122.0,55.7,29.8,50.6,QS 2025,,,,,
U1758,2025,123.0,55.5,40.4,48.0,QS 2025,,,,,
U2000,2025,123.0,55.5,57.9,70.7,QS 2025,,,,,
U3152,2025,125.0,55.2,50.4,54.5,QS 2025,,,,,
U0822,2025,126.0,55.0,89.2,69.9,QS 2025,,,,,
U2616,2025,126.0,55.0,51.4,43.5,QS 2025,,,,,
U1986,2025,128.0,54.8,52.5,21.0,QS 2025,,,,,
U1495,2025,129.0,54.5,50.0,59.3,QS 2025,,,,,
U2707,2025,130.0,54.4,63.0,48.0,QS 2025,,,,,
U2663,2025,131.0,54.3,26.6,13.5,QS 2025,,,,,
U1826,2025,132.0,54.2,80.7,48.5,QS 2025,,,,,
U0084,2025,133.0,54.1,80.8,47.8,QS 2025,,,,,
U1256,2025,133.0,54.1,33.4,39.2,QS 2025,,,,,
U3120,2025,133.0,54.1,50.0,23.7,QS 2025,,,,,
U0579,2025,136.0,54.0,28.7,72.1,QS 2025,,,,,
U3262,2025,137.0,53.9,70.9,40.4,QS 2025,,,,,
U2536,2025,138.0,53.8,61.7,66.4,QS 2025,,,,,
U0369,2025,139.0,53.7,26.3,50.4,QS 2025,,,,,
U2259,2025,139.0,53.7,82.8,90.0,QS 2025,,,,,
U1194,2025,141.0,53.6,38.9,36.7,QS 2025,,,,,
U1210,2025,141.0,53.6,68.4,32.9,QS 2025,,,,,
U1749,2025,141.0,53.6,39.1,27.3,QS 2025,,,,,
U0003,2025,144.0,53.3,54.7,27.6,QS 2025,,,,,
U1398,2025,145.0,53.0,57.1,32.5,QS 2025,,,,,
U2552,2025,146.0,52.7,63.3,69.7,QS 2025,,,,,
U2075,2025,147.0,52.5,55.3,74.3,QS 2025,,,,,
U2549,2025,148.0,52.3,61.0,61.9,QS 2025,,,,,
U1105,2025,149.0,52.2,59.8,61.4,QS 2025,,,,,
U0869,2025,150.0,52.1,54.1,80.9,QS 2025,,,,,
U2665,2025,150.0,52.1,35.8,67.9,QS 2025,,,,,
U1323,2025,152.0,51.9,59.5,48.6,QS 2025,,,,,
U1383,2025,152.0,51.9,63.2,65.8,QS 2025,,,,,
U2100,2025,154.0,51.8,61.2,66.0,QS 2025,,,,,
U2817,2025,155.0,51.6,45.5,17.2,QS 2025,,,,,
U3028,2025,155.0,51.6,61.4,36.5,QS 2025,,,,,
U3370,2025,155.0,51.6,42.1,23.8,QS 2025,,,,,
U0586,2025,158.0,51.5,37.0,58.2,QS 2025,,,,,
U2511,2025,159.0,51.3,55.5,32.8,QS 2025,,,,,
U2830,2025,159.0,51.3,52.3,34.4,QS 2025,,,,,
U2676,2025,161.0,51.2,29.7,16.1,QS 2025,,,,,
U0767,2025,162.0,51.1,43.0,78.0,QS 2025,,,,,
U0070,2025,163.0,51.0,54.2,79.6,QS 2025,,,,,
U0472,2025,164.0,50.9,68.1,68.1,QS 2025,,,,,
U2474,2025,165.0,50.7,73.7,30.3,QS 2025,,,,,
U2928,2025,165.0,50.7,46.1,39.4,QS 2025,,,,,
U1185,2025,167.0,50.3,58.3,66.5,QS 2025,,,,,
U3285,2025,167.0,50.3,29.5,24.5,QS 2025,,,,,
U0709,2025,169.0,50.1,53.2,24.8,QS 2025,,,,,
U2799,2025,169.0,50.1,42.9,45.0,QS 2025,,,,,
U2726,2025,171.0,50.0,45.2,51.8,QS 2025,,,,,
U3088,2025,172.0,49.9,32.2,41.7,QS 2025,,,,,
U0802,2025,173.0,49.8,59.0,63.3,QS 2025,,,,,
U0491,2025,174.0,49.3,33.1,27.7,QS 2025,,,,,
U2473,2025,175.0,49.2,64.0,35.8,QS 2025,,,,,
U1297,2025,176.0,49.0,39.5,34.2,QS 2025,,,,,
U3379,2025,171.0,49.9,36.3,12.0,QS 2025,,,,,
U2716,2025,178.0,48.9,52.6,21.3,QS 2025,,,,,
U3014,2025,179.0,48.7,28.3,24.5,QS 2025,,,,,
U2284,2025,179.0,48.7,67.7,88.4,QS 2025,,,,,
U2556,2025,181.0,48.5,48.6,59.6,QS 2025,,,,,
U3377,2025,181.0,48.5,60.7,96.1,QS 2025,,,,,
U0762,2025,183.0,48.3,12.9,4.7,QS 2025,,,,,
U3294,2025,184.0,48.2,42.9,30.1,QS 2025,,,,,
U2085,2025,185.0,48.1,53.8,91.4,QS 2025,,,,,
U0334,2025,186.0,47.6,46.8,43.2,QS 2025,,,,,
U0452,2025,187.0,47.5,29.8,16.3,QS 2025,,,,,
U1075,2025,188.0,47.4,53.0,91.6,QS 2025,,,,,
U3045,2025,189.0,47.3,26.2,23.3,QS 2025,,,,,
U2079,2025,190.0,47.2,33.9,50.4,QS 2025,,,,,
U2590,2025,191.0,47.1,50.7,35.7,QS 2025,,,,,
U2142,2025,192.0,46.9,31.8,16.9,QS 2025,,,,,
U1727,2025,193.0,46.8,40.8,56.7,QS 2025,,,,,
U2825,2025,194.0,46.7,35.4,18.3,QS 2025,,,,,
U3410,2025,194.0,46.7,39.2,40.5,QS 2025,,,,,
U0583,2025,196.0,46.6,25.2,19.0,QS 2025,,,,,
U0511,2025,197.0,46.4,31.3,23.9,QS 2025,,,,,
U2220,2025,198.0,46.3,61.0,64.3,QS 2025,,,,,
U2704,2025,198.0,46.3,37.9,44.5,QS 2025,,,,,
U0159,2025,200.0,46.2,48.6,44.1,QS 2025,,,,,
U1117,2025,200.0,46.2,39.4,28.7,QS 2025,,,,,
U0116,2025,332.0,33.6,20.9,38.6,QS 2025,,,,,
U2487,2025,203.0,46.0,48.4,25.9,QS 2025,,,,,
U2977,2025,203.0,46.0,56.8,33.1,QS 2025,,,,,
U0567,2025,205.0,45.8,8.9,58.5,QS 2025,,,,,
U1728,2025,206.0,45.7,35.4,33.6,QS 2025,,,,,
U2459,2025,206.0,45.7,53.8,79.2,QS 2025,,,,,
U1567,2025,208.0,45.6,58.6,50.4,QS 2025,,,,,
U2092,2025,209.0,45.2,32.0,18.6,QS 2025,,,,,
U1458,2025,210.0,45.1,54.8,71.2,QS 2025,,,,,
U0862,2025,211.0,45.0,45.7,26.3,QS 2025,,,,,
U0064,2025,212.0,44.8,43.1,24.5,QS 2025,,,,,
U1725,2025,213.0,44.7,39.8,33.1,QS 2025,,,,,
U3044,2025,214.0,44.4,45.0,24.6,QS 2025,,,,,
U1418,2025,215.0,44.2,51.5,74.0,QS 2025,,,,,
U2803,2025,215.0,44.2,46.7,42.3,QS 2025,,,,,
U1200,2025,217.0,44.1,23.6,19.8,QS 2025,,,,,
U2954,2025,218.0,44.0,48.6,29.4,QS 2025,,,,,
U1487,2025,219.0,43.9,32.9,62.7,QS 2025,,,,,
U2395,2025,219.0,43.9,71.0,89.9,QS 2025,,,,,
U3365,2025,221.0,43.8,39.4,17.8,QS 2025,,,,,
U0565,2025,222.0,43.7,46.0,30.7,QS 2025,,,,,
U0878,2025,222.0,43.7,34.0,51.1,QS 2025,,,,,
U0671,2025,224.0,43.6,25.8,27.7,QS 2025,,,,,
U1242,2025,224.0,43.6,29.7,55.3,QS 2025,,,,,
U2915,2025,224.0,43.6,28.4,18.8,QS 2025,,,,,
U0879,2025,227.0,43.5,42.4,63.2,QS 2025,,,,,
U1747,2025,227.0,43.5,52.8,24.1,QS 2025,,,,,
U0411,2025,229.0,43.4,68.2,35.9,QS 2025,,,,,
U1253,2025,230.0,43.0,23.0,27.8,QS 2025,,,,,
U2528,2025,230.0,43.0,33.3,34.5,QS 2025,,,,,
U2327,2025,232.0,42.9,71.8,40.3,QS 2025,,,,,
U3243,2025,233.0,42.7,20.7,32.0,QS 2025,,,,,
U2077,2025,234.0,42.6,36.3,42.5,QS 2025,,,,,
U3266,2025,235.0,42.5,19.1,11.7,QS 2025,,,,,
U2523,2025,236.0,42.3,58.9,27.3,QS 2025,,,,,
U2622,2025,236.0,42.3,30.5,28.8,QS 2025,,,,,
U3093,2025,236.0,42.3,22.6,20.8,QS 2025,,,,,
U0688,2025,239.0,41.8,54.4,73.5,QS 2025,,,,,
U1291,2025,239.0,41.8,30.1,14.0,QS 2025,,,,,
U1651,2025,241.0,41.7,40.2,52.1,QS 2025,,,,,
U2062,2025,241.0,41.7,20.0,35.9,QS 2025,,,,,
U0509,2025,243.0,41.3,22.8,31.0,QS 2025,,,,,
U3340,2025,244.0,41.2,42.8,21.4,QS 2025,,,,,
U2937,2025,245.0,41.1,11.9,10.5,QS 2025,,,,,
U0381,2025,246.0,41.0,45.6,49.1,QS 2025,,,,,
U3172,2025,246.0,41.0,22.6,10.4,QS 2025,,,,,
U3330,2025,248.0,40.8,24.4,21.8,QS 2025,,,,,
U3006,2025,249.0,40.7,30.6,68.0,QS 2025,,,,,
U0111,2025,250.0,40.6,28.6,29.5,QS 2025,,,,,
U2055,2025,251.0,40.5,27.0,81.0,QS 2025,,,,,
U0769,2025,252.0,40.3,27.1,21.1,QS 2025,,,,,
U0806,2025,252.0,40.3,18.2,12.0,QS 2025,,,,,
U2831,2025,252.0,40.3,46.4,27.1,QS 2025,,,,,
U0736,2025,255.0,40.1,27.0,13.7,QS 2025,,,,,
U0223,2025,256.0,39.9,43.2,72.7,QS 2025,,,,,
U0784,2025,256.0,39.9,17.8,27.1,QS 2025,,,,,
U3270,2025,258.0,39.8,50.0,53.6,QS 2025,,,,,
U0338,2025,259.0,39.7,17.2,15.4,QS 2025,,,,,
U2927,2025,260.0,39.6,44.0,20.7,QS 2025,,,,,
U0328,2025,523.0,23.5,20.1,19.9,QS 2025,,,,,
U2724,2025,261.0,39.4,34.7,27.3,QS 2025,,,,,
U0877,2025,263.0,39.3,36.9,56.9,QS 2025,,,,,
U1544,2025,264.0,39.1,33.2,25.2,QS 2025,,,,,
U2176,2025,265.0,38.8,27.0,65.1,QS 2025,,,,,
U2482,2025,265.0,38.8,31.7,29.4,QS 2025,,,,,
U2648,2025,267.0,38.7,24.1,11.3,QS 2025,,,,,
U3284,2025,267.0,38.7,26.5,42.1,QS 2025,,,,,
U2109,2025,269.0,38.6,17.2,13.5,QS 2025,,,,,
U2560,2025,269.0,38.6,19.5,28.1,QS 2025,,,,,
U0244,2025,271.0,38.5,33.9,10.3,QS 2025,,,,,
U1729,2025,272.0,38.4,28.0,14.1,QS 2025,,,,,
U2615,2025,273.0,38.3,30.1,35.1,QS 2025,,,,,
U2813,2025,273.0,38.3,26.2,30.3,QS 2025,,,,,
U0502,2025,275.0,38.2,19.4,16.7,QS 2025,,,,,
U2957,2025,275.0,38.2,38.2,17.2,QS 2025,,,,,
U3071,2025,275.0,38.2,35.0,12.7,QS 2025,,,,,
U3076,2025,278.0,38.1,41.3,17.9,QS 2025,,,,,
U3367,2025,278.0,38.1,23.3,13.7,QS 2025,,,,,
U2184,2025,280.0,38.0,13.6,13.5,QS 2025,,,,,
U0780,2025,281.0,37.9,32.8,18.2,QS 2025,,,,,
U3166,2025,281.0,37.9,25.9,30.0,QS 2025,,,,,
U2576,2025,283.0,37.5,65.6,33.3,QS 2025,,,,,
U1950,2025,284.0,37.3,9.3,2.5,QS 2025,,,,,
U1325,2025,285.0,37.2,31.2,70.2,QS 2025,,,,,
U2231,2025,285.0,37.2,33.5,56.3,QS 2025,,,,,
U2746,2025,285.0,37.2,35.2,30.4,QS 2025,,,,,
U2917,2025,285.0,37.2,19.8,13.7,QS 2025,,,,,
U2972,2025,285.0,37.2,52.8,17.0,QS 2025,,,,,
U3171,2025,285.0,37.2,19.7,17.9,QS 2025,,,,,
U2011,2025,291.0,37.1,13.9,11.4,QS 2025,,,,,
U2675,2025,291.0,37.1,31.6,8.3,QS 2025,,,,,
U2650,2025,293.0,37.0,37.3,22.2,QS 2025,,,,,
U3183,2025,293.0,37.0,16.0,7.4,QS 2025,,,,,
U3415,2025,295.0,36.9,19.0,39.4,QS 2025,,,,,
U1978,2025,296.0,36.7,26.1,35.8,QS 2025,,,,,
U3264,2025,297.0,36.6,37.3,27.3,QS 2025,,,,,
U0234,2025,298.0,36.5,36.2,51.9,QS 2025,,,,,
U2008,2025,298.0,36.5,23.1,43.1,QS 2025,,,,,
U0817,2025,300.0,36.4,20.4,28.2,QS 2025,,,,,
U0701,2025,301.0,36.3,29.3,41.9,QS 2025,,,,,
U0242,2025,302.0,35.9,23.2,24.3,QS 2025,,,,,
U2577,2025,302.0,35.9,27.8,6.2,QS 2025,,,,,
U1217,2025,304.0,35.8,18.5,26.6,QS 2025,,,,,
U2360,2025,304.0,35.8,61.9,23.3,QS 2025,,,,,
U0001,2025,306.0,35.7,19.9,20.8,QS 2025,,,,,
U2708,2025,307.0,35.5,37.5,22.3,QS 2025,,,,,
U0039,2025,308.0,35.3,37.1,79.1,QS 2025,,,,,
U0720,2025,309.0,35.2,43.2,33.2,QS 2025,,,,,
U2592,2025,309.0,35.2,20.3,7.8,QS 2025,,,,,
U1518,2025,311.0,35.1,26.7,25.4,QS 2025,,,,,
U0977,2025,312.0,35.0,37.8,46.4,QS 2025,,,,,
U2880,2025,312.0,35.0,17.7,17.9,QS 2025,,,,,
U2602,2025,314.0,34.9,23.1,33.0,QS 2025,,,,,
U1719,2025,315.0,34.8,17.3,42.4,QS 2025,,,,,
U1778,2025,316.0,34.7,24.4,48.7,QS 2025,,,,,
U1876,2025,316.0,34.7,16.6,35.5,QS 2025,,,,,
U3032,2025,316.0,34.7,25.8,25.2,QS 2025,,,,,
U1914,2025,319.0,34.6,24.0,11.4,QS 2025,,,,,
U2748,2025,320.0,34.4,36.1,17.5,QS 2025,,,,,
U1226,2025,321.0,34.2,34.4,62.0,QS 2025,,,,,
U1454,2025,321.0,34.2,21.3,44.9,QS 2025,,,,,
U2422,2025,321.0,34.2,31.3,56.5,QS 2025,,,,,
U2970,2025,324.0,34.1,19.0,29.5,QS 2025,,,,,
U3154,2025,324.0,34.1,20.2,15.9,QS 2025,,,,,
U0499,2025,326.0,34.0,10.5,11.8,QS 2025,,,,,
U0959,2025,326.0,34.0,27.0,67.2,QS 2025,,,,,
U1181,2025,328.0,33.8,23.2,37.1,QS 2025,,,,,
U1789,2025,328.0,33.8,36.2,28.1,QS 2025,,,,,
U2770,2025,328.0,33.8,38.1,35.3,QS 2025,,,,,
U2003,2025,331.0,33.7,31.8,28.8,QS 2025,,,,,
U0016,2025,501.0,24.1,15.9,24.6,QS 2025,,,,,
U2783,2025,332.0,33.6,17.2,7.2,QS 2025,,,,,
U2530,2025,334.0,33.5,44.7,14.3,QS 2025,,,,,
U0882,2025,335.0,33.4,19.4,29.0,QS 2025,,,,,
U0656,2025,336.0,33.3,13.5,5.6,QS 2025,,,,,
U1197,2025,336.0,33.3,6.4,9.4,QS 2025,,,,,
U1902,2025,336.0,33.3,20.4,12.3,QS 2025,,,,,
U3213,2025,336.0,33.3,36.3,65.3,QS 2025,,,,,
U3117,2025,340.0,33.2,11.1,5.3,QS 2025,,,,,
U3145,2025,340.0,33.2,21.3,12.7,QS 2025,,,,,
