University_Key,University_Name_QS,Country_QS,Country_Code,QS_Rank,QS_Overall_Score,QS_Academic_Reputation,QS_Employer_Reputation,QS_Faculty_Student_Score,QS_Citations_Per_Faculty,QS_International_Faculty,QS_International_Students,University_Name_THE,Country_THE,THE_Rank,THE_Overall_Score,THE_Teaching_Score,THE_Research_Score,THE_Citations_Score,THE_Industry_Income_Score,THE_International_Outlook,Total_Students,Student_Staff_Ratio,International_Students,Female_Male_Ratio,Year
cornell university,Cornell University,United States,US,13,89.3,98.1,90.5,52.9,99.1,68.7,64.0,Cornell University,United States,20.0,89.5,85.7,88.7,97.6,69.4,86.0,"23,620",10.0,24%,51:49:00,2024
california institute of technology,California Institute of Technology (Caltech),United States,US,15,87.8,96.1,93.7,100.0,100.0,100.0,81.0,California Institute of Technology,United States,7.0,96.5,96.6,98.0,95.9,100.0,90.6,"2,240",6.1,33%,37 : 63,2024
yale university,Yale University,United States,US,16,87.7,99.9,99.9,100.0,45.8,89.8,78.8,Yale University,United States,10.0,94.2,94.0,94.9,97.7,86.5,82.4,"11,924",5.2,21%,51:49:00,2024
peking university,Peking University,China (Mainland),CN,=17,87.0,99.4,95.4,90.4,97.5,50.8,23.5,Peking University,China,14.0,91.8,95.6,97.3,87.2,98.8,70.2,"33,064",10.9,14%,,2024
princeton university,Princeton University,United States,US,=17,87.0,99.8,97.5,64.5,100.0,16.7,57.5,Princeton University,United States,6.0,96.9,96.3,97.9,98.8,95.1,89.1,"7,753",7.3,23%,47:53:00,2024
the university of sydney,The University of Sydney,Australia,AU,=19,86.7,96.0,87.7,11.8,93.5,99.5,100.0,The University of Sydney,Australia,60.0,73.8,52.6,68.9,92.0,97.7,90.2,"57,414",23.1,51%,58:42:00,2024
university of toronto,University of Toronto,Canada,CA,21,86.3,99.7,96.0,54.2,57.2,95.7,96.4,University of Toronto,Canada,21.0,88.6,77.5,94.1,92.8,96.1,90.7,"79,282",25.8,27%,56:44:00,2024
columbia university,Columbia University,United States,US,23,85.9,99.6,98.3,100.0,40.7,56.1,96.8,Columbia University,United States,17.0,90.9,88.6,89.7,97.4,75.2,86.9,"25,914",5.2,35%,,2024
tsinghua university,Tsinghua University,China (Mainland),CN,25,84.9,99.1,96.9,93.9,98.9,9.4,15.7,Tsinghua University,China,12.0,92.4,95.3,98.1,93.2,99.9,51.7,"38,518",11.2,10%,,2024
nanyang technological university singapore,"Nanyang Technological University, Singapore (NTU)",Singapore,SG,=26,84.5,91.0,67.1,77.6,94.4,100.0,80.2,"Nanyang Technological University, Singapore",Singapore,32.0,82.3,66.2,80.9,94.5,99.7,93.3,"25,895",16.7,27%,49:51:00,2024
johns hopkins university,Johns Hopkins University,United States,US,28,84.5,87.3,59.7,100.0,89.4,64.4,91.4,Johns Hopkins University,United States,15.0,91.1,84.4,92.3,97.2,100.0,84.2,"15,772",4.1,28%,56:44:00,2024
the university of tokyo,The University of Tokyo,Japan,JP,28,84.3,100.0,99.8,90.4,70.0,10.3,29.2,The University of Tokyo,Japan,29.0,83.1,93.9,94.2,67.8,100.0,49.7,"26,345",10.3,15%,,2024
university of california los angeles,"University of California, Los Angeles (UCLA)",United States,US,29,83.8,100.0,99.8,36.6,84.8,43.4,24.8,"University of California, Los Angeles",United States,18.0,90.1,85.7,91.9,96.4,92.3,74.3,"42,634",9.6,15%,56:44:00,2024
mcgill university,McGill University,Canada,CA,30,83.7,93.7,87.6,64.0,62.1,88.9,93.3,McGill University,Canada,49.0,76,62.3,72.3,88.8,76.1,92.5,"30,821",11.9,29%,61:39:00,2024
university of michigan ann arbor,University of Michigan-Ann Arbor,United States,US,33,81.7,98.3,89.9,82.2,56.2,67.0,27.6,University of Michigan-Ann Arbor,United States,23.0,87.4,84.7,87.4,95.5,80.7,69.0,"45,783",8.1,16%,51:49:00,2024
university of british columbia,University of British Columbia,Canada,CA,=34,81.5,98.2,93.5,44.4,57.0,96.4,74.1,University of British Columbia,Canada,41.0,78,62.5,76.6,90.5,76.7,95.0,"58,987",19.4,34%,55:45:00,2024
technical university of munich,Technical University of Munich,Germany,DE,37,80.0,83.9,98.2,88.8,59.6,76.5,97.3,Technical University of Munich,Germany,30.0,82.5,69.8,85.1,90.0,100.0,83.1,"35,506",44.4,39%,37 : 63,2024
institut polytechnique de paris,Institut Polytechnique de Paris,France,FR,=38,79.5,44.8,99.6,97.3,93.8,98.5,98.3,Institut Polytechnique de Paris,France,71.0,71.3,71.0,61.6,70.8,98.8,97.1,"6,073",6.8,42%,25 : 75,2024
new york university,New York University (NYU),United States,US,=38,79.5,95.9,98.5,95.5,26.7,26.4,95.0,New York University,United States,27.0,83.5,73.2,84.0,94.9,75.4,80.7,"48,461",11.8,42%,58:42:00,2024
